genre,game,commented_date,comment
Action,Death Stranding,2025-03-16,"eu queria dar um 8.7, porm vai arredondar pro 9,unico ponto negativo nesse jogo perfeito em minha opinio,  o tamanho da cutscenes, elas so mt grandes, tirando isso seria um 10 facilmente"
Action,Death Stranding,2025-03-11,"i think these days people dont have enough focus time to play this game their brains are fried by social media etc just because you are walking long doesn't mean its a bad game i have seen a lot of reviews about it old games were worse than this and their main objective wasnt even deliviring stuff to a place.also let me talk about the game yes this game is very long and takes a lot of time but i find it relaxing occasionally you are on the verge of death tho i like how the map works that it connects with other peoples map and progress its amazes me it doenst feel like i am alone on a singleplayer game which is super good in my opinion but the map is kinda empty there is only bunkers,nothing to explore and dead environment i dont count cargo thiefs after playing zelda and other open worlds it felt empty compare to those games but i genuinely had fun playing this game everyone should give it a try"
Action,Death Stranding,2025-01-30,"death stranding      egs .  ,     ,      .      ,        ,   .         ,     . ,         ,  ,       ,         ,   .     ,   ,    ,     . ,    ,            ,   ,    ,         ,      .    ,        ,   ,        dark souls,      ,   .     . ,    ,     ,        .       ,        ,      .   ,        ,        ,    ,    ,     , . , , ,       ,    .  ,    ,        ,    ,    ,  ,     ,   ,   .  ,      ,       ,        .    ,          death stranding   ,       710."
Action,Death Stranding,2025-01-30,"dos ltimos anos, a minha melhor experincia com video games. trilha sonora absurda de boa e imersiva, ambientao perfeito kojima sabe o que faz e s mostra como  gnio pra krl com essa histria maluca e extremamente bem organizada e complexa. gameplay nica e muito boa."
Action,Death Stranding,2025-01-22,"i definitely recommend the game to those who abandoned the game in the first hour, you lost a lot, take another 3 hours at least, and then the game will drag you out, i'm the person who bypassed this game because i thought it was boring, but when i first started playing, these soundtracks and views made me stay so play to your heart's content!"
Action,Death Stranding,2025-01-15,"a postapocalyptic scifi game that is great looking, but also tedious. this game plays out like a futuristic take on ups. the player's job is to deliver packages in a desolate land filled with hills, cliffs and river banks. it sounds boring and it can be. but the story is intriguing and the cinematic cutscenes are astounding. diehard fans of hideo kojima will enjoy it, if not entirely love it. i would rate this with an 8 out of 10."
Action,Death Stranding,2024-12-25,"excellent game. i played it at the tail end of 2024. i'm not sure how the connected world is handled exactly, so i'm not sure that the state of the game world that i saw in my playthrough would be typical of that which launch players would have seen, or what a lone player in 2035 might experience. combat in death stranding is one of the more minor aspects of gameplay focus, which is atypical for a relatively open world action game. having said that, combat is certainly one of the main aspects of the game, if diminished in focus compared to other activities like traversal. i also found myself avoiding combat, either by bypassing enemy areas entirely or using caution when traveling through those areas. the combat in death stranding is very easy on the standard difficulty and this is likely directly related to combat being a side activity, but the combat is fun even if not challenging. most weapons are satisfying particularly the bola, but some weapons like the assault rifle are quite bland, clunky, and generally unsatisfying to use, partially because of the awkwardness of targeting. the game also allows nonlethal eliminations of both human and bt enemies, although sometimes the game's logic is contrived, e.g., the nonlethal assault rifle, which is the same as its brother except in name. overall, the game is instead focused on its narrative and on the traversal and modification of its world, particularly the cooperative nature of the the world. the attention to detail paid to the systems and environments adds significantly to them. while other games have inventory systems and an overburdened mechanic, only death stranding makes the overburdened mechanic fun, and only death stranding has integrated its inventory system so closely with the game's other systems, such as the movement mechanics. keeping the main character on his feet can be challenging at times, and this can be made much more difficult by extra carry weight. besides walking, the main character can leverage several other forms of transportation, such as vehicles. this forms the bulk of the game moving from point a to point b. the cliche isit's not always about the destination it's about the journey, and this game is a journey. it reminds me in some ways of the experience of watching twin peaks late at night. the acting and the writing particularly the dialog and the design of the characters' identities themselves are both top notch. clearly, the game designers used a lot of high quality motion capture. the overall presentation was striking, from the ingame ui to the episode title cards. additionally, the audio of death stranding is excellent. the audiovisual aspects remind me a lot of dead space in some ways. while kojima claimed to have invented a new genre of game, the strand game, he built a casual open world survival horror crafting game in order to deliver a strong story line with high production value. death stranding is above all a game, even if the cut scenes are long and numerous. one of the strongest aspects is how well the story beats are woven into the game. the flow from the game world to a story section is very smooth and natural, just like the systems at play in the game world. this is a game where you'll combo a lot, for instance, lb to bring up vision, while holding lb press dpad down to check on bb, while holding down, press x to unhook bb from your rig, then while continuing to hold lb rock the l analog stick back and forth to soothe bb. then press x again to stop soothing bb. management of your environment, such as bb, your equipment's range andor durability, or craggy peaks, is the main goal in death stranding, and the player is given a wide berth in deciding how to do so. my impression is that death stranding can be played in many ways, depending on the style of the player, and that many varying solutions and paces can lead to success. overall, i would strongly recommend death stranding to players who enjoy various genres, including players of every experience level."
Action,Death Stranding,2024-11-16,spoiler alert this review contains spoilers.
Action,Death Stranding,2024-10-28,"o melhor jogo que joguei em 2024 atravs do geforce now, do qual me proporcionou uma experincia incrvel. fazia tempo que no me prendia em um jogo single player que me fazia prestar ateno na histria do comeo ao fim, querer explorar esse mundo, descobrir as evolues dos equipamentos e completar todas as misses. uma verdadeira obra prima."
Action,Death Stranding,2024-10-23,"i loved this game so much, even though its basically a walking sim haha. just play it"
Action,Death Stranding,2024-10-15,spoiler alert this review contains spoilers.
Action,Death Stranding,2024-08-25,"very relaxing and interesting game. chill  perfect. when you understand that mr. kojima immersed the players in his life through allegorical images, thereby creating an autobiographical work, so words fail me. i also understand that the game isnt perfect, therefore kojima must fix game's minor problems in sequel. im kinda shocked how kojima left his loved saga that was allegorically imaged by cliff. a lot of metaphors, allegories, references, and this is kojima."
Action,Death Stranding,2024-08-24,"it made me cry, such a beautiful story with so great ending. it requires patience to get through this game but the reward is mind blowing."
Action,Death Stranding,2024-08-14,great details but the story sometimes lacks depth. some emotional scenes are just sentimental
Action,Death Stranding,2024-07-05,"the best game i've ever played in my life!!! i loved every single moment, from the cinematography to the story and the characters."
Action,Death Stranding,2024-04-15,"the best game i ever played in my life. this is one of those games that you either adore or hate, there is no third. story, characters, nature, these things make this game a masterpiece. 100010"
Action,Death Stranding,2024-04-10,"death stranding  2020  pc  played for 74h many dividing opinions surrounding the gameplay of this game, but an overall consensus on the quality of the storytelling and  game has a totally bizarre story arch, but interesting nontheless. a splendid cast of voice and motion capture actors. very pleasing graphical aesthetics and well optimised performance. the music score and sound in general is very rich and relaxing. gameplaywise, it is a proper openworld system, with many interesting alternative tools to achieve your traversal and cargocarrying goals. ragdoll animations are awesome, but vehicles driving physics are properly atrocious. overall death stranding is an outstanding game that has no direct peers for comparison, if you find the gameplay a chore, perhaps just watch a compilation video of all cutscenes, as the story is worth it.i am ready for ds2. story 9,510 gameplay 8,510 graphicsphysics 1010 musicsound 1010 final score 9,3210"
Action,Death Stranding,2024-04-08,"death stranding is a masterpiece. there is no soft way of putting it because that is simply what it is. it is the perfect combination of an interesting and deep story and a unique almost addictive gameplay loop. there was never an uninteresting moment where i looked at my phone for 50 hours! gameplay the gameplay, while unassuming, is unique and different. while there is the occasional 3rd person shooter sequence as you travel through mule camps, the main draw is the package delivery system and its intricacies of container damage and package damage and the like. bt portions also add an extra layer of heightened tension and worry listening to the sounds of bb crying as you try not to alert the various shadow demon things. story as for the story, as i can not go into much, i will just have to leave it to one word, breathtaking. its unique with a plot that may be confusing but once understood is very well enjoyed. onlineaspects the online portion of the game, while some people call it forced, i personally love the concept! the ability to help other players or porters without meeting them is interesting. you can pick up their dropped packages, donate materials to the collective of roads that everyone contributes to, build buildings that both you and other players can make use of, and finally just donate equipment for other people to use. side content the side content, while similar to the main content, is just as interesting as the main gameplay loop. i found myself delivering things to other peepers or cities not because of the rewards and the upgraded gear, but because i loved those characters and the fun they brought with them. the interesting stories presented by the mail and interviews also help this. overall i rate death stranding a perfect 1010. cant wait for death stranding 2!"
Action,Death Stranding,2024-03-21,"lets go for a walk carrying a creepy crying babies and just walk walk walk . nope this was boring. i like the music and the setting is amazingly good looking but as a game it's boring. made me think about those slow slow drama films or series. i usually like slow games but then they have to be interesting and have riddles and such that feels demanding and well, this was just walking walking walking, with an annoying baby screaming."
Action,Death Stranding,2024-03-17,"you collect likes like some silly little tictoc kids kojima took this long boring walk that you sometimes have to do in the game just to do some stupid quest and made almost an entire game about it. the same cutscenes after all the quests and you have to hit the skip button 4 times to skip until you finally see something. when you fall, which is often, you have to wait and press f, then wait and press 2, and then wait and press w, and then wait and press 2.......... and you will fall often.3. i have to use google to load the game, and this is new for me, and really stupid. 5. all delivery points look the same. really creative and innovative mr. kojima if there is no story, it's like this cheap or free game, with such pure repetition to achieve the minimum pc requirements, only to ask for your money if you want to progress faster. just watch the story on youtube, save time and moneydeath stranding"
Action,Death Stranding,2024-03-11,"this is game is out of this world, i love you kojima. graphics 9.8 story 10 gameplay 8.6"
Action,Death Stranding,2024-02-15,"has a great story, intresting and sometimes challenging gameplay. after the story you still can play but it's not as fun overtime."
Action,Death Stranding,2024-02-08,"the true reason on a video game is been fun, it's the core, but it's not meet it in a beginning, it's not to much to say after, just i feel like sleeping after of play for 40 mins."
Action,Death Stranding,2024-01-19,"verdict aprs avoir termin le jeu en 50h   points positifs  les graphismes, l'ambiance, la musique. ces trois points sont ce qui se fait de mieux en termes de jeu video en ce  points ngatifs  le scnario sans queue ni tte, la fin du jeu est un film de 2h qui explique l'histoire. le jeu d'acteur n'est pas transcendant. grosso modo, il ne paraissait pas convenable de faire un jeu de livreur de colis tout simple. kojima a donc enrober son jeu d'une histoire tordue, incohrente et complexe sans avoir de profondeur. au final, j'ai trouv amusant de livrer des colis, planifier son itinraire et viter les problmes pilleurs ou revenant mais faire l'histoire est une vraie purge."
Action,Death Stranding,2024-01-07,"a good game with a gradual increase in difficulty mechanici really like the interaction in online mode with other players, a pleasant story"
Action,Death Stranding,2024-01-06,"o jogo vale a pena testar, existem vezes que, ver no  o ponto final, e experienciar pode se tornar uma opo. no comeo do jogo,  ok, aps completar vrias entregas, que o jogo vai se abrindo cada vez mais. a aprender com o erros e descobrir os mtodos para alcanar algo,  algo bem feito, na minha opinio lgico?. a msica  a chega a mesclar com qualquer situao que esteja no momento.  devido ao jogo no ser to quickpaced, muitos desistem."
