Username,Date,Score %,Review
AhmetEminklft,2025-01-27,100,Bu oyun seçimlerin babası! Mükemmel bir interaktif oyun. Hayatımdabundan daha iyi çok az oyun var.(rdr2 The last of uspart 1 gibi)
kinsang,2024-12-13,80,กว่าจะได้เล่นก็ผ่านมาหลายปีเลยทีเดียว ไม่ได้เล่นเกมแล้วล่กขนาดนี้มานานแล้ว ด้านเนื้อเรื่องถือว่าเขียนมาได้ดีมาก เซตติ้งของโลกในอนาคตที่น่าสนใจสุดๆ ตัวเลือกแต่ละอย่างก็บีบหัวใจมาก เลือกไม่ถูกเลยทีเดียว จะเล่นให้จบดีที่สุดตั้งแต่ครั้งแรกแทบจะเป็นไปไม่ได้เลย ภาพก็สวยมาก ขนาดผ่านมาหลายปีแล้ว เสียดายถ้าอยากจะดูครบทุกฉากจะต้องเสียเวลามากไปหน่อย
wapps,2024-12-07,100,the game is really well done and I think it deserves more than where it was put.
Jack4b,2024-12-05,100,"Just perfection. Absolute cinema presented by quantic dream. The music, story and numbers of possible options, a game can’t be more complete than detroit is. Cage with team did great job."
WinglessOnion,2024-11-21,90,[SPOILER ALERT: This review contains spoilers.]
littlecat_,2024-11-20,100,i love this game . Stunning graphics and story .One of my favorite games . i dont want to tell the story so you could enjoy it on your own
faytclubs,2024-11-16,80,Great. it shapes your way of deciding after you finish the game lol. definetly worth playing
Yigit35,2024-11-12,100,That game got my heart when i played good graphichs good story good ways to glory and so much more.
gjostie,2024-11-04,100,beautiful game and world. i love that 3 stories are developing at the same time in different parts of the city and they all come together at the end. lots of opportunity to replay and get different endings to complete episode trees. would love to 100% this in the future. (connor ftw)
Hombre_de_Paz,2024-10-30,100,"Me encantó! se que no están de moda los quick time events.... pero jugándolo al menos en dificultad experto la velocidad con la que tenés que hacer que las cosas pasen te meten al 100% en los momentos de tensión y adrenalina... tremenda experiencia... Cada deicisión cuenta, es tremendo! Son escenas cortas, lo cual permite jugar en un poco rato, dejarlo, y volver luego en caso que no tengas tiempo para meterte mil horas en un juego (ejemplo típico los mundos abiertos con sus tiempos totalmente perdidos). Acá estás jugando todo el tiempo. Tenes 3 personajes viviendo su historia en paralelo. Super recomendable."
Beroow05,2024-10-27,100,"Karakterler, hikaye işlenişi, kararlar... Seçimli oyunların mihenk taşı. Hiç düşünmeden oynayın."
RodrigoKosteski,2024-10-04,100,Muito gostoso! Sem dúvida um dos melhores jogos já feitos! Até hoje se descobrem finais!
kenohej123,2024-09-26,80,"It's a beautiful game in itself. I really enjoyed the game, it was just boring in some places. That's why I deducted 2 points. The gameplay, graphics, etc. were all good. I recommend it."
Jonneeyy,2024-09-23,80,"Tolle Geschichte, wahllose Quicktime-Events (Tastenanforderungen an der Tastatur völlig wahnwitzig), geniale Stimmung, Grafik und Musik."
Mafioso61,2024-09-08,90,"grafikler, atmosfer, hikaye akışı, zorlayıcı seçimler, connor ile yaptığımız görevler vs muazzam oyundur. biraz zaman geçtikten sonra mutlaka tekrar oynayacağım."
GordinPancada,2024-09-01,100,[SPOILER ALERT: This review contains spoilers.]
Hayasa,2024-08-30,90,"Detroit: Become Human is undoubtedly one of the best narrative games I have ever played. The game immerses us in the harsh realities of life, first through the experiences of the human characters, who can endure terrible ordeals, and then by confronting us with moral choices that challenge our beliefs. The story of Kara and Alice deeply moved me, but even if it doesn’t resonate with you, you will surely find interest in the other characters' narratives offered by the game. This, in my opinion, is one of the game's greatest strengths: beyond the multiple possibilities for shaping our own path, the game invites us to explore the lives of various humans and androids, each facing unique trials. There's no doubt that at least one of the three stories will captivate you. Additionally, this game, besides offering stunning graphics, delivers a wide range of emotions through its exceptional storytelling, making us feel connected to the characters as if they were a part of us."
pestsheep,2024-08-27,80,"High completion rate, smooth story, and comfortable visual presentation, but the plot is indeed a clich é d play of other science fiction works"
Bou-Moncef,2024-08-26,100,This game wooh.i can't describe my feelings. I don't know how there is people didn't play this game yet. For a one who really understand the human feelings and politics . He will be able to live an experience that make him waiting in evry choice he make to see what is the result. What my choices make in that world. If I can save a lot of people in the two sides? Or no I love this game. Thank u for all who makes us live that life inDetroit
stefnmerci,2024-08-17,100,"One of the best games i have ever playied. From the Gameplay to the Soundtrack, for me everything was perfect. Truly a masterpiece ! If you can - go play it yourself !"
akramkimo,2024-08-15,90,one the best story game ever played. it make s you feel soo emotional every time you have to chose an action or thought. and very good graphics .
bezdarns,2024-08-13,100,"One of the best games I've played, in fact has almost infinite replayability, the story is very good, gameplay even on keyboard and mouse is very comfortable"
draemato,2024-08-09,20,"Its too unrealistic and exaggerated. Robots became just exactly like humans in most boring and almost childlish way. This game tries to evoke feelings and make us attached to characters, but ultimately fails to do so. Good graphics and voice acting but plot is just not good."
Argamer12wq,2024-08-08,100,"It was really amazing, the overall story of the game was very deep and complex, the actors were wonderful and the graphics of the game were perfect. But the best part of the game was the variety of endings and the impactful choices in the game, I really enjoyed it."
Ranakin,2024-08-07,100,THIS GAME IS GREAT THE BEST GAME I EVER PLAYED This action of great heroes we are waiting for detroid 2
merciat,2024-08-06,100,"its def my vacorite game of all time. love everything about it, characters, dynamics, realtions and visual aspect"
SalavatSoulking,2024-07-23,100,[SPOILER ALERT: This review contains spoilers.]
