genre,game,commented_date,comment
Action,God of War Ragnarok,2025-03-21,"i really liked how they mixed in a bunch of rpg stuff in the game and being able to tweak my playstyle was awesome. the game looks good, runs well, has loads of cool stuff to do, and the story is solid. but, i gotta say, the whole atreus part didn't quite hit the mark for me. kratos' fights are epic, but atreus' gameplay feels off, like it's from a whole other game. the story and dialogues just didn't grab me, and atreus' fights were kinda meh and boring. plus, atreus himself wasn't very likable. if they make a sequel, sony, please don't make atreus the protagonist."
Action,God of War Ragnarok,2025-03-21,"great combat mechanics but the game is too long so it becomes kind of tedious, story wise its absolutely horrible, and game forces you to watch them... terrible design..."
Action,God of War Ragnarok,2025-03-16,"there are less than 30 boss fights in a very long game, and fighting some of the boss fights is not at all interesting and my time was wasted. the gameplay is not fast and interesting, and kratos should fight much faster, it should be clear from his fighting skills that he is the strongest and unrivaled, and not by looking at the past of the character he had. but kratos moves his sword and axe slowly. some stages of the game are very boring and make the game less worth repeating or not worth repeating the game again, and even finishing the game for the first time is not so enjoyable that you can enjoy the game for hours. the presence of puzzles or intellectual stages did not give me any pleasure and it was just a waste of time for me to finish it quickly."
Action,God of War Ragnarok,2025-03-11,"ragnarok is an incredibly polished game, cinematic, beautiful and enjoyable. but it's not all  story is entertaining and akin to a movie, the acting is fantastic especially odin, he deserves an oscar for his role. the game runs incredibly smoothly and is a feast to the  is a large game, a bit too large in my opinion.while all is done superbly well, it feels stretched out for multiple  pacing of the game is generally very slow. there are very many main quests that feel like fillers for the story, i didn't quite find a point for them existing, or at the very least not in such a long format. the majority of story missions where you travel with a new companion feel like an unnecessary drag,the best part of the game gameplaywise, is the exploration and puzzle solving components.however, the puzzles are way oversimplified and your companions instantly give you clues robbing any chance of you trying to brainstorm. there are also a ridiculous amount of different collectibles to go after, people who like cleaning maps might enjoy those, i personally opted out of most of them, even though you can get good rewards and weapon upgrades for the most part.speaking of weapon upgrades the whole tree and system are interesting, with an unbelievable amount of unlocks  even though that part is really rich in options, i felt like it was unnecessary for two  this leads me to my biggest issue with the game, the  combat in itself feels way too easy, even harder enemies don't take much to , someone might suggest that i could've played on higher difficulty, which leads me to the deeper issue with  that's the fact that it's badly designed at the core. while it all looks very pretty, and full of visual and sound effects, it is a mess under the hood.kratos is very slow to move, and all his actions, especially special actions come with a looooong  while the animation makes it all look pretty and cinematic, it obliterates the technical part of the  are not able to cancel an animation, therefore if you activate a power or start a move and an enemy happens to initiate a move right after yours, he will still deal you  since you aren't able to cancel the move you initiate, you can neither switch to defense, nor move out of harm's way.i found this very frustrating and casually designed.therefore, having higher difficulty only leads to higher frustration and not actual difficulty and complexity, or interesting mechanics being added.again, this is mitigated by the fact that the combat is very easy so you can ignore the core combat mechanics being broken, but for someone like me who looks forward to interesting fights, mechanics, strategies and technical prowess, it has failed me miserably.another thing that bothered me incrementally as i went through the game, is the loading screens. there's a gazillion of them. sure, they are hidden behind an animation, like sliding between walls, or going inside tunnels, lifting a tree trunk, or going through one, but those are all camouflaged loading screens that happen every 5min and slow pace to a crawl at times. console design i'm guessing, so it is what it is, but i do wish they removed 90 of those for the pc version. overall though, the story and exploration parts are great, the combat and elongated story 'fillers' were disappointing and robbed me of a lot more joy i could have had. but it was still a treat.when the combat isn't interesting, and combat is a lot of the game, fatigue sets in much sooner than i would've liked.i do absolutely recommend this game, especially for someone who has played the first, but mostly as a casual experience."
Action,God of War Ragnarok,2025-02-22,"sadly this is the worst gow ever made. i no longer feel like a god of war, more like dad of war. a retired near senior dad that's weak and struggles to fight. you even have to play as atreus which is tedious. this may be the first gow that i don't finish the campaign. i liked the previous one but that was a step down from gow 13. ragnarok is another step down."
Action,God of War Ragnarok,2025-02-17,"black angborda? isn't it blackwashing? whole game much worse then gow, and story so stupid then i am shooked."
Action,God of War Ragnarok,2025-02-16,"yeah this game being released to the pc, everything feels easier now, thanks very much"
Action,God of War Ragnarok,2025-02-10,"definitivamente lo que se consigui con este juego es una obra maestra, a nivel narrativo y de jugabilidad supera al primero que ya de por si era una obra maestra en si mismo. lo bueno  a nivel jugable es una excelente propuesta para e genero.  los niveles estn mejor estructurados o separados entre si, logrando un excelente balance.  mayor variedad de enemigos y escenarios.  la historia es digna de una pelicula. lo malo  el tema de la exploracin aunque mejoro en su diseo no te premia lo suficiente para querer hacerlo todo. definitivamente una joya recomendadisima."
Action,God of War Ragnarok,2025-02-06,"i would say if the 2018 version 99.510 this wouldbe definitelya solid8 and nothing more. this game is definitelyso good and you must play this one and all the other god of war games. if i wouldsay a few words about the game the first one would be 2018 had better boss fights for me. i know this has more andit feels like gow3 but something didn't pull me. at some points you are not playing as the god of war and you're playing as loki. this part is important because you are playing as him at least 4 hours and i wanted a skip button at some points. ending is so good and makes you emotional just like 2018 version. even though it's bad parts for me, it's still a masterpiece and you should play it!"
Action,God of War Ragnarok,2025-02-02,"una completa locura grfica y narrativa, tal vez demasiado continuista y recicla demasiado el gamplay pero la lanza draupnir est a la altura del hacha leviatn, el giro argumental que tiene es una locura y empatizo mucho con los personajes, es como gow 2018 pero mejorando todo"
