genre,game,commented_date,comment
Action,Red Dead Redemption 2,2025-03-21,"probably one of the best games i've played in 2018. when rockstar take their time, they came up with these masterpieces. well done!"
Action,Red Dead Redemption 2,2025-03-20,"given that the developer of this game is rockstar games, it's no surprise that it has received such high ratings. having played it myself, i can confirm that the acclaim is welldeserved. this game is a mustplay for anyone who enjoys the wild west and openworld genres. in fact, skipping this title would mean missing out on an essential experience for gamers. the storyline, gameplay mechanics, graphics, and expansive world are all exceptional. i honestly can't find a single complaint to make about this game."
Action,Red Dead Redemption 2,2025-03-15,"best game ever made fr. words can't describe this peak fiction, a real masterpiece that rockstar made like they always do."
Action,Red Dead Redemption 2,2025-03-14,"a glorified, long winded walking simulator with a lot of cutscenes that can't be skipped, no free saving and still not great performance on max settings on modern hardware. you get to shoot a few guys every five minutes or so, that's that for actual gameplay. hunting is boring, loot is uninteresting and character progression is not very deep. but at least you have five other mini games to play. more of an interactive movie than a game. but i would suggest to watch django unchained 20 times in a row, which is more interesting the 20th time than this slow paced snore fest."
Action,Red Dead Redemption 2,2025-03-11,"chef d'uvre, le jeu pourrait sortiren 2025 que l'on y verrait que du feu. red dead redemption 2 et l'un des meilleurs jeu des temps modernes."
Action,Red Dead Redemption 2,2025-03-08,"simply the best game of all time. the world feels alive, it makes you think it's alive, and that's exactly how you feel it. the story is also great, let alone the insane amount of details that rdr2 has. a goty game with all its letters."
Action,Red Dead Redemption 2,2025-03-06,hikaye ve mekanik bakmndan ar sper bir oyun. sistemi iyi olan herkese neririm. sistemi kt olan da hikayeye bakmak iin alabilir ama grafiklerden tat almaz.
Action,Red Dead Redemption 2,2025-03-04,one of the best games ever made it changed my life in so many ways and made me a better person.
Action,Red Dead Redemption 2,2025-03-04,spoiler alert this review contains spoilers.
Action,Red Dead Redemption 2,2025-03-03,",        1010  1010  1010"
Action,Red Dead Redemption 2,2025-02-28,"tolles spiel, tolle story. htte nicht gedacht das mich ein spiel im western setup so abholen knnte."
Action,Red Dead Redemption 2,2025-02-27,"this game doesn't rush youit immerses you. from riding through breathtaking landscapes to engaging in meaningful conversations, rdr2 makes you feel like a real outlaw. the pacing might be slow for some, but if you love rich storytelling, this is a mustplay."
Action,Red Dead Redemption 2,2025-02-23,spoiler alert this review contains spoilers.
Action,Red Dead Redemption 2,2025-02-23,"perfect 55 this is one of the few in my opinion as the peak of masterpiece. all aspect is great in this one, i cannot found any negative pieces of aspect in rdr2. it easily makes me lost in time while played it, so many times i spent time just walk by foot or riding horse slowly and enjoy the scenery."
Action,Red Dead Redemption 2,2025-02-21,"obra maestra, de los mejores juegos de la historia. puro weon los que no lo terminaron"
Action,Red Dead Redemption 2,2025-02-14,"o cuidado da rockstar com o mundo aberto de red dead  incrvel, jogo perfeito, tem alguns bugs que na vdd deixa o jogo bem mais divertido kkkk"
Action,Red Dead Redemption 2,2025-02-12,"this is the best game ever made, probably too big and kind of too impressive, but it's totally worth it"
Action,Red Dead Redemption 2,2025-02-10,"pocas cosas se pueden decir de este titulo que no se hayan dicho antes. por mi parte solo dir que se convirti automticamente para mi en un top 10 e incluso un top 5 de todos los tiempos. rockstar demuestra como se hace algo que roza lo perfecto, desde los grficos sublimes, jugabilidad, realismo, humor hasta una historia realmente increble. definitivamente los personajes de este juego se quedaran grabados en mi memoria para siempre. una apuesta segura, un todo... una belleza en lo artstico, en lo musical, en lo vivo de su universo y en lo complejo de sus personajes, una obra maestra."
Action,Red Dead Redemption 2,2025-02-10,"i think that this game is not only a game, but also a work of art, i know that a lot of peolpe say this, but is true.said that, is the best game i'v ever played, is all perfect, from the video quality to the story, amazing."
Action,Red Dead Redemption 2,2025-02-10,one sentence i cum to this game respect to dutch van der linde congrats to rockstar o7
Action,Red Dead Redemption 2,2025-02-07,"esse jogo tem a melhor histria de todos os jogos que joguei ate hoje, de longe o ponto mais alto  o fator da narrativa e grficos, uma parte que eu acho legal  a gameplay, mas realmente n  o foco do jogo onde um dos unicos problemas so que as armas no  to importante ter uma mais forte que a sua antiga, ento pra zerar vc compra 2 pistolasrevolvers, e 1 de cada outro tipo de arma e pronto, um tiro na cabea mata igual. mas no geral um dos melhores jogosja criados de longe"
Action,Red Dead Redemption 2,2025-02-03,"increible, todo lo que logra el juego lo hace bien, ahora en serio, este video juego tiene defectos como su final, muy apresurado,"
Action,Red Dead Redemption 2,2025-02-03,"bencis reviews  an amazing piece of art, with compeling story, one of the best protagonists ever and graphics to match. it has some problems, like occasionaly being boring. the amount of dialogs and character interaction is crazy. the map is very diverse and absolutely beautiful."
Action,Red Dead Redemption 2,2025-02-03,somehow feels worse than the first game. i dont know anything at this point. i guess i might be too depressed to love anything anymore. there has to be something wrong with me when even best games of all time cant make me feel just about anything at all.
Action,Red Dead Redemption 2,2025-01-31,an exciting grass and tree simulator that will make you  your pants from seeing new colors.
Action,Red Dead Redemption 2,2025-01-28,"masterpiece! the best game ever made! the story is great, the dialogues and characters are the best ever made. the game world is stunning and full of life and interesting things to do."
Action,Red Dead Redemption 2,2025-01-28,"peak gaming, the game mechanics are amazing you can do literally everything from fishing to hunting to robbing trains. the missions are very good. but what truly sets rdr2 apart is its story. the narrative is nothing short of breathtaking, with characters so deeply written that they feel like real people. the bond between arthur and john is especially captivating, showing layers of trust, respect, and conflict in a way that hits hard emotionally. on top of that, the interactions with npcs add another level of immersionwhether you're having a friendly chat, helping strangers, or engaging in intense confrontations, the world feels alive and reactive to your presence. even the epilogue, which acts as a perfect closing chapter to the story, is masterfully done. it not only ties up loose ends but also serves as an emotional goodbye to the characters and the world. it's not just a game it's an experience."
Action,Red Dead Redemption 2,2025-01-27,"trs bon jeu. belle aventure, beau graphisme. immersif et personnages intressant."
Action,Red Dead Redemption 2,2025-01-27,spoiler alert this review contains spoilers.
Action,Red Dead Redemption 2,2025-01-26,"the best game i played in my entire life, the only one that made me cry like a baby"
Action,Red Dead Redemption 2,2025-01-26,um jogo que te joga em um universo totalmente imersivo com uma histria chocante.
Action,Red Dead Redemption 2,2025-01-25,"ha semplicemente impostato un nuovo standard per il gaming, sia a livello tecnico, sia narrativo, ma anche e soprattutto per la qualit del gameplay e delle attivit proposte. dopo 100 ore il gioco continua a proporre contenuti avvincenti, incontri inediti, scenari mozzafiato e tanto intrattenimento."
Action,Red Dead Redemption 2,2025-01-22,spoiler alert this review contains spoilers.
Action,Red Dead Redemption 2,2025-01-22,"it's my favorite game so far. it's well rounded in all the aspacts that proposes to present. a captivating story, a vivid open world, very good variety of missions and side missions, that goes from basic but still exiting bounty hunter missions to almost historic cinematic action ones."
Action,Red Dead Redemption 2,2025-01-22,story graphics open world side quest random open world events best game on the world
Action,Red Dead Redemption 2,2025-01-21,"read dead redemption 2.     ,     7       ,   ,           2,      ,      1280x720.    ,  rdr 2       3,       ,  rdr 2   .                ,    rdr 2     ,        . rdr 2       ,      ,            . ,     ,       ,   ,       .    .  ,       ,                  ,       .     rdr 2? red dead redemption 2      ,         the wolf among us, heavy rain  .  ,           .      ,              .  rockstar              ,    rockstar.        ,              ,        ,   ,         . rdr 2              rockstar  ,         .  ,  ,   0 .          .   ,    . ,      ,          . ,      rdr 2      ,    ,               .         ,       ,              .                     ,       .          ,      .      ,        ,     ,    910,        ..."
Action,Red Dead Redemption 2,2025-01-21,"i played 51 hours and actually the gameplay bored me in the first half. buying new weapons or horses doesn't feel like enough of an improvement. the character is very clunky and the animation quality is high, but the gameplay is not very fun. a very long time in the game is spent just riding horses. but in the second half of the game, the story  me in so much that i said wow. in general, it is the best of its kind in terms of open world, animations, graphics, environmental interaction, dialogues, characters. there's just something about the gameplay that doesn't sit right with me and i can't explain it."
Action,Red Dead Redemption 2,2025-01-21,"beautiful game, great game. rockstar make a great job,i like it, its better than gta5"
Action,Red Dead Redemption 2,2025-01-13,tartmasz gelmi gemi en iyi oyun. batan sona her detay ile mkemmel.
Action,Red Dead Redemption 2,2025-01-08,"red dead redemption 2 is a love letter to the old west. the open world is impeccable, every ride made me feel like clint eastwood, but with way more emotional damage. rockstar didnt just make a game, they handcrafted a cowboy simulator so immersive it makes real life seem unpolished and underdeveloped. arthur is tragic hero for the ages, his story is a gut punch wrapped in cowboy grit. and dutch... was he ever cool? or were we all just gaslit by the hat and the swagger? this isnt just a game, its an experience that redefines what openworld storytelling can be. 1010 would ride into the sunset with arthur again"
Action,Red Dead Redemption 2,2025-01-05,"dnyann en iyi oyunu resmen adamlar yapm, at sryoruz vs falan ama oyunun manzaras, grafikleri, oynan vs resmen bir ba yapt"
Action,Red Dead Redemption 2,2023-11-24,"an absolutely incredible game. from the narrative to the open world quality, and the graphics that easily outshine most games of 2024, the acting and animations, it's tough to find flaws in a game of this caliber. the only downside i would mention is the slow start, which initially turned off more than one player, myself included, before i decided to give it another chance. if you're not usually a fan of westerns, i highly recommend giving it a go, because even though i wasn't particularly into westerns, this rockstar games masterpiece convinced me."
Action,Red Dead Redemption 2,2025-01-02,"just ideal game for everyone. so cinematic, just perfect. i dont know anybody who played this game and found it boring to be honest."
Action,Red Dead Redemption 2,2025-01-02,"simplemente una obra de arte, el modo historia es increble, el modo online no lo es tanto pero igualmente da un poco de juego. recomendable 100."
Action,Red Dead Redemption 2,2025-01-01,"one of the best games i've ever played in my life, buy it now if you have the time and money."
Action,Red Dead Redemption 2,2024-12-31,"i was very suprised to see the average user score is below 7. for me red dead redemption was a wonderwul game with a lovely world, nice graphics and a great story."
Action,Red Dead Redemption 2,2024-12-29,"this game is just amazing. it's the best game i have ever played. the story is so well written, the map is wonderful, the gameplay itself is just much fun, the graphics are also perfect with all the details etcetera."
Action,Red Dead Redemption 2,2024-12-29,"the second best game i have ever played only behind the witcher 3. absolutely loved it. a true masterpiece  legendary game. whether you like cowboy western american frontier games or not this one shouldn't be missed at all. you'll love it  will remember this beautiful game  it's characters, story, beautiful open world for very long time. if you're a video gamer then you must play rdr2."
