genre,game,commented_date,comment
Action,The Last of Us Part I,2025-03-16,"an incredible story, slow gameplay, really one of the best games in history for me"
Action,The Last of Us Part I,2025-02-26,"few games put you in the shoes of a killer as efficiently and brutally as the last of us part i, where you play as two characters who kill hundreds of peopleboth guilty and innocentjust to survive. but despite being morally reprehensible, it's hard to deny that the game's technical execution is stunning, and the gameplay is highly satisfying. my rating"
Action,The Last of Us Part I,2025-02-23,"gioco super deludente , avevo capito la storiail finale dopo 4 ore sinceramente. il gameplay  inesistente , stai in ginocchia tutto il tempo ...boh non vedo il piacere . non metto meno di 5 perch capisco che per una generazione che non abbia mai letto mezzo libro o che guarda solo tik tok  reality vari il gioco possa piacere !!!!"
Action,The Last of Us Part I,2025-02-21,"good game but i don't recommend it due to poor optimization, it crashes all the time."
Action,The Last of Us Part I,2025-02-14,
Action,The Last of Us Part I,2025-02-10,"the last of us part 1 2023   .  2013            ,    ,   .       ,    ,   ,   ,          .         ,              .      ,     ,      ,     ,    .   ,      1010,    .        .   ,               ,    .   ,       ,   ,        ,               ,     .    ,            ,         ,      .  6           ,       ,        .   ,    . ,    6   ,    ,    4  6,        ,  ,    6    ,  . ,     .  ,   12 ,        the last of us,  ,    .  ,           ,           .  ,  710."
Action,The Last of Us Part I,2025-02-05,"otimo jogo! , um dos poucos que me deu voltando de pegar platina! , recomendo a todos jogarem essa obra de arte"
Action,The Last of Us Part I,2025-01-30,"bom, todo mundo j sabe o quo bom esse jogo  e o que ele representa pra indstria de jogos atualmente. o que ele fez em 2013 em trazer um jogo com uma histria to potente de sentido e corajosa em inovao  impressionante. gustavo santaolalla simplesmente criou uma das trilhas temas mais poderosas desse meio, e todo o trabalho que o jogo faz utilizando de suas osts  o que deixa essa experincia to incrvel. infelizmente o jogo teve um pssimo porte feito para o pc e em seu lanamento era uma bomba de bugs, mas a espera valeu a pena, 3 anos depois o jogo est belo como deveria estar, e com toda certeza quem nunca teve a oportunidade de jogar quando era exclusivo deve dar uma chance para essa obra."
Action,The Last of Us Part I,2025-01-17,"the last of us part i, en iyi zombi oyunlarnda ilk 5'ime girer. joel ve ellie arasndaki ba, hikayenin her geen dakikasnda daha da artyor. oyunun sonu da dahil olmak zere beni kendine ok iyi balad. hikayede verilmek istenen duygu, ok iyi yanstlm. naughty dog'u tebrik ediyorum. hem trke dublaj yapan sayl irketlerden biri hem de ortaya koyduu i muazzam. ben sknt yaamasam da baz oyuncular oyunu oynarken optimizasyon sorunlar yaam. umarm bu sorunlar giderilmitir."
Action,The Last of Us Part I,2025-01-14,"having completed the game, i can confidently say that even after so many years since its release, the last of us remains one of the strongest, deepest and most beautiful games. despite the fact that i watched the walkthrough when i was still a small schoolboy in the wild 2014, and i remember the whole plot perfectly well, the game caused a whole storm of different emotions and feelings. the last of us is incredibly cinematic beautiful cutscenes, amazing dialogues and animation of the characters both facial and animation of battles, movement, interaction with the environment, beautifully staged action, an amazing soundtrack and simply atmospheric, memorable scenes. throughout the entire walkthrough, you never for a second leave the feeling that you are watching an oscarwinning film. i have not experienced such a level of immersion from games for a long time. i would like to separately note the excellent dubbing, i take my hat off to the voice actors. ellie and joel themselves are certainly some of the brightest and most lively characters in the history of games. it is interesting to watch them, they react to every little thing and detail of the world around them, constantly interact with each other and comment on the environment. each dialogue that the player can stumble upon completely by accident is written and worked out at the level of the main plot. ellie herself does not feel like a dumb dunce crawling after the player. throughout the game, it is interesting to watch her and her reaction to the player's actions or a specific situation. although the gameplay feels simple and works on the principle of room with enemies  room with resources  repeat, the gameplay itself is competently verified and does not get boring. i will also note the excellent work with the sound  pleasant sound of weapons, monsters, lively dialogues of opponents, and in general  the game has a very pleasant, welldeveloped  also pleased  as a nice bonus to the finale of the game, it tells an interesting story filled with memorable, tragic, cute and atmospheric moments. but besides the pros, the game has a huge minus  a bad port to pc. for this great game you will have to pay with long loading times of 35 minutes, constant fps drops and other delights of bad optimization. but still, a bad port does not cancel the fact that the last of us is one of the best and most inspiring games i have played, it gave a touching story that will hook everyone and leave a mark. thanks to the developers for this wonderful experience! i highly recommend it."
Action,The Last of Us Part I,2025-01-08,"dunno know what else could've been done. for me, this can lowkey be the best game i've ever played. i've never been so immersed in a game like this and so excited to know what will happen. the story, the dialogues, the main and side characterseverything here was the closest i've seen to perfectionism. simply a masterpiece."
Action,The Last of Us Part I,2024-12-31,"many people rate this game bad just because of the price. but the game itself is still a very good remaster of the original game. if you dont like the price, just wait a few months."
Action,The Last of Us Part I,2024-12-27,"score 8.8 one of the best stories i've experienced on a videogame gameplay is very fun, can be  tense at times the set pieces and environment are beautiful voice performances are craaaaazy, this entire game puts most of hollywood's moviesseries to shame i can't wait to play part two and experience more time with joel....... ' performance wise, i had no issues but i've played this i think more than 1 year after release on pc soo most of the issues other reviews reported have probably been fixed 100 recomended"
Action,The Last of Us Part I,2024-11-25,"one of the best games i've ever played. great story with immersive atmosphere. i think the first part is the best in the series. i really like the gameplay in the game, it's a really good system that makes the game more interesting. of the shortcomings only bad otpimizatsiya on the pc, in principle, you can close your eyes to this, because the game was released on this platform for less than two years, i believe that soon the optimization will be made better. i highly recommend the game for the passage. a masterpiece!"
Action,The Last of Us Part I,2024-11-23,gameplay  8 graphics  7 not optimizedstory  10 sound  9 overall  8
Action,The Last of Us Part I,2024-11-03,"um dos meus jogos favoritos, a histria  cativante do comeo ao fim, fazendo a gente se ligar aos personagens e mostrando que no existe viles ou heri, apenas sobreviventes"
Action,The Last of Us Part I,2024-10-29,"a good remake of a awesome game, needed graphic enhancement, one of the best histories"
Action,The Last of Us Part I,2024-10-24,spoiler alert this review contains spoilers.
Action,The Last of Us Part I,2024-10-16,",  .    ps3,    ps4,      ."
Action,The Last of Us Part I,2024-10-16,","
Action,The Last of Us Part I,2024-10-05,bu oyun bir bayapt. hikayesi ve hikaye sunumunu beendim. mzikler ahane. aksiyon mkemmel. bu kadar dk puan almas pc portunun optimizasyonunun bozuk olduundan kaynakldr. yeni gelen patchlerle git gide dzeltilir diye umuyorum. kesinlikle oynayn derim.
Action,The Last of Us Part I,2024-10-04,".   ,     ,   .  ,    , , ,       .        ."
Action,The Last of Us Part I,2024-09-30,"the story is enjoyable and relaxing i finished the game 3 times, played for 60 hours, but the biggest problem for the pc side was the optimization, playing with the gtx 1650 was like a grind, i played without contraction through some programs, it was very nice for me that the game included a turkish dub, but some scenes are very unnecessary, i think it's a waste of time"
Action,The Last of Us Part I,2024-09-17,ps4 versiyonuna uzun uzun yorum yapmtm. iyi grafiklerle bir kez daha oynamak istedim. tabii ki ayn tad vermedi hikayeyi bildiim iin. ama hala destans bir i. modern dnem trajedisi.
Action,The Last of Us Part I,2024-09-15,"running out of memory! the game is still poorly optimized. as a game programmer, i know porting is hard, especially for pc. they've had enough time to get this game running properly. i feel quite disappointed."
Action,The Last of Us Part I,2024-09-11,"um dos jogos mais lindos mais cativantes e de melhor histria que j joguei, tudo nele  bonito demais, desde os grficos at os personagens e suas interaes cada detalhe desse jogo  lindo de ver, incrvel"
Action,The Last of Us Part I,2024-09-03,the game gives us a magnificent linear story and graphics with good fighting mechanics.
Action,The Last of Us Part I,2024-09-03,"the last of us part 1 is a decent game. i am quiet hesitant with modern games because most of them disappoint me, but not this game. its been a long time since a game managed to immerse me, make me want to play it and actually until the very end. while the game suffers a lot from the modern trend of making women and little girls appear like superheroes it still somehow managed to keep my interest and make me want to finish it. the game has overwhelming violence and tension and a dark feeling which may not appeal to some players but the overall presentation of this post apocalyptic world is satisfying and believable. the long silences and exploration sequences where you just search the environment and are unsure if someone waits for you in the next corner were some of the best moments of the game. the producers really know how to play with tension and this gives to the game an almost pure horror game quality. unfortunately after the protagonist gets seriously injured the game makes a lot of mistakes. turning this little girl lnto a psychopathic superhero and slaughtering groups of grown men was not my cup of tea...."
Action,The Last of Us Part I,2024-09-02,perfeito! obra prima! gostoso! no tem o que dizer mais do que isso apenas joguem!
