genre,game,commented_date,comment
Action,Death Stranding,2020-07-16,"to preface this game is not even close to being for everybody. if you are looking for an action or combat oriented experience, this is not the game for you. kojima was not at all kidding when he said death stranding was a walking simulator. however, it is quite possibly the only walking simulator that actually simulates walking. if you're still confused about what exactly you do in this game, as i was, you deliver packages on your back in a surreal scifi postapocalypse. for reasons explained by the lore, that i shall not get into for spoiler purposes, the last remnants of humanity are isolated inside of fortified cities, and are unable to leave. because they are unable to leave, and because planes and drones no longer work, they rely on socalled porters to deliver goods from settlement to settlement by hand. you play as one of these porters. almost everything in the game is in some way focused on delivering packages. the story and your character's part in it are a little more grandiose than simply delivering packages, but that is still the foundation upon which everything else is built. a standard mission consists of picking up an order at a settlement, arranging the goods on your back and on your suit in the most organized way so that you don't tip over from the weight, plotting a course to the place you have to walk to, and then walking there. this may sound very basic and boring, but the game does a surprisingly good job at making traversal a challenge that is just as interesting and engaging as combat. the terrain is incredibly rough, and you will need the help of various tools to get to where you're going without damaging the goods. there are also two types of enemies that can get in your path crazed bandit types who will try to steal your packages, and invisible enemies that can completely ruin cargo, and need to be stealthed around using a sort of marco polo mechanic, where the mechanical doohicky on your shoulder points to where the enemies are. the invisible enemies only come out in the rain, which damages your cargo due to story reasons so it creates an interesting dynamic of trying to escape them as soon as possible to get out of the rain, while also not rushing through it and getting caught by them. on top of all this, there is a pseudomultiplayer mechanic. you can place useful structures in the world to be used by yourself and other players, and you can use things placed by other people. you will also find various lost bits of cargo in the world that you can deliver for bonuses. some of these lost packages will be randomly generated by the game, and some of them will be left behind by other real players. it's also possible to leave packages at safehouses for other players to finish the delivery, and you can pick up things left by other players and finish their deliveries too. overall, a strange and somewhat divisive premise has lead to what is, in my opinion, an extremely unique and engaging game. this is not even touching upon the story, which has that signature kojima charm of being completely incomprehensible but also very symbolic and chock full of social commentary. my only major glaring complaint is that there is a baffling monster energy drink product placement. whenever you rest in a room, there are lovingly rendered cans of monster on your nightstand. your canteen in the game also magically converts water into monster energy drink. i wish i was kidding. this is completely shameless, and honestly subtracts quite a bit from the game's artistry, but it's not a big enough deal to warrant getting fussy over."
Action,Death Stranding,2020-07-14,"does truck simulator but mostly on foot, in the apocalypse, with intricate cargo management, a healthy dose of bizarre storytelling and a sprinkle of third person shooter combat sound appealing to you? you'll probably enjoy this. okay, maybe the actual gameplay isn't that similar to truck simulator but boil it down to the very core gameplay, and they're the same game. you deliver cargo from one location to another. that's it. first and foremost this is a game about delivering packages, mostly on foot. understanding this and knowing what to expect going in is the key to enjoying death stranding. most of the negative reviews are going to come from people who are disappointed with what the game is. people who feel that the developers set themselves up for failure with cryptic trailers that showed little to no gameplay, leaving us to speculate from the breadcrumbs they left us. because of this, setting the right expectations is important. this game isn't going to be for everyone. this is a different kind of game. it's going to take patience to get anywhere. combat and any action is only secondary to the bulk of the game, a ploy to spice up the gameplay at times. so if you're looking for an action adventure game this isn't it. there are bossfights and general moments of combat or suspense, but 90 of the gameplay is traversing the expansive and beautiful environments of the world of death stranding, as well as creating structures to aid in that traversal. if you play online, these structures also bleed into other players' worlds where they can give you likes should they find them helpful. that's not to say the game is exempt from any criticism. even if you know what you're getting into when you boot up the game, a lot of the complaints people have are valid. the pacing could be better, the story relies on heavy exposition and the game takes a while to really open up, to name a few. still, if you find the game's premise intriguing, i wholeheartedly recommend it regardless of any shortcomings it may otherwise have. death stranding has these zenlike moments where it's just you, your cargo and the supernatural baby you've got strapped to your body trekking up the mountains, you're cresting a hill overlooking the town below as an eerily fitting song from low roar starts playing... those moments are absolutely wonderful and exactly the reason why i love the game so much. the slow pace and the struggle to get anywhere pays off time after time. this is very much a game that you need to play for yourself before you can fully judge it. of course you're free to say that this isn't for you, or that it sounds boring. a lot of people are probably going to feel that way. just know that, in my opinion, moments like the one i just mentioned don't translate well into video format. and that they are the reason this was my goty of 2019. the difference between experiencing them through another person, and being totally absorbed in the moment when playing it yourself is like night and day. playing this game is a truly unique experience, and in a video game landscape where aaa developers are getting more and more flak for sticking to the same old formulas, death stranding is a breath of fresh air that i felt was sorely needed. to finish off, here's the tip every newcomer should always be given before playing focus on the story quests to begin with. don't spend hours doing every little sidequest right away or you'll wear yourself out before the game gives you tools to make your life easier. the game opens up a few hours in. after that you're free to do whatever quests you please. one of the characters will give you a tip that you can finish up the area you're in before proceeding. ignore this, you can return to any area in the game more or less whenever you want. that's it, keep on keeping on!"
Action,Death Stranding,2021-03-23,"there is no other game like death stranding. now, that's not a statement about quality, but of actual gameplay. it's hard to compare it to any other genre. for the most part, it's the kind of traveling to and from hubs that you'd typically find yourself doing in any number of openworld games. the classic gaming conventions are all there stat progression, new gadgets, traversal upgrades, action, stealth, and most critically, online connectivity. the core of what makes the gameplay different than other openworld games is a deeply ingrained subtext of altruism. while connected to both the reallife internet and death stranding's chiral network, you will be able to share supplies, structures, quest items, equipment, vehicles, and even entire highways, with everyone else who is connected. your job as sam porter bridges, our protagonist, is to expand this chiral network in order to rebuild a shattered and postdisaster america. the benefit of this for us, the players, is that while our journey forward is taking us into harsher conditions, we're leaving a trail of convenience for others. your interactions with and progression through the america of death stranding will be shaped by the community's impact on the landscapes you explore. but rapid erosion caused by timefall, death stranding's postdisaster rain, ensures that nothing will remain should no one look after it. so the implicit subtext is that your true objective is to truly rebuild and maintain this new america by supplementing its infrastructure and aiding its occupants. death stranding achieves the, honestly lofty, accomplishment of bringing those words to hourtohour gameplay with its foundation upon altruism. i can't put a number on how many hours i've spent going out of my way to help others because of this incredibly palpable atmosphere of reconstruction and dogged hope. it's such an earnest, wholesome high, to know that my efforts are appreciated by other players going through the game. just as well, it is an incredible relief to be aided by a complete stranger on the internet in my hour of most dire need. i can't say that i've ever been compelled to such consistent generosity by a game before. hell, by anything. despite its visual and thematic depressive nature, i always came away from death stranding feeling satisfied and hopeful. this game fostered a strong paternal instinct towards infants that i never though i possessed. i couldn't fucking stand babies before this game. in fact, i still didn't for roughly the first half of the game. but over time, that constant bond of taking bb with me everywhere i went really brought something forth that i didn't know i had. didn't know a game could do that. the hype for kojima's first selfproduced project, radiosilent marketing, and scathing critiques like dunkey's you betrayed me, dunk, i trusted you. sabotaged virtually any chance of this game's actual messaging coming across. the absolute noise surrounding death stranding's release and initial impressions does a heartbreaking disservice to the utterly unique experience it holds.  to address some common complaints q isn't death stranding just a walking simulator? a it isn't. the first few hours are a lot of walking and hiking, yes, but your traversal options widen as you progress. q don't the vehicles handle like garbage? a to be completely fair, the van handles like garbage on anything that isn't a road. the reverse trike, though? i've taken that bitch up mountains, across ladders, through rivers, snow, mud, you name it. that thing is incredible. please invest the time in getting adept with it. q isn't death stranding's story hideo kojima's attempt to create a plot so convoluted and obscure that only he could truly understand it? a not really. i found death stranding to be, while typically kojima in its intentional obfuscation and misdirection, rather digestible. there were even times where i put pieces together before the game felt it necessary to do so. mgsv is kojima's game about confusion, death stranding has a very deliberate, albeit outthere at times, plot.  now, to be fair, here are some complaints i have with death stranding.  van handles like ass but the reverse trike is virtually an allterrain vehicle. what?  the boss battles can be pulsepounding thrills at best, and frustratingly clumsy chores at worst.  the actual map kind of offloads most of the content into the middle of america, creating this sort of skyrimesque sidequest rabbithole for a good portion of the midgame. it's even encouraged, because most of the best unlockables are in the central area. the side effect of this was losing the momentum of the plot entirely. i had to wrest myself from the grind because i hadn't progressed the plot in maybe 2030 hours of gameplay.  this is the big one the ending is kind of like mgs4. if you've ever finished mgs4 or know about its infamous 130h ending cutscene, you know what i mean. the pacing of the plot is tight and engaging for most of the game, but in the final stretch it becomes an incredibly drawn out exposition dump because evidently kojima couldn't find out any other way to tie up the remaining knots heh adequately. i found myself hooked on the plot for most of the game, only to be almost completely disengaged by the end. to be fair x2 combo, it's no mgs4. there're actual gameplay breaks between exposition dumps. and ultimately it hooked me again, just before the curtain fell.  tl  dr death stranding got a bad wrap at release and deserves to be played because it offers a compelling and completely unique approach to gameplay. play it if you're curious, and your curiosity will be rewarded. i was the same. 910 experience, truly nearly perfect. very much looking forward to wrapping up my time in the postgame and replaying to appreciate all of the foreshadowing. maybe we'll help each other someday!  p.s. a hideo kojima game"
Action,Death Stranding,2020-10-02,"death stranding is... well... an incredible masterpiece. i went into it completely blind, knowing nothing about the story, setting or even gameplay. if you as well want to be surprised by gameplay elements, skip this review. i of course will not spoil the story. anyway, at first the game starts off pretty slow and with some intriguing cutscenes. honestly it does take a while to get into it and you need to persevere through the first few hours of the game because nothing will make sense. even though you have no idea what's going on, the cinematography, graphics, and design are spot on. i was expecting a walking simulator with some topography challenges and 100 stealth. i was not prepared to start acquiring lots of cool gear that let me do crazy things like skate down a mountain on a hoverboard, ride a zip line, or make grenades from my own excrement. vehicles are a thing i had no idea and after all the hours of walking it was a welcome change to plow through snow in a truck or fly over meadows on a bike. things really started getting intense a few chapters in when suddenly i found myself experiencing combat in death stranding! i was definitely thrown for a loop, especially because there are quite a few guns as well as nonlethal options, frag grenades, even armor. so, consider that you have long expeditions with hugely varied landscape to overcome, enemy humans, monsters, tons of varying gear you have to plan with, and many weapons as well, suddenly the game becomes huge and full of possibilities. granted, the combat isn't always perfect and can sometimes be oddly unresponsive or janky. i got frustrated in some battles because sam would grasp his backpack straps instead of ready his gun, for instance. but these are small annoyances. the game is oddly social as well with buildings you can like and interact with from other players, as well as signs or mushrooms sprouted from peeing. yes, lol. all i can say is give this game a chance. yes, it is weird. yes, it is genre bending. yes it can be tedious sometimes from a gameplay perspective. but it has all the quality of a movie combined with a very solid foundation of a game. it is extremely intense at times and may challenge the way you think about things i know it did for me. it has many subtle and deep concepts that really make your brain think. as well as some just balls to the walls crazy action moments. the story is captivating and emotional. towards the last few hours of the game i just didn't want it to end but couldn't stop playingwatching. overall, i would 100 recommend this game. it is not perfect but even the greatest masterpieces have flaws, and in this case it's well worth the experience. i finished death stranding yesterday and can't stop thinking about it."
Action,Death Stranding,2020-11-05,"death stranding it's a great gaming experience, with some boring moments. i loved the game soundtrack the best part, the graphics, acting, gameplay are super well crafted and everything is really new in some way to the gaming community. the down side of the game is that the sidemissions are really boring! they are just deliver from point a to point b with little to no twists, especially if you already know the area of the map and it just gets more boring when you cross the same mountain or place for the 100th time and some parts of the story don't really hit the emotional point that it was intended, but there are amazing scenes every scene with mads mikkelsen is amazing! and the development of the world and some secrets are really well done!. for a game that i watched every trailer before release and was still confused to what was going on, it was amazing to play it, because you already know what to expect from a game from it's trailer and death stranding really creates a mystery with the world and setting and everything is really well explained, of course you can discuss scientific plot holes or something, but the game is really well built and it is suppose to be fun and a fictionfantasy. i understand those who rated 1010 and those who rated 610, but my score is a little more on the middle, i wouldn't spend 200 hours in a bad or boring game, but there are some boring parts, but there are really amazing ones too, so i'll rate 8.510 more on the positive side because of the soundtrack, mads mikkelsen and the easter eggsfan servicehideo kojima thank you for this experience kojimasan!"
Action,Death Stranding,2020-07-15,"i have around 150 hours on the ps4 version and platinumed it, so you could say that i enjoy the game very much. death stranding is unlike any game out there. it's a thought provoking scifi world that brings fresh ideas and themes to the table, with a gameplay loop that's extremely satisfying and relaxing. this is one of those games where the more you put into it, the more satisfaction you'll receive. the story gripped me from start to finish. it's hard to comprehend how any individual could come up with this game's setting and scenarios it puts you through, how the world and it's story unravels around you. while there are some moments that i felt the writing could've been improved that's about the extent of my complaints with the game. the pc port is phenomenal, i expected nothing less from kojipro after the masterful port that is mgsv. it runs at a constant 60 fps on ultra at 1440p. the further you get into death stranding the more tools are at your disposal. the start of the game can be very clunky and tedious, but it's done so on purpose so that you appreciate and enjoy how far you've come when you reach the later stages of the game. you are constantly rewarded, constantly given feedback about everything you do. giving you that satisfaction and being shown and told how well of a job you're doing, by both the characters and real players. the online functionality of this game really took me by surprise regarding my enjoyment of it. i became utterly addicted to creating the roads for the players i shared the same world with, reveling in the amount of likes players gave me. something about the melancholic world and tone that harmoniously compliments the online infrastructure of ds. for me at least, it helped me appreciate others, strangers. it helped me feel kindness towards strangers. similar to the message system of dark souls, players can leave messages saying a number of things. most of what i see are motivational messages left by others to keep pushing forward, it's a unique feeling. music and the use of your soundtrack is one of my favorite elements of gaming. if implemented correctly, the right music at the right time can heighten your sense of emotion. death stranding understands that completely. key parts of the story or environment when triggered will start to play a song, mostly from the band low roar. their music fits the world and message of the game so perfectly it almost seems they were created side by side. the original soundtrack is composed beautifully, as expected from masterclass composer ludvig forssell who also created mgsv's score. there are many moments in death stranding that filled me with awe and a sense of serenity i never thought existed in gaming. death stranding is one of my favorite games ever created, and in my opinion one of the best scifi worlds filled with such rich lore ever created. it left me in tears, and in love with the story that kojipro has told. most importantly, it has helped me appreciate and show kindness towards complete strangers in a world where it's far too easy to forget that you're not the only one living in it."
Action,Death Stranding,2021-08-07,"death stranding is the best game i love but find it hard to recommend to almost anyone because it feels like a game deliberately made for me. to get my criticism out of the way the story in much of the style of mgs4 is a combination of me laughing out loud and just being completely lost for words, you have all sorts of big cameo stars doing extraordinarily contrived dialogue and being weird all over the place, with some of them being characters i don't want to be around with, the boss fights and combat scenarios are hilariously bad and the spooky stuff are disappointingly easy to defeat. however, as much as it paints it as hours of bizarre, stupid plot, there is one thing about this game i cant get enough of, the entire experience of porting. in this bizzare postapocalypse, it's your job to hand supplies manually from a to b, and you are left to figure it out yourself, carrying heavy cargo and dealing with the wild terrain, enemy factions, and supernatural anomalies. it might be because i like hiking, but everything about the simple act delivery is executed with a wonderful cohesive design. you have plenty of tools to plan, scout ahead, prepare, take notes and optimize your routes, and as you improve your skills as a player you go from having a ladder placed to cross a river to knowing exactly how to move around dangerous hills with confidence. your backtracking allows you to leave tools and equipment behind in the field and delivery knots to rely on in the future, as well as build structures other players can help you upgrade or use as well. this brings me to the rather exaggerated strand mechanics, which are an important tool of the game to carry its themes and also have players get a true feeling of cooperation. seasoned users can equally help and assist newbies with things from warning signs to a perfectly placed zip line route. its a really nice way to have people help each other out and motivate them to carry on. the care for sam carries this as well, with the tools at his disposal all having useful ways to help with your travelling. nothing in your equipment is useless and all have their place, it's a matter of you finding your rhythm and playstyle. and in a way, this does justify the bland combat, as to be honest, if it was more demanding it would probably be a game too stressful to handle. i am confident almost anyone can beat the game, it just requires patience and most importantly persistence. in the end, the best way to boil it down is whenever you are at a peak of a hill, you see for yourself the hard work youve put in getting there. this feeling of mastery within a zenlike relaxed and laid back gameplay creates an aura of peace and a refreshing change of pace i havent gotten in any game for a while now. its probably not the game you expected, and im late to say that, but if you need something that completely shifts gears and lets you have a more soothing experience and you can put up with kojima creatividad at his worst there is a chance this might also be a game youll enjoy."
Action,Death Stranding,2021-04-29,"mgs fans look below review i originally played this on ps4. my playtime there is about 70 hours, and i still have not completed the story. i literally was addicted to delivering packages and helping out other players to the point that i pretty much forgot about the narrative. the high you get from seeing other players having used something you placed in the world and 'liking' it is very real knowing that i genuinely helped someone and they were genuinely grateful is a powerful drug. there's not much to be said about this game that others haven't already touched on in terms of quality and story, however, there is something that bugs me many people say that this is a game like no other, in terms of the moment to moment gameplay, so it's difficult for them to describe. that's simply untrue in my opinion. there is a game that is strikingly similar, though entirely a coincidence i'm sure. that game is mudrunnersnowrunner. in mudrunner, you drive big, awkward trucks through treacherous terrain in order to go from point a to point b delivering packages. treacherous terrain, delivering packages, sound familiar? the enemy in mudrunner, the main antagonist, is the terrain itself. in death stranding you control sam, a delivery man, who carries heavy cargo on his back like a pack mule through rivers, up mountains, and across treacherous crags and freezing valleys. the terrain is your biggest contest of skill. do not scoff at that, it is a mighty foe for the first twenty or so hours. gradually, npc enemies are introduced. they are fairly varied, and they will give you a challenge, albeit a different challenge than the terrain. they serve as a good balance once you've gained the tools and skill necessary to master the terrain, as now you need to deal with the terrain in addition to npc's, usually at the same time. it is challenging sometimes, but engaging always. the gist, the real gameplay loop of death stranding is a. planning a route, b. navigating that route, c. maintaining your supplies. is that not just mudrunner? i mean, mudrunner with crazy ups men that treat you like a diablo 3 loot goblin. you'll see what i mean. i bet you never thought you'd be on the opposite end of that spectrum, huh? keep in mind that death stranding is a game that opens up the more you play. you are constantly drip fed new features and mechanics it starts really barren, however. know that the first few hours is not representative of the rest of the game. however, if its a real challenge you want, death stranding can be very, very difficult. take on a load that's way too big for the delivery your making and watch as your plans fall apart. take on one of the timed deliveries and watch how quickly you feel the need to look up a guide in order to s rank it. for the most part, the challenge will be selfgoverned once you hit a certain point it won't be challenging unless you do one of the above things because your gear is simply so good. again, it will always be engaging regardless. take your concentration away for a few seconds and you're gonna tumble down a hill or get swiped up by a bt, or run over by npc's, et cetera. don't keep tabs on your supplies and you'll find yourself up shit creek without a ladder or rope. it's not difficult as long as your paying attention and trying, that's the key to death stranding's engagement. it is not m1  w easy, or 'i play this game while i watch youtube and do my homework lmao' easy. death stranding's biggest boon is the community. asynchronous multiplayer. there are no other players in your world, but their presence is always felt. you can find packages player's dropped out in the world, and deliver it for them, and vice versa. if a player places a ladder in their world, it will appear in a number of other players' worlds. if a player builds a post box or a bridge it will appear in some other players' worlds. if you place something, it will appear in someone else's world. i have been absolutely ecstatic that i stumbled upon someones ladder in the middle of no where, you have no idea. it is such an awesome feeling. a better feeling is knowing that something you placed was used by many others and given hundreds of likes. i thought it a cute novelty when hearing about it, but once i saw the fruits of my labor being used by countless other porters i was smitten. do i recommend death stranding? yes, to everyone. it is compelling with an addictive, engaging gameplay loop that most anyone of any gaming background will enjoy. helping out the community by building structures and placing signs is a feeling that i've only had before in mmo's, and even then it was always fleeting. in death stranding that feeling is inescapable it is everywhere, all the time. and it feels great. a wholesome experience wrapped in a bizarre package, that only kojima's team could pull off. do i have complaints? my only real complaint would be the narrative. it is very heavy handed and riddled with metaphors to the point of exhaustion. mgs was the same, but it didn't take itself as seriously. as usual with kojima, death stranding has a lot of good, wholesome messages. the guy really wants to put good in the world. however, the writing is so... just... you'll see. people's names are literally what they are as a person or what they represent moreso than mgs, the word 'strand' is used and explained so many times i began to roll my eyes. yes it is a piece of a rope, it connects things together kojima i understand we have to come together buddy oh pal kojima, connected by the strands kojima sam and die hardman are really cool though, not gonna lie. if anything death stranding is the best example of a game interweaving its gameplay and narrative into one cohesive theme and message. unlike cough last of us 2 cough kojima  neil cuckman cough special mention to norman reedus. he plays his part perfectly. he is detached and aloof just enough that players can imprint themselves on him comfortably, and his grunts, wheezes and intense effort sounds are honestly a. when he talks to or about bb it is very wholesome, his aloofness drops and he takes on a paternal tone that is genuinely comforting. metal gear solid fans, hear me out i am a lifelong fan of metal gear. mgs 1 was my first console game played at the age of four i bought and played each sequel as they came out and as i grew up. metal gear and everything in it has a special place in my heart, mind, and soul it grew up with me, and i grew up with it. it taught me good values and honorable ideals during my impressionable youth that i still hold in my heart. when mgs v was released with an unfinished story and kojima cut ties with konami, effectively ending metal gear's lineage, i was actually heart broken as if i had lost a loved one. however, this is not metal gear. it is nothing like metal gear. death stranding is an entirely new beast. i'm saying this because i expected metal gear from kojima and felt a bit burned when i got ups simulator, but after i relaxed and opened my mind i really settled in to death stranding and felt like a fool for doubting it and scoffing. as i said earlier in my review, this is a game that opens up. do not play for a few hours and quit, because that is not representative of the game as a whole. the only similarities to mgs is the bizarre narrative, strange character quirks, and memorable character design. but trust me, this is still a kojima story. like, it's all kojima. i don't think anyone was proofreading what he was laying down. hoo boy. that's not necessarily a good thing, by the way, i may love mgs but i'm pretty sure kojima has no fucking clue what he's doing when he writes some of this shit. but hey, that's why we love him. wow this was way longer than i thought it would be. sorry. i'm not sorry. buy the fucking game."
Action,Death Stranding,2020-08-05,"death stranding is a one of a kind game. it is a game, an experience unlike anything you've ever played before. the game is about connection. connecting with other people, other npcs, changing a broken down postapocalyptic country set in a scifi setting and bringing it back up and running...society, humanity, culture making the country whole, you are sam porter bridges, a one man team selected to do just that. you do that by delivering cargo to other npcs and people, some mundane, some critical to sustaining life and humanity, all of which has meaning and value to every individual. for your every actions, you will not only be rewarded by npcs in the game but also by real players too in many ways. be it via likes, via items, weapons, resources etc. throughout your journey, you will find help from both npcs and actual other players alike too. yes, even though the game is single player, there's asynchronous multiplayer in the game from start to finish where you won't see the players but will see the help they've chosen to provide you via weapons, items, structures and many others things to make the journey more convenient for you. in this game, the journey is just as important and rewarding as the destination. you will face many obstacles along the way too, not just the enemies and bosses, which you will encounter a lot but also the seemingly beautiful and hostile environment itself. there are both human and supernatural enemies in the game. the environments are nice and varied...from huge grassy green fields to rocky plains to volcanic crevices to snowy mountain peaks. the game has unique challenges and overcoming said challenges, especially when you're helped by other players, is immensely rewarding. visually this one of the best, most photorealistic game you'll ever come across. some of the other strong points of this game are the story, character buildup and interaction, gameplay, unique combat encounters and soundtrack. hideo kojima and his team at kojima has directed  crafted this game masterfully and meticulously with the finest details from start to finish and it really shows in the game. the game is also extremely well optimized and runs beautifully on decent hardware while looking stunning. i ran the game on my i7 4790k cpu paired with a gtx 1070 gpu and 16gb ram. maxing out the game, i had anywhere from 60 to 120 fps. depending on the location and how intense the visual spectacles were. i've spent 133 hours finishing the game even though there were still quite a handful of side missions left. i played it nonstop since launch on steam as the game was highly addictive and rewarding. yes, it is that good and i don't praise a game to this high caliber lightly. i'm telling you, this is a game you must experience at least once in your life as it is a one of kind unique game that is so well made, you won't believe until you've experienced it yourself. overall, i give death stranding my highest score which is a 1010. i'm seriously hoping there be a sequel as this game has a great potential to become the next big franchise. keep on keeping on, porters edit nominated death stranding for the steam awards game of the year"
Action,Death Stranding,2020-07-20,"a fantastic game. the visuals, music, gameplay, and story telling are absolutely wonderful. that being said, it isn't a game for everyone. this game is not combat based, but there are a few bits with combat. this game is tagged walking simulator for a reason. it's about balance, carrying what you can, being cautious, planning ahead, and most importantly patience. to be more specific with no spoilers h1story.h1 this game is placed fairly modern day. the technology is boosted by the event this game is about, but other than that everything is standard. science fiction for sure, but no flying cars or jetpacks. the story is told mostly in cutscenes, with a few exceptions during a boss fight or exposition during gameplay. not all the exposition is necessary and therefore some of it is tucked into seemingly regular delivery missions for mundane people. again, it's not required to understand the story, but more for the player that wants to dig deep. or a completionist. the story is told from the main characters perspective. he is neither ordinary or extraordinary. it's hard to explain without giving away spoilers. overall the story is excellent. it's more unique with a heavy focus on life, death, and limbo. it wants to tell you a story and that's that. h1storytelling.h1 it does a good job getting the complicated world across. there are so many ways for lack of clarity in any topic in this game to result in confusion and an incoherent storyuniverse. they take care to give you every bit of help along the way. while i'm 100 on board for stories that aren't always explained, this game didn't want to leave it open ended. there's no 1,000,000 possibilities or questions unanswered. the game will show you the world, pose the questions, and answer all necessary questions. if i were to compare the way they told this story i would say it's far more like a quantic dream game, like detroit become human. as opposed to god of war. the gameplay has some story, but it's 95 cutscenes. but, to be clear, there are no multiple paths to the end. there are no multiple endings. this game has one singular story. one beginning, middle, and end. quality story, world, and characters. h1visuals.h1 just ridiculously beautiful. i've run this game on max settings with 140fps easy. i run a gtx 1080. nothing special hardware wise, but this game has wonderful optimization and runs smoothly. there are reports that a few people have issues with the game crashing on loading up or fails to load up at all. i do not know how widespread that issue is. i have heard of it, seen it, and have seen a few solutions for those afflicted. however, the support appears to be excellent and whomever is handling customer support is on the case. they have responded quickly and offered numerous potential fixes for a variety of problems. the game has a lovingly crafted world. this game is screenshot heaven. with plenty of vantage points to appreciate scenery or boss fights that give fantastic shots of tension. h1gameplay.h1 it's solid across the board. with very little focus on combat. your point is to deliver, not to fight. so the gameplay difficulty is almost entirely geared around how challenging it is to deliver your packages with minimal damage. there are many ways to achieve this. use of vehicles for long distance, gear that help you traverse rough terrain, tools to assist in overcoming various obstacles. your careful selection and balancing the weight of tools and packages, as well as the path you take to your destination those sum up the difficulty of the game. combat is a part for sure and most people like more combat in games. death stranding doesn't really break new ground with combat. it's pretty simple. there are guns, your fists, and vehicles. you can use stealth recommended, but when stealth isn't an option you can engage in decent combat. the combat in the world like with mules and some unsavory types really isn't anything special. shoot them or not. kill them or not. killing results in a greater number of bts in the area, which makes life more difficult. so you should be careful of that. the combat the game puts you in, like in a boss fight, isn't unique. once more you have common weapons like a handgun, assault rifle, rocket launcher, etc. you aim, you shoot, the boss gets hurt. combat is smooth, but definitely nothing ground breaking. once more, with feeling this game doesn't focus on combat. h1dialoguecharacters.h1 this area gets some flak at times. some people love the characters, some people hate them. personally, i adore them. i had my healthy suspicions at first of their intent or, outside of the game, their writing and design. but as i played more i found myself growing fond of the characters and their strangeness. the dialogue could definitely be worked on in a few areas. certain conversations feel forced or lacking in sincereity. it can feel awkward or, for me, sometimes cringey. not that it detracts from the game really. after playing it and getting deeper into the story i had adjusted quickly to how awkward some things were. some people were strange and there were rational reasons for it. a few rare moments where i wanted to take the script to kojima productions, lay it out in front of them, and ask what were they thinking. at the end of the day, having completed the story in this game, i can now say i care for these characters. their awkwardness, their unusual behaviors. at the end of it all it kind of just came together for me and all i wanted to see is what happens to them now. so a lot of the strange issues with dialogue or writing did not detract from the story itself. there are a few characters that utter puns in this game and they know who they are. h1overviewh1 i'm trying not to give any spoilers at all so the review is safe to read. it is hard trying to give criticism to something i cannot explain. i'm not a professional reviewer and i very rarely review anything at all. so my thoughts are not as organized or as well put as others. i would definitely look through a good number of reviews before making a decision to buy. this game is unique. it is its own kind and i love it. i want to see another death stranding or more games like it. i think this is a rare game that belongs up there with the great games of the last few decades. i do not believe this game has a little something for everyone as ign likes to list in all their reviews. this game has a lot for the right players and absolutely nothing for others. people who prefer a game to drop you in and say go play! this is not that kind of game. people who prefer a game to tell you a story subtly. this is not that kind of game. people who like fast paced games, combat oriented games, or games that turn you loose with a thousand different options. this is not that kind of game. you have one goal and only one way to get it done. the path is rough and riddled with rocks, mountains, rivers, and frustration. you have to build the road to cross it and even then you are forced to traverse the worst terrain with the most delicate cargo. you have a task that must be repeated a hundred times. this game is tedious and slow. patience really is a virtue here. but i love this game. despite the hours i spent walking from city to city or to the small prepper shelters out and about, i never listened to music, watched a video on my other monitor, or had anything playing in the background while i traveled. i was always in the moment. not a lot of people will pay 60 to trip on a rock and destroy all your fragile cargo you just spent the last 15 minutes struggling your way up a mountain to deliver. also, the more i play this game the more i realize no one at kojima productions has ever either driven a vehicle or been in one being driven. i highly recommend this game. but if it's not your style, than wait for horizon zero dawn. that game is fantastic too."
