Review,Positive,Helpful Votes,Funny Votes,Date
"[h1]  Story (9/10) [/h1] 
The story is super engaging and thought-provoking. It really makes you question AI consciousness, morality, and what it means to be human. Every choice actually matters, and the multiple endings make it feel like your decisions have real weight. I have nerded over it so much that i have completed like every choice possible xD

[h1] Gameplay (7/10) [/h1]
Ngl the gameplay is pretty basic. 
You mostly just smash buttons, use WASD, and click with the mouse. It works for the narrative-driven style, but if you're looking for action-heavy gameplay, this aint for you xD

[h1] Graphics (10/10) [/h1]
For a game that came out in 2018, the graphics still hold up insanely well. The character models, animations, and environments are super super detailed, making everything feel really immersive. Also, Connor is so pretty, and his voice??? Damn, I’m fangirling.

[h1] Sound & Voice Acting (10/10) [/h1]
The voice acting is top-tier, and the soundtrack hits all the right emotions. Every scene feels more intense or emotional because of the sound design. I freaking love it hehe.

[h1] Replayability (9/10) [/h1]
[i] [b]  I’ve had at least five different playthroughs, and I’m still not tired of it. [/b] [/i] I think thats all that i need to say abt replaylibility haha. I 100%'d all achivements xD
There are tons of branching choices, but there are two main paths you can take (which I won’t spoil). 

[h1]  Characters (9/10) [/h1] 
Imo the characters are really well-written. Connor, Kara, and Markus all have unique perspectives, and their development throughout the game feels natural. Their interactions can change based on your choices, which makes them feel even more real.

[h1] Cons ❌ [/h1]

[h3] Basic Gameplay [/h3]
Not gonna lie, the gameplay is super simple. It's mostly QTEs, walking around, and investigating. If you're expecting deep mechanics or action-packed sequences, you won’t find much here.

[h3] Some Slow Sections [/h3]
Certain chapters feel a bit slow-paced, especially if you’re more into the high-stakes moments. Some parts drag on longer than needed. There is [b] No Skip Cut-Scene Option [/b] which is honestly annoying when replaying.

[h3] Minor Animation Issues [/h3]
The graphics are great, but some facial animations feel a bit stiff at times. It’s not super noticeable, but once you see it, you can’t unsee it.

[h3] VK_ERROR_DEVICE_LOST Crash [/h3]
Some players experience the VK_ERROR_DEVICE_LOST crash, which can randomly close the game.

[b] Fix: [/b] 

-Switch the screen mode from Borderless to Fullscreen
-Set Resolution Scale to 1.00

[h1] Overall (9/10) [/h1]
If you love narrative-driven games, THEN ALL I'D SAY IS PLAY THE DAMNED GAME xD
The story is something everyone needs to experience once haha",True,15,0,2025-02-04 08:39:21
"Bought this game on sale, and it was absolutely worth every penny. Detroit: Become Human is a cinematic masterpiece in every sense. The story is incredibly engaging, with branching narratives that keep you invested in every character's fate. The choices you make actually feel like they matter, and the emotional weight of those decisions can be heavy. The game feels smooth and the quick time events are engaging.

The soundtrack enhances the mood and atmosphere throughout the game, and I found myself genuinely absorbed in the world.

If you're a fan of narrative-driven games with beautiful visuals and a gripping story, this is definitely a must-play. Highly recommend!",True,8,0,2025-02-02 04:51:22
"Detroit: Become Human presents the player a question that had me thinking throughout the entire game- through multiple playthroughs. The philosophical question of sentience. What truly is sentience? Do androids truly have free will or are they programmed to think that they have? Are androids capable of human emotion? Do the androids really have free will if you are the one controlling them? These questions are never explicitly answered, it is up to the player to understand this for themselves.",True,7,0,2025-02-07 12:38:04
"Unquestionably in my top 5 list; every single element of the game is a masterpiece, from the plot and characters to the gaming mechanics and the way the tale unfolds to the way you choose alternatives.This game is insanely replayable and well worth the money.",True,6,1,2025-02-09 15:40:56
"Detroit: Become Human is a gripping interactive drama that masterfully blends storytelling with moral choice. Set in a futuristic Detroit, players navigate the intertwined journeys of three androids confronting freedom, identity, and humanity. Visually stunning with stellar performances and an evocative soundtrack, the game excels in emotional depth and player-driven narrative. While some themes feel heavy-handed, its branching storylines offer strong replay value. A must-play for fans of narrative-driven experiences, it’s both thought-provoking and visually impressive.

Absolutely 10/10",True,3,0,2025-02-21 05:39:21
"[H3] Utterly. Fantastic. [/H3]

Detroit: Become Human is a phenomenal achievement of storytelling and presentation. Every line is on par with the best in prestige television, and each shot feels as detailed (and expensive) as a James Cameron movie. This single game highlights the creative power, and possibility, that video games can accomplish as devices for storytelling.

This is a short, spoiler-free segment on the game’s story which I’ll follow up with a more detailed look under the spoiler tag. On the whole, Detroit: Become Human (DBH) excels. Short chapters mean you’re always pining for “just one more” scene, and the game’s tight editing means you can make sense of weighty philosophical issues without getting lost in a tangle of lore dumps and endless context. This light-on-info approach can occasionally serve to the game’s detriment. The question of Android sentience is DBH’s ultimate conundrum: yet, we aren’t always given enough information to create our own stance. We’re shown that Androids don’t feel physical pain, for instance, yet we’re asked to feel empathy and intervene when violence takes place against them. These decisions, intended to make the player feel morally confused, can sometimes feel like guesswork.

Despite this lack of information at times, what [i] is [/i] shown is simply outstanding. The voice-acting across the board is superb, but Connor - an assistant to jaded ‘has-been’ detective Hank - ultimately steals the show. Connor is programmed to function entirely by the book, yet despite his best efforts, he can often flounder when trying to understand Hank’s more human responses. Connor delivers such a heavyweight performance that DBH requires us to follow not one, but two characters which contrast against his views to attempt a counterbalance. [b] spoiler-filled analysis next[/b].

[spoiler]Markus and Kara’s story feels inevitably weaker compared to Connor's, but some of this could have been prevented. Kara initially acts as a home servant to an unemployed taxi driver whose jobs are repeatedly lost to Androids. After witnessing him beat her daughter Alice, Kara protects the girl and they both attempt to flee the country. Alice’s quiet nature is understandable given her abusive dad, yet she never opens up throughout the story. She’s portrayed as a vulnerable figure to keep safe, but has so few lines that our empathy extends only so far. My feelings towards Alice after the first hour were the same as I had by the 12th hour. That being said, the cat-and-mouse storyline as they evade the police works well. Both Kara and Alice are placed into dangerous situations, which can be resolved via sharp street senses and social awareness. Kara’s story also places us in genuinely great moral conundrums, with the phrase “get it how you live” becoming a guiding principle for my survival.

Markus’s story [i] believes itself [/i] to be a bit more grandiose than it is. Having been wrongly framed for a murder, due in large part to anti-Android discrimination, Markus launches an uprising to demand equal rights for his fellow robots. Large portions of Markus’s story are clearly meant to replicate the Black civil rights movement in America, yet it feels so heavy-handed to the point of discomfort. Androids are bought and sold in shops, replicating how slaves in the American South were purchased by plantation owners. However, all subtlety goes out the window when Androids are relegated to a designated place in the back of the buses. Markus can follow either Martin Luther King’s non-violent approach or something more akin to the Black Panthers, but it doesn’t quite feel like the apples to apples comparison it thinks it is.

Markus’s story instead feels more effective as a critique of AI. Androids are blamed in Detroit for being so efficient at carrying out tasks that it makes humans redundant. Books scattered around the game world reveal a near 40% unemployment rate, as Androids supplant more and more jobs. It’s the working class specifically that are being replaced, leaving people most at risk of social deprivation and mental health problems to be forgotten. This doesn’t prevent Markus’s story from feeling any less holier-than-thou but instead provides a very natural grey area which explains human’s apprehension towards them.

As mentioned above, DBH isn’t exactly forthcoming with information leaving many decisions to feel like the blind leading the blind. For example, sacrificing Android characters in difficult situations is meant to be given the same weight as killing a human character. After all, they talk, act and feel like humans. Except in the late game, Connor can bring back a key character simply by changing their parts - nullifying the threat of their death in the game’s narrative. This makes me feel like I’ve made choices without knowing the full picture, and it’s easy to begin imagining the plot holes that result from this. [/spoiler]

Whilst I’ve gone into significant depth picking apart the themes, I want to emphasize that I’ve only done this because I engaged so deeply with the story. No other game in my 162 reviews has come close to warranting this level of analysis, and ultimately the story is absolutely brilliant.

What’s similarly brilliant is DBH’s visuals. The best way to describe it is [i]expensive.[/i] Clothes realistically sway in the wind, mocap faces react with nuance, and the game features over 74,000 unique animations. Stylised effects such as bokeh depth of field produces a cinematic look, yet it’s the game’s absolutely stunning lighting which takes the cake for me. In fact, it might be one of the best looking games I’ve ever played. This is achievable because environments are so heavily contained and controlled. The best looking scenes generally give you only a few metres of travel in either direction, letting the developers maximise the visuals and focus on creating a handful of the beautiful, static shots.

DBH’s visuals start to crumble at scale. During a mission in which Markus parkours across the city, you’re rewarded with views of flat and blurry building and ship textures. The bigger the environment the more issues tend to appear, but these instances are few and far between. Textures also occasionally fail to load in, or take a second to pop-in, which impacts immersion. Performance was mostly smooth, hitting 60fps at 1440p on high settings with an RTX 3070M with some drops to the low 50s when in busy streets. 

Gameplay is a bit less exciting: it’s mostly just a long quick-time event. As you move throughout the world, you’re given button prompts to achieve particular tasks. Flicking the right-stick in various directions is used to accomplish physical tasks, LB and RB for scanning, and XYAB for punching people. In reality, the game quickly becomes a right-stick up simulator, which can get tiring fast. Button prompts during fights are more engaging and challenging, but the game’s chase scenes are perhaps the highlight: offering speed and control of your character alongside the quick-time events. The game sprinkles in enough of these to keep things interesting, but some of Markus’s scenes can be particularly tedious. One awful mission, referenced above, has Markus explore a series of abandoned buildings and rooftops with little to no stimulation for the player beyond occasionally pressing Y and X. The result is mind-numbing, but this is the exception rather than the rule. Most of the time, DBH switches up its pacing and button prompts just enough to keep you engaged.

[B] Final summary in the comments.[/B]",True,3,0,2025-02-09 12:32:44
"Wow! How ahead of its time and deeply impactful of a game! Between the complex plot combined with the gameplay and graphics, this experience puts you in the hot seat to end all hot seats. Within is a definite reminder how the future is infinite and that no one else can see through its layers of light and shadow. After completing multiple different play throughs I am certain no other game out there has neither the same nor the similar shell shock; the mighty slam, that this one introduces to the player. The characters you can play as are charming and downright likable with their own intricate personalities and past. It is then solely up to you to envision and control their outcomes through the given situations. Despite the well thought out dilemmas in this game, picking a side of any of these characters is reasonable yet can be challengingly at the expense of someone or something. What can prove to be a difficulty is to not be torn apart in the process of whom you ultimately choose to go far with, as you will be going through everything with them together. Trying to figure out who is good, bad, human and far from it has never impressed me on this level before in a video game. Overall, it is widely accepted that this more than deserves a good rating and I wholeheartedly agree.",True,6,1,2025-01-30 08:38:02
"I love this game. The visuals, the characters, the story were all great. So often, the story had me overthinking and stressing about my choices. So much so I used a guide for the majority of my playthrough. Although my personal choices would've differed minimally from the guide, I regret using the guide. So much so, it got me to try to stop using them going forward unless I've been stuck for a while in a game (it's a work in progress, old habits die hard).

Backlog Games Beaten 2025
1/50",True,2,0,2025-02-25 21:27:17
"the game is fantastic with amazing storyline, just if i didnt crash every 5 minutes it would be nice",True,3,1,2025-02-07 22:38:40
I was so excited to try it out but it crashed every time i attempted to launch it. I tried all the solutions i could find online and asked multiple people to help me but it still didn't launch. It seems like a really cool game otherwise!!,False,4,0,2025-01-31 19:49:44
