genre,game,commented_date,comment
Action,Red Dead Redemption 2,2025-02-26,"thought i was getting a fun cowboy game. instead, i got an emotional masterpiece that set my gaming standards to an unreachable level. thanks, rockstar i guess. now no other game feels good enough. 1010"
Action,Red Dead Redemption 2,2025-02-21,"b this game is perfect from the getgo to the last scene. i got 100 completion, and it was worth every minute spent b at the beginning of the game, arthur is a tough cowboy, an outlaw through and through. but as the story goes on, he starts looking at his life from a different angle because of certain circumstances those whove played know what i mean ive watched a lot of rdr2 cast panels, and only roger clark arthur morgans actor had been working on the game for five years straight, which is incredible!"
Action,Red Dead Redemption 2,2025-02-23,"the best narrative game i've ever played, a perfect prequel and an amazing experience. took me 94 hours to finish and i didn't even play all available side content."
Action,Red Dead Redemption 2,2025-03-12,"this is, without a doubt, one of the alltime greatest storydriven games i have ever laid my hands on. i've played a bunch of them and let me tell you that this one will take you on a ride that you wouldn't want to miss. it starts slowly, which may put off some people, but it quickly picks up after the snowy region. the map is huge, full of secrets and treasures. there are over 200 species of animals combined. the weapon variety is also impressive. there are many minigames to choose from. every character in the camp is complex enough to make you care and sympathize with them. some side missions can feel like the main storyline at several points. the world scenery and game mechanics are just incredible. all of this is amazing and already over the top for a game, but the primary protagonist you control takes the cake. arthur morgan is one of the bestwritten characters in all rpgs. he is a deeply flawed man who made some pretty rough decisions in his life. since he is a teen, who takes an example from his outlaw father, to the time when he is found by the gang, he goes against the newly emerging societal norms in the wild west. but most of all, he always believes in dutch and the gang. he does everything for them  he lives, he murders, he robs. and when this is put to the ultimate test, against the clock, his true redemption begins. you will find that behind this immaculately strong personality, there is a scared man. of what he is, of what he will become. after this point, you will begin to realize what i'm talking about and why arthur is so loved by the entire community. he is not perfect, no one is. but he tries his best. take your time to experience this game. once you finish it, there won't be a second playthrough like the first."
Action,Red Dead Redemption 2,2025-02-24,"genuine masterpiece, unforgettable. this is a game i got completely and totally lost in, i fell in love with the world and the characters and the beautiful way it uses the gameplay to reinforce the narrative. the soundtrack is so phenomenal, and the writing is actually perfect. genuinely several of the best gaming moments of all time are in this game. the ride back after guarma i will never forget. arthur morgan is the best video game character of all time, hands down. the way the game makes you sit with him and shows you how he feels both through writing, gameplay and missions is genuinely a marvel and i don't think i'll quite play or experience anything like this ever again. it took me a while to get into it, the start is slow and feels a little aimless at first. my girlfriend recommended i push on with it and i am so glad i did. the best game i have played in my life, bar none. the story told here could not be done in any other medium, this is what a big aaa game is meant to be. genuinely inspiring and i can only pray i'll play something half as impactful as this again."
Action,Red Dead Redemption 2,2025-02-21,"rdr2 is an incredibly immersive wild wild west experience, drawing players into its richly detailed world. every aspect feels so alive. looking forward to gta6 with same level of quality and attention to detail.  coming from epic i was able to transfer all my progress to steam."
Action,Red Dead Redemption 2,2025-03-05,"unfortunately, i can no longer play this game due to login issues with the rockstar launcher. out of nowhere, rockstar required me to verify an unfamiliar email on their launcher. despite multiple backandforth messages, they have been unable to resolve the issue. bewarethe game works fine until it suddenly doesnt, all because of problems with the rockstar launcher. i am hoping that steam will get rid of this third party launcher applications soon."
Action,Red Dead Redemption 2,2025-03-16,"i've been playing this game very slowly as if i were arthur, each day going out doing a little quest, hunting, gambling etc... taking each and every second slowly as it comes. a fantastic offline single player escape."
Action,Red Dead Redemption 2,2025-03-13,"best western game ever maden, without doubts. i haven't played much online, i was focused on story. loved characters, van der linde gang, too many missions and side quests of camp or random characters made me fully immerse into wild west life. besides huge open world with different amazing locations makes satisfaction when you simply riding the horse. at first it reminds about gta cuz both games are from rockstar, but for me it's more similar to mafia series where story is more important part of game."
Action,Red Dead Redemption 2,2025-03-15,"great game. entirely ruined by rockstar launcher, even in story mode"
