genre,game,commented_date,comment
Action,The Last of Us Part I,2025-03-02,"this is the best way to experience one of the best games of all time! the last of us will always be one of my favourite video games of all time, ive lost track of how many full playthroughs ive done of the originalremastered versions of the game, but ive probably beat the game around 30 times and ive put over 400 hours into the remastered, and i think the game was very close to perfect, and this remake allows the game to become even closer to being perfect. in 2013 naughty dog was limited by the technology of the time on ps3, but now with this ps5 remake they were able to fully reach their original vision for tlou. i completed the main story for the remake already, and i loved every second of it. the last of us part i shows what the last of us wouldve been like if it released in 2022 instead of 2013, and its beautiful. the added accessibility options are incredible as they allow more players the ability to play this game, because some people might not have been able to play the original game due to the lack of accessibility options at the time, so this remake definitely justifies its existence for many reasons. this remake keeps the same amazing story, performances, and soundtrack as the original, while improving every other aspect of the game. the last of us part i is the definitive way to experience the last of us, the graphics, attention to detail, sound design, gameplay, ai, ui, character models, accessibility options, and more are all way better than in the original and remastered versions of the game. also the haptic feedback and adaptive triggers are awesome, they definitely add more immersion to the game, same with the 3d audio. people shouldnt be leaving reviews of the game without playing it, even if youve played the originalremaster if you havent played the remake you shouldnt review it because the remake technically counts as a new game, so if youre someone whos thinking about getting this game please only listen to the reviews from people who have actually played and completed the last of us part i remake, as someone who completed it i think its amazing and worth it. 1010"
Action,The Last of Us Part I,2025-02-16,"the last of us has been one of the game that i'm really eager to try. finally got to try it after a year and multiple patches. safe to say, the game runs great now and it has one of the most stunning graphics to this date. it has great character details, environmental details and even the lighting and reflection. the story is one of the most highly praise singleplayer game out there and let me tell you it's really justified. the story is really well written, it's slow buildup all the way to it's ambiguous ending is really interesting. the additional dlc also does contributes more to ellie's background as a whole. the soundtrack also compliments well with the overall game and in terms of the gameplay, it's really impressive. everything from the body movement to the gunfight. it's just so satisfying. there's actually bodyweight on your character and the resources are limited making you think before using them. the body explosion and even ragdoll animation is fantastic. also, here's something ubisoft should take note regarding their infamous collectibles. make them related to the characters so there's a reason we would want to collect them. i would actually go out of my way to explore and look for collectibles and sometimes, the collectibles can even form a storyline itself. that's what i call great storytelling. for me, the last of us is definitely one of the most immersive game that i have ever played. the whole game just felt like watching a long movie and it's really heartwarming watching joel  ellie grew closer and closer as the story progressed. the game has everything right, great characters, great story, great soundtrack and even in terms of gameplay it's definitely one of the best out there. it's a solid b1010b. it has some minor bugs but it's definitely worth the money and you should definitely try it."
Action,The Last of Us Part I,2025-02-13,very good game with rich story. sometimes too sad honestly. but real. excellent balance between action and exploring. very good graphics and animations. with my super notuptodate 531.79 nvidia driver for gtx 1660 ti i had stable 60 fps in fullhd for majority of time and majority of setting set automatically to moderate. game lead you through difficult situation giving you suggestions. its up to u will u use them. one thing hurt me  the price even though it is worth it. i bought it for 30 euros.
Action,The Last of Us Part I,2025-03-06,"this is a breathtaking game full of heart, action, and drama. the solid storyline and spirited characters raise it to the next level and make it a game that i won't soon forget."
Action,The Last of Us Part I,2025-03-05,"the last of us part 1 is an experience i will cherish for many, many years to come. this game will change you. although its concept is simple and has been done a million times, it still feels vastly unique. the story is breathtaking, and the visuals match it perfectly. however, when loading in for the first time, the time it takes for the shaders to load is far too long, and it definitely puts a strain on your cpubut its most certainly worth it. the voice acting, gameplay, zombies, and even something as simple as the title screen are all exceptionally well done. im aware of the issues the pc port faced when it was first released, but most of them have been patched since then. throughout my 100 completion, i experienced no issues, no crashing, and no glitches. now is the perfect time to experience this masterpiece, especially with the upcoming series and the pc port of the last of us part 2 coming next month. with the steam sale on march 13th, i hope this game is includedwhat better time to try it? i highly recommend it."
Action,The Last of Us Part I,2025-02-28,"one of my favorite games ever. i've loved this game for so, so long and only just got around to playing it mostly cause the only platform i play on is pc. the story is amazing, the characters are so well written and complex, the scenery and visuals are breathtaking, and the music is just so emotionally packed throughout the entire game. the actual gameplay itself is super fun and satisfying. wonderful, deeply nostalgic and deeply loved game. highly recommend."
Action,The Last of Us Part I,2025-02-25,"the last of us is not just another zombie game. its a beautiful story about loss and what it takes to survive and to protect the ones you love. the beautiful world shows how nature takes over during an apocalypse. everything looks so realistic, the face expressions, you can clearly see the emotions in the characters faces, the voice acting, the nature and buildings but also the combat. there are limited resources you find during the game, like ammo and health, which makes you think before acting. you can choose to play the game aggressively with guns and melee combat or choose for stealth. the game has a lot of collectible you can collect. each collectible tells you a story which adds more realism in the world of the game. the left behind dlc is also included which i think was a beautiful add on to ellies story before the events of the main game. also the music alone is just so beautiful. i listen to the music regularly and i think i can say its the best soundtrack i have ever heard. i played the game on my steam deck and it played pretty good. nothing really to complain. i do have to say that it looks better on ps5 and the haptic feedback plus adaptive triggers was something i missed during my play through on the steam deck the last of us is definitely the best game i have ever played and i think its a must play for every gamer."
Action,The Last of Us Part I,2025-02-25,great thirdperson cinematic action story game from the creators of the uncharted series. i finished it entirely on a steam deck lcd with the frame rate locked to 30fps and otherwise default graphics settings.
Action,The Last of Us Part I,2025-03-04,"i don't know whether if the developers optimized this game or if nvidia's new dlss technology is simply magical, but the game runs smooth like butter now years after i purchased it when it was a graphical stutter fest that made me question my purchase. all that is in the past now. the game runs on max settings at 3200x1600 after toggling dlss super resolution not dlaa and turning vsync off in game but on in the nvidia panel. this is the best game for grown ups out there where a grounded story, beautiful looking graphics, character design and superb motion capturelike animation merge together except maybe for the banshee or screamer, not sure what's its name which kinda breaks up the immersion, giving the gamer an unforgettable gaming experience that will be tough to emulate, especially now that developers appear to be so unskillful in creating an experience like this one. please buy this game and another in physical form so you can put it under your pillow and sleep well. i hope more games"
Action,The Last of Us Part I,2025-02-15,after three playthroughs i can confidently say that this is one of the greatest stories ever told in a video game.
