genre,game,commented_date,comment
Action,Death Stranding,2019-11-11,its a game about how our parents went to school back then
Action,Death Stranding,2019-11-16,when you live in iceland and ask for same day delivery
Action,Death Stranding,2019-11-12,"mailman arrives with the game oh hey, it's my new game! cool! what's it about? you."
Action,Death Stranding,2020-04-26,2019 this game makes no sense?! 2020 pandemic ...ok...this game makes sense now...
Action,Death Stranding,2019-11-10,my friend gave me the best pitch of this game ever you play a postapocalyptic mailman that scares ghosts away with bottles of his piss and excrement.
Action,Death Stranding,2019-11-25,"as a delivery guy, i'm proud to have my career represented in game"
Action,Death Stranding,2019-11-11,postapocalyptic america looks an awful lot like iceland.
Action,Death Stranding,2020-07-08,"he's carrying half of ikea on his back, damn son"
Action,Death Stranding,2019-11-11,us the ground is lava hideo kojima the rain is old age
Action,Death Stranding,2019-11-11,my mom take the groceries one at a time me
Action,Death Stranding,2019-11-11,imagine ordering a mere pair of socks from amazon and had the delivery guy go through all this just to deliver it to you
Action,Death Stranding,2022-08-25,i'm about 1020 hours into death stranding and i'm obsessed with it. i've never played anything like it. on the surface it seems kind of boring but it's actually calming and exciting and interesting all at once. breath of the wild is my favorite game of all time and there are some aspects of this game that actually remind me of it  it's like they hyperfocused on just the terrain and navigation and eliminated a lot of noise to just get to a level of realism and detail on just one thing.
Action,Death Stranding,2019-11-16,metal gear solid amazon prime
Action,Death Stranding,2019-11-10,"having played this for several hours it must be said that this game managed to create a really great online community... can't tell you how much bridges, ladders, climbing rope and generators placed by strangers have helped me out."
Action,Death Stranding,2019-11-13,me i try to bring every grocery bag in at the same time bridges youre hired
Action,Death Stranding,2020-11-22,we are back with another episode of after you bought that show where we tell you that your choice is worth it or not
Action,Death Stranding,2019-11-11,"i love how in the modern industry we still get the odd weird game from time to time. is it for me? probably not, but i really appreciate that people like kojima are doing this stuff and showing the 'art' side of gaming."
Action,Death Stranding,2019-11-11,bezos's gonna use everyone's gameplay to train the machine learning models for his amazon delivery robots.
Action,Death Stranding,2019-11-17,basically youre a delivery man delivering packages to people in bunkers in a post apocalyptic world. i must be getting old because i became very interested when i heard that.
Action,Death Stranding,2020-04-01,"i bought this game a couple months ago, then dropped it cuz it wasn't fast paced enough. now with this quarantine, i have all the time in the world and i think its pretty good."
Action,Death Stranding,2019-11-10,"this is your pizza delivery man, every time you order something. how do you feel now?"
Action,Death Stranding,2019-11-11,i'm not a professional  the professional
Action,Death Stranding,2019-11-12,sits on couch and puts headset on after a fight with the wife wife i thought you said you were going for a walk me  gives blank stare
Action,Death Stranding,2020-08-15,my experience was ah this game looks boring as hell after playing it 100 hours i can't carry it for you but i can carry you!
Action,Death Stranding,2019-11-11,"...you'll eventually get nonlethal guns and even deadly ones 20 hours in me, 23h in you guys have guns?"
Action,Death Stranding,2019-11-15,i'm not a professional this is literally your job jake.
Action,Death Stranding,2019-11-11,imagine a mail man coming home to play this game edit 2.9k likes why?
Action,Death Stranding,2020-04-03,i honestly love this game. its so unique and ambiguous also its so unsettling but instead great way. its an experience you never seen before
Action,Death Stranding,2019-11-23,"watching before you buy, after you buy it."
Action,Death Stranding,2019-11-11,i love how jake says boondock saints norman reedus instead of the walking deads . this man knows things.
Action,Death Stranding,2019-11-11,apparently this is how my parents got to school
Action,Death Stranding,2022-08-28,cant wait for kojimas next creation. this game was truly stunning and different. would love to see a moon colony game directed by him similar to the callisto ptotocol. would love to see his spin on that genre.
Action,Death Stranding,2019-11-30,spoiler final boss is a fenced yard with a pitbull.
Action,Death Stranding,2019-11-12,"...boondock saints actor norman reedus... ah, a man of culture i see."
Action,Death Stranding,2019-11-13,so he turned trying to climb up the mountain in skyrim into a game.
Action,Death Stranding,2020-04-07,a world fully quarantined so everybody gets everything delivered. throw in some toiletpaper and you play the real world simulator 2020. corona dlc incl.
Action,Death Stranding,2019-11-19,"basically, you're an amazon delivery guy in a world ruined by jeff bezos."
