Video ID,Author,Date,Comment,Likes
mF17j3G7yVI,@gameranxTV,2018-05-25T21:39:34Z,What's your favorite story/cinematic-heavy game?,996
mF17j3G7yVI,@HighSociety1995,2025-02-25T15:05:46Z,Just started already hooked. Always overlooked this game glad I gave it a chance,0
mF17j3G7yVI,@chompachangas,2025-02-24T14:43:40Z,"Looks like chores. All games are just chores. Chores in space, fantasy chores, and this one here is chores in the near future but you're a robot. Yay!",0
mF17j3G7yVI,@Smizzo924,2025-02-01T07:35:49Z,"As a new fan...loved this game, didnt think i would be so invested in this damn story man",3
mF17j3G7yVI,@Icehso140,2025-01-28T00:18:22Z,Too late. Already bought it. LOL,0
mF17j3G7yVI,@pameliahooks2741,2025-01-18T06:24:04Z,This game was actually good i had to revisit this game in 2025😊,1
mF17j3G7yVI,@ismado1,2025-01-08T21:42:51Z,"Honestly, I absolutely LOVED this game, Story mode games usually bore me pretty fast (havent even went past mid gta 5), but this one absolutely kept my attention, every choice u make have a direct impact on the next events it makes you having a HUGE real role on the story , I would describe this game THE game for me , I hope I will discover new games like this one",1
mF17j3G7yVI,@Jordanpost7,2024-12-24T05:23:12Z,I’d rather play a video game.,0
mF17j3G7yVI,@Freddydemaesschalck,2024-12-14T09:47:59Z,Yea yea... not available on xbox. Now that sucks,0
mF17j3G7yVI,@babybruno1.0,2024-12-10T04:30:32Z,On my wish list finally.   Forgot what the game was called and saw it a few months ago.,0
mF17j3G7yVI,@camf33,2024-12-05T01:14:06Z,It feels too on-rail and too much QTEs.,0
mF17j3G7yVI,@DaveEntity,2024-11-30T22:00:11Z,I just started it yesterday knowing nothing about it. Can't believe they had me cleaning clothes and doing dishes for an hour 😭😭 10/10 game so far just wish I could shoot stuff,0
mF17j3G7yVI,@Josef_R,2024-11-30T03:40:24Z,"Would have been nice to know what they end goal is, or if they're even is a goal.",0
mF17j3G7yVI,@Regakona,2024-11-26T04:52:12Z,Game still holds too this day... halfway through DBH,0
mF17j3G7yVI,@Admire,2024-11-25T16:56:15Z,Its absolutely stunning. I rarely been as emotional invested in characters. And i never played a game like this before ao absolutely a new fan,0
mF17j3G7yVI,@ticotraveller,2024-11-24T12:22:19Z,"What happened to gaming? This game turned out to be such a time-waster. Do they really expect players to spend endless hours reading to enjoy it? It feels like another game where having no job and being a couch potato are the main prerequisites. I got it as a free PlayStation+ game, and within 10 minutes, I couldn’t imagine anything more boring.",0
mF17j3G7yVI,@Maugrim222,2024-11-23T10:56:14Z,"Finished it today, such a masterpiece.",1
mF17j3G7yVI,@Zaratrusta0,2024-11-16T01:20:00Z,New fan here 6 years after release,1
mF17j3G7yVI,@skippygaming9695,2024-11-07T07:04:48Z,I am confused on weather they liked it on not. Everything he says is praising it but he tone indicates he didn't really enjoy it,0
mF17j3G7yVI,@spoismael,2024-10-27T13:53:15Z,Amazing game. one of the best ever made.,0
mF17j3G7yVI,@DJsWorld,2024-10-21T16:49:31Z,Finally brought the game in 2024 $10 dollars patients is key,2
mF17j3G7yVI,@sunseekerjules,2024-10-14T00:32:27Z,I got this game pretty close to release and just snagged it again on PC and I is one of my favorite games. First time I played it was entirely on a long 3 day weekend and I was floored by the graphics and the story. The behind the scenes stuff was amazing too. I highly recommend especially for replayability.,0
mF17j3G7yVI,@workoutfanatic7873,2024-09-24T04:09:14Z,Clancy F’n Brown of Carnivale fame!,0
mF17j3G7yVI,@tr4nce206,2024-09-08T10:46:32Z,Great game,2
mF17j3G7yVI,@davidagiel8130,2024-07-20T05:01:48Z,"I loved the Indigo prophecy back in the day, I haven't played a game like this for over a decade, and now its cheap preowned.",0
mF17j3G7yVI,@maxfjeld3791,2024-07-05T21:09:34Z,10x better than IGN,1
mF17j3G7yVI,@MARC-FENIX,2024-05-15T17:07:00Z,Man. 6:00  Dont you see that the surroundings are massively out of focus!! And its all the time in every scenery of the game. How can one not see such things???,0
mF17j3G7yVI,@TonyTarantula,2024-05-01T14:41:01Z,"This game is truly amazing.

It was deep and extremely meaningful to me.

I'm so glad that I played through this.",1
mF17j3G7yVI,@Dirtbagmoto1,2024-04-27T13:45:11Z,Here 5 years later to see if the game looks good before playing without seeing too many spoilers,1
mF17j3G7yVI,@Master_Keef117,2024-04-19T06:18:29Z,JASON!,0
mF17j3G7yVI,@brandonbiochucky3116,2024-04-16T05:22:17Z,i just got it on 60% sale and after this video im glad i did looks lood,0
mF17j3G7yVI,@GregoryChew0921,2024-03-27T11:47:07Z,I didn’t do any research before buying this on steam. I was very confused.,0
mF17j3G7yVI,@samsonuchiha9343,2024-03-08T23:58:12Z,Where the ladies at......they need some cooking lessons💀💀,0
mF17j3G7yVI,@Gdub33,2024-03-03T07:16:48Z,"I feel like the OVERWHELMINGLY reaction to people who have played this game is that youve downplayed how magnificent it is. Its ok tho gamerant, ur still 1000 million times better than IGN.

For all the new fans. Go check out heavy rain. That game was like a staple of my teenage years (there are 8008s)",1
mF17j3G7yVI,@cheriking8198,2024-02-29T01:18:25Z,I play this game 7 hours straight yesterday,0
mF17j3G7yVI,@Your_Egyptian_Papi,2024-02-19T20:48:12Z,"2:26
LEAKED GTA 6 GAMEPLAY",0
mF17j3G7yVI,@WarNvrChanges,2024-02-14T10:59:42Z,I’m glad I gave this game a try. I like RPGs but they’re typically shooters like Fallout and Red Dead Redemption. I didn’t think I’d enjoy playing a game like this but I have. It’s managed to keep me engaged the whole time. My only complaint is the camera view feels a little wonky at times. But the graphics are great and the storyline and different choices and outcomes is amazing. I highly recommend anyone that has PlayStation Plus to play this game. Why not? It’s free,0
mF17j3G7yVI,@eht24,2024-02-07T08:25:16Z,L vid lol,0
