genre,game,commented_date,comment
Action,God of War Ragnarok,2022-11-08,"this is amazing, as an full time dad, 2 full time jobs and every other responsibly i have, i just don't have time to play. i'm grateful for channels like this, thanks alot."
Action,God of War Ragnarok,2022-11-10,the craziest line ive ever heard was when kratos said death can have me when it has earned me hes truly a god
Action,God of War Ragnarok,2022-11-11,a path. one i had never imagined  to finnaly know what it feels like to be loved again. to not looked at with fear and horror. but with respect and trust. we are not here for revenge. but justice. this game is one of the most beautiful stories ever written. kratos is the greatest story in gaming.
Action,God of War Ragnarok,2023-11-23,i love the way kratos treats the blades. at 115428 he just discards them on the floor. really shows how he wishes they could go away forever.
Action,God of War Ragnarok,2022-11-10,"13718 atreus impersenating his father is hilarious, and kratos admitting faye is better at fishing than him is just wholesome family moment."
Action,God of War Ragnarok,2022-12-02,"that one scene where he was trying his best to hold out his tears and surprise when he saw the prophecy where he was worshipped not as a monster but finally as a hero was so heartwarming. after all he went through from all the hate, rage and death he went through he finally found something to protect, to be proud of, something he won't have shame hiding anymore. soon he won't be known as kratos the god of war, god killer, a monster but kratos the savior of the nine realms, the hero who ended odin's madness, the persecutor who delivered justice."
Action,God of War Ragnarok,2022-11-21,"132952 after watching this entire masterpiece, i can say my favourite scene is this. kratos fidgeting with his axe, trying to find the strength to say sorry to his own son. the way they made him move in that moment, the way he lowers his head until atreus speaks, just like someone that doesn't want to be hated for the mistakes he committed."
Action,God of War Ragnarok,2023-11-01,this was a fantastic watch. better than anything ive seen on netflix recently. thanks for the playthrough
Action,God of War Ragnarok,2022-11-15,it's amazing how most of us started playing gow when we were angsty and rebellious adolescents and now we're all grownup with kids of our own. it really feels like we grew up with kratos and the lessons he's learned have resonated deeply with us. from an angry and vengeful demigod to a redeemed father who's only concern is the safety of his son and people he loves. this was the most well written and cinematic masterpiece of a story and game. i'm looking forward to the next installment of this wonderful story.
Action,God of War Ragnarok,2022-11-09,"3358 to those who wonder why kratos said no like that, back in greece he was a general. and he thought like a general. that resulted in him making a deal with a god that costed his soul, as kratos said in god of war 4, it was done out of desperation not to die by the barbarians ares! destroy my enemies, and my life is yours!. and thus he got the blades of chaos. he was doing the bidding of ares for some time until he and his army raided a village, kratos got in the temple, killing everyone, and accidentally killing his first family. his skin is as white as it is because the village oracle after seeing what went down cursed him to wear the ashes of his family forever. that gave him ptsd until god of war 3's end where the power of hope made him forgive himself."
Action,God of War Ragnarok,2022-11-14,the development of kratos throughout all the games is so well done. what a great series of games!
Action,God of War Ragnarok,2025-02-12,this is where i come when i get stuck
Action,God of War Ragnarok,2022-11-09,"what i love about this is how atreus does and say things what kratos used to said now, which does put a smile on kratos face."
