genre,game,commented_date,comment
Action,Red Dead Redemption 2,2024-12-23,"040 be prepared for anything and everything 131 take it nice and slow 220 do the side quests 253 collect treasures for easy gold 351 how do health cores work 459 the best weapons 738 don't skip the stranger missions 827 loot, loot a lot 912 take care of your horse 954 use the ledger to upgrade your camp 1034 carry specialized weather outfits 1057 tame the white arabian 1135 read arthur's journal if you want more lore 1210 go for high honor first"
Action,Red Dead Redemption 2,2024-09-16,"it's really better than most games released today, 6 years later."
Action,Red Dead Redemption 2,2025-01-29,i'm a 44 year old dad of 2 sons and they both played this so now it's my time to grind and shine.
Action,Red Dead Redemption 2,2025-01-01,"played this game for the first time 3 years after it was released. i stuck with the main story, and it was a blast. i put the game down after i beat it. and now, in 2025, i'm starting a brand new playthrough, and this time, i wanna do everything."
Action,Red Dead Redemption 2,2024-11-28,i just bought this on steam for 20.00. i hear it's a good game so i thought i'd give it a try this winter. yours is the first guide on it i've watched. i'll be back..
Action,Red Dead Redemption 2,2024-11-02,"i remember a while ago watching your gta vids and saying idk why he even posts these since the viewer count was lower on these compared to the gta videos. i just bought it and completed chapter one in like 34 hours, it seems like these videos comes from the heart and passion. thank you"
Action,Red Dead Redemption 2,2024-09-17,"your tenacity, enjoyment and endurance of rdr2 are admirable haz, i dont play as much, but, still enjoy your content."
Action,Red Dead Redemption 2,2024-10-21,"i've owned this game for a few years and loved it so much over the first couple chapters that i stopped playing.... like, keeping it in my back pocket until i thought i could give it the attention and appreciation it deserves. thanks for the vid"
Action,Red Dead Redemption 2,2024-10-09,"i always play a semi bad to middle ground arthur until i get tb, then he reforms becoming high honour. i love my arthur to have reflected on the diagnosis, feels the most right."
Action,Red Dead Redemption 2,2024-10-24,"just started playing a month ago because my 13 year old said i was uncultured swine for never giving rd2 a chance. my advice for early game success would be, find the white arabian, explore and find treasures and special guns to get money fast and uprade guns and camp. pay attention to the 10 challenges as early as possible especially chapter 3. make satchel of the east an early goal. some special treasure are very important and can craft trinkets for upgrades. despite what your jealous 13 year old says, dont sell said special items. gensing exlixer, valerian root and aged pirate rum increase your stats, i didnt know. was just carrying all of it aroun til i figured out they give you boosts. i just started chapter 3 and having a blast just hunting and trying to find rare wild horses atm."
Action,Red Dead Redemption 2,2025-02-14,"my son bought me a steam deck for christmas this past year. i have maybe 10 hours total on rdr2. it is unlike any other action shooter game i have ever played. the cinematography, characters, and wildlife are so spectacular! i have been reluctant to watch any videos, but there is so much to learn. learning how to navigate the controls controller is a task in itself. you have satchel, supplies, weapon choices, greetings, etc. thanks for the insight. you provided just enough information and tips, without spoiling the storyline."
Action,Red Dead Redemption 2,2025-03-15,"this is the perfect example of what future gaming was supposed to look like. straight up. i do get tired of seeing comments like this, but this is just a fact dude."
Action,Red Dead Redemption 2,2024-12-10,"the van horn mansion glitch still works and it also works with the little cabin at fairyvale shanty...basically loot the location, save the game, reload that save, wash rinse repeat."
Action,Red Dead Redemption 2,2024-11-14,"another tip that i just discovered last night, you can craft special bullets or arrows while riding your horse. i never knew that but for me it's a game changer as you can just craft small game arrows or split point bullets while you roam towards your preys, four legs or two. i used to stop just to do those while hunting."
Action,Red Dead Redemption 2,2025-02-13,"for split point rounds, instead of waiting for arthur to bring out a bullet, split, and put it back, you can instead hold x or any relevant button and it will craft it at a much quicker rate, almost 60 split points a minute"
Action,Red Dead Redemption 2,2025-01-04,"since getting 65 oled tv i decided to replay my games and choose rdr2 as my first. game and new tv just awesome. next, last of us2 then arkham knight."
Action,Red Dead Redemption 2,2024-11-24,wish i could play this game again. i was like 2425 when it came out and had been out of gaming for years. i got this on ps4 at midnight from gamestop. the game took so long to download. it came with 2 discs. id love to replay it on a nice tv on the ps5. i bet its insane.
Action,Red Dead Redemption 2,2024-11-26,just started playing for the first time its so amazing so far
Action,Red Dead Redemption 2,2025-02-21,"actually big thanks for the warning at the end. i wanted to learn more about the vast world of rdr2, but totally didnt realize i could easily spoil it i fi click the wrong video. big thanks! earned my like!"
Action,Red Dead Redemption 2,2024-12-12,the only game ive put an actual 1000 hours in lol. ive beaten red dead 2 more then 10 times. loved every bit of it. just got it on pc and am about to start my first pc playthrough. i always buy the treasure map from the spanish guy super cheap. only cost me 1 revolver cartridge lol.
Action,Red Dead Redemption 2,2024-12-06,just started playing as a first time first person shooter this is incredible
Action,Red Dead Redemption 2,2025-01-24,i just started rdr2 for the first time and it's freaking amazing!! im just getting passed the snow camp part and settled into the warmer place.
Action,Red Dead Redemption 2,2025-03-18,"i just started the journey into red dead online, just today ty for the tips"
Action,Red Dead Redemption 2,2025-01-14,first time player  just made it to chapter 3 and loving it! one of the best things ive ever seen on a console was playing the drunk mission
Action,Red Dead Redemption 2,2025-01-06,just got the game the other day its so beautiful....thanks for the tips...i was told about a few ..but the video showed me and told me good tops
Action,Red Dead Redemption 2,2025-03-15,635 if you hold the button arthur will just continuously make split point ammo it saves allot of time and thumb stress
Action,Red Dead Redemption 2,2025-03-18,i just started the journey into red dead redemption ty for the tips
Action,Red Dead Redemption 2,2025-02-18,"had this game back about 5 6 years ago, and im getting it again. it's a really good game."
Action,Red Dead Redemption 2,2024-09-15,"i only started playing in dec of 2023 but still playing to this day, you were the channel i went to for my first couple months of having no clue what to do lol. you were also the one that kept my interest in this game, even though its dead. thanks and im sure many other people can agree with what ive said"
Action,Red Dead Redemption 2,2025-01-05,im new to rdr2 and im gonna buy it today i thunk this will help me thx! and ik so excited for the game ive heard so many good things
Action,Red Dead Redemption 2,2024-09-18,"you made me wanna start a new playthrough  what a game, my favorite ever"
Action,Red Dead Redemption 2,2025-02-20,ngl. this my third time playing it. i never got passed getting to civilization lol but im actually appreciating it now
Action,Red Dead Redemption 2,2025-03-10,"bought this for ps4 when it first dropped, never played it. had to buy it again for ps5 and didn't play it until this winter, hands down my favorite game of all time with gta5"
Action,Red Dead Redemption 2,2024-12-10,not me going for my 4th walktrought of this masterpiece and watching this video to see if i learn something new
Action,Red Dead Redemption 2,2025-03-02,it's actually how sad how marston's dies but heart warming that jack replaces him
Action,Red Dead Redemption 2,2024-12-11,"i just finished my first playthrough and around chapter 6 i decided to not skip one mission and i instantly regret skipping most of chapter 15 because i felt like i missed so much lore, but now im abt to start my second playthrough playing the game more slowly and actually watching the cutscenes"
Action,Red Dead Redemption 2,2024-11-01,"haven't played this in years and just started yesterday but it brought up the same questions as my first playthrough. i'm past the prolog and have my base in valentine, but i'm always worried that if i go out exploring, missions might time out and i'll miss something."
Action,Red Dead Redemption 2,2024-09-15,hazard thank for the video and the tip  how was the grind on friday and the new game? will you be doing a stream today?
Action,Red Dead Redemption 2,2025-03-05,just got it today
Action,Red Dead Redemption 2,2025-01-24,"it's too much to remember, eat, maintain gun, prepare food for horse etc, people play game for fun, so many things to keep in mind makes me feel like i am doing work not playing game"
Action,Red Dead Redemption 2,2024-12-04,gfx of this game sick af playing now
Action,Red Dead Redemption 2,2024-10-07,"haha the cinematic tip is very true i put it onwhile riding my horse. i put the controller on my lap, and i turn around to ask my brother something.. i hear a bang, i turn around and i have a gun in my hand, a person is dead, and i'm wanted xd so do keep an eye on it and i learned to put my controller on a flat place xd"
Action,Red Dead Redemption 2,2024-09-16,"rdr2 is by far the best most amazing game ver amde, so far in my opinion"
Action,Red Dead Redemption 2,2024-09-15,love the new thumbnail artwork your starting to use
Action,Red Dead Redemption 2,2025-01-14,"not sure why i slept on this game, but come the next sale i am getting it."
Action,Red Dead Redemption 2,2024-09-15,thanks h loving youre work
Action,Red Dead Redemption 2,2025-01-08,amazing video !!
Action,Red Dead Redemption 2,2025-02-03,taming the silver dapple pinto is much more difficult and worth it compared to arabian  both amazing though
Action,Red Dead Redemption 2,2025-01-20,going in for my fifth play through. just never fails
Action,Red Dead Redemption 2,2025-02-02,i been having this game for years never finished it its so overwhelming but today im going to start it and hopefully finish it with the internets help lol
Action,Red Dead Redemption 2,2024-09-16,makes me want to play the story again.
Action,Red Dead Redemption 2,2024-12-24,i just copped it off steam for 20. i always heard good things but i never had the time to play. i got 2 months to play so i hope i enjoy it
Action,Red Dead Redemption 2,2025-03-18,thank you bro!!!!!
Action,Red Dead Redemption 2,2025-02-03,"ive never watched a single vid on rdr2 but ive seen clips and decided to play it after watching american primeval, i didnt want to spoil anything for myself im glad i chose the right video."
Action,Red Dead Redemption 2,2024-12-12,"just started my 2nd play through after 5 years, nice little refresher video"
Action,Red Dead Redemption 2,2025-01-10,i played when it came out but never finished. back now with a series x ready to get the most out of the game
Action,Red Dead Redemption 2,2025-01-20,"its 2025 and im just starting first rdr2 playthough. im fucking stoked for this game, im just finishing the beginningtutorial part so these videos are making me chub up thinking about all the fun im about to have"
Action,Red Dead Redemption 2,2024-11-21,he's british of course is my favorite strangers and freaks mission
Action,Red Dead Redemption 2,2024-12-24,"one of the things i love about it is how some encounters organically lead into another. case in point ... so i happened up on a deal going down, four men haggling about what appeared to be a stolen wagon. it was night, so i slid over and took a good position behind an old stone wall. the men started arguing, guns were drawn, and in no time at all two of them were dead, one being coldly executed once down with a shot to the head. i figured these were probably not the nicest of men, so decided to take them out. as it happens i had my new winchester rifle that i stole whilst rescuing a store owner's male sex slave, whole different story, and i dropped both scumbags pretty quickly. then i figured there's me, four dead men, and one wagon that's very likely stolen anyway, so hell, i may as well take the wagon and sell it to a fence at emerald ranch. whilst in that neck of the woods and with more cash than i had before, i remembered that marston had a plan to take down a train. for someone who left camp to go hunt a wolf, things really seemed to spiral out of control."
Action,Red Dead Redemption 2,2024-10-14,thanks for this. just got it on ps5 and hope its good
Action,Red Dead Redemption 2,2024-12-05,"dang i just found this video three days after beating the game, lol."
Action,Red Dead Redemption 2,2025-01-25,playing on pc for the first time today. liked and subbed.
Action,Red Dead Redemption 2,2025-03-11,"purchased this game for 14...will give it a try this summer, im really excited."
Action,Red Dead Redemption 2,2025-03-01,my uncle got me this game for 20 dollars so im watching this and i will be back when i finish the game
