genre,game,commented_date,comment
Action,The Last of Us Part I,2023-01-30,22908 you see that wir explosion was amazing
Action,The Last of Us Part I,2023-06-30,33946 ellie that was too close proceeds to walk right in front of them
Action,The Last of Us Part I,2023-03-17,the last of us season 1  ps3  2013 000  episode 1  when you're lost in the 11539  episode 2  infected 21130  episode 3  long long time 32519  episode 4  please hold my hand 50423  episode 5  endure and survive 61717  episode 6  kim 100432  episode 7  left behind 74511  episode 8  when we are in need 84717  episode 9  look for the light final
Action,The Last of Us Part I,2024-05-08,i always appreciate people who dont rush through the beginning as its one of the best openings in videogame history and the first few minutes walking around as sarah really helps build the tension.
Action,The Last of Us Part I,2024-06-19,i love that moment when the building is burning down at 84624 when joel grabs ellie and tells her to look at him and begins crying and he says oh baby girl and hugs her it give me goosebumps. because at that moment it shows that joel is growing even a stronger connection with ellie.
Action,The Last of Us Part I,2023-02-07,one thing i appreciate about mkiceandfire is that hes always gonna get that loot and i respect the grind
Action,The Last of Us Part I,2023-05-06,"this is the type of game which makes you connect so deeply to the characters that you feel like you are actually them instead of playing them. this game is work of art ,a masterpiece and i can't wait for part 2. perfectly done developers."
Action,The Last of Us Part I,2023-01-26,man. the range of emotions she goes through before saying okay at the end. conveys the same face that we the player make when accepting joel's answer. such a perfect ending.
Action,The Last of Us Part I,2024-01-31,my mama said i can only watch one video before going to bed
Action,The Last of Us Part I,2024-03-05,60246 when sam and ellie were playing darts and joel looked like he bout to shoot sam for calling ellie out on bad shots
Action,The Last of Us Part I,2023-02-16,"incredible. this game got me into a rollercoaster of emotions, and also, you did an awesome walkthrough, didn't miss any loot, had an great aim and everything. thanks for letting me have such a great experience of this game."
Action,The Last of Us Part I,2023-12-05,joel  you see that wire? also joel  proceeds to blow up 22902
Action,The Last of Us Part I,2023-01-15,"22907 the best moment, i couldnt stop laughing."
Action,The Last of Us Part I,2024-01-02,i should be studying for a french test tomorrow but instead im watching this
Action,The Last of Us Part I,2023-11-20,41447 joelare you ok ellieno help the way she said no i loved that
Action,The Last of Us Part I,2023-05-17,"henry and sam, definitely the saddest moment in the franchise. will always be for those big bro's out there."
Action,The Last of Us Part I,2023-01-30,84628 this moment just gets me every time. the baby girl
Action,The Last of Us Part I,2023-03-21,"85624 i really appreciate the whole show from the writer actor to director. they made this dialogue even more emotional and sprinkle ellies flavor into it. not just bland lets go anywhere you go but rather ill go wherever you want to go, as long as were together. they made the series really well. sadly the ending feels super rushed but im anticipating for season 2!"
Action,The Last of Us Part I,2024-01-20,22914 see that wire? explodes
Action,The Last of Us Part I,2025-01-11,anyone in 2025?
Action,The Last of Us Part I,2023-04-24,joel collecting savage starlight comics for her
Action,The Last of Us Part I,2023-02-13,when ellie kept telling jokes with the pun book it was so cute omgg
Action,The Last of Us Part I,2023-01-15,one of the best games of alltime . joel turned out to to be one of the best characters in video game history. also they hbo series tonight is going to be .
Action,The Last of Us Part I,2024-01-02,is it just me that watched this all because i couldnt play the game myself?
Action,The Last of Us Part I,2024-02-24,22908 see that wi
Action,The Last of Us Part I,2023-01-28,50854 causally teleports to the car
Action,The Last of Us Part I,2023-04-19,"when one of bill's traps went off i jumped , this game is pretty realistic and great to watch"
Action,The Last of Us Part I,2023-01-15,2701 what do you wanna do? punches the air i'm still watching but that made me laugh
Action,The Last of Us Part I,2024-05-19,watching this is like a movie i never want to end. thanks mkiceandfire.
Action,The Last of Us Part I,2024-06-13,53945 bro's letting the npc do all the work to save some bullets
Action,The Last of Us Part I,2023-03-08,thank you for making these! i cant afford a ps5 or any other playstation system and ive wanted to play this game for years. ever since it first came out. im playing through these videos and maybe one day ill play it for real!!
Action,The Last of Us Part I,2023-01-17,i loved how mk uploaded this the same day as hbo tlou live action series came out.
Action,The Last of Us Part I,2023-11-17,"as much as i love this game.... it does nothing for my anxiety lol. unfortunately, my parents were lame and didn't let me grow up with video games in the 90s, so i've never been one with the controller. my teenager thinks it's hilarious seeing his mom play this game because whenever it's time to fight, i start freaking out like i'm fighting these npcs in real life. i'll be yelling for him to help me, and he just falls on the floor laughing. i think this game would be better if it was vr and you could use a handheld gaming gun. since i didn't have consoles growing up, i went to arcades instead, playing zombie games with a handheld revolver. those were the days. thanks for this video. it helps me remember how to play it. we got it a few years ago, and then rage quit lol"
Action,The Last of Us Part I,2023-09-30,i gotta be completely honest. this game changed my life. it made me a father before i had a child. the best game i ever played. i loved it so much i cant even watch the show or play part 2. i dont want to ruin it for me. the scenes. the storyline. the chills i got from it. kept me interested from beginning to end.
Action,The Last of Us Part I,2023-11-28,"great playthrough, they stop to look at the stuff you would want to look at but don't pause too long, awesome work"
Action,The Last of Us Part I,2023-02-13,082700 where he totures that guy in the chair joel really gives the vibe of a badaas hero
Action,The Last of Us Part I,2023-01-21,watching the tv show made me want to play this again such a good game
Action,The Last of Us Part I,2023-04-05,we're being hunted! spread out and make it easier for them!
Action,The Last of Us Part I,2024-01-05,speed running this entire gameplay! gonna watch it all tonight
Action,The Last of Us Part I,2023-09-18,watching this back after watching pedro and bella is wow they truly cannot ever reproduce this. the people who animated this were just insanely good at their jobs.
Action,The Last of Us Part I,2023-03-13,perfectly captured the game in just 9 episodes!
Action,The Last of Us Part I,2023-03-05,lean on me no can you walk? yes then fucking walk!
Action,The Last of Us Part I,2023-02-14,i literally panicked at 042158 when that damn door didnt open and ive played this game so many times lmao! wild!
Action,The Last of Us Part I,2023-12-22,after watching the hbo series i got interested in the story of this prominent game which previously i've only had heard praises and the emotional impact it caries. i am in love with this story and seriously the creators of the hbo series have done justice to the game. brilliantly well directed and choreographed. the game is a masterpiece.
Action,The Last of Us Part I,2023-09-08,the comedic timing of 43625 was just perfect
Action,The Last of Us Part I,2023-01-16,the point blank shot in the face at 32949 was amazing
Action,The Last of Us Part I,2023-02-08,"thank you for taking me on this epic walk thru. it was nice to see and i love the way you did it. i have to admit, i am not into such worlds end games with zombies and such, but  i liked it."
Action,The Last of Us Part I,2024-06-29,crazy how david called her kid before tryna touch up on her
Action,The Last of Us Part I,2023-08-10,"man! i dont know who you are, but we appreciated you! the grind and effort just to finish this game and share the beauty of this game! we salute you brother"
Action,The Last of Us Part I,2024-06-13,not the willheim scream in the beginning  1205
Action,The Last of Us Part I,2023-02-01,"see that wire? now you dont  i swear it has to be the most effective trap in all of gaming history, i bet like 90 of players stumbled in it"
Action,The Last of Us Part I,2023-01-15,loved this game and i felt like getting around to rewatching it again. i like how this game really was thought through and i'd consider still getting it myself after all this time. thanks for your uploads!
Action,The Last of Us Part I,2023-03-18,"when i tell you i cried at the intro i swear, i wouldnt stop bawling for over half an hour"
Action,The Last of Us Part I,2024-03-23,still one of the best games ever made
Action,The Last of Us Part I,2024-06-25,50855 lmao the way he just teleports
Action,The Last of Us Part I,2023-01-15,it's nice to see this again the story is amazing joel is an awesome character in the game i always wanted to play this myself ever since i have seen the whole game on this youtube and the dlc to it this is one amazing game
Action,The Last of Us Part I,2023-07-20,see that wire blows up
Action,The Last of Us Part I,2023-01-16,22908 see that wire boom
Action,The Last of Us Part I,2024-06-19,i watched tlou 2 before tlou 1 so i can delulu myself joel's still alive.
Action,The Last of Us Part I,2024-08-07,5734 first encounter with ellie 14211 nice animation 15151 water 1 15918 throws brick 20734 water 2 21832 metal groan 22440 eerie sfx 1 22511 eerie sfx 2 22816 how advice 22908 see that wire 22913 restarts checkpoint 22957 lol 1 23230 upside down camera 24648 does the middle finger 24946 craft 1 31209 bloater intro 32615 vocals only 32940 shoots him 33447 craft 2 33700 whistles 33748 your fellow hunters do this 33947 that was to close 34939 to the edge of the universe and back. endure  survive 35307 exits the app 35356 water 3 40005 hotel impersonation 40213 shines flashlight 41412 fence sfx 41450 are u ok 42340 craft 3 43030 adorable 44444 craft 4 44709 the way she walks tho 45345 yeah 50855 teleports 53240 metal creak 55516 craft 5 60110 comic 60242 shoots dart 60654 sniper rifle 61727 fall 61907 oh here we go 62310 teamwork 62553 baby brother 62744 pets horse 62928 sarah and joel 63103 pets dog 64324 horse gameplay 65509 eerie sfx 3 65601 stealth kill 1 70022 lol 2 70115 craft 6 70653 the animation tho 70830 throws molotov 71009 joel 71010 pls 71035 i hate that name 71143 roof glitch 71331 eerie sfx 4 72405 slides down 72723 walking with ellie 73149 lol 3 73504 stealth kill 2 73632 ellie shoots em 73650 sick 74139 lol 4 74215 sick scene 74243 agreed 74403 por ellie 74418 winter 74432 rabbit scene 74519 ellie gameplay 74606 shoots bow 74657 crap hes fast 74731 rock glitch 74835 how are you still alive 75122 sniff 75216 clickers clicking sfx 75334 you werent kidding 100437 lol 5 100606 eerie sfx 5 100706 eerie sfx 6 100805 acceptreject 101032 ellie gets scared 101402 question list 102527 eerie sfx 7 103550 jokequit 103953 photo pose compilation 104315 imitates engine starting sfx 104552 lol 6 104930 lol 7 105145 water gun fight gameplay 105330 lol 8 110951 lol 9
Action,The Last of Us Part I,2023-07-23,22906see that wir... boom! it was so funny help
Action,The Last of Us Part I,2023-02-18,23000 see that wire ... it killed me hahaha ... keep up you're amazing
Action,The Last of Us Part I,2023-07-24,"wow finally someone without annoying commentary and talking over the great characters! also liked the neat gameplay, grabbing stuff just while running by it lol"
Action,The Last of Us Part I,2024-03-10,someone used to tell me... whenever you're in an apocalypse... always bring a shiv
Action,The Last of Us Part I,2024-04-01,joel reminds me of arthur morgan from red dead redemption
Action,The Last of Us Part I,2023-06-27,"i love this game, i love the deep and emotional story and i love the characters. i've only watched the series and some parts of the game and i can't wait to play it when i'll be able to buy a ps5. love ellie and joel forever"
Action,The Last of Us Part I,2023-02-05,"rest in peace tess, frank, sam, and henry you will all be missed"
Action,The Last of Us Part I,2023-01-15,"at 32832 ,you can hear the music alone and forsaken used in the first trailer of the serie"
Action,The Last of Us Part I,2024-08-14,part 1 amazing part 2 a true fall from grace part 3 hopefully comes to repair the damage
Action,The Last of Us Part I,2023-01-16,"just came from watching the first episode to the hbo series, wanted to see if there were any differences in the openings, biggest ones we actually see sarahs whole day at school and taking the watch to be fixed, her elderly neighbor becomes a clicker and killed her whole family plus joel just shows up outta nowhere to kill the neighbor"
Action,The Last of Us Part I,2023-02-14,at 24647 i can even stop laughing about ellie just did that
Action,The Last of Us Part I,2023-02-11,61715 episode 5 ends 74412 episode 6 ends episode 7  8 are too boring 84701 episode 9 starts
Action,The Last of Us Part I,2024-06-20,50722 henry get away from the windows joel and ellie proceed to the windows
Action,The Last of Us Part I,2024-02-11,22907 you see that wire? explode
Action,The Last of Us Part I,2023-02-19,i love the spots where the player pauses  you remember this is a dude playing the game  you try to wonder what their thinking like in 44700
Action,The Last of Us Part I,2023-02-06,"32632 for those who are mad about bill being gay in the series, this is proof hes gay in the game also."
Action,The Last of Us Part I,2023-03-06,i started watching the show on hbo last week because everyone in the gaming community was raving about it and how good it is. the show is good and i just watched the most recent episode last night  i couldn't wait to see the end so i came here for the real deal. the game is really awesome and looks better than the show. great walkthrough man...thanks for posting
Action,The Last of Us Part I,2025-03-19,33945 that was too close casually goes in front of the enimies
Action,The Last of Us Part I,2024-08-22,ellie casually showing them selfs to the enemy 44709
Action,The Last of Us Part I,2023-01-26,i decided to watch the last of us because of pov shorts but never knew that this took waaayyy to long. like almost my whole day.
Action,The Last of Us Part I,2023-01-15,just in time for the premiere  loved this game. hope the show is good.
Action,The Last of Us Part I,2023-07-03,22908 see that wire? that got me dying bruh lmao
Action,The Last of Us Part I,2024-02-26,ellies beef with bill will always be so funny
Action,The Last of Us Part I,2023-05-07,this gave me the chills
Action,The Last of Us Part I,2023-01-15,"played this and part 2 for the first time last year and loved them both. amazing graphics, gameplay, and performances. brutal and brilliant!"
Action,The Last of Us Part I,2023-03-11,this guy just got me out of a spot i was stuck on thank you
Action,The Last of Us Part I,2024-03-05,"just watched the series and watching the gameplay made me realize the fine job they did with series,"
Action,The Last of Us Part I,2024-01-07,"thanks a lot. this is the type of game i would not be able to play myself, quite many dark scary high tension parts. having mkicenandfire play it for me makes it possible for someone without the stomach for it to enjoy it."
Action,The Last of Us Part I,2023-02-12,50853 didn't know henry could teleport like that
Action,The Last of Us Part I,2024-04-08,tomorrow is my annual exam but
Action,The Last of Us Part I,2023-05-07,i literally has goosebumps on my arms and legs
Action,The Last of Us Part I,2024-09-22,60314 joel loading the shotgun ready to shoot sam for telling ellie she had bad shots at darts was funny af
Action,The Last of Us Part I,2024-01-13,32949 that dudes head got pointblank obliterated. watch my back yeah right bro
Action,The Last of Us Part I,2023-07-03,"43443 this reminds me of the time when my dad got me my first 22 rifle, i was about 78 when i started shooting a bb gun. and i got the 22 when i was around 1011 years old. i am now 17"
Action,The Last of Us Part I,2023-01-28,i love how the game and tv series only has little difference but still both are awesome...the tv series is perfect for my gf who doesn't play games
Action,The Last of Us Part I,2023-02-27,"after i graduate currently college junior, i'll buy myself a playstation or a pc that can run this game and i'll buy the game from the store to play it all for myself. just me, joel and ellie on our own journey. maybe in the next 2 or 3 years, if someone can remind me how my progress is doing just so i can update this comment, please do so.. and thanks in advance. wish me luck"
Action,The Last of Us Part I,2024-12-18,5945 ellie's stank eye is so funny
Action,The Last of Us Part I,2024-03-12,"i'm diving into this game for the first time ever now that i've got my hands on the ps5. it's truly the pinnacle of gaming for me. the depth and immersion have me hookedi feel genuinely invested in every moment. being a dad, i can only chip away at it a bit each day, but that slow pace suits me fine it keeps the experience fresh and prevents me from rushing through it. the last time a game resonated with me like this was metal gear solid 2."
Action,The Last of Us Part I,2023-02-27,watching this because of the tv show. such a cool story line
Action,The Last of Us Part I,2023-03-21,24306 one of the best moments in the game
Action,The Last of Us Part I,2023-04-05,cant belive i just spent 11 hours watching someone else play a videogame and loved every second of it.
Action,The Last of Us Part I,2023-06-12,53137 joel lets just stay focused also joel proceeds to smash every window of every car
