Username,Date,Score %,Review
ShadowofZexa,2025-02-25,60,Good game but some really annoying levels and puzzles **** as an Indiana Jones fan I'm happy with it. Great story! Can't wait for the DLC
RGNS,2025-02-24,0,STEALTH STEALTH STEALTH!!!!!! Is it an adventure game or a fvkcin stealth game?????? Controls are not good. You get guns but cannot shoot!! SO WHATS THE POINT OF HAVING GUNS???????? DO NOT BUY.
Alexiswaldorf,2025-02-23,100,"An amazing game that keeps the old and so beloved atmosphere of the old Indiana Jones Games. My brain cant comprehend how did the developers success to maintain the same charisma and behavior of the original Indiana. It doesnt feel like a game, but like an original old movie with the great actor work of Harrison Ford."
Babutto,2025-02-20,90,"Absolutely great game. There are some minor bugs and graphic issues, but in general it follows the tropes of Raiders of the Lost Ark, fits the universe, and delivers the genuine experience and mood of the dawn of the franchise."
MrMurdock69,2025-02-19,0,They ruined Indiana Jones for the sake of DEI. Don't waste your time with this game. Play a weaken Indiana Jones so that other characters are lifted is frustrating.
ScaryFest,2025-02-16,70,"Gran juego, hace mucho no me reia con varias de sus escenas. No es un 10 ya que molesta como los desarrolladores dejaron de lado las tecnologias como FSR, frame gen para AMD. Haciendolas exclusivas para Nvidia."
Hack,2025-02-12,80,"Troy Baker does an amazing job as Indy, if I didn't know better I'd think it was Harrison Ford. For the most part the game runs and looks great, although it does have some issues. The cutscenes are locked to 60fps with improper frame pacing, character animation during cutscenes sometimes slows down and the game has some of the word LOD pop in I have ever experienced. Frame Generation is also broken on the Gamepass version of the game. My last complaint is the AI, they're so stupid that you can run up to them and bonk them on the head before their alert meter fills. Overall though I really enjoyed the game, the melee combat is especially fun, the story and characters were interesting, I loved Indy and the main villain and they hit the vibe of the movies."
scorp332211,2025-02-12,80,"I really wasn’t sure I wanted to play this game after some of the reviews. But I’m glad I did. It had a great story. It was almost like one of the movies. Great voice work by Troy Baker- really sounded like Indy/Harrison Ford. It was challenging at parts, but doable. However, it stayed too long in the main locations. A lot of going back & forth for missions. The guns were really useless. They caused an all-out attack by every **** around. They were also about impossible to control. My main complaint is that you can’t skip cut scenes. It was good in the end as they told the story, but I could have skipped many of them. Also, too many puzzles. But overall, I really liked it. I may buy it when it comes out on PS5. I’d give it a 8/10."
CyberAngel82,2025-02-10,90,An unexpectedly great first-person Indiana Jones adventure that absolutely nails the feeling and storytelling of the movies. A modern classic that we'll look back to for years to come.
VictorWeb,2025-02-09,70,"Я в недоумении от людей, которые говорят, что игра ""скучная""! Они просто не любят головоломки! Да игра не так насыщена екшеном как Анчартед, особенно в начале, но Боже мой, такого удовольствия от приключения и решения загадок, я не полу,ал уже лет 10. Всем любителям мира гробниц и тайн, РЕКОМЕНДУЮ!!!"
dune10,2025-02-08,90,"très bien, enfin un bon jeu Bethesda. Respectueux des films et réalisation de qualité"
Meluto,2025-02-01,90,"Game crafted with love and passion for details, story driven and with a miriad of winks to past movies, books and games from the serie. Technically has some quirks, but in general it is almost like the 4th. lost movie. A must play for sure."
Quoderson,2025-01-31,10,"Graphic is awful, like 20year old game (compare it even vs similar game Tomb Raider 2013year), combat is tragic, items/weapons are designed badly, movement of character is awful, like animations too, GUI / UI is so bad designed. I think ppl who rated this game positively never played any other action game like this, compraing to Tomb Raider it looks very very poorly and cheap in every way."
