genre,game,commented_date,comment
Adventure,Stray,2025-03-17,amazing game. the movement of the cat was perfectly done and the landscape left me in awe at times. never thought a cat and mini robot could make me sad.
Adventure,Stray,2025-02-21,vvery good game just lacs a bit from the story it is very short and still pricey i would wait for a sale
Adventure,Stray,2025-01-08,hermoso juego que no te vas a arrepentir de haberlo jugado de principio a fin. en especial si te gustan estos seres tan hermosos de 4 patas.
Adventure,Stray,2024-12-31,stray was a very lovely game with nice graphics and good gameplay. the puzzles were confusing at some points and i didnt know what to do next.
Adventure,Stray,2024-10-13,"stray offers a unique and immersive gaming experience that captivates players with its stunning visuals and engaging narrative. set in a vibrant, dystopian city inhabited by robots, you play as a stray cat navigating the environment, solving puzzles, and uncovering secrets. the game excels in its attention to detail, from the fluid movements of the cat to the atmospheric design of the city, which feels alive and rich with history. the gameplay is a blend of exploration and light platforming, making it accessible yet rewarding. the interactions with the robotic inhabitants add a layer of depth to the story, exploring themes of loneliness and companionship. the companion drone, b12, enhances the experience by providing insights and assistance. overall, stray is a beautifully crafted game that not only entertains but also evokes a sense of wonder and emotional connection, making it a mustplay for both cat lovers and adventure gamers"
Adventure,Stray,2024-10-03,steam...2k
Adventure,Stray,2024-09-08,"as a cat owner, i highly recommend this game, love the cyber punk vibe, although the main storyline didnt dig deep but definately worth a try 3"
Adventure,Stray,2024-08-28,"un videojuego con una historia, personajes y arte preciosos, me encanto, la historia que se narra es intrigante ala vez que conmovedora, la esttica del juego y su ambientacin son muy bonitos, un juego para disfrutar"
Adventure,Stray,2022-07-22,"despite its unique premise, the game suffers from shallow gameplay, dull puzzles, and a lackluster story."
Adventure,Stray,2024-07-19,"game ini sangat menyenangkan untuk dimainkan. dunianya yang begitu luas dan halhal yang interaktif membuat kita dapat mengeskplornya lebih dalam. game yang menyentuh hati saya saat sudah selesai memainkannya. bahkan saya tertarik untuk mengulangi permainan tersebut dikarenakan masih banyak yang belum saya eksplor dan dalami. worth it bagi kalian mainkan dan habiskan waktu. grafiknya tetap bagus walau tidak terlalu berat. dalam penilaian saya genre810 kontrol dan sistem8,610 grafik8,110 cerita1010"
Adventure,Stray,2024-07-01,i am the cat god gaming little outsider good boy the destroyer of all stuffs
Adventure,Stray,2024-06-17,"the game is pretty good, all things considered. the story blew me away. it's a beautiful game, the levels are beautifully drawn out and made. the mechanics can get a little unintuitive at times, though."
Adventure,Stray,2024-06-14,"probably a good game if you just wanna turn off your brain and vibe, but the game has nothing else to offer. there's close to no gameplay. you just  around the environments the whole game. i'd say the game has a nice, relaxed atmosphere to it, but vibes can only carry the game so far. the graphics are definitely nice. yes, it's 2015 level graphics, but the overall art direction is great. except for the cats themselves, which often trigger that uncanny valley feeling in the cutscenes. the music is sparse and amorphous. for the most part it felt very unintrusive, and intentionally so. i'd say it fits the game well, although there's a slim chance i'll ever wanna hear it outside of the game. i have to note though that some musical cues felt off at times. for example, there was this one time when i was just walking down an alley and this really intense action music started playing for some reason, even though there was no action going on in the game at the moment whatsoever. the game design felt inconsistent. a lot of the objects are climbable, while others that look exactly the same aren't for some reason. i wasn't a fan of the scripted events either. there is one early on in the game where you have to run from zurks and i failed it like four times in a row. why? because the moment you have to jump off the ledge you can't press wspace, you have to press just space, unlike the rest of the game where wspace works just fine. it's little inconsistencies like these that really ruin the enjoyment and leave a bitter taste in my mouth. overall, this is a pretty great scifi cat simulator. if you like cats and don't like thinking, i'd say this game is definitely for you. me though, i couldn't help but feel utterly bored."
Adventure,Stray,2024-05-06,"overrated for sure, game is simple but still it's very good looking with great atmosphere and what's the most important it's fun to play."
Adventure,Stray,2024-05-03,",  2 .          ,     ."
Adventure,Stray,2024-03-26,"short story, but incredible experience with a fantastic story and setting. expectations were high after hearing good things, and it somehow managed to exceed them. this is my 2022 game of the year."
Adventure,Stray,2024-03-07,"even being centered around a cat, this game has some incredible moments. some catch you off guard and turn the involvement and pressure up, while others deliver unique and incredible emotions."
Adventure,Stray,2024-02-16,"zerei 3 vezes ja, fantastico a historia,gameplay...tudo nesse jogo  incrivel"
Adventure,Stray,2024-02-13,jogo de gatinho fofo com robs que sentem mais emoes que muitos humanos por ai.
Adventure,Stray,2024-02-01,"stray es un juego con un potencial que no alcanza. la base de todo es la fantasa de jugar como un gato, pero al final ms que hacer eso lo que tienes es un walking simulator donde el personaje es un gato pero mucho de lo que haces no es lo que hara un gato. aade al walking simulator algo de dilogo para crear una historia super bsica y genrica, algunos puzzles tan sencillos que llamarlos puzzles es una exageracin y algunas secciones un poco ms giles y ms o menos tienes el juego. lo que quedara es la parte de exploracin para encontrar objetos ocultos y as pero esa parte en general es floja, siendo las zonas muy pequeas en su mayora.grficamente el juego est bastante bien ejecutado, especialmente el gato est fantstico, pero a mi a nivel esttico me acab cansando mucho. el sonido es ms bien flojo, con unos efectos escasos y repetitivos, y una msica poco presente y que en general mejor sin ella. y el juego tiene importantes bugs, causando reinicios de ordenador e incluso llegu a un punto en que hay que hablar con un pnj y no quera, siendo imposible avanzar en el juego y me dio demasiada pereza volver a empezarlo prob a reempezar el captulo y mismo problema as que no pude acabarlo y eso que es un juego muy corto tiene un logro para hacerlo en menos de 2  resultado, en mi opinin, es una oportunidad perdida. un 4."
Adventure,Stray,2024-02-01,"stray    ,     ,    . stray    ,    ,       ,     ,    .       ,          .    ,   ,            stray.,       .      ,           .        .     ,     , stray   ,     .  ,          .  9  10stray     ,     ,       .        ,  stray   ."
Adventure,Stray,2024-01-30,"beatiful graphic, it is the most beautiful game i have ever seen. thats all."
Adventure,Stray,2024-01-27,"so adventorous, mildly challenging most of the time. played it on dark autumn evenings. purrfection!"
Adventure,Stray,2024-01-21,spoiler alert this review contains spoilers.
Adventure,Stray,2024-01-03,"ero scettico su questo gioco ma ho voluto provarlo e sono rimasto sorpreso,gioco carino,semplice e rilassante con una storia che tutto sommato  molto carina,conisgliato anche per chi vuole giocare a qualcosa di leggero,"
Adventure,Stray,2023-12-29,"i mean... the game is okay, i definitely can't call it bad, but the way everyone says how great it is... i don't have trouble with people having their own opinions, but when you call a game a masterpiece just because the main character is a cute cat is just... meh. i really can't understand it. the game itself is actually not bad for an indie team, but i don't find it special in any way. just a cool game."
Adventure,Stray,2023-12-24,"great game with an original concept and one of the most beautiful environments i have seen in quite some time. its also a beautiful story, beautifully told. however, i was able to comfortably finishing the game in about 7 hours, making it a bit short for my taste. the story would have offered room for a lot more content, and at the price point the game comes in  came in at release, it is just too short. another criticism i should ad is the low difficulty. the game makes it very hard to fail, i would have loved to see some kind of proper platforming system here. all in all the game is definitely worth playing, just get it on sale so you get a good amount of entertainment for your money."
Adventure,Stray,2023-12-05,spoiler alert this review contains spoilers.
Adventure,Stray,2023-11-12,"szczerze, gra mnie mega pozytyw nie zaskoczya. spodziewaem si e po 30 minutach mi si ona znudzi, ale wcigna mnie na kilka godzin nawet kilkanacie. rozgrywka jest mega przyjemna, relaksujca, wcigajca. rozgrywka jest po prostu rewelacja. do fabuy nie ma miejsca gdzie mona si przyczepi no chyba e do tego, i jest do krtka. jedynym minusem byy moje wasne oczekiwania wobec wygldu grafiki. spodziewaem si e gra bdzie adniejsza, ale i tak bardzo dobrze wyglda. sam kot jest adny ale podczas niektrych cutscen, kociak wyglda dziwnie. szczerze polecam kademu, gra warta swojej ceny."
Adventure,Stray,2023-11-09,"oh quil est mignon le minou ! et rare en plus parce quun rouquin tigr comme a, jen ai jamais vu mais le voici perdu dans une ville abandonne mais qui peut devenir hostile, car elle nest pas abandonne par tout le monde ou plutt par tous ces bidules ici et l !lesquels vous sautent dessus et l, cest le drame ! et du coup, ils ont gch leur gentil simulateur de promenade, cest ballot quand mme ils lont gch avec ces saloperies et en mme temps des sortes dnigmes pour sen sortir, je  qui somnolais gentiment devant ce truc assez dpaysant, ma foi et fort joliment fait en plus. la patte artistique est l, servie par une technique pas mal du tout en fait. moi qui somnolais  moiti donc, car le simulateur de promenade est propice  la somnolence, forcment. et voil quils me font chier avec leurs peluches enrages qui sautent et tuent mon chat !!et l, cest le drame ! dsinstallation immdiate et notesanction en guise de punition et inversement. mais jirai jusqu deux quand mme, oui deux points, car il ne faut point tre trop svre non plus. quand mme. ils ont tout gch, la promenade est foutue, retour  la maison, mon chaton !"
Adventure,Stray,2023-10-28,"it's a really fun, relaxing, simple game that, even though i have no interest in cats, really caught my attention and i enjoyed it. i don't remember any game where an animal is handled so well, it's also quite fun to explore and interact with the other robot characters."
Adventure,Stray,2023-10-19,spoiler alert this review contains spoilers.
Adventure,Stray,2023-09-30,"even when it was still known as the hk project or hong kong project, stray caught my attention a lot. not because i'm an unconditional animal lover, but because it was a feast for my gamingloving side. in a saturated market, where the focus is increasingly on maximizing profits at any cost, often disregarding the consumer, indie games end up being the bastions of the art of game development. and stray, without a doubt, easily stands out as one of the best games i've ever played."
Adventure,Stray,2023-09-29,meow
Adventure,Stray,2023-09-24,spoiler alert this review contains spoilers.
Adventure,Stray,2023-09-13,"i'm not sure what the idea was, i don't understand why this obsession with taking the player so much by the hand, stray isn't that it's a bad game, the problem is that it doesn't do anything with its premise, it all boils down to making three actions throughout the game, the fact of being a cat harms the narrative and it feels as if being a cat had been thought of after starting the development of the game. what i want to say is that being a cat is wasted, specifically it does not fit with what the game proposes, nor with its world, nor with the missions. we are talking about a cat, it should not be able to understand the language or the orders or the motives of the characters. and to make matters worse, we find that absolutely all the missions are to act as a messenger, to go from one place to another to deliver i don't know what to i don't know  is irrelevant who asks you for help, or what is supposed to be happening, it doesn't make much effort to tell an interesting story, but i think that for a certain type of audience it can still be a great game, the world is created with a lot of detail and the artistic direction is impeccable.i think expectations were raised too high and at least for me, it was not what i expected."
Adventure,Stray,2023-08-28,"the most fun i have ever had with adventure game. i sank into this game and forgot about real world. the music, the graphics, story, everything works like a charm here."
