genre,game,commented_date,comment
Adventure,Stray,2025-03-01,"if you discover this game presuming it's all about exploring a mesmerizing open world as a meowing, purring, ginger cat that can vertically climb and scratch surfaces, like it's some sort of simple cat simulator game, then i'm afraid to tell you that it's far from the truth! b stray is so much more.b stray also features equally as much gross areas to explore, areas infested with enemies which will require you to be stealthy, and ultimately a compelling story! all those beautiful screenshots you'll encounter of stray online are generally from the very beginning, the very end and most commonly, from an area near the end of the game called midtown! they're just snippets of 3 chapters part of a larger 12 chapter game! this raises the question of what exactly iisi stray then. let me explain. h1 about stray h1 stray is a gripping, short adventure game where you'll be playing in third person as an unnamed, stray, ginger cat who becomes separated from their cluster as a result of falling from a loosened pipe, deep down to an unfamiliar world. in this new world, roam different types of robots. you'll first meet bcompanion robotsb, which are highlyintelligent, bipedal robots with different personalities and their own respected language. they are notably slow and weak at defending themselves from predators such as bzurksb which are enemies you'll often encounter and have to evade throughout the game. because of their limitations, companion robots have confined themselves to a small safe zone in which imosti of them refuse to leave. within the safe zone are a few boutsiderb companion robots who wish to reach where the cat came from  which is the surface, but the companions refer to it as the ioutside i. however, all but one outsider companion robot is inside of the safe zone when you initially arrive to the safe zone so you must track the rest of the outsiders down and follow their leads to possibly get back to the outside. will the ginger cat survive and make it back to the surface and reunite with their cluster? play to find out! h1 my review of stray h1 i have to say, this game exceeded my expectations. for starters, i wasn't expecting chases and having to hide from enemies. in fact, i blindly got into this game expecting no enemies at all. so, these elements really caught me offguard but in the end i had fun getting past the zurks and sentinels, it made the gameplay experience all more thrilling and intense, fueling my eager desire to get back to the surface. in the about section, i just scratched the surface of the plot  what i shared was just the tip of the iceberg. the plot is what really intrigued and left a profound impression on me other than the outstanding visuals of this game. it's such a deep rabbit hole that i didn't see coming. the plot really deserves as much as credit as the graphics. learning that  the entire map was spoiler a closed cylindrical space called walled city 99 spoiler,  humans spoiler died out from a plague breakout and that the last humans lived within this confined space along with the companions spoiler,  there is a spoilersort of caste system in which inhabitants live in an elevated level with respect to their hierarchy spoiler,  spoiler some of the last remaining humans became companions or entered themselves into the networkspoiler,  spoiler b12 was initially the scientist's assistant and then the consciousness of the scientist spoiler, were details that all shook me. i was not expecting such a rich story. if you're as fascinated by the story as i am, then i encourage you to collect all of b12's memories or to alternatively learn more about the plot from the urlhttpsstray.fandom.comwikitimelinestray wiki. url and of course, i can't finish this section without mentioning the graphics, the visuals  the things that truly carry this game. the game is full of many areas with colorful lighting  which is very admirable, but if i have to be honest, while the game has an abundance of orange, red, blue and other colored lights, there aren't many areas containing beautiful scenery  the perfect places to use as background footage for your screenshots. i was a bit disappointed in this aspect. as a result of this, my number one destination for photography was naturally the midtown. so, i wish there were more beautiful areas on the map to explore. nonetheless, the overall aesthetic of the game is stunning, even if all areas can't be used for pictureperfect moments. h1 my pain point about stray h1 there's only one thing that i'm dissatisfied about stray which is how we aren't able to go into first person. the feature to zoom in your camera felt really pointless to me because part of the cat's body would appear in the shot and kind of ruin it so i don't think i took any shots by zooming in. if we were able to enter first person, i would've taken so much more screenshots and would have put the zooming in feature into use. so, the ability to enter first person should really be introduced. h1 overall rating 910 h1"
Adventure,Stray,2025-02-13,"a great game to play in the face of societal collapse. sometimes very sad, but somehow very optimistic, too."
Adventure,Stray,2025-02-15,"if you enjoy immersive worlds, exploration, problem solving, a little scifi dystopia, and cats, then this is everything you could want. stray is a touching story wrapped in a beautiful world experienced though a novel character. take it from another feline, this is an excellent game for fellow feline aficionados out there."
Adventure,Stray,2025-03-09,wandering through a desolate city with an orange furball and a tiny drone felt more personal and memorable than my entire high school and college years combined. a beautiful game with a dreamy atmosphere and tiny hits of melancholia. no regrets.
Adventure,Stray,2025-02-23,easily in my top 5 favorite games of all time simply for its relaxing features. being able to just hop on and run around solving things as you go. the story feels alot like nier automata to me. its mind twisting storytelling without having a direct storyline. it tells its story through the environment and some npc encounters. but mostly through its environments. its beautiful and the end of the game will have you wishing it had another 40 hours in it. i recommend this game for absolutely anyone to try and i encourage you to get it. and i dont do that often!
Adventure,Stray,2025-03-01,"this game is absolutely gorgeous! it's just long enough to keep you excited and not get bored. all locations are filled with details and climbable objects, so there is a lot of vertical space, which for some reason brought mirror's edge to mind. i scoured every area on my first playthrough but still could not find all the hidden locations, so on my second playthrough i found everything and was pleasantly surprised how well hidden some of them are. i enjoyed the music to the point where i shazamed some of the tracks, especially the ones with beats that i found myself vibing to while playing. as for the story, the premise feels fresh, and i can't recall watching a movie or reading a book about anything of the sort. overall, it's a pretty much perfect game all around. and welloptimized, too!"
Adventure,Stray,2025-03-01,"great game, great story, great cats and great graphics would recommend!"
Adventure,Stray,2025-02-28,"cute game, but not a fan. i felt the free roam sections dragged a lot with nothing interesting to hold my attention."
Adventure,Stray,2025-02-27,"a very chill and relaxing game. it's a linear, platform, puzzle solving game with a great story. its the type of game you can play after beating a soulslike game"
Adventure,Stray,2025-02-27,"i really enjoyed it. got hooked by the story, that game succeed to create a very special ambiance that touched me. not a difficult game, neither it is very long. i spent about 21 hours. one can probably finish it faster, but i played part of it with my son. but it's pleasant and relaxing. i dunno how to describe. it is quite a unique game. looks amazing on a oled screen even though it doesn't have an hdr mode. runs like a charm on archlinux. i highly recommend it"
