genre,game,commented_date,comment,release_period
Adventure,Stray,2021-03-07,happy 200m,Before
Adventure,Stray,2020-06-18,best game ever,Before
Adventure,Stray,2022-06-19,"i see a cat, i buy.",Before
Adventure,Stray,2022-06-02,my cat wants this so bad,Before
Adventure,Stray,2022-06-23,this game is rated awww!,Before
Adventure,Stray,2022-07-18,256 bro my heart melted 3,Before
Adventure,Stray,2022-06-02,everybody wants to be a cat,Before
Adventure,Stray,2020-06-13,that meow sold me this game,Before
Adventure,Stray,2020-06-14,my cat showed me this trailer,Before
Adventure,Stray,2022-06-04,0042 that is such cat behaviour,Before
Adventure,Stray,2022-07-18,cant wait to play this tomorrow,Before
Adventure,Stray,2022-06-16,people are waaaay too friendly!,Before
Adventure,Stray,2022-07-12,100 why is this part so adorable,Before
Adventure,Stray,2022-07-18,cant wait to play this tomorrow d,Before
Adventure,Stray,2022-07-18,just glad they didnt give it a 7.,Before
Adventure,Stray,2020-06-17,thank you for the subtitle at 125,Before
Adventure,Stray,2020-06-11,that purr sound at the end though,Before
Adventure,Stray,2020-08-24,125 this is how you sell a game...,Before
Adventure,Stray,2022-06-02,"as a cat fan, this game gets a 1010",Before
Adventure,Stray,2022-07-18,ign the cat is adorable people goty,Before
Adventure,Stray,2020-06-12,when he said meow.......i felt that,Before
Adventure,Stray,2020-07-03,"whoever you are,im so proud of you.",Before
Adventure,Stray,2022-07-18,a game every cat's owner should play,Before
Adventure,Stray,2020-06-11,the real winner of this presentation,Before
Adventure,Stray,2022-05-30,justice was not served. what a shame,Before
Adventure,Stray,2022-06-25,there is even a dedicated meow butten,Before
Adventure,Stray,2022-06-08,for my cat who sadly passed last week,Before
Adventure,Stray,2022-07-18,all games should have cats in it! 810,Before
Adventure,Stray,2020-06-18,cat meow me where is preorder button?,Before
Adventure,Stray,2020-06-17,i want to play this game right meow!!,Before
Adventure,Stray,2022-06-02,1010 just for the cat hiding in the box,Before
Adventure,Stray,2022-06-03,"omfg. as a cat lover, this game hits me",Before
Adventure,Stray,2022-07-18,it makes you feel like a stray. 810 ign,Before
Adventure,Stray,2020-06-17,a little cat with a backpack? i'm sold.,Before
Adventure,Stray,2022-07-18,this game really makes you feel like cat,Before
Adventure,Stray,2020-07-03,please stays lets all unite for them!!!!,Before
Adventure,Stray,2021-07-30,105 this shot right here is a masterpiece,Before
Adventure,Stray,2020-06-17,cat meow me human.exe has stopped working,Before
Adventure,Stray,2021-06-16,happy 1st anniversary to this masterpiece,Before
Adventure,Stray,2020-06-14,"meow yep, this is already game of the year",Before
Adventure,Stray,2022-06-05,can we meow all the time if we are hungry ?,Before
Adventure,Stray,2022-06-03,as a lover of cats...im so ready for this!!,Before
Adventure,Stray,2020-06-11,id literally buy the ps5 just for this game,Before
Adventure,Stray,2020-06-17,stray kids everywhere all around the world.,Before
Adventure,Stray,2020-07-03,i can't explain how addictive this song is.,Before
Adventure,Stray,2022-06-02,"can't wait to play, looks like a lot of fun!",Before
Adventure,Stray,2022-06-05,"i will play with my cat, we loved this game!",Before
Adventure,Stray,2020-06-13,cats? we play as a cat myyy wallet is ready!,Before
Adventure,Stray,2022-06-03,they finally showed the combat! looks amazing!,Before
Adventure,Stray,2022-06-20,i'm a doglover but i'm so hyped for this game.,Before
Adventure,Stray,2020-06-11,ign this game really makes you feel like a cat,Before
Adventure,Stray,2020-07-02,han's rap is so satisfying i can't get over it,Before
Adventure,Stray,2020-06-18,"stray kids is stray kids, no one can copy them",Before
Adventure,Stray,2020-07-03,this is the best song i've heard all year xoxo,Before
Adventure,Stray,2022-07-18,youve convinced me to preorder this game today!,Before
Adventure,Stray,2022-05-10,"greg's mother is a really good mommy, very kind",Before
Adventure,Stray,2022-07-04,amazing how some people can become so twisted!!,Before
Adventure,Stray,2020-06-21,"people, this is the evolution of chan's kitchen",Before
Adventure,Stray,2022-06-03,plot twist it's the cat of love death and robots,Before
Adventure,Stray,2022-07-18,a not so nimble cat sounds like my cat to me lol,Before
Adventure,Stray,2022-06-05,and this year's game of the year.... stray!!!!!!!,Before
Adventure,Stray,2020-06-19,the perfect game doesnt exist stray hold my catnip,Before
Adventure,Stray,2020-06-11,"i always wanted to be a cat, i can finally be a cat",Before
Adventure,Stray,2020-06-24,no one skz being a group full of visuals and talent,Before
Adventure,Stray,2020-06-19,just dont kill the cat at the end all im asking game,Before
