Review,Positive,Helpful Votes,Funny Votes
"I was banned for ""map hacking,"" even though I didn’t cheat—I was simply using the Imperial Spies ability from the Chinese civilization. During the match, I was dominating my opponent, and they started flaming me in chat before reporting me. Somehow, that led to me getting banned.

I submitted a ban appeal, but the response took so long that the ban is effectively over by the time they rejected it. When I asked for more information to understand what triggered the ban and how to avoid it in the future, they refused to provide any details, claiming it would ""jeopardize the integrity of their moderation system."" As a result, I have no idea what I did that caused the ban.

It’s hard to recommend a game where you can get banned simply because you’re winning and other players report you out of spite. The slow appeal process and lack of transparency make it clear: play at your own risk.

Feel free to review my games if you think I'm lying: https://aoe4world.com/players/8767995-BunBun",False,240,23
"i was kinda disappointed on aoe 3 and so didn't expect aoe 4 to be this good, the story-telling, the game mechanics is just perfect (the controls feels better on aoe2 though). while aoe 2 is perfect, aoe 4 is just the next level that it almost made me feel the spark of the old times of aoe2. definitely worth it to buy it.",True,37,1
"You either are forced to play at a fast pace or lose. There is no longer a nice build up time, its all action nonstop. I miss my relaxed games and campaigns but devs decided to appeal to the zoomers 0.5s attention span and make the game feel rushed all the time. Going back to AoE2 and AoE3 for slower and relaxed games.",False,17,2
"I've played RTS games for 18 years now (started when I was 4 with the original starcraft). I was always horrible at playing multiplayer. This is without the doubt the best RTS game to start playing multiplayer if you always wanted to give multiplayer a shot but were scared of being bad at it (like me!).

The players in ranked and quick matches are not some high level players! For the most part they are like me and you who just play this game for fun and not for being overly competitive. While the campaign is nothing really to write home about (though the cutscenes are pretty cool), I cannot recommend this game enough if you wanted to ever have a go at RTS multiplayer that is not overly sweaty!

But don't just take my word for it! Here is a very great video on the topic if you have some free time: https://www.youtube.com/watch?v=Rl4myN8q_KM&t=3237s&ab_channel=CloudCuckooCountry

Cheers!",True,14,0
"When I heard about Age of Empires IV (AoEIV) I couldn't wait to play it, since playing all of the previous entries had gave me one of the most memorable experiences I had ever had in gaming. And here is what I have to say:

I love how AoEIV had taken the time and effort to bring us a historically-accurate stories that are tied to the gameplay. I really enjoyed the aesthetic of it; it certainly makes the game so unique with their colors, their sound design and the way you can experience the gameplay and the cinematics. I think this is the part that I love the most.

Each of the civilizations feel unique, although not as unique as in Age of Empires III (AoEIII), in my opinion, with exceptions, naturally. I think it a bit as a combination between Age of empires II (AoEII) and AoEIII, leaning a little bit towards AoEII, which, by the way, is my favorite Age of Empires due to several reasons. The strategies and battles are surely good and I enjoy having different kinds of the same group of units, each with different functions. The walls' mechanics are also a good addition and adds a lot in terms of strategies and siege.

I know for a fact that many of the updates have solved many of the issues that player the player base have experienced by now and I applaud this; it was actually the bugs that led me to abandon the game some time ago, hoping for it to get better after some updates. And it really happened, even releasing a DLC. Reading this DLC's reviews, which I won't buy at least for now, shows me that AoEIV may be in a limbo where instead of taking advantage of what it is, it is just a bit nervous about the steps they need to follow to earn new and old fans of the series.

One of the things I don't like at all is that there's too little focus on the single-player experience. What I loved about AoEII was the different heroes, scenarios and setting of the campaigns, and that is also one of the things that made AoEII so memorable for many people; the amount of content that you could experience on your own was tremendous and adding the multiplayer was just perfect for all types of players. AoEIV is lacking heavily on this side: there's only half the campaigns for each of the civilizations that you can play. This is, you can't have a designed single-player experience focused on each civilization, which I find upsetting. Even more: I believe that releasing a DLC with single-player DLC-civ's campaigns before having the base game civ's ones is unforgivable.

The game really wants to push you into multiplayer, which, of course, is a big part —maybe even the most important part— of these types of game. And even though I understand why this has been done, I think that leaving the single-player experience ins such a small featuring is something that takes too big a hit on the experience.

Finally, I want to say that I played all the campaigns but I was not able to get one of the achievements due to a long-known bug. The game has been out for years by now and I think that having this bug, something so small, still lingering in the game after all the feedback is so embarrassing. 

With that being said, I think that the game is a good one and for the time I played it I had fun. It obviously had a new and good idea of what to do and what it wanted to be, but I think that the execution is a half-baked product that leaves aside a great portion of the players. I think that the game can continue with this fresh appearance and twist on the series, which I think is amazing, but it also has to take into consideration all of the accomplishments made by previous games to be better that the sum of its parts.

Solid game, but it still needs some work.

6/10",True,16,0
"They really did good job even with the DLC, I would recommend it, I have almost 2k in AOE 2 (HD + DE) and this game offers a lot of stuff new, unique civs with a lot of different of units and buildings with unique technologies for each civ (similar to every AOE I guess but even though tons of civs exist in aoe2 in AOE IV feels more diverse, campaigns are really good graphics are great, and I run it with Linux on proton, which runs really faster with more FPS than on windows 10, I get some crashes though but it is normal since the game don't support Linux officially. until now i have it only in campaigns and single players.",True,9,1
"Hit something above 300h lately and still not bored of the game.
A lot of improvements since the last DLC, and developer became way more active and communicative.
From my view clearly the best RTS currently out there generally but especially in design, sound, fun and accessibility. 

Looking forward to my next 300h :)",True,8,1
"If you're looking for Age of Empires 2 with new graphics, this is pretty much it. It may have been released in 2021 but it plays like it's from 2001. The story mode is good with full videos before each mission that attempts to tell you about the history of the next mission, but.. The voice sounds like it's AI getting a lot of names/words mispronounced. I put this game on the same shelf as Iron Harvest which was also released in 2021. Recommended as a good time sink for a few days, but something i'll now uninstall and not pick up again. Probably worth it at 50% discount.",True,3,1
"Achievement sync with Xbox Game Pass version still doesn't function, known issue for 3 years btw, syncing with Xbox unlocks the achievements in-game but not on Steam, which prevents you from ever earning them on Steam.

If you care about that, don't sync with Xbox. The Xbox progress sync ONLY ever transferred achievements... and they don't even unlock on your Steam profile. There is no way to reset your account progress to fix this so that you can earn them again.",False,3,0
"I really wanted to love Age of Empires IV, but it just didn’t feel right. The game is much more fast-paced than older titles, leaving no room for slow, strategic building. Instead of clear, familiar icons, everything is replaced with confusing symbols, making simple tasks frustrating.

Worse, there’s no option to save multiplayer games, forcing matches to be rushed instead of carefully planned. It feels like the game is designed for quick, action-heavy play rather than deep strategy. Like many modern games, it’s also been simplified too much, losing the charm and depth that made Age of Empires great for me.",False,1,0
