Review,Positive,Helpful Votes,Funny Votes
"One of the most detailed and freedom-giving RPGs I’ve ever played. I created a total of 3 different characters, and each of their adventures was completely unique. Since I didn’t like the outfits in the game, I added various gothic clothing and hair mods. This way, my characters looked amazing and I could roleplay exactly as I wanted. I also really enjoyed the combat system based on DnD rules, as it gave a sense of being strategic and creative. The game's story is very captivating, its fantastical world, and music are perfect. BG3 is a fantastic game that I will play again and again.

""Huginn approves""",True,88,5
"This is probably going to be one of the best games for the next decade, the voice acting is sublime and the writers seemed to have made deals with the devil in order to make such a good tale. 10/10",True,45,4
"I don't know how they pulled it off. After seeing Baldur's Gate III listed as Early Access many years ago I thought to myself ""Good luck, there's no way this lives up to the older Baldur's Gate games"" as those games were a huge part of my teenage years and turned me on to DnD in general. I kept hearing great things about the Early Access game from friends that never played the originals but I still held out until it was fully released. I have never been happier to eat my words. Not only does this game FEEL like a Baldur's Gate game, it's the best of all of them. The amount of freedom in this game makes me feel EXACTLY like I felt while playing the older two games. I constantly think to myself while playing, ""They thought of everything!"" This is completely worthy of the Baldur's Gate name and worth every penny at full price. Bravo!",True,58,1
"I started playing this game a year and a few months after it was launched and immediately got into character creation which took me over an hour not to mention building my Dream Guardian. Since purchasing it at full price, I was weary to buy a game for 60 bucks, but it has been the best 60 bucks I've spent in a LONG time. 

The whole game itself doesn't hold your hand during the game, but it does help you build up your skills and learn how to play as you go which is great for those who haven't played CRPG turn based game before. I have basically played this nonstop since October to pass time and as you can see with my 527 hours on record, I absolutely LOVE this game. The options for responses and endings are endless. I'm thoroughly blown away with the voice acting and, yes, the mod options. There are many people who hate playing with mods, but to me it adds a lot to the game and enhances my game play experience making me want to play it more. I have done numerous campaigns and as of January 2025, I'm doing my 2nd durge campaign trying to play a somewhat evil character which is hard as I've cried from being evil to pixels haha. 

Overall, I think this game may be the best game I've ever played and I love how Larian and the VA's show their active participation in the community along with Larian giving us FREE updates and gives modders the toolkit. This company could've charged $100 or more for this game with the amount of work and thought put into it along with the (again) FREE updates, but they didn't. They have shown they care more for the player's experience and making a game that out beats other new games and certain *ahem developers AHEM Bethesda* by giving us a game that is completed at release (from what I've been told by other gamers who played this at release). I recommend this game to anyone who wants a rich, fulfilling game that doesn't have any extra catches outside the initial price.",True,34,1
"The replayability of this game is insane, Larian did an amazing job giving us exactly what we wanted and maybe even a little more. This game has taken over my life and I love it so much, lol, and showing no signs of putting it down any time soon!",True,25,0
"I have played this game for 6 hours (2h on character creator), never played this type of game before.. can say I am impressed and enjoying it a lot.

18 hours in the game: I think that I'm addicted. The stories are surprising and wholesome. I feel like a hero in this game, living for the good of the people.

50 hours: I finally finished act 1. And oh boy did I turn from good to evil with every step I took. I didn't mean to be... How was I supposed to know that pulling the wrong lever, I'll be catapulting a gnome to space. That wasn't my fault.

80 hours: Yes! Give me your gold. All the shiny trinkets you have. Give me your soul and all the power you hold. Give me more... MORE!

100 hours: How dare you look down on me, thinking like you could ever defeat me?! Hit me with all you got, it will never be enough!

120 hours: ... *only screams echo in the darkness* ...

130 hours: *Muahahaha-*
You may call me the blood queen,
but your agenda is also driven by greed.
The battle you lost, your advisors lied.
Your heroes are dead, your city is mine.
No evil as dark or vengeance as red,
have never been seen as I took the kings head.",True,20,12
"Look, there are a lot of reviews about this game, and I don't think I can add some interesting new views to that,

Instead, I'll just share that I have over 476 hours played in the game on GoG. I like the game so much I paid for it again on steam, full price, because I felt like supporting the developers some more. You might really, _really_ enjoy this one. :-D",True,24,0
"At first, I was hesitant to buy this game because of its price, but after playing it twice for a total of 260 hours, I still want to come back for a third playthrough, I can confidently say it’s worth every penny and more.

[h3]The customization:[/h3]
The game offers a wide selection for customization, allowing you to choose your race, background, and class, with the option to multiclass. You can even customize your voice, body type and your wiener. Dialogues are influenced by your origin, race, and class. Wizards and sorcerers can make fun of each other, drows can intimidate others, and companions might banter with you about whose god is the better one.

If you don’t want to create your own character, you can play as one of the 7 Origin characters. I recommend creating your own character or trying ""The Dark Urge"". He is unique as he is the only Origin character who doesn’t appear in the story, offering a unique playthrough you won’t experience on a normal playthrough.

The animations and facial expressions are impressive as well, they bring life to both human and non-human races. Even characters like dragonborns have expressive facial expressions.

[h3]Companions:[/h3]
The game features a huge cast of companions (10), each with their own distinct personalities and backstories. Over time, these companions evolve from strangers in your party to allies, friends, or romantic interests. Companions dynamically react to your choices and to each other, leading to surprising dialogues and conflicts. Bringing specific companions to encounters can change how they unfold, and you can influence their fate—helping them stay on their path or stray away from it. The voice acting is also phenomenal. Romances also features options for polymorphic or same-sex relationships, (so no one missies out on Shadowheart or Halsin).

Spoiler Alert: If you don’t want to miss an easily missable companion:[spoiler]When you meet a drow named Minthara, and if you get into a fight, switch to non-lethal combat and knock her out instead of killing her.[/spoiler]

[h3]Open World and Exploration:[/h3]
The game does an amazing job with its story, covering a wide range of topics, with its central themes being trauma, trust, and personal growth. There are three acts, each offering many beautiful and memorable locations to explore. Its open-world design lets you roam freely, and NPCs dynamically react to your actions. 

The world feels alive, with consequences for your actions. After 200+ hours, I’m still finding hidden dialogues and secret details that surprise me, making me appreciate the developers’ attention to detail.

[h3]Gameplay and Mechanics:[/h3]
The game offers many difficulty options, from ""Explorer"" for those who just want to enjoy the story to ""Tactician"" for the min-maxers. You can also play the game solo or in co-op, giving you the opportunity to experience the story with your friends.

Combat is highly creative, with spells and abilities that interact with the environment. For example, you can set up explosive barrels before an ambush or use water to create electrified surfaces. Players can tackle obstacles in numerous ways—combat, stealth, magic, or conversation. This variety ensures you can tailor the story to your own playstyle.

[h3]Flaws:[/h3] 
[list]
[*]As with many open-world games, bugs can arise due to its complex and detailed structure. For example, after killing a character, NPCs might still refer to them as alive. In one instance, I exposed a thief disguised as a guard, only to have him arrest me for stealing. 
[*]The ""non-lethal combat"" system, while great for roleplay purposes, doesn’t change much regarding the story. Knocked-out characters are treated as dead in most cases, with only a few exceptions.
[*]Lastly, the game struggles to provide a meaningful ""evil"" playthrough. While you can roleplay as morally grey or chaotic, the ""evil with purpose"" path is underdeveloped. Choosing the evil route frequently locks you out of story content, companions, and loot, making it less rewarding compared to good or morally ambiguous paths.
[/list]

[h3]Modding:[/h3]
The game supports modding through its official tools. You can download mods for quality-of-life improvements, like new hairstyles or face shapes, to more substantial additions such as new classes or playable races. For those who enjoy customizing further, mods like the ""handsome Lae'zel"" option let you adjust her appearance (though Bae'zel is already pretty stunning as she is!).

[h3]Overall:[/h3]
Baldur's Gate 3 is a masterpiece that combines rich storytelling, deep customization, and endless possibilities for creativity. Whether you like D&D or completely new to the genre, this game offers an unforgettable RPG experience that will keep you coming back for more.",True,9,0
"Okay, let's be clear: I'm a button-mashing, adrenaline-fueled action RPG kind of gamer. Give me fast-paced combat, flashy spells, and a story that unfolds at breakneck speed. Turn-based strategy? That's for... other people.  I only bought Baldur's Gate 3 because of the hype; I figured I'd check it out, maybe play for an hour, and then move on.  I was spectacularly wrong.
 
This game somehow managed to grab my attention and refuse to let go. The story is surprisingly engaging, full of unexpected twists and turns. The characters are well-written, the dialogue sharp and witty, and the sheer number of choices available is overwhelming in the best possible way.
 
The combat, initially a confusing mess of dice rolls and ability checks, slowly transformed into a deeply satisfying strategic challenge. The feeling of outmaneuvering a tough enemy with a perfectly planned sequence of actions is incredibly rewarding, even for someone who usually prefers to just hack and slash their way through a game.
 
The sheer amount of content is staggering. Seriously, the replayability alone makes this game worth the price of admission. There's so much to explore, so many different paths to take, and so many ways to play.  I went in expecting a quick playthrough, and instead, I found myself completely lost in a rich and rewarding world.
 
Highly recommended – even if you're an action RPG purist like me, and even if you only bought it because of the hype. You might just surprise yourself.",True,14,0
"This is a very enthralling game, not without flaws of course.  I encountered many bugs during my playthrough that required me to reload a previous save.  I also find the last part of the game to feel very underdeveloped compared to the first two acts.  Despite that, it's one of those games that as soon as I finished I wanted to immediately play again and see how my choices would change things in its vast world.  One of those RPG's that I will come back to, many, many times.",True,4,0
