Author,Comment,Likes
@darky303,I thought Graves died in MW2 why the fuck is he alive ?,0
@henri2353,Absolutely disappointing i bought it yesterday for 10 € and i say it’s still not worth it what happend to the tactical story game,0
@GAMER62738,I'm watching this video 360p but looks like 4k movie 🤯🤯😍😍,0
@Hypernova6642,"Probably the most unsatisfying ending to a CoD campaign ever. I was hoping that they’d do something right and have Price kill Makarov or something like that, but once again the developers gave us a big ol’ fuck you. I don’t know if they are trying to set up a modern warfare 4, which god I hope they don’t do seeing the shit-show this game was. Just like Activision to give you an unsatisfying ending to an already awful campaign. Fuck you too Activison, fuck you",0
@SaGareditz101,Bro like how Activision short the story like this 3hours full gameplay. ???????,0
@mkh8771,They have copied and changed Iran Air logo that is absolutely the most beautiful logo of all airlines. They have used it on the containers.,0
@Zinger_box_exe,17:55 reminds me of modern warfare 1 2019 in fog of war Alex gets attacked by Aq,0
@IGagHer,it’s like the graphics got worse since 2019,0
@stevenbrown2735,My Mom Go her,0
@stevenbrown2735,What what what what what what what what what what what what what what 123,0
@stevenbrown2735,Did you Chris Brown,0
@stevenbrown2735,Chris Brown Steven Brown,0
@NovaRussellRain,"""i wanna be like you when i grow up""
""you wanna be better than me, johnny.""
""think ill live that long?""
""prolly not""
that did not age well 😭",2
@Fed_Fes,They copied Battlefield with this one.,0
@C0rnChip,Crying I hate this game so much why would they kill him,0
@AmerasianRedneck,"Wow, I am so out dated. Sucks being poor.",3
@CarlosBobbert9872,"The campaign started off great then the second and third missions suck it’s like warzone, running around a big map alone trying to do things, not like the other cods",2
@Jane_Character_ai,1:12:25,0
@Jane_Character_ai,26:16 I can't stop rewatching this scene idk 😭,0
@jerryconner7482,"Johnny a living legend Rest easy brother. Watching the games really is real life how they fight and lose each other somehow the bad guy aways win. I hate that they didn't kill him when they had the chance but the ending was an epic one. I already knew somebody was going to die, it always happens to the best of us. Thanks for the game walk through very interesting.",0
@TonyStark-h9d,Modern warfare campaign hits different,0
@sobirov1101,What happened to Makarov?,0
@Kreepin-1,They don’t make these campaigns long enough,0
@palesz2049,Holy the Ghost mission took way more time on veteran,0
@braylnbrown561,now that im looking at it bro wtf is this,0
@axstin-,"How did they ruin campaigns even more? Mw19 was so good, mw2 was decent too, but this is just insane and lazy",0
@Ogreatgames_dot_com,"the gameplay mechanics seem so smooth and intuitive. I’m glad developers are focusing on making such polished experiences. It’s what keeps us players coming back for more. I can’t wait to see what updates they bring down the line. Keep up the great work; your passion for gaming shines through! Honestly, I never thought I'd get so invested in a game like this. Your videos always inspire me to improve",0
@raydden1210,This feels like lazy work compared to 1st and 2nd game ....,0
@badgirlslikeyou-z9t,Can u feel,0
@KarungGone,3:00:15 best part,0
@Jane_Character_ai,Before watching this.. future me.. will i get a mental breakdown?,0
@franzefredeluces8535,"😐 1:39:45
👐🏼",0
@MikiKrstic-m7x,even mw knows that kosovo is serbia😂,0
@edwood7960,Thank you for uploading video. I think MW3 campaign is the worst of all  COD series.,0
@Dave-vy5po,This level is awful! It's like a timed math test in grade school.,0
@OsmanKollari,At 1:17:05 is there makarov in the blue jacket?,0
@brader4452,where can i download this,0
@lovesick6637,"Dude, when you got a high value prisoner such as Makarov, you most have given him the incurable magic virus.",0
@Bliss4uu,Tbh im only here for bbgs in 141..,0
@MelchorRock,Cod mw2 from 2009 is the best,0
@Adnan-Masood,The campaign is really good. 👍🏻 only gripe is length.,0
@JohnConnor-k3g,Build a factory of iron and steel there in Russia re-build with fence and conduesive,0
@JohnConnor-k3g,"GOD is Good,.",0
@JohnConnor-k3g,"Thank you for this,.",0
@JohnConnor-k3g,Have should be dense mix with little morning sun 7-8am,0
@JohnConnor-k3g,Russia boundaries to be cold like this to the other side the left side,0
@JohnConnor-k3g,"To another story,.",0
@JohnConnor-k3g,"God is great, GOD will lift us to network",0
@JohnConnor-k3g,"I have not get to watch well, it should be safe, save ❤",0
@JohnConnor-k3g,"That white house is this soldier,'",0
