Review,Positive,Helpful Votes,Funny Votes
"Unbelievable—I’m saying this now, but there’s no way I would’ve said it back when Cyberpunk 2077 first launched. Those memes about all the bugs and crashes? Yeah, I was one of the people who couldn’t deal with it. I rage-quit and left it for dead.

But coming back to it now? 10/10. I’m honestly blown away. The gunplay is smooth and satisfying, the story is incredibly rich, and the graphics are on a whole other level. It’s clear that years of work and countless patches turned this game into something truly special. CD Projekt Red really redeemed themselves, and I’m glad I gave it a second shot. If you dropped it like I did back then, trust me—it’s worth diving back in.",True,501,9
"I'm glad to be able to play Cyberpunk 2077 for the first time in version 2.2 Update.

This game is not just a game to me. The world feels alive and so does every character in the story and side stories. Truly alive and fantastic. I've played countless games in my life but this experience changed my life. I know it's just a stupid video game how can it be so amazing?! Yeah I have no idea. I can't put it into words but this is such an immersive and mature game. It is funny and emotional and real, raw and deep. I love being in the world of this game. I love replaying this game which I never do usually. This game makes me feel things and that is quite an accomplishment trust me :). Every inch of this game and its world is interesting to me and playing through the story doesn't feel like you're doing missions like in most games but it feels like a natural progression and unfolding of a complex and unprecedentely deep narrative. There is also such an incredible feeling of evolution in the story, once you think you know what the stakes and direction are going to be the game throws something completely unexpected at you which changes your adventure and investment in this new adventure.

The cast is also amazing for this game, giving the characters life and memorable moments. Combat mechanics are great, and being able to mod yourself with cyber-ware is one of the coolest experiences I've seen in a game. This game is more than just a visual marvel-it's a storytelling powerhouse and a showcase of how thoughtful design can immerse players completely into a world. Simply put, it's a must-play, especially for those who appreciate deep narratives and richly designed worlds. This alone doesn't include the Phantom Liberty DLC which I think is extraordinary and may be a separate review. Peace, Chooms!",True,215,3
"Super underrated game for hardcore gamers.. game looks ""casual"" but it's actually super deep and wild!
Combat is smooth and feels very nice, story-telling and music are amazing.
Your really get conected with characters. Game feels like it's real.
Game is in my opinion some kind of mix of Fallout and Grand Theft Auto!
I'm very much recommending this game for every type of gamer, from super hardcore to super casual!
9/10",True,72,3
"I bought Cyberpunk 2077 when it was released back then but refunded it, because it was unplayable.

Now 4 years later i bought it again since someone recommanded it to me and I have to say: I DON'T REGRET IT AT ALL

I did one playthrough with 120 hours and it was sooooooo great!! The stroy, the graphic, the gameplay i just can't let this game go.
It is still present in my mind and the story was breathtaking!

Such a good game and I loved it soooo much!",True,65,0
"A [b]tear[/b] that falls while playing a video game holds more than just the weight of emotion—it carries the complexity of human experience. 
In that moment, as the pixelated world flickers on the screen, the tear becomes a bridge between the virtual and the real, a quiet testament to the unexpected depth of connection we form with characters, stories, and even the act of play itself.  
[i]This game has a special place in my[/i] ♡",True,43,1
"[h3][b]Thoughts[/b][/h3] 
It's hard to wrap up all my thoughts about this game. This playthrough took me two months, and I was so close to starting another one right away. It's so hard to move on from such a well crafted world and all those iconic characters. Please play this if you still haven't, it's an experience unlike any other. One which I'll never forget.

[h3][b]What I liked[/b][/h3] 
🟢 There are not enough words to gush about Night City
🟢 Brilliant story, incredible writing across the board
🟢 Memorable characters with exceptional voice acting
🟢 Visceral combat and immersive gameplay mechanics
🟢 One of the best soundtracks I've ever heard
🟢 Phantom Liberty is a whole other game on its own

[h3][b]What I didn't like[/b][/h3] 
🟠 Lackluster consumables & gear that gives no stats

[h3][b]My score[/b][/h3]
[b]10 / 10[/b]
",True,12,0
"I’ve been interested in Cyberpunk 2077 since it was announced in 2012, and I followed it closely since. It has been a rollercoaster, honestly. I was there on day one and decided to wait with my review all these years until after CDPR would have kept its promise to fix it.  

[b]Five years later,[/b] the modding scene has grown so much it's on the homepage of NexusMods. A DLC and many patches have come out, and with CP77 basically being a benchmark tool, it was about time I made my way back to Night City.  

[h1]Unique promise[/h1]  
Cyberpunk 2077 is not just a ""first-person shooter RPG."" [b]The things it excels at are what make it such a noteworthy experience.[/b]  
It all begins with a well-presented - although simple - story that is brought to life by the [b]very strong performance of the actors.[/b]  

It all happens inside of Night City, which is one of the most [b]detailed and captivating maps[/b] out there, likely because it wasn't made just for the game but has a long history and revisions of its tabletop counterpart. The game has a [b]distinct aesthetic[/b], fitting the genre like a glove, and every area feels alive, full of diversity, and things to see.  

It's all complimented by a [b]better take on hacking[/b] that's quite a step up compared to Watch Dogs and [b]solid gunplay and gun handling[/b] that could almost rival Destiny, which excels at it. Each weapon feels different and delivers a reason to use it over others simply for how it handles.  

The [b]side missions[/b], much like in The Witcher 3, are standouts, with storylines expanding multiple missions that can even unlock more endings when completed.
The [b]side activities[/b] are many, yet not so varied, much like in The Witcher 3 often being a point of interest with enemies in it. 

When Cyberpunk puts all these things together and does them well, [b]it genuinely is one of the most memorable experiences you could get in gaming.[/b]  

The issue is when it [i]doesn't[/i].  

[h1]Cutting corners[/h1]  
CP77 was introduced at first with many promises during some keynotes held by CDPR, and then to the masses with a gameplay footage of 40m of a tailor-made demo in 2018. 

Is this uncommon in the gaming industry? No. 
When TLOU2 was shown, Naughty Dog had nothing on their hands and also made a demo environment to showcase what they aimed the game to be like. Many choices had to be finalized in regard to the experience, and so had the design of the characters shown.
There is a spectacular documentary on it on YouTube.  

[b]The issue with CP77 was that it was an unachievable goal.[/b]  

But this is not just about the broken promises; it's also about the ones that were kept, with shortcuts. Even after the many improvements of 2.0, and dropping the old-gen consoles, the game still suffers greatly and has many bugs.
I was actually shocked to find so many, after hearing people talk about it so well compared to at lunch. I think that with time, a good pair of rose-tinted glasses, and with so much exposure to CP77 in ways I'll go over later, time has smoothed out some of those sharp edges in the general opinion that are still there.

[i]For example:[/i]  
The game had promised an [b]origin system[/b] that could be compared to Dragon Age: Origins, and while it does have a slightly different beginning based on your starting faction, for the rest of the story, it'll just be adding an extra dialogue option that you can use, with no impact besides a different sentence. In Origins, people who, for example, knew the family you came from would make comments and have extra dialogues because of it, a completely different level of immersion.

Staying on the [b]story[/b], there aren't many options for roleplaying, with most simply leading to extra endings based on what side missions you've completed. This is true for both the game and DLC.
I had story missions that bugged, telling me to make a call while preventing me until a restart of the game, or even main story bosses bugging with infinite health at 1% left.  

During the story - and that famous demo - the one and only [b]car chase[/b] is present. I'm happy to report that in the DLC, another one has been added, yet much like the story, it's heavily scripted. On a harder difficulty, when I didn't destroy one of the cars chasing me fast enough, it would just self-implode. Additionally, after the chase, I was given control over the vehicle that now had popped wheels and was a nightmare to drive. 

Everything around the [b]cars[/b] suffers in general from how it has been implemented. I have seen the cars either literally waiting on me when I was too far during a race, or worse, teleporting right behind me to make it challenging instead of proper rubber banding. This is the same as it was when it launched. At some point, other contestants hit civilians on the sidewalk, and the police started chasing me.  
I am happy to say though that general vehicle combat has been added!

Speaking of [b]the police[/b], it's great they patched it and now it won't spawn in front of your face anymore, but they still do: a bit further. Additionally, there's an achievement in the DLC to bring the wanted level to the max; this can be done only by killing civilians, attacking the police doesn't increase it, and there are no real differences between wanted levels 1 and 5. No helicopter or insane chase to escape them, it's worse than in Need For Speed Most Wanted from 2005! I'm not sure why they'd highlight such a weak point.  

Speaking of [b]civilians,[/b] they now finally run away from you during crimes, but they are still simpler than in GTA 3 and are nowhere near the promised complexity with day-night cycles even Morrowind had. Instead, if you look at them long enough, they either despawn or go in circles. Their nav-meshing seems to have issues too, since I've often seen them walking over benches and other parts of the map.

[b]All these examples are just what I noticed. Overall, the game is still just not a very polished experience and nowhere where I hoped it would be by now.[/b] I understand a project like No Man's Sky is smaller and requires fewer resources to elevate to the level it's at today, nevertheless, I can't say I didn't expect that from CDPR as a way to make up the wrong.

[b]Phantom Liberty[/b]

Much like the base game, its well-written story is brought alive by its performance, with the last small piece of the map of Night City, Dogtown, being now open and around 30h of content; a good expansion, especially for the new ending which I'll see as canon for my character.
I would not say it's at the level of Heart of Stone of The Witcher 3, let alone Blood and Wine. 

[h1]Forever installed[/h1]  
The smartest thing CDPR did with CP77 was update it to support many experimental features, making its way into many benchmarks nowadays.  
It's one of the few games with [b]full path tracing, ray tracing, every possible type of AI upscaling, and frame generation available.[/b] It's a wonderful benchmark for graphics cards and there hasn't been a video in the last 3 years at least that didn't show the game at some capacity.
Even now, with DLSS 4, the fact they updated the game to support the Transformer Model earlier than Nvidia released the drivers made it so that I could test it out and see all the issues the CCN model had with the path tracing gone.  
[b]They are genuinely doing a great job in this aspect.[/b]  

[h1]The Tower[/h1]  

To anyone who praises this game as one of the best ever made: I'm happy for you. I strongly suggest playing some of the games CP77 said it would be like.

[b]It's crazy how, 5 years later, my opinion on it hasn't changed.[/b]  
The game is not what was promised, despite the impressive work done, and it seems like it never will be, but it's not a bad game.
It's just not what I bought.
And that will always be bittersweet.

[b]6.9/10",True,18,1
"[i]Cyberpunk 2077[/i] is quite the dish. Of course, I had to wait for the controversy to cool down before diving into this tasty-looking treat after that tragic launch. But to be fair, I'm happy to say I enjoyed most of my meal.

There's a lot to compliment on this plate: To start, everything is so delicately detailed that it's almost like a sensory overload - you don't even know where to look first. You can see that Night City has been carefully crafted to feel as lively as possible. The vibes and atmosphere this game delivers almost feel surreally alien, yet at the same time, you can vaguely imagine our future ending up similarly to the one depicted in the game. The combat feels undeniably superb, with every aspect of it working like a charm. The motion capture and acting carrying the game are significant selling points, too. A great range of topics are also covered, including loyalty, principles, business, religion, capitalism and more. It also contains many pop culture references, which is also a massive bonus in my eyes. And, of course, the story was great, too. Everyone blaming a city and corporations for all their problems, but never themselves, is a pretty funny plot. You also get some leeway in your choices while avoiding the overwhelm of too many branching decisions in the story. However, I think I had the most fun playing the side missions.

Despite this, the gameplay doesn't have as much depth as I was expecting. By this, I mean there wasn't much variety in smaller mission types, and unique or special gameplay mechanics were very few. For all it's worth, I expected more for such a high price. Thanks to me, my friends and this game's extensive marketing, my expectations skyrocketed. Yet, it feels like you're mostly paying here for the graphics, details and, of course, [b]Keanu Reeves[/b].

Some other noteworthy thoughts include the disappointment of not being able to play purchased Braindances. I'm sure they would've been a nice addition. Another issue was the romance options. But this isn't primarily a dating simulator, so I can look the other way. However, certain characters were definitely pushed more than others. For instance, some felt like predetermined romantic interests for your character. One thing I can't ignore, though, is the fact that you can change your penis size - even though you're never gonna get to see it in action. As disheartening as this may sound, it was probably just a clever marketing gimmick. Curiously, I think this game is like a mix of [i]Grand Theft Auto[/i] and [i]Far Cry[/i] but with a futuristic and sci-fi twist. Due to this, my dad would probably have a blast with this if he could play first-person shooters.

All in all, Cyberpunk 2077 is a pretty solid game, and I can recommend it to anyone with the computational capacity to run it at max graphics and experience it in its full cyberpunk glory.",True,3,0
STUNING GAME - it is definitely what I expected after so long time of development and huge advertising. It has so much to explore like no OTHER game on the market. It does not feel LINEAR in any way. Night city is a REAL city - full of life and many different places to visit. I have never played such a good game and I hope that CD Project will make another game like this EVEN if we have to wait 5 years for that. Their imagination regarding of humans future is excellent and I strongly believe that our world will look something similar to what we can see in this game. Don't miss this game and forget about bad start on release day - it does NOT matter now - the game is simply BEST GAME of all times!!.,True,3,0
"Much (and correctly) maligned for a sub-par launch, CP2077 grew into the game it was hyped to be. Fans of the old RPG see characters brought to life with excellent graphics, voice acting and gameplay. Character classes a limited (compared to the RPG) but the story is excellent all the same with a good variety of playthrough options (stealth, hacking, straight up carnage). The story branches out a couple of different ways, but your mileage may vary on wanting to play through a couple of times to get them all. The vehicles still handle pretty badly, mind you.

The expansion adds a different line and more buffs for the chharacter and so adds some extra hours to the overall gameplay, and given its been out for some time can be found outside of full price. At the end of the day its a great pickup now that its not a godawful buggy mess. CD:PR made it there in the end, thankfully!",True,3,0
"[h3]Cyberpunk 2077: A Fully Realized Experience[/h3]
Cyberpunk 2077 has finally become the game it should have been from the start! The developers are still actively working on it, which is always a great sign.

Cyberpunk is truly a breathtaking and vibrant world, full of incredible detail. The number of side quests and stories is mind-blowing and adds a depth that's rarely found in other games! The main story is equally rich, packed with emotion, and filled with unforgettable characters, including the legendary Johnny Silverhand, who turns out to have a surprisingly compelling backstory.

The gameplay allows you to tackle missions however you like, whether through stealth, hacking, or action, while the RPG elements let you craft your own unique playstyle. On top of that, there are countless ways to play thanks to the various modules. The soundtrack is phenomenal, perfectly complementing this gritty and futuristic world.

What’s truly astonishing is the community's work on mods, which take the game to the next level. It enriches the experience like never before (and I highly recommend trying them).
[hr][/hr]
[h3]Cyberpunk 2077 : Une Expérience Enfin Aboutie[/h3]
Cyberpunk 2077 est finalement devenu le jeu qu’il aurait toujours dû être depuis longtemps ! Les développeurs continuent de travailler dessus ce qui fait toujours plaisir !
Cyberpunk est vraiment un monde magnifique et vivant, rempli de détails. Le nombres de quêtes et histoires secondaires sont bluffant et ajoute vraiment une profondeur qu'on trouve rarement dans les jeux !
L’histoire principale est aussi très riche, pleine d’émotion, et peuplée de personnages inoubliables, comme le bon vieux Johnny Silverhand qui au final est un personnage avec un beau background !

Le gameplay vous permet d’aborder les missions à votre manière, que ce soit par la furtivité, le hacking ou l’action, tandis que les éléments RPG vous permettent de façonner votre style de jeu. Vous avez aussi d'innombrable manière de jouer rien qu'avec les modules. La bande-son est phénoménale, complétant parfaitement ce monde futuriste et sombre.   

Et ce qui est vraiment juste bluffant c'est la communauté qui fait des mods de malade et ça enrichi le jeu comme jamais (et je vous conseil de tester)",True,2,0
"great story, even better with the DLC extra content",True,3,0
"Great game. Short but great main story. Many fantastically developed side jobs and gigs. Fun character development. Fully immersive and detailed environment -- night city it beautiful, sometimes I catch myself in awe just staring at the scenes in front of me. Already on my second play through and still finding new locations, things, etc. 

Would be nice if the police system was developed better and if there were more places and people to interact with as you traveled through the city -- there are a lot of people and cars but the interactions are very shallow outside of jobs, gigs and the main story. Would be nice to have more romance options and after update 2.2, would be nice to have additional dialogue/interaction during the romancing between V and his/her partner in the apartment than the same thing over and over. 

Overall, best so-called RPG I've played in a long time. Definitely recommend the game.",True,2,0
"Cyberpunk!
I played at release. Horrible experience, you know what I mean!

I played a year or so after, finished the main story and most of Gigs an Biz. Ending was kind of meh for me personally. Therefore I watched the other endings and was happy with how the game evolved.

Now I played the DLC.
Nothing brand new. You have a main story, gigs and biz and some more open world action. It was a blast and I had much fun with it.
I experienced some minor bugs, nothing game breaking.
But yet again, the ending was meh for me! So I watched the other ones. At the end I was satisified.
Would recommend the DLC, give it a try to experience some new fun with V and Johnny :)",True,2,0
"Mid gameplay, but great RPG and story. One of the few modern open world games that can actually keep my current-day attention even in (most of) the side quests!",True,1,0
"Amazing game with a stunning open world, engaging story, and immersive gameplay.

A great overall experience.",True,2,0
This is one of the best games I've ever played. A rare gem where both the storytelling/acting AND the gameplay/action/combat are absolutely top notch.,True,6,0
"cried throughout the entire game, i still wake up with cold sweats and crippling depression because of it. i went in blind thinking i was in for a lighthearted king of the city type of experience and now i miss who i was before playing this game. cannot recommend it enough, 10/10",True,3,0
"BEST GAME EVER
-GREAT story
-outstanding visuals
-best dialogue and voice lines in any game
-excellent music
-crazy mods support
-the end credits video for phantom liberty is legendary
-phenomenal support for the game even after 4 years of release",True,2,0
"Amazing open world RPG game. There's always something to do and story to progress. The action is exciting, it lets you experiment, and it lets you have fun. The amount of detail that went into this game is above and beyond. I enjoyed every second of playing this game and that includes getting 100% of all the achievements.",True,1,0
"I believed in this game from the beginning and invested a lot into it. Merch, Secret Lab chair, CEdition, you name it. Full batchest. It had a very rocky start, but I always loved it. It has evolved throughout the years into a true labour of love. I'm glad I invested back then and am still happy to now, and even bought it on here after thousands of hours in the GOG copy. CDPR is far from perfect, but I'll be damned if they haven't crafted some mindblowingly immersive virtual worlds.",True,1,0
"Cyberpunk 2077 is not like many other games, at least for the first play through, maybe even the second. 

Your first play through will be filled with trying random things, having a great time, and also hearing a lot of really good dialogue and voice acting. It's going to make you want to play it again, and again, and eventually you will start to skip through it, but the gameplay still keeps you around, something keeps sucking you back in. 

Night City. That's what keeps you coming back in, once she gets her claws in you, you're never truly going to leave. Night City will chew you up, spit you out, you can rise to the highest highs, and fall to the lowest lows, experience the loss of so many people close to you. Yet you will still come back for more, just one more run, just one more build, just one more gig.

So wake up and go burn this city Samurai, burn your name into her so deeply she never forgets it. But remember, she can just as easily burn you. So in the end, whats more worth it to you? Making it to a ripe old age, or going out in a fiery blaze of glory, taking as many corpo scum as you can with you?",True,1,0
it's just awesome really. Almost bridges that gap between FPS and RPG.,True,2,0
"I love this game!
  The game's story is captivating. V's struggle for survival, acceptance of fate, and maybe triumph (becoming a Night City legend in such a short time - despite their deadly situation)  [spoiler]is all an epic tale of how much  California sucks[/spoiler]  ~ is a message about the inevitability of death, and that nothing lasts forever, and to make the best of what you got because it all fades away eventually......
10/10",True,1,0
"I went into this game with minimal expectations, but wow, it completely took me by surprise. It feels like a modern-day GTA, only better. Playing it was as if my FBI agent gathered all my complaints about Rockstar games and used them to create something truly incredible. Absolutely an awesome game

[spoiler] PS: One day, I loaded in planning to drive around and throw knives at anything that moved, but instead found myself carefully texting the grandmother of a girl I somehow ended up dating, trying not to make a bad impression. 10/10 game [/spoiler]",True,2,0
"I won't take too long beating the same dead horse that's already been beating a 1000 times before. Unless you've been living under a rock, you know the game had a disastrous launch, you've likely heard that CDPR lied & how now it's been experiencing a massive redemption arc the past couple years. 

[h3]And yes, it's TRUE.[/h3] CDPR hid, deceived, misled and outright actively LIED about the state of the game on release, lied about features and the way systems worked in the game. What is also true is that YES, they have made insane progress attempting to redeem this game and they DID redeem the game as a product if you can separate experience from the scummy/lying practices they exhibited 4 years ago.

[h3]If you can get past the past and focus on what the game offers you now, you're going to get one of the most technically impressive and impacting experiences you'll have in a long time. It's really an extraordinary game now. Now, let's focus on the actual review:[/h3]

[b]Positives:[/b]

1) Flat out, the game has what is in my opinion, at MINIMUM Top 5 writing for a video game ever. CDPR's unbelievably talent in this department only has gotten better and these guys ACED it here. The game understands and respects the power of immersion and goes the extra mile with all the small details. When the game sucks you in, you are IN.

2) Visually, it absolutely is as stunning as everyone has said it is. Top 3 all time from a graphical standpoint for me personally. From the under the hood technical capabilities of the game's lighting and fidelity, but also from the handcrafted world. It's constantly stunning at every step of the journey.

3) Really enjoyable and varied approaches to game-play with several different ways to build your character & approach objectives. It's also got that classic Morrowind feel where the game will let you become comically OP if you so choose. It won't restrict you. Wanna take a fast paced, physical melee approach, jumping over buildings and dashing at lightning speed in-between enemies?  You can. Wanna be a stealth operator, covertly subverting security systems, utilizing an arsenal of tools to avoid detection and taking out enemies with silent, precise strikes? You can. Wanna be an over the top, godlike net-runner who can drop every enemy in a building before even stepping foot in it? You can.

[b]Negatives:[/b]

1) The game world, while aesthetically, one of the best looking I've ever played, can sometimes feel a bit static & lacking in interactivity. There isn't a ton of interactivity and if you're coming from something like a Rockstar game world and expecting the same here, you won't get that.

2) The traffic is unfortunately still kinda horrible lol. The AI for drivers randomly just breaks and cars will just stop and stay stopped in the middle of the road and at stoplights. They've advertised that police chases are now fixed but honestly, it's still extremely underwhelming. You can be in the slowest of cars and instantly lose pursuers with basically zero resistance once you get a few streets away from the scene of the crime.

[h3]EXTRA: Also will shout out here, that Phantom Liberty, the expansion for the game takes all the positives of this game and basically DOUBLES it. Honestly the best content in the game and a must buy.[/h3]",True,1,0
Cyberpunk 2077's redemption story is nothing short of legendary. One of the best designed and immersive open worlds. I sometimes just pause and stare at the screen in awe of how enthralling it is.,True,1,0
"The most immersive video game world I've ever experienced. There is no reason to not at least try it out.

Version 2.2 is CDPR at its peak. Shame that the game didn't release in this state in the first place, however the path towards it at least shows that they are willing to make a product they're proud of. Hopefully CDPR will continue to create great games in the Cyberpunk universe, just with an acceptable launch this time, now that they have a working baseline for the game.

",True,1,0
"Absolutely incredible game.

As someone who suffers from motion sickness in first person games, I have had no issues with this game at all.",True,1,0
"great game
even tho i got the devil's ending(which kind of sucks)
the game was really fun and the gun combat was great
considering purchasing the DLC",True,1,0
"not only is that actual graphics phenomenal, but the story line is great as well. I just started and I am very fascinated by how the story carrys on",True,1,0
i got this game a year ago what a miss.i pick it up to see if it was better.i have to say yes.a great story is told in it.side jobs are so fun and all the guns are so cool.i like you are free to do what you like in it.still has some bugs but not gaming breaking.a cool fun game.,True,1,0
"Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City — a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.",True,1,0
"Before this game, I was simply running with the edgers. By the end, I was edging with the runners. Words can not express how much punk my cyber was doing as I punched the final boss to death. The only way this game could be better is if they added the entirety of the North American continent so I can continue my edging streak all across America. Maybe in the next dlc (HAHAHAHAHHAHAHAHHA), Keanu Reeves can have a more important role. Wake up Samurai, we have a city to burn. (That line was never said in the game)",True,1,1
"Game is just so immersive. Narrative adds even more depth to that experience!

Lots of freedom to approach situations with different builds with music pumping adrenaline!

Best part I loved how alive side missions are and some being even interconnected (secretly)

Phantom Liberty blew my mind and licked it hard as fuck with that Delicate Weapon song and storyline!",True,1,0
"I don't typically review games but...

I tried playing this game back when it first came out, like most people I had a ton of issues. fast forward to now, 5 or so years later, I gave it a full chance and god I am so happy I did. This is a 10/10, all the content was great. If you are reading this now and are hesitant because of the initial launch, go and try it now, it's fantastic and I hope they end up doing some sort of follow-up at some point.",True,1,0
"One of my favorites in recent memory. Satisfying sword combat is a highlight, as well as the relevant (a little too relevant) lore and world building.",True,1,0
"Highly recommended, because this is single-player game so it perfect when you already exhausted with office work or just want to have fun. The story, tbh I haven't finished yet because too enjoying walking around the Night City and cleaning the mess finding the gig to do.

Yes, there's a few bugs that occur in-game, but slowly the developer fix the game. Altough in my experience, the game is still playable (not like early version).. 

My experience playing this with low-medium setting (I didn't turn on Ray Tracing) is still the best, and enjoy-able. Whosever have decent or high-end gaming rig, you should give a shot to play this game.

Sorry for my messed up English grammar.
",True,1,0
