Author,Comment,Likes
@JuiceHead3,Is patch 2.21 the end or do you think more Cyberpunk 2077 updates are coming?,554
@carlosokrazyxp,I’m just stuck with Johnny,0
@marcusjones882,Failing that. If on pc. Get the lossless scaling app!,1
@airwings064,"me with my 3060 mobile:
wait yall are getting updates?",0
@A2goddess,I got a genforce,0
@SharkySharkOC,And yet no toggle for aim down sights on PC,0
@KidaMilo89,"The character creator still never held its promise. it's barebones as it gets just like in Outer Worlds for instance. CPDR mentioned making a game with the best character customization possible and there has been minimal changes to it. Still stuck with presets, and no sliders. Why does masculine V still look like a twink pornstar? I had tor resort to mods because male V lacks any visible masculature. You'd think the ""body"" stats with also affect your build for some immersion.",0
@InfectedByZanza,"Choom, you see this dreck CDPR’s slinging? Patch 2.2? More like 2.2 many lies. Corpo suits said ""We fixed everything!""—but I still got cars spawning inside walls, NPCs with the IQ of a malfunctioning toaster. Anyway, choom, keep your optics peeled. Trust a corpo? Might as well hand your creds to a fixer and ask for a ""fair deal.""",0
@skatanchurch,"I have only PS5 no PC, but expect the game looks much better on PC atm right? But i dont understand why there is such a huge update for console if it is does nothing?",0
@gloth,the transformer model is not about frame gen mate. its a different technique for how upscaling works.,0
@Durzza,people  wanting for more content seem to ahve forgotten that the current CDprojekt is a woke sloppy pos company.  we are NOT  getting old CD level  games again.,0
@DRlSE,"I can’t believe this game is still going, have such a bad test for this game, got it at launch. Too little too late….",0
@mousepotato581,Am I the only one who can't tell the difference between DLSS 3.8 and 4.0? It all looks the same to me😬,1
@azurmon,"You are mad man , this update don't change nothing , why even talk about it ? I see no difrence in visuals , who care about Johny , drying paint has more dramatick change then this update man 😂 stop it 
Get some help  and don't do any videos if you have nothing to show",2
@thaKiddino,The patches are just literally adding stuff that should've been at the beginning of the game. I'm not complaining though,1
@TotallyAverageCommenter,"Im gonna be real, this update broke my game on console. Its so ridiculously buggy, almost like release.",0
@coolquitepowerful,when will PL be free to download on steam,0
@flenser404,Don't need fake Frames.,2
@jaymr2795,"2:10 why did you leave this section in, when you explain why this happens in a weird way later. You clearly know why the performance is lower, quality != quality. Seems really weird.",0
@thatidiotoverthere6311,0:27 🤨,1
@TrenchMan6714,What I’m hoping is they eventually do another upgrade.,0
@pizzahut235,Side note to add to the video I have a 4070 to super and the second I put on ray tracing with maxed out settings I was not even able to run it well with dlss quality.  Like 40 and 50 fps.  Now I get around 80 on average.  Huuuuge to me.  And dlaa looks crazy good and runs better.  Best way to play honestly,0
@AtTheHandle,I'm sick of this shitty game updating itself every month forbfuck all just wasted 20gb data on my phone hotspot,1
@Jord3n2,Any new bug fixes???,0
@AlbinoCuseng,I just want a 3rd Person Mode...,0
@Noxo-q1u,I legitimately thought I needed to re-download 70gb+ when I saw the update on steam,0
@Crashsquirrel72,so.... are the massive crashing problems fixed?,0
@pedrogodinho4649,"The transformer model isn't supposed to give you higher fps, it's supposed to give you better quality. It's a bit more gpu intensive, but it gives higher image quality than the old CNN based model (at least in theory)",0
@HeshVentura,I waited 3 years ..and now i ❤ that game !   Very nice ..i needed that in 2025,0
@SSpider41,Patch to fix bugs... game won't launch now 😂,1
@rob2x._rob307,How dors this benefit console players,0
@rob2x._rob307,0:51 so basically this update is for pc players🤨😒,3
@neilggrattan,"you kinda talking bollicks to me, what the long and the short version, instead of going on about bullshit pc versions, what about ps5 versions, stop bollickin about,",0
@dvoslb1974,Just give us 3rd person,1
@demonhuntercrow6159,if they are still updating i NEED MORE HAIRSTYLES,0
@chrisharding9531,Series x updated photo mode,0
@Herbit-k4j,"Nvidia probably paid them for it, that's why they made another update",0
@AnthonyHolbrook-q9e,I'm ngl I'd pay $100 for another dlc or even more for another game this is by far my favorite game,0
@WolfCry791,Like 6 minutes of this video was completely irrelevant to me 🫤,0
@lovefist8271,"This update bugged my scanning/hacking. When I scan the menu window to show options for hacking doesn’t populate. It sucks but I still love this game,just slammed in 90 hours and I’m having a blast,one of the coolest games I’ve ever played.",0
@NoPaywall,Why Nobody Talks about the flickering and Shadow bug on nps? The new heavy Pop ins If you Drive around...,0
@Akagi._.,We really need NG+,0
@storkman,You mention Nvidia GPU but how bout AMD GPUs? They have great GPUs also,0
@gamingseeks3580,I'm still running 2080ti lol at some point getting a new pc,0
@otakugaijin2298,"just stop this! you don't stop your gameplay moment by moment and look at the graphics. it's pathetic. like you're going to the tunnel for example, none of us look at that tunnel frame. once again it's just pathetic.",0
@SSmoker1969,Fake Frames with Nvidia,0
@user-uk4vw6rc1p,Noticeable difference for sure 4090 what I’m running,0
@averageanger7092,Next update will have body type and below neck visible cyberware customization trust...,0
@kenroyforrester156,First person update please,0
@rayrazaphippen1306,Really hope we get more DLC love this game,0
