Review,Positive,Helpful Votes,Funny Votes
"---{ Graphics }---
☐ You forget what reality is
☑ Beautiful
☐ Good
☐ Decent
☐ Bad
☐ Don‘t look too long at it
☐ MS-DOS

---{ Gameplay }---
☑ Very good
☐ Good
☐ It's just gameplay
☐ Mehh
☐ Watch paint dry instead
☐ Just don't

---{ Audio }---
☑ Eargasm
☐ Very good
☐ Good
☐ Not too bad
☐ Bad
☐ I'm now deaf

---{ Audience }---
☑ Kids
☑ Teens
☑ Adults
☑ Grandma

---{ PC Requirements }---
☐ Check if you can run paint
☐ Potato
☑ Decent
☐ Fast
☐ Rich boi
☐ Ask NASA if they have a spare computer

---{ Game Size }---
☐ Floppy Disk
☐ Old Fashioned
☐ Workable
☑ Big
☐ Will eat 10% of your 1TB hard drive
☐ You will want an entire hard drive to hold it
☐ You will need to invest in a black hole to hold all the data

---{ Difficulty }---
☐ Just press 'W'
☐ Easy
☐ Easy to learn / Hard to master
☐ Significant brain usage
☐ Difficult
☑ Dark Souls

---{ Grind }---
☐ Nothing to grind
☐ Only if u care about leaderboards/ranks
☐ Isn't necessary to progress
☐ Average grind level
☑ Too much grind
☐ You'll need a second life for grinding

---{ Story }---
☐ No Story
☐ Some lore
☐ Average
☐ Good
☐ Lovely
☑ It'll replace your life

---{ Game Time }---
☐ Long enough for a cup of coffee
☐ Short
☐ Average
☐ Long
☑ To infinity and beyond

---{ Price }---
☐ It's free!
☑ Worth the price
☐ If it's on sale
☐ If u have some spare money left
☐ Not recommended
☐ You could also just burn your money

---{ Bugs }---
☑ Never heard of
☐ Minor bugs
☐ Can get annoying
☐ ARK: Survival Evolved
☐ The game itself is a big terrarium for bugs

---{ ? / 10 }---
☐ 1
☐ 2
☐ 3
☐ 4
☐ 5
☐ 6
☐ 7
☐ 8
☐ 9
☐ 10
☑ 11

--{ My Personal Opinion }--
This is literally the best game I have ever played.
Even after only playing it for a few hours, taking time to level up and enjoy the gameplay this game still gives me adrenaline after beating a boss. If I had the choice to change anything, I'd change nothing.

--{ Review }--
First of all, the game's visuals are incredible. And it's landscape is very interactive. See a giant with a battleaxe thousans of miles away? You are definitely fighting him soon.. see a massive cliff that looks impossible to climb? You most definitely can. Infact loads of cliffs like that have intense lore and precious items hiding right on them and behind is a whole new world you haven't seen before.
The game's lore is also very unique. Even if you might not get it's meaning the second you finish it, soon you'll realize how beautiful it is. 
Gameplay-wise it offers a classic Dark Souls system with a dodge, jump, attack, charged attack, consume and so so much more.
If I had to describe Elden Ring with one word, it would be customization. There is so many different things you can wear, consume, places you can explore and things you can kill it's hard to keep track of everything. It's soul upgrading system offers you so much freedom you may run any build out of thousands that exist.
Although it's a challenging videogame, you may also always come back. Stuck on a boss? Don't worry, with just exploring, you may uncover a whole quest line, that will make you find a piece of equipment or an upgrading material which will make the fight easier.
But don't rely only on weapons and level since since without skill you may not get far. Personally if you want elden ring to relax, use magic, if you want to have fun play tank.

--{ Two Last Tips If You Are Still Reading }--
If you are truly struggling at a boss, or a place or you are just lost, ask. If you have discord join the Elden Ring discord server and ask there. People there are very helpful and kind, if you dont have it, download it. 
I was thinking ER community is so kind as it's there on every piece of media, but i suggest staying away from it on media platforms such as TikTok or YT. Just warning you. - (Shout-out to ""Tyrone"" for literally carrying me in-game)

And if you are struggling deciding between buying it or not. Buy it, its so much fun.",True,342,43
"Throughout my years as a gamer, few adventures have truly left me in awe. Yet, stepping into the Lands Between reignited a sense of wonder I hadn’t felt since childhood.

The intricate lore, compelling characters, and masterfully crafted world drew me in completely. Every word spoken and every fragment of text unearthed felt like a piece of a vast, living puzzle.

The challenges weren’t punishing for the sake of it. They demanded adaptation, encouraged growth, and rewarded perseverance. Instead of frustration, I found myself inspired to refine my strategies and think creatively.

It reminded me how much I have missed truly open-world exploration, free from handholding or unnecessary distractions. Elden Ring is a masterpiece, a world that does not just ask to be played, but to be lived in, savored, and remembered long after the journey ends.

11/10 – An absolute masterpiece.",True,106,1
"My favorite game. It's not just a game but an incredible adventure and journey of exploration. Its open world was massive, encouraging me to visit and explore every region and corner. I was amazed by the variety of bosses, the diversity of weapons and armor, and the combat mechanics. Each build offers a completely different gaming experience. The different builds I tried —warrior, mage, and samurai— were all fantastic in their own way. Most players don't realize it, but the game's lore provides a deep and fascinating world. Moreover, the boss designs and music were absolutely stunning.

""The fallen leaves tell a story"" ♡",True,38,3
"""The fallen leaves tell a story.""

So... having started another run with a brand new (11th I think) character, I must confess that after all these years the beginning sequence still gives me goosebumps.
Don't know what more I can say, so let THIS be my review.

P.S. Have been playing ER on three different laptops with mouse+kb only. Never had problems with optimisation or controls.
P.P.S. There's no option to marry Millicent. It upsets me deeply.
P.P.P.S. Try finger but hole.",True,7,1
"Oh boy, where do I even start with Elden Ring? Imagine a game where the devs were like, ""Let's make every blade of grass deadly."" You step into this gorgeous world, thinking, ""This looks like a chill spot for a picnic,"" only to realize the picnic's actually your wake.

The graphics? Chef's kiss. It's like you're inside a Van Gogh painting, but every stroke wants to off you. The landscapes are so stunning, you'll forget to breathe – until you fall off a cliff.

Combat in Elden Ring isn't about skill; it's about how many times you can bash your head against a wall before you get it right. Every boss fight feels like they've got a personal beef with you. They're just there to mock your sad attempts at living. (git gud)

The lore? Man, it's deep. So deep you'd need a submarine to get to the bottom of it. And just when you think you've got it, some NPC comes along with a backstory that could be its own book. Good luck figuring out the story; it's like doing a puzzle blindfolded.

But here's the thing: despite all the pain, the frustration, the ""I'm uninstalling this"" moments, you can't help but love it. There's something about Elden Ring that pulls you back, like a moth to a flame, or a player to their doom.

Final Verdict: 10/10 - Would die over and over again. Elden Ring isn't just a game; it's a way of life. A life of pain, beauty, and the occasional scream into the abyss. If you want something that'll test your patience, your skill, and your swear-word collection, this is it.",True,4,2
"One of my favourite games. It really pushes the FromSoftware formula the next level, bringing the immersive and challenging combat into an open world setting with tons of interesting story, locations, characters and bosses with almost all the open space feeling purposeful. There is certainly no shortage of content, this game is very long.

It is probably the best introduction for a new player into these kinds of games, providing a fairly slow start with an actual tutorial for the first time. But don't get upset if you struggle, you always will at first, maybe for ages, but eventually you'll feel great as you turn impossible obstacles into a breeze. And don't let people tell you using items or character optimising is cheating, though summoning players can lead to them playing the game for you.",True,6,2
"This is the best game I've ever played and it has the most replay ability out of any RPG I've ever played. You might not like the game immediately due to it not holding your hand, but I promise you that you'll love this game if you simply ""get good"" and learn how to play the game. Most people who don't like this game is honestly due to a skill issue.",True,20,3
"Elden Ring, without question, is one of the greatest games ever made. More than any other FromSoft game, it grants it's player the feeling that their character, whether they be an esteemed warrior named ""Bardiun of the Blotted Age,"" or a punching man named ""bun,"" is the single most important person to ever exist, and has endured more than any other. The game is beautiful, horrifying, badass, and exhausting. I have no doubt that even if hundreds more incredible open world RPGs come out in the future, this one will never stop being remarkable.",True,3,0
"This is it people, this is the perfect game.

Elden ring has everything, an open world that feels full of life and surprises.
Tons of bosses,epic questlines,multiple endings,so many builds to try, and a Gameplay that is the result of all dark souls experience combined and made better
Some dungeons are more epic than full games.
Only thing i wish they added is the possibility to unlock fps, but that can be done using mods.
If you are hesitant to get this, please do yourself a favor and get it.",True,7,1
"An amazing game and the first fromsoft title i've beaten.

not as difficult as others make it out to be, people act like this game is super hard 100% of the time but while it can challenging this game gives you a lot of room to explore and level your character so anytime you feel like a boss is too hard you can just go explore or do one of the many side quests available and then return once your strong enough.",True,4,0
