Author,Comment,Likes
@meybe3304,"Bro has been getting clowned on for years, trying his best to ignore it. Good luck Man U ain’t getting away from it",0
@Mrpremium9870,Bros been talking about GTA 6 since GTA 4 released! 💀 🤦🏻‍♂️,1
@DayOfEvil.,How many vids do you need to make on gta 6 my guy just rambling about nothing you know that we don't its not even out and u have more vids on 6 than anything else u post,0
@popliceanulucian3748,Only fake news ..,0
@popliceanulucian3748,This idiot should be banned from YouTube.,0
@AYOUBBELOUR,All of his videos are 100% fake facebook news,0
@panfannation9166,So glad this dude hasn’t gained any popularity since I watched him 6 years ago 😂,0
@chrisroberts8355,Who's rackstar,0
@59paulakashooter30,Imagine the number of new eyeballs if they drop Trailer 2 as a Super Bowl commercial,0
@theboy2777,Bad Weatherman,0
@joeyb3889,The best/funniest thing this guy can do is instantly speculate on gta 7 when gta 6 comes out,0
@joeyb3889,I feel like your views would be higher if you uploaded once a week since everyone knows you’re just yapping.,0
@joeyb3889,1 minute in talking about a game announcement from 2013 trying to correlate to today. Bro how much money do you make on these videos is it even worth it lol. How do you keep findin stuff to talk about without losin ur mind,0
@bobbygeldof6846,"This downfall has just been sad, bro use to be elite 5 years ago",0
@zuzupetals4794,"Sign the petition to have MrbossFTW channel demonetized.... official complaints have been logged with youtube, help us get this POS demonetized and banned from youtube...thanks.",1
@jakattack117,5:14  they do not want you to talk about it no one does😂,0
@jakattack117,"What is bro even yapping about? Just talking about dates of trailers 😂 thanks for the ""info"" my guy",0
@Walaraka,"RockstarGames: 30.6.2025 

MRBOSS: GUYS! 30.06.2025 TRAILER 2 IS COMING! IT'S BEEN ANNOUNCED! 
RockstarGames: That is my holiday date, dumbass",0
@billiejohegarty9319,I already know this guys first word as a kid was  in today's gta videoooo 😂😂,0
@elixir931,"This channel has been voiding community guidelines since forever, how the hell is this channel still up.",2
@elicamacho4011,2025 insane,0
@TheNoProfile,GTA 7 comes out 2130,0
@MatthewHartley-u1o,Damn i was on my news break app then see gta 6 trailer 2. I click it then get this dude again im reporting you for misinformation again. Write something else on the damn descriptions damn man.,0
@ReforgeGaming,i think gta 6 trailer 2 is today or at the very least they announce the gta 6 release date,0
@MimiEats__,It’s entertaining you guys stop hating on the guy…. He has a hustle,0
@Psy6o,There is no 6 in starting to bekieve,0
@OnlyAqua-o4c,"I have enough of this idot, always posting bullshit... your going to get copyright strike and your channel shut down",0
@slimeyboyk,Rockstar Games Is definitely in tuned on this channel 😂,0
@1Loftwing1,Please stop showing your face,0
@greekfox21,delete his channel,0
@purgejmi,This man's gonna talk about gta7 information for a solid 20 years.,1
@Chario007,Atp bro deserves to be first in line when the game comes out,2
@KellyJ-z5m,Why is this stupid human still using YouTube? We should report them immediately to stop them from using it.,0
@RyanCroffoot-o3e,Rockstar is going to do whatever the opposite of what this guy says,0
@nishokarul1450,0:34 he thinks……. 😂😂😂,1
@binoched9302,it's like some folk have no lives 🤣🤣🤣,0
@user-jm4cd5sd1x,I've done an insane amount of work smearing the reputation of G2A.,0
@PlayerGreenGaming,"@mrbossftw makes good videos, but there is just not any fresh content available.  Everyone is anxiously waiting for GTA6.  We all want the game out now! lol",0
@donte_turnup9505,All I gotta say i don’t mind waiting 8 more months cause I know dis about to be the best gta ever made 💯👏🏽🔥🤩,0
@Hawtopicz,Bro just yapped,0
@danishbhat125,I know this is all bullshit but my heart still wants to watch this😂,0
@paulmadsen9745,MrBossFTW BREAKING NEWS!!!!! GTA 7 will be released in 2035! Confirmed by a TakeTwo insider!!!!!!!!,0
@dfmayes,Why are you speaking into the side of your mic?,0
@C.1785Lopez,GTA6 Trailer 2 I want to see it,0
@YHN_Derek,Leave this dude in 2014😭😭😭,0
@ryanbrets7695,This guy is on the verge of being in,0
@Zion1337,MrNerdFTW,0
@liquoricewhip7760,"You’re just a professional yapper man, shut up",0
@19tank81,"MrBossFTW : Let’s talk about Trailer 2

Rockstar Games :  Wait what?  There is none…",1
@monicoleal5071,You guys got to remember they were forced to put out a trailer which we probably would have got this year,0
