Username,Score %,Review
s1PaNs1N,100,[SPOILER ALERT: This review contains spoilers.]
Wihglah,100,"Hands down the best game I ever played. I 100%ed it twice. Judy > Panam. Excellent main quest loads of easily accessible side quests. Could have used amore prominent guild system but, wasn't held back"
assiscmp,80,"no momento no qual joguei, o jogo tinha uma historia perfeita , gameplay incrivel, porém pecava muito com bugs e mal otimização , e fala bug nisso, se não fosse por esse problema, sem duvidas o cyberpunk 2077 séria uma nota 10 facilmente , porém nas minhas avaliações, eu geralmente diminuo 2 pontos se o jogo obtiver bug ."
Kajav,80,"Analizar un videojuego es muy subjetivo porque las impresiones que puedo tener yo como usuario no son las mismas que puede tener otra persona. Por eso hablar de un videojuego tan polémico como cyberpunk es por poco un dilema. Yo daré me mis impresiones personales. Lo bueno: - A nivel grafico creo que solo Red Dead Redemption 2 puede ser punto de comparación. Increíble. - Night City es la ciudad original mas hermosa creada en un mundo abierto. Y competencia directa de grandes ciudades de referencia como las presentadas en Assassin's Creed que aunque no compiten gráficamente no son referente por la sensación que transmitían al recorrer sus calles. - La historia es muy buena, con varios finales y buena narrativa.- Para los amantes de la ciencia ficción es lo que se busca.- El sistema de disparos es genial. - La música es futurista, incluso en las clásicas. Lo malo: - Jugándolo un año después y con todos los parches que han salido aun se consiguen varios bugs que son molestos. - La progresión de las misiones secundarias no es tan lograda, con las típicas llamadas de ir de aquí para allá, róbate esto o mata a aquel personaje. - No sientes una verdadera progresión de personaje, se siente mucho a ACO en este aspecto. Antiguo si se quiere.- Los combates cuerpo a cuerpo no están muy bien logrados."
pimentayy,100,"Cyberpunk 2077 is one of the best RPG experiences i've ever had in my life. I confess, i was very reticent about playing this, because of the rough launch and the disappointment that many players had over the game. But now that i played it, i can say for sure that Cyberpunk 2077 is one of the best RPG's ever made. CD Projekt Red manage somehow to raise the game from the state that it was, and fix it entirely, giving the players the best experience possible. The story is amazing. Not only the main part of it, but all the side quests and side stuff too. All the parts of the narrative are very well written and well structured. The main story however is the highest point of the game, pairing with the character development that really meant a lot to me. I can't say that there is one character that's not interesting or not appealing. All the people that cross with V are important in some way, for his progress and development throughout the course of the game. The quest design is peak entertainment. Every single main quest is very unique, with his own very original style. I can remember several quests and moments that blew my mind and left me ""breathtaked"" during my playthrough. The side stuff is very appealing too, because it rewards you as the player to do them. All the gigs, the side job's and so on. It is in fact rewarding for the player to ""lose time"" with them. On top of that, there are so many different ""job's"" inside these side quests, that it doesn't get repetitive. Talking about the world of Cyberpunk, Night City is just breathtaking. The city feels very alive because of the density of crowd on the streets, the different factions in the different districts, and many other elements that make you feel like you're really there, with V, exploring the city and all it's corners. The gameplay, to finish this mini review, is top notch. The gunplay is very enjoyable with each gun feeling very unique and fun to play with. The exploration feels really different from anything else, because of all the interiors and buildings. The hacking system is just amazing, much better than other games that are entirely focused on it, with many possibilities do to whatever you want, and approach every situation as you please."
Valid_narwhal77,100,At first i was hesitant to purchase this game but after playing just the first few missions I was blown away. The side missions didn’t feel like filler like in lots of these new AAA games and the main story was just so intriguing. The gameplay also felt very smooth and the progression system didn’t feel sluggish. I only had a few problems with the game like the fluctuating frame rate. Overall a true masterpiece in this genre of media
Abdo38532,0,The game to this day still misses most of what was promised in the trailers
Serhii2001,100,"Cyberpunk 2077 is my favorite game of all time. Six months ago, I completed both the base game and the Phantom Liberty expansion, earning the Platinum trophy, and I loved every second of it. Now, I find myself itching to dive back into the chaotic, neon-lit streets of Night City once again. I can’t wait for the sequel! The story struck a deep chord with me - it hasn’t let go even to this day. Lines from the game still echo in my mind, and I’ve grown attached to so many characters, all of whom are written and developed brilliantly. Even after 180 hours of gameplay, the combat never got old, and there are still countless ways to approach missions, develop my character, and experience the game differently. Lately, a lot of games feel soulless, failing to evoke any real emotions. But Cyberpunk 2077? It has heart. It has depth. And that’s why I cherish it so much. I know the game had a rough launch, plagued by technical issues, crashes, and an almost unplayable state on PlayStation. But I have immense respect for the developers for not abandoning it. Instead, they kept refining and improving it, turning it into something truly spectacular—and delivering an incredible expansion on top of that. Thank you, CD Projekt Red, for making this masterpiece."
Neelyry,100,fantastic game. augmentations really give you a ton of options. the smart weapons are my favorite.
thezzboy,80,[SPOILER ALERT: This review contains spoilers.]
