genre,game,commented_date,comment
Open-World,Cyberpunk 2077,2024-11-07,"having beat the game without it breaking when it first came out, i would have given it a 610. but now with 2.0 its genuinely a 9.510 and phantom liberty is one of the best spy stories told period. goated"
Open-World,Cyberpunk 2077,2024-11-07,"after 500 hours of gameplay in this game, im not really shy to say that this is easily one of the best stories ive ever played ever. the attention to detail of the city simply blows my mind, and the story will literally have you question your entire life. plus for my nerds that love to deep dive into the universe of games like these, the amount of world building lore is insane, and is rooted so much in reality. you simply cant find another gaming experience anywhere like this. buy it."
Open-World,Cyberpunk 2077,2024-11-29,"just wanted to say the quality of this video is amazing for someone with under 3k subs, great video thanks"
Open-World,Cyberpunk 2077,2024-12-03,"it is so worth to save and playout all the options in the endings. the combinations are vast. sidenote  when you start the game, try to collect the money for the upgrades at victors first by engaging with streetthugs to gain some experience and points before you start the real storyline. this is especially handy when playing on the hardest level."
Open-World,Cyberpunk 2077,2024-11-22,cyberpunk was worth it after patch 1.5. it's a 910 experience after phantom liberty and the only reason it doesn't get a 10 is the obviously cut content and shoddy launch.
Open-World,Cyberpunk 2077,2024-11-08,"with each generation of new gamers, this will be on their list of must play games ...it will never fade away because the story and world just so much fun to experience."
Open-World,Cyberpunk 2077,2024-11-12,7 playthroughs in with diff builds and i don't see myself quitting anytime soon
Open-World,Cyberpunk 2077,2024-11-21,"i just finished kingdom come deliverance and bought cyberpunk today due to the discount on the xbox store. i was hesitant because of the negative reviews at its launch. however, the comments i see now about the game say it's one of the best. let's see if that's true."
Open-World,Cyberpunk 2077,2024-11-18,"my favorite game now, but its lightning in a bottle in a weird way. i just dont think they can bring it in a sequel. the launch version was very rough but i kept coming back because clearly it had a solid base that needed refinement. 2.0 did just that. the gameplay and world exploration is easy to get lost in, and writing in the 2020s that's not preachy, pretentious garbage is a godsend. i'll keep this installed well into the future, just as i do for doom, starcraft and a couple others whenever i get a new build done."
Open-World,Cyberpunk 2077,2024-11-07,i went with a gunpowder build. spamming grenades and the arm cannon regenerates grenades pretty quickly and while any of those were on cooldown i'd switch to a revolver to finish off the remaining low hp enemies.
Open-World,Cyberpunk 2077,2024-11-25,"im glad i stuck with the game for more than a few hours in lol. i just bought it about two weeks ago. it went on sale. and quit after two hours in because oh my gosh, it is so slow in the beginning. but it picks up quick after you get out of the prologue. just stick in there for about four hours of the most agonizing four hours of an intro ever."
Open-World,Cyberpunk 2077,2025-01-11,"i specifically waited to play this until the ultimate edition glad i did, because i got to skip all the drama and am playing it for the first time with all the patches and dlc patience is a virtue"
Open-World,Cyberpunk 2077,2024-12-07,"excellent video! i held off on buying it until it was on a discount, the bought it but didn't immediately start playing. finally fired it up four days ago and completely forgot that the real world exists. what an incredible gaming immersion! just taking my time through the game and enjoying how fresh it is but i know i will be playing through several times."
Open-World,Cyberpunk 2077,2024-12-24,you talked me into it i've just parted with 22 of my hard earned for the base game. i've been umming and arring about this game for a long while and that's the cheapest i've seen it on xbox series s. you've convinced me it's a worthwhile purchase
Open-World,Cyberpunk 2077,2024-12-02,i decided to buy this after your video thank you ill start it tonight! cant wait my first game on pc too
Open-World,Cyberpunk 2077,2025-02-26,"i bought the game in 2020, and it was unplayable on my pc, dumped it to the side and never looked back. four years later, i built a good spec pc and also ran out of games to play, looked back at my steam library, and gave it a try just to test the spec with rt, and omg, the game has blown me out of the water it is one of the best story games that i have played within the decade, with excellent graphics, great character development, awesome gameplay, and a beautiful narrative, one of the few games that i follow all the lines of the characters without skipping, and i love johnny."
Open-World,Cyberpunk 2077,2024-11-07,"it was broken but still fun when it came out, now it's great. they honestly should have waited to release"
