Review,Positive,Helpful Votes,Funny Votes
"Bought this solely to support their fight against Nintendo.

It's a decent game though, It's like ARK but actually fun combat and more in depth creatures.
",True,126,5
"if Nintendo are suing Pocketpair for actually making a quality game that improves on every aspect that pokemon cant with the same recycled unfinished trash

Then these devs have done something right and their game needs all the attention and money they can get",True,73,1
"good game plenty of playtime just with a single playthrough, big map to explore, better with friends, the base building stuff needs to be fixed a little bit but is still very good, the update added lots of stuff to do and explore, i definitely got my moneys worth since this game is priced fairly.",True,1,0
"A great and fun game which at times makes me surprised that it's still in early access. However, there are some minor bugs that need to be addressed by the devs",True,3,0
It's a very fun game. With randomized mode makes the game more challenging. I hope one day we get some cross play action. My only issue are the random bugs and crashes with the new update. Even with that the game is still fun,True,2,0
"ARK: Survival Evolved Pokemon Zelda breath of the wild?!? A endless adventure awaits traveller. Welcome to the world of Pal's you will earn a lot of friendship good memory what more could you ask? My review for real now a game where you adventure the world of a mysterious creature called pal's and where you survive build do whatever you want with you Pal's!
",True,1,0
"This is a great game!  Worth giving it a try, cute monsters and nice base building / survival aspects.
My biggest complaint would be there isn't a way to build a ""poke center"" type building to heal my monsters to full without needing to just put them back into the pc.",True,1,0
"Great game, wish they bring back the ball throw to release pals.  Also fuck nintendo",True,1,0
"This is what pokemon should have been. Nintendo needs to take some notes and listen to fans the way pocket pair is. I love the base building, combat, leveling, and that you can utilize the pals in so many ways. And with the new update. So excited.",True,1,0
"This game get compared to Pokemon allot but in all honestly I would compare more to ARK. 
Personally I would choose to play this over ARK. ARK is more hard core and less buggy but this game is just more fun. 

Some people have a very big problem with some monsters taking inspiration from Pokemon, sometimes heavy inspiration. But I think its like saying Agumon and Charmander are too similar and Digimon is a rip off of Pokemon, which was said back in the day. The Monster Collector Genre should have more competition in it to explore what can be done in it.",True,3,0
"Gud Game. If you like catching MONSTERS in balls and putting them in you [strike] POCKET [/strike] pouches, give this a try. If you also like guns and rocket launchers, this game is a must buy!",True,1,0
