Author,Comment,Likes
@DattraxGaming,"50K LIKES FOR NEXT EPISODE!🔥
And ye episode kaisa laga ?",578
@AnkitSoni-w8g,😮‍💨😮‍💨😮‍💨,0
@RubyNaz-xj2fm,Bhai shootout do Mera Naam hashir hai,0
@noob_gamingz-g,Bhaiya dearcious Or  golden nox ko breed kro or dekho kitna tagda pokemon  ayegab🎉🎉🎉,1
@Arnavgamerr,Fake,0
@itz_ahtesham_333,Bro acting bahut mast karte ho,0
@Os_Armaan.,Dattrax bhai jade dragon ko la ayo,0
@Os_Armaan.,Paldesk ma sa pal nikal lo,0
@FojluMia-g1y,Vote for over acting,1
@Zaidkhanrashool,Congratiolion for 1.9 million,1
@Divyansh-c9v,Nice story making❤,0
@SonuKing-w4g,Poppy playtime  chapter 4 par video please 🤗🤗🧡🧡,1
@muhmmhadanashussainqamar,chutya bana diya,0
@Itzvickygamer164,Bhai next part please😢😢,0
@opkartikgamer,Bhai storage hunter simulator khelo 😢😢,0
@BLACKYT-vn2mt,Bahi bahoot over acting kar di us world se aate samay saare pokemon the bad me fir saare kaha gaye aur gun kyu chod di kyuki koi aake mar de aur aapne game hard par kar diya isliye aapka darcues us bushi ko nahi mar pa raha tha,0
@PrathamKumar-k3v,Bhai khatarnak hai,0
@opsahid230,Frostlian bro 😢😢,0
@zainrehman-uc8di,Vote for next part of palworld palworld palworld palworld palworld palworld palworld palworld palworld palworld palworld palworld palworld palworld palworld palworld palworld palworld palworld ☠️💀 smp,0
@DEBA.-.46,😂😂😂😂😂😂😂😂🎉🎉🎉🎉,0
@muhmmhadanashussainqamar,Dattrax gaming❎master of a acting✅,0
@sajjadadnan3000,Next episode,0
@Raj-gf5yj,Bhai tumhara overacting dekhkar maja a Gaya😅😅😅😅😅😅😅😅,0
@NomanKhan-i1j7v,Datrax no tharki yes😂,0
@Alu-e9b,Hai guys today I have having a break up with her 🙃 after 4 years of together,0
@Tcdf17,Datrrax ne pahle se hi pkda hai nice acting 😂😂,0
@chetramchouhan412,Bhaiya next part ❤❤❤❤❤🎉,0
@affanahmad8730,Invite code bta do,0
@BapyAnsary,Dattrax bro is pro in making stories 🫡🫡😂😂🎉🎉❤❤,0
@Sunjibmondal991,😮😮😮,0
@WaizKhan-e1y,"Next episode ❤ 
ke liye like Karen",0
@dixittenali2907,Please play poppy playtime chapter 4❤❤,0
@rekhasukhadeeya8433,Matrix by dark chocolate karke dekho kya hota hai,0
@shahbaram5138,datttrax wow amazing video,0
@sabnamkhan2997,"Pls breeding lucario anubius
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",0
@namanpal5369,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👏👏👏👏👏👏👏👏👏👏👏👏👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻😎😎😎😎😎,0
@SAI_GAMING_0007,Palworld 😊😊,0
@Anshul-w8h,Bhai diagla nhi bro diyalga hota h bro yaar😂😂😂😂😂😂,1
@ayushdhakad001,Waha kya script hai 😂😂,1
@10-yearsyt61,Pal ki hi video lao plzzz,0
@aqibbaig2918,Next part❤❤ pleas❤❤,1
@Deepap.sDeepa-y1s,kya acting bhai,0
@Vskgaming1,एक और वीडियोबना इसके आगे वाला,1
@Vskgaming1,इसके बाद और वीडियो बनाओ ना भाई,2
@sk_cricket_vlog,Dattest Bhai yeah pagal ho gaya,0
@AzaanFawad,Frostalian I know fully scriped,0
@tribhuwanrajbher4813,Butterfly next part la do na please😊😊,0
@tribhuwanrajbher4813,😢 next part lao jaldi,0
@skroyal1351,Bhaiii bahot over acting he,0
@DineshGupta-q7s,"｡ﾟﾟ･｡･ﾟﾟ｡
         ﾟ。        ｡ﾟ
             ﾟ･｡･ﾟ
       ︵               ︵
    (        ╲       /       /
      ╲          ╲/       /
           ╲          ╲  /
          ╭ ͡   ╲           ╲
     ╭ ͡   ╲        ╲       ﾉ
╭ ͡   ╲        ╲         ╱
 ╲       ╲          ╱
      ╲         ╱
          ︶",0
