genre,game,commented_date,comment
Puzzle,Inside,2024-12-22,"the very best puzzle platformer i've ever played, i've lost count how many runs on this i've had."
Puzzle,Inside,2024-12-07,"it is a great game, the gameplay is simple but fun and challenging. playdead sure does know how to make a proper game with open endings leaving it to player to interpret it. loved it throughout."
Puzzle,Inside,2024-09-30,"game should never strives to be movie. ever. the obsecurity has to come with engaging gameplay. inside, on the other hand, has a trial and error bloated repetitiveness that refrains players from any genuine preparation or challenging problem solving. also, there is a fake sense of intensity with each tomjerry chase this games forces you to. though there are strong moments, it does not help the game to escape mediocrity."
Puzzle,Inside,2024-07-27,keeps the same intriguing puzzles and creepy vibe of limbo while vastly improving the storytelling. the ending will drop your jaw to the floor.
Puzzle,Inside,2024-07-08,"this game was boring to me, i'm not sure why so many people like it. puzzles are not that interesting to me"
Puzzle,Inside,2024-06-24,an iconic game aan iconic game and a masterpiece that i will never forget in my lifend a masterpiece that i will never forget in my life
Puzzle,Inside,2023-07-29,i loved this game until i didn't anymore. the ending fell completely flat with me.
Puzzle,Inside,2024-03-23,"at first, i thought it was a game to manipulate jewish boys to escape from  human laboratory."
Puzzle,Inside,2024-02-08,"i really enjoyed this title a lot. i started it without knowing what to expect, but i was immediately impressed by the graphics and gameplay. it's definitely not a game i would play again, but an a run is a must. very nice."
Puzzle,Inside,2024-01-27,"a real escape from reality into the haunting, daunting world of inside. i was stunned."
Puzzle,Inside,2024-01-20,fun game that was a bit too short. i felt the puzzles were too easy but the story and atmosphere were top notch and the game had a creepy vibe.
Puzzle,Inside,2024-01-18,"a true masterpiece, a model for every independent game. wildly imaginative plot, beautifully designed puzzle"
Puzzle,Inside,2021-05-30,it isn't a bad game it's just the fact that i didn't like it. when i played i felt bored and i just waited for it to end.
Puzzle,Inside,2023-12-18,"i enjoyed this game, but i don't see it as the masterpiece many others say it is. the puzzles are fun, the world is interesting and some of the more unnerving moments really land, but i can't see past much of what it just presents. nonetheless, i'd definitely recommend this puzzle or horror enthusiasts!"
Puzzle,Inside,2023-12-04,"i liked limbo more, but this is still a very good game. if only it was just like limbo a bit longer. 34 hours is just too short for my taste."
Puzzle,Inside,2023-10-31,"inside keeps you interested at all time. the ambience and art style are top notch, unfortunately, the game's story is so open it doesn't even give a general direction, and it leaves the player with absolutely no idea about what happened. i feel like some more story hints would have made this an amazing game, and while it's still good, it would be delusional to give it a 9 or a 10."
Puzzle,Inside,2023-10-24,the greatest 3 hours
Puzzle,Inside,2023-10-21,in the game i am literally manipulator puppeteer manipulation interests
Puzzle,Inside,2023-09-07,"inside looks like a really simple game but it's really deep and entertaining. loved challenging puzzles and idea behind the game. to me this game represents the rat race people are in nowadays. time by time society acts like programmed machines, doing same things day by day and slowly all the emotions and happiness we felt back in the days fade away. fortunately there are still people left who try to stay away from society's standards and they prefer to live their life in their own way. that's exactly what i saw in inside and it does a great job in showing you all that."
Puzzle,Inside,2023-08-27,inside is a masterpiece with a claustrophobic atmosphere and clever puzzle design.
Puzzle,Inside,2023-08-15,this one was interesting. intriguing world with nice visuals and good gameplay!
Puzzle,Inside,2023-07-31,"nice atmosphere, gameplay and platforming. the plot is really enjoyable, and might not be understood by you firstly, but when you would analyse it... you still will not understand a"
Puzzle,Inside,2023-07-31,"lovely indie puzzleplatformer. well designed ambients, puzzles and references on human life."
Puzzle,Inside,2023-07-12,"beautiful graphics, beautiful lighting, beautiful music, great level design, intellectual and cool gameplay, beautiful story. i think it's one of the best mind games i've ever played, this game scared me badly"
Puzzle,Inside,2023-06-26,"i liked this game and i advise you to try it, there is nothing more to add!"
