genre,game,commented_date,comment
Puzzle,It Takes Two,2025-03-16,"finished with my girlfriend. during the game, we fought, argued and sometimes we even hit each other, but in the end it strengthened our bonding and we had fun time."
Puzzle,It Takes Two,2025-03-10,"i really enjoyed this one, nothing bad to say about. must play. like previous game a way out perfect for couples or friends to play. tho i wish there was way to increase difficulty."
Puzzle,It Takes Two,2025-03-08,"josef fares is the goat with these kinds of games. loved brothers, loved a way out and this def deserved goty"
Puzzle,It Takes Two,2025-03-08,awesome!! it is a wonderful game to enjoy with your significant other or friends.
Puzzle,It Takes Two,2025-03-07,"i know about this game from a youtuber i follow who played it. with its jumpy gameplay and splitscreen play between two players, i was really interested in the game and decided to skip the clips and buy the game myself. i was impressed by the friends pass system, where even if only one person has the game, they can play together online. only thing you need to do is just invite your friend to the game and let them download it. the first thing that i need to praise is the gameplay. there are a lot of play modes in this game. even though the core mechanic of this game is to solve the puzzles and jump around to avoid all obstacles in the map, they still mix other kinds of gameplay in their gameplay. you will see many things that you ever play like shooting or fighting like street fighter. the puzzles are a lot of variety. they have a lot of equipment that allows you to solve puzzles. you need to work together with your friend to pass through various levels, so teamwork is very important in this game. with this game's camera angle, it makes the game even more fun. they have various camera angles in this game, they have been used very appropriately in every situation, making the story flow smoothly in every gameplay and cutscene. the highlight of this game is the split screen into two sides for both players, allowing both players to see each other's mistakes, leading to conflicts that add more fun to the game. another thing that i've always admired about this studio's games is the minigames. i have played a way out from this studio before, there is one house that is full of mini games to play. this game is the same. there are mini games hidden in each level and still have the very good quality as the main gameplay. for the story of this game. it starts with a couple with one child who is about to get a divorce. the daughter who knows about it feels bad and very sad until she finds a book that says it will help people fall in love again. she asks for a blessing from the book, which turns codey and may, rose's parents, into wooden and cloth dolls. the two of them must find a way to return to normal form. along the way, they will talk and understand each other more from the things in the house and the tests they have to face. after i play this game. the story is very long and i enjoy the journey of the two characters so much. the graphics, gameplay, story, everything is perfect. 1010"
Puzzle,It Takes Two,2025-01-21,"it takes two    .       ,       ,   ,       ,         ,        .        ,    ,        3d   ps 2ps 3,         .      ,      ,      ps 2  , .          ,    ,     ,  ,       .      ,     ,       , .   ,    ,  .  ,      ,      ,        ,  ,   .       ,      ,       ,   ,   ,               ,   .    ,    ,      .  ,      ,     .    ,         2 ,             ,  .   ,     1015     ,         1010,         810,    ."
Puzzle,It Takes Two,2024-09-26,it was a joy to play through with my kid. long enough and a very good game to do some team building!
Puzzle,It Takes Two,2024-09-25,what a game! this game was just great. impressive story and endless action.
Puzzle,It Takes Two,2024-05-27,"first, despite being designed for coop play, it took at least a half hour of finagling to even get the game to recognize two separate controllers on the same pc despite steam's excellent controller support being readily available. we later found that these issues and finagling have to be repeated every time the game is started, leading to additional frustration when attempting to pick up the game again at a later date. after we finally got the game running, it turns out the graphics setting detection is nonexistent, leaving us with intermittent lag issues that made gameplay extremely frustrating. the characters and concepts had been done in quite a few games before this one, so the game itself wasn't compelling enough to keep us interested in getting past the technical issues, leaving us just feeling frustrated. honestly one of the worst coop experiences i've had."
Puzzle,It Takes Two,2024-04-18,highly recommended for every couple. it will test your relationship and will give you moments to remember
