genre,game,commented_date,comment
Puzzle,Limbo,2024-12-31,simple but great. the game really suprised me. the graphics are minimalistic and there is no speech but the atmosphere is awesome.
Puzzle,Limbo,2024-11-06,"its not a game, its frustration simulator. at times the game gets so frustrating, some of the puzzles are ridiculous."
Puzzle,Limbo,2024-08-17,"this game definitely knows how to make a player want more you just want to keep going. playdead is one of the best companies in this style. you feel limbo's loneliness. i think his desire is not to find someone to get away from here, but mostly to find someone to not be alone anymore. he isn't afraid of dying. he doesn't know where he is or why he is here, and this fact makes him want to find someone more and  may be said that it has no story, but i can't agree with that. it just hasn't been taught fully and lets the player find and connect pieces and add a bit of their own imaginary. the game's achievements are as interesting as the game itself. some of them are easy, some of them are hard. i had so much fun while doing ding! achievement. i would definitely recommend this game."
Puzzle,Limbo,2024-05-31,"what an excellent puzzle game, with very simple horror style, but there is some puzzles that aren't clear enough, other than that its gonna be top 5 puzzle games in my opinion"
Puzzle,Limbo,2024-04-04,"a very unique, pretty, and beautiful puzzle platformer. despite its simple graphics, it's still gorgeous. the gameplay is meditative and some puzzles are quite tough which makes the game more interesting and remarkable."
Puzzle,Limbo,2024-03-15,"some game mechanics, you can figure out if you've played other games in the past. eg. duration it takes when the worm causes confusion to the boy.  puzzles are satisfying to solve, frustrating when you can't figure it out.  hollow knightlike atmosphere.  try playing another music if you're not feeling horrorish.  get prepared to say omoshiroi in your mind a number of times."
Puzzle,Limbo,2024-02-18,"its alright. kinda waited for more honestly. i was expecting more interaction whit the people, the ending was epic."
Puzzle,Limbo,2024-01-27,"maybe not as impressive as inside, but still such a quality product with a nice plot."
Puzzle,Limbo,2023-12-18,"this game is really interesting. the art direction is superb, and definitely fits what this game is going for. the music and sound effects also really hit the nail on the head. it's calming, but you know you don't want to be here. i also think that this is really eerie. not scary, or disturbing, but eerie. like you've walked in on the aftermath of something. the spiders are also really intriguing, and a staple of the game. it is quite difficult, and somewhat repetitive throughout, but i really love this game."
Puzzle,Limbo,2023-11-06,gameplay great  graphics good  story na  score na
Puzzle,Limbo,2023-10-21,"i can't say that i really liked the game, it clearly doesn't deserve an eight on metikritika and there are reasons for that. the game positions itself as a puzzle, but personally for me there were at most two moments that i really thought dumb. it's a weak puzzle game. the game is pretty fast, you don't have time to enjoy it. the setting of the otherworld and traveling through it didn't impress me much for some reason, i don't know why. on the plus side, despite the fact that it is a platformer and also quite casual, gameplay. for five buttons it is diverse. unusual in a good way style, and also very relaxing forest audio, i would listen to it just so. overall i think i would rate limbo a 6.5 out of 10."
Puzzle,Limbo,2023-10-16,"if you're fun of the genre, you definitley have to try limbo, if you haven't played any game of this genre, you definitley have to start with limbo. higly recommnended"
Puzzle,Limbo,2023-10-16,"very short dark game, just like inside. easy to play, hard to master way too hard, if you want the 100 success. but with a deep story that is never really explained but somehow is captivating, even if gloomier as fugg."
Puzzle,Limbo,2023-10-05,a strange and interesting game
Puzzle,Limbo,2023-09-25,"it's a fine platformer. this game is mostly an experience and is not so much about the gameplay or mechanics. as such, this is less my style. i didn't hate it, but i have no intention of replaying it or similar games."
Puzzle,Limbo,2023-09-07,limbo is a puzzle game with its unique look. this game is really unforgiving so you have to be really patient and enjoy similar games to have fun. while the game is beautiful and entertaining it feels like there is no real idea behind it.
Puzzle,Limbo,2023-09-06,"not great overall, bored in story. but as an indie, nice job. i dont like platformpuzzle type games but visually almost perfect"
Puzzle,Limbo,2023-08-15,"i think that is an overrated game. fortunately, playdead improved a lot on inside."
Puzzle,Limbo,2023-07-30,excellent platformer  puzzle solver. i was quite engaged the entire way through. i really enjoyed the environment and the darkcomedy that the game presents. highly recommended.
Puzzle,Limbo,2023-07-21,"i was so hyped before i play limbo but as soon as i started to play i realized that this game is just another overrated indie only because its art style. firstly, limbo hasn't got a story, it just has a few scenes that are trying to show a story but they doesn't make any sense together. especially the ending was just a meaningless 10 second scene. so it becomes impossible to make a connection with the game. secondly, controls are so annoying and it makes you crazy. the character doesn't jump as i wanted or he doesn't hold as i wish. it feels like i'm not controlling him, the character does whatever he wants. despite all this you can get entertained by limbo's brilliantly designed puzzles. they can be really creative and difficult to solve. but one bad thing about the puzzles is they can be really cryptic and that's not good for me. sometimes it becomes extremely challenging and i believe that 95 of the people can't finish this game without looking to a guide or walkthrough video. especially the secret level was that close to make me ragequit. the soundtracks are also very bad chosen and there are music only in the 10 second storytelling cutscenes. overall good sides entertaining puzzles good art style sometimes fun gameplay bad sides no story no soundtracks bad controls some over difficult puzzles"
Puzzle,Limbo,2023-07-11,the game is so amazing and in every chapter there is new and different puzzle without any word i enjoy the dark story and dark environment
Puzzle,Limbo,2023-06-10,really short cute little enjoyable game but there are others in same genre much better in my opinion such as far series.
Puzzle,Limbo,2023-04-23,"a true masterpiece in design. really no way to describe it. it is the kind of games that seem simple but they will keep you going hard! do not miss the chance to play this game. if you have the opportunity to grab it on sale or not, go for it. the kind of games you got to try to understand what people mean and know for yourself."
Puzzle,Limbo,2023-03-08,"limbo is a very unique, abstract game that is very interesting to play. there's some good stuff here, the puzzles were often good and made me think and the graphics have a unique style which i enjoyed very much but the movement, story, some puzzles and sections of the game can all be confusing and annoying. first of all, the movement. you can't use the arrow keys to move and controlling the character sometimes feels clunky. missing jumps because you didn't get the exact timing right, doing trial and error just to accomplish basic tasks isn't enjoyable. the story of the game is way too vague, it feels like it's trying to tell a story but that's not the focus at all. normally, abstract storytelling is my kinda thing but it just doesn't work when it's this vague. some puzzles are also annoying to deal with. some puzzles mess with your movement and a lot of them require precise jumps which, as i mentioned before, isn't the easiest thing to figure out in this game. in it's core, i think this is a good experience but it definitely has a lot of flaws."
Puzzle,Limbo,2023-02-17,a very good puzzle game that gave me several moments of anger and happiness.
Puzzle,Limbo,2023-01-31,"this is a really fun and beautifully designed game. the puzzle solving is pretty clever. there's no music throughout, only ambient sounds here and there. this can be called a short and different experience."
Puzzle,Limbo,2022-11-18,"the first game i ever owned on steam. great atmosphere, fun gameplay, pretty spooky."
Puzzle,Limbo,2022-10-18,simple but great. the game really suprised me. the graphics are minimalistic and there is no speech but the atmosphere is awesome.
Puzzle,Limbo,2022-09-10,"i really enjoyed playing limbo. it has good atmosphere and puzzles are challenging to solve but not frustrating. however there is no music at all, just some ambient playing sometimes."
Puzzle,Limbo,2022-08-23,"a great story to be interpreted. the dark and silent ambiance is just terrific. puzzles requires some reflection. music is gorgeous. the environment is highly stylish, and there are numerous moments where you can feel how small and sickly the character is. boss fights are epic. lighting is terrific. if the game definitely is quite short, the eggs to collect and the achievements to get manage to make it last a bit longer. you certainly should be okay to die a lot to understand all the traps of this game. in a sense it may seems like a die  retry kind of game. i am very aware that 'limbo' has something of really empty and hollow. nevertheless i can't deny that i have been stuck in its universe and atmosphere all throughout. must test."
Puzzle,Limbo,2022-08-19,"this game was a present for my birthday, i didn't expect that i'll become addicted to this fabulous indy game. sure 6 y.o. i wasn't too good at puzzle games but the atmosphere and the environment confused my mind. even though, till this day i'm still playing and reminding myself that i had the best gaming experience ever."
