genre,game,commented_date,comment
Puzzle,Little Nightmares,2025-01-31,thats some good cocaine the devs were snorting cause holy damn this game is weird af.
Puzzle,Little Nightmares,2025-01-12,it was a beautifull game wich managed too give me a few scares so ye thats all i really had
Puzzle,Little Nightmares,2024-10-15,"i loved little nightmares from beginning to end. what a novel and visually gratifying this puzzle  platformer game is. i appreciate it even more after playing little nightmares 2, a solid 1010. i played this on xbox and for some reason metacritic's xbox user review function doesn't function for sht"
Puzzle,Little Nightmares,2024-09-26,"one of the best horror platformers i have ever played. this game is almost perfect. my only complaint is that it wasn't longer, but there is dlc to scratch that itch."
Puzzle,Little Nightmares,2024-09-14,"wow, i liked the creepy atmosphere and the gameplay was good, but you can't understand much of the story with the first part"
Puzzle,Little Nightmares,2024-09-04,"game is nice and innovative, the narrative is very obscure and interesting. what the game lacks is some actual gameplay, resulting sometimes in just a scroller with some platforming here and there and a lot of anxiety. game is also quite short around 3h"
Puzzle,Little Nightmares,2024-08-22,"a very unforgettable experience, you start by waking up from a nightmare and that's it, your 3hour adventure begins in search of surviving this strange place, certainly one of the best memories of my life"
Puzzle,Little Nightmares,2024-04-06,"graphics 10 playability 8 longevity 7 beautiful game with wonderful graphics, the game is short, the ending is disappointing"
Puzzle,Little Nightmares,2024-01-27,one of my favourite games ever. just have a thing for dark atmosphere and creep. the ship mission is top notch
Puzzle,Little Nightmares,2023-12-31,"for the style of the game, it's almost perfect. timeless graphics, impeccable ambience, great soundtrack. the only defects i found were the interaction with objects which sometimes doesn't work as expected and the input lag. the adventure is short about 3 or 4 hours, but what matters is the experience it provides. unique game. it is worth it the dlcs are good too"
Puzzle,Little Nightmares,2023-09-17,good but to expensive
Puzzle,Little Nightmares,2023-10-17,i want to enjoy this game. it is atmospheric. it looks good. it has interesting art design it has all the visual qualities. i enjoy but i just sadly go to sleep while playing it the gameplay is just so simple that i begin to fall asleep. i enjoyed games like limbo and inside but sadly this one just didn't do anything for me so maybe it's just a mething. i didn't find the storytelling so interesting in this one. it's worth giving a shot to see if you like it but i did not
Puzzle,Little Nightmares,2023-10-16,"beautifully bewitching and frightening. this game made me work up a real sweat, both because some of the levels were really hard not impossible tho, but also because of the creepy atmosphere and the quite litterally nightmarish characters six encounters."
Puzzle,Little Nightmares,2023-08-15,"interesting but overpriced game. i really enjoyed it, and the dlcs are pretty worth it too."
