genre,game,commented_date,comment
Puzzle,Inside,2025-03-11,"inside is a fascinating game with a strange yet captivating story. its fun, but not something you can play for long stretches without feeling a bit drained. that said, after a while, youll find yourself wanting to jump back in during your free time. overall, its a unique and interesting experience!"
Puzzle,Inside,2025-03-12,"its a game where when you finish you are going to be like what have i just played, knowing its a masterpiece."
Puzzle,Inside,2025-03-01,"very decent logic platformer, nice continuation of limbo, just in escapee settings. interesting and challenging"
Puzzle,Inside,2025-02-28,"i recently had a few hours of free time and decided to give the game inside a try. what i experienced was nothing short of mesmerizing. from start to finish, the game gripped me with its eerie atmosphere, clever puzzles, and a story that lingers in the mind long after the credits roll. the games length is one of its strong suitsits not so long that it overstays its welcome, nor too short to feel incomplete. every moment is packed with intrigue, making it an experience that never becomes boring or repetitive. the puzzles are another highlight. they strike a perfect balance between challenge and accessibility, demanding just enough thought to be engaging without ever becoming frustrating. beyond gameplay, inside excels in storytelling without words. the dark, mysterious world unfolds through its stunning visuals and subtle environmental storytelling. every frame is crafted with precision, drawing players into its hauntingly beautiful world. overall, inside is a mustplay for fans of atmospheric puzzleplatformers. its masterful design and immersive experience make it one of the most memorable indie games ive played. a solid 910 in my book."
Puzzle,Inside,2025-02-26,"its a great little game, not long. can be a little bit brutal... easy achievements if you are a hunter, definitely recommend it if you are after achievements"
Puzzle,Inside,2025-03-06,"the visual look so gorgeous. the puzzle are really interesting. its not really hard, but sometimes you need to think for a few minute to find the solution. the story are great, even though i don't fully understand the meaning behind it. hot takes, this game is much better than limbo. recommended. 910"
Puzzle,Inside,2025-03-03,"art is recognized in the details. inside is a game that speaks without words, yet tells a story more powerfully than many games filled with dialogue. every moment is meticulously crafted, with the narrative unfolding through the eerie environment, haunting sound design, fluid animation, and clever gameplay situations. there are no explanationsonly you, the world around you, and the unsettling feeling that something is terribly wrong. the physics in the game are near perfect, making every movement feel weighty and real. the way the hero stumbles, climbs, or pushes objects adds to the immersion, making you feel his fragility in this cold and oppressive world. the gameplay, though minimalist, is masterfully designed. the puzzles blend seamlessly into the environment, never feeling out of place. the sound design is simply phenomenal. theres no background music in the traditional sensejust the ambient noises of distant machinery, echoing footsteps, and moments of eerie silence that make your heart race. the atmosphere constantly shifts between tension and curiosity, keeping you on edge while pulling you deeper into its mystery. and then theres the ending. it doesnt just surpriseit shocks, unsettles, and leaves you with more questions than answers. even after the credits roll, youll find yourself staring at the screen, trying to process what you just experienced. inside is not just a gameits a masterpiece of atmosphere, storytelling, and design. it lingers in your mind long after you put it down, and thats what makes it truly unforgettable."
Puzzle,Inside,2025-03-14,"lovely game with that kind of psychologicalthriller vibe to it. it's obscure and intriguing atmosphere complemented with interesting puzzles result in a beautiful game full of little details. i really enjoyed the experience, it was short but totally worth it! would love to see more like this."
Puzzle,Inside,2025-03-13,"another amazing game by playdead. i like this even more than limbo, such a unique experience. i love how you always feel like you're being watchedchased. one of the best puzzle platformers i've played."
Puzzle,Inside,2025-03-13,"i cannot highly recommend this game enough. the gameplay is smooth. the story, while silent, does a very good job at illustrating what's going on. the learning curve isn't too bad either. you have to replay it a couple times to get all the endings and figure out all the easter eggs, which is definitely worth it."
Puzzle,Inside,2025-03-13,"this game is definitely giving george orwells 1984 vibes and i love it. it's eery, it's uncomfortable, it's stressful  in such a good way. wowowowow!"
Puzzle,Inside,2025-03-13,"recommended it when played it then, i recommend it today as well, it holds up fantastically"
Puzzle,Inside,2025-03-13,this game prove that you don't need any dialogues or any cutscences to tell an amazing story
Puzzle,Inside,2025-03-13,"great dark atmosphere, captivating music that fits the world and the game perfectly. gameplay is simple yet efficient and provides a very enjoyable experience. puzzles present enough challenge and remain engaging and fresh throughout the game as they do not repeat, and all of them have some uniqueness and cleverness to them. this all comes together in a deeply dark and orwellian world that left me wanting more. i had an amazing experience myself with this game. it is a must buy and a must play."
Puzzle,Inside,2025-03-13,"this game did something not many games have done to me before disturb me. it has a certain dystopian atmosphere, and despite the ending being a good one, it still feels.. uneasy. the game does a great job at what it sets out to do, and i applaud it for being one of the most immersive puzzle platformers i've ever played."
Puzzle,Inside,2025-03-12,"further improving on the limbo formula by a long shot, playdead's inside is a remarkable feat of cinematic gaming. the nuanced gameplay and intricate puzzles are engaging, and the superb sound design, amazing animations and lighting compositions really immerse you in the storyrich world of inside."
Puzzle,Inside,2025-03-12,"this game is amazing. 1010 the animations, the graphics, the sounds, the scenery, .... a must play"
Puzzle,Inside,2025-03-12,"quite an immersive, engaging, interesting, creative and philosophical game, to be honest. i really, really enjoyed playing this game all the way twice. the first time i played it like usual and the second was to collect all those collectibles to get all the achievements, which i did. highly recommended for gamers and other people to try it out and voice their respective opinions. thanks."
Puzzle,Inside,2025-03-10,"like playdead's other game limbo, inside is filled with a lot of really cool puzzles and situations. but it's even better. definitely one of the best puzzle platformers i've ever played. i'd love to see more games from this developer, they seem to excel at this genre."
Puzzle,Inside,2025-03-10,"this game is a masterpiece. its haunting atmosphere, smooth gameplay, and subtle storytelling creates an unforgettable experience that stays with you long after you finish it."
Puzzle,Inside,2025-03-09,"this game is a really cool experience, it's not very long but it left me speechless, the ambiance either visual or audio is really well done, the animations are awesome, i've rarely seen such good animations in a game, and the gameplay is really fun and make you think multiple times of how to do something, in short it's a good game that's really cool to play. and if you also like dark universes like limbo, little nightmares, or games that have a similar feeling, you will definitively like inside a lot."
