genre,game,commented_date,comment
Puzzle,It Takes Two,2025-02-12,"it takes two is game for  you guessed it two. overall experience was really nice, feeling high quality, variety of gameplay  in every chapter there is different mechanic also tons of minigames. playing this with my partner i did have amazing, enjoyable time. however, i didn't like the story as much as i would like to. for example  elephant. killng with no remorse after mutilating her so they could make their daughter cry? pretty traumatic scene... but i just hated the fact that they had no thoughts after. no self reflection that what they did was bad? unnecessary? no one said they are supposed to do that. they decided that it's way to go, it gave nothing and they had no self reflection  oh no! we made our stressed, sad daughter cry as if her world wasn't already getting destroyed by our divorce. we are awful. they should be dying with guilt of making their daughter suffer for no reason at all, unable to repair their mistake because of their situation. no foreshadowing of may singing hobby, which was totally out of nowhere, also this chapter gameplaywise was also the weakest. i feel like the creators had awesome idea, it started really well, but went downhill in the end. in the begining scene we see that may is working her ass off so they could have best life possible, she comes back from work and asks cody if he took daughter to the dentist. we see that even if he is stay at home dad, may still has to take care of most basic sht. and plot twist  in the end it doesn't even change. i did enjoy them getting their spark back however my partner was first like damn, i'd hate to be with cody. also gameplaywise may gets more difficult stuff to do, for example garden chapter  may was supposed to support cody's hobby of gardening. so gameplaywise cody was support for may's offensive xd i saw opinion that it's showing how women have to do most of the stuff and no one even notices, but i doubt that's the case. because if it was why didn't we get gradually shifting the balance to be equal? game was supposed to show me two people changing. overall  i do recommend this game as a split screen coop game. graphics feels high quality, variety of gameplay was a great way to go. it takes two is really enjoyable to play. however i do feel that it was rushed a little bit. as i said, idea was great, start was great, but it went downhill. last two chapters felt much shorter and rushed  both gameplaywise and plotwise."
Puzzle,It Takes Two,2025-02-10,"h1 a visually stunning and everchanging fantasy world h1 the game's visuals are truly stunning. while human characters may seem a bit stiff in their animations, the fact that the protagonists are dolls makes this a nonissue. the world design is especially impressive, transforming an ordinary home and garden into a massive playground full of magical elements. from navigating giant furniture and electrical wires to exploring a toy wonderland, a snowy crystal ball world, intricate clockwork mechanisms, and a lush garden teeming with insects, the game offers a wide variety of beautifully crafted environments. these diverse settings keep the game fresh and prevent players from feeling stuck in the same location for too long. each level is filled with interactive objects and hidden easter eggs, enhancing the sense of exploration. there are also minigames where players can compete against each other, adding more fun beyond the main adventure. h1 brilliant coop gameplay designh1 it takes two is built entirely around cooperative play, and its level design reflects this perfectly. the screen is split in half, allowing both players to see their character and their partner's movements. the smooth camera transitions occasionally switch to a fullscreen perspective, providing a cinematic view of the world. seeing both characters on the screen at all times makes it easier for players to coordinate their actions. the gameplay mechanics are also welldesignedboth characters can jump, doublejump, walljump, dash, and groundpound. in addition, each player receives unique tools throughout the levels, requiring them to work together to solve puzzles and progress. for example, in an early level, may uses a hammer to break objects while cody wields a nail gun to create platforms. their abilities complement each other, emphasizing teamwork. each stage introduces new mechanics, ranging from platforming and shooting to puzzlesolving, rpgstyle battles, action sequences, and boss fights. the game spans about 1015 hours, and every moment feels freshthere are no repetitive maps, tedious collectible hunts, or filler content. instead, players encounter a constant stream of engaging minigames and surprises, making the experience exciting from start to finish. the game is also very accessible. the controls are simple and easy to learn, and the difficulty is forgiving. if one player dies, they can respawn as long as their partner is still alive. even if both players fail, the game quickly resets at a nearby checkpoint, minimizing frustration. this makes it a great game for players of all skill levels, including those who are new to action games. h1 memorable characters, but a simple story h1 the story follows cody and may, a couple on the verge of divorce who are transformed into dolls. guided by the eccentric and comedic book of love, dr. hakim, they must work together to return to their human forms. the main cast consists of only four characters the logical and workfocused may, the homeoriented and plantloving cody, their kindhearted daughter rose, and the overthetop dr. hakim. each character has a distinct personality, with hakim standing out as the most entertaining. his exaggerated mannerisms and humorous antics add charm to the story. the game cleverly integrates the couples struggles into the level design. for instance, a stage about their lost connection features magnetbased puzzles, while codys neglected garden and mays abandoned passion for singing become central themes in other levels. however, the overall plot is quite straightforward, lacking major twists or deep emotional moments. while the game touches on love, family, and personal growth, it doesnt explore these themes in great depth. that said, since the focus is on gameplay rather than storytelling, the simple narrative isnt a major downside."
Puzzle,It Takes Two,2025-03-10,"the game is quite long, but very enjoyable. puzzles  boss fights? hell yeah  takes a lot of teamwork and concentration. heavily recommend to play the game with someone you likelove."
Puzzle,It Takes Two,2025-03-09,"one of the best games i have ever played. me and my gf really enjoyed it, the creativity was off the charts seriously. story was nice, character design and aesthetics were good. the hardest part is finding a girl. goodluck ! p.s cant wait to play split fiction"
Puzzle,It Takes Two,2025-03-08,"played this game with a friend one night, laughed so hard, it felt just right. puzzles, jumps, and fights so grand, only worked with a helping hand. co lla boration was the key, fail alone? thats on me. bosses wild, the levels new, no dull moment, not a few. a tale of love, a game of fun, by the end, we werent done. if youve got a friend to play, get this gamedont delay!"
Puzzle,It Takes Two,2025-03-04,great game 23 hours well spent. and 23 hours for a puzzlestory game is pretty good in my book yeah just a great game if you can play it you totally should
Puzzle,It Takes Two,2025-03-01,"a game that was definitely made with love. an extreme amount of features, minigames and mechanics. beautiful graphics. the story is ok, but its not that important. main deal is you immersing in this game with a partner. joy and fun."
Puzzle,It Takes Two,2025-02-27,"it such an amazing game to play with your couple in my case, i played with my wife. but some bosses are to hard to fight because my wife doesn't get used to play little bit tense of game. she got nervous easily. the story is amazing. no lie. the therapy session its actually on point. hey, can you develop this kind of game again? we'd love to play more! thanks for making this amazing game."
Puzzle,It Takes Two,2025-02-26,"incredible game, fun and rich with content, you really get your money's worth with this game, cant recommend enough, don't have a gf played it with my gay friend 1010"
Puzzle,It Takes Two,2025-02-25,"the game was an absolute blast! i like the storyline and the minigames, and we loved how the game constantly kept things fresh. highly recommend!"
