genre,game,commented_date,comment
Puzzle,Inside,2016-03-12,anger smash!!!
Puzzle,Inside,2015-09-16,i love this movie
Puzzle,Inside,2015-07-29,anger and chairs tho
Puzzle,Inside,2015-10-08,the movie was pretty cool
Puzzle,Inside,2015-12-10,collapsed house of cards!
Puzzle,Inside,2015-07-27,i think of angry jack when i see this.
Puzzle,Inside,2008-05-31,incredible rock music. one of my favorites
Puzzle,Inside,2015-09-11,this guy makes this movie! he is the best!
Puzzle,Inside,2012-04-19,love this song! ray wilson's vocals are epic!
Puzzle,Inside,2015-09-19,any particular reason he looks like meat boy?
Puzzle,Inside,2015-10-17,anyone notice that riley's dad is on the king card?
Puzzle,Inside,2014-02-23,one of the most underrated songs of the 90's. respect
Puzzle,Inside,2014-05-02,one of the greatest one hit wonders ever fantastic song
Puzzle,Inside,2015-07-05,how i feel when people at school make fun of my glasses
Puzzle,Inside,2015-07-24,i saw this movie it is awsome it was funny but also sadd too
Puzzle,Inside,2015-08-24,anger is smashing the control with chair like wwe super star lol
Puzzle,Inside,2015-07-23,i get mad when i some times fall down because people laugh at me
Puzzle,Inside,2013-04-30,love this track. haven't listened to it for ages. full volume!!!!
Puzzle,Inside,2015-06-25,what if the emotions had emotions... maybe the will be the sequel
Puzzle,Inside,2015-07-01,grrrrr!!!! i hate it! i hate things going so wrong!!!! it's not fair!!!!!
Puzzle,Inside,2013-01-31,"one of the best rock songs ever, i must confess. this beats hard  heavy..."
Puzzle,Inside,2015-06-29,hello welcome to the inside out club what would you like to eat  choose!!!!
Puzzle,Inside,2008-08-25,wicked. this was the first single i ever bought. gotta love those levis ads.
Puzzle,Inside,2010-01-29,wow... a classic of airguitar lovers... ioi remember this song with respect.
Puzzle,Inside,2015-07-08,i feel like hitting my computer with a chair sometimes because it's so fudging slow.
Puzzle,Inside,2016-02-25,freakin' bad ass guitar playing! i played this tape about a thousand times.... simply awesome!
Puzzle,Inside,2015-05-01,the first song i heard that made me realise music could be so important. nice one for posting.
Puzzle,Inside,2015-06-28,"most of the emotions that people express are sadness, disgust, and anger, i wander why that is?"
Puzzle,Inside,2016-02-17,those controls have got to be sturdy if you can wweslam them with a chair with no apparent damage.
Puzzle,Inside,2015-05-02,"one of my fav of all time !!!!never ever gets old ,i absolutely love this song and his voice !nice!"
Puzzle,Inside,2010-03-30,loved this song for soo long now. my dad use to play this in the car all the time when i was little.
Puzzle,Inside,2015-12-08,anger the emotion your so funny i like it when you say daaaaaaaaaaaaahhhhhhhhhhhhhh i can't stop laughing
Puzzle,Inside,2015-06-11,want to see this movie so bad but already spent all my money on tomorrowland. disney films are too good!!
Puzzle,Inside,2015-08-14,want to see this movie so bad but already spent all my money on tommorrowland. disney films are too good!!
Puzzle,Inside,2015-02-24,"when the guitar kicks in at 327, always remember that being a cool moment from my childhood  still awesome."
Puzzle,Inside,2011-02-04,"makes me feel old! can still remember the levi ad! so sad this was their only real glimpse at fame, were worthy of so much more."
Puzzle,Inside,2011-08-07,omg! i've been wrecking my head over this for at least 10 years because i never remembered who plays this song...i can die happy now d
Puzzle,Inside,2014-12-16,"remember the pogo on stiltskin music in some underground clubs while in highschool..... ohhh how time passes by.... great band ,,,great song...kudos from romania"
Puzzle,Inside,2015-07-12,if it comes out on the 24th how have i watched it already? someone sent me a link and i saw the first ten minutes but it was such low quality i just got tickets.
Puzzle,Inside,2015-08-22,top 8 reason why i hate anger 8.he ripped of spongebob by shape! 7. he is mean to fear 6.his hair is fire! 5.he acts spoilt to help riley 4. he looks evil by the eyes 3 how come he has no nose?! 2. he's teeth look spooky 1. he is a big bully!
Puzzle,Inside,2015-04-07,i was 17 when this was out and 21 years on its still fucking brilliant.....also its really easy to play too....im a bass guitarist and have played this before.....brilliant song to cover in a band....very enjoyable to play.....the old ones are the best!!!
Puzzle,Inside,2008-05-03,"ha lots of memories!!!it reminds a tape on my walkman that included stilskininside, faith no morediggin the grave, offspringcome out and play, nirvana smells like teen spirit and soundgardenblack hole sun on it's one side!the best nineties songs!!! great decade 4 music!!!"
Puzzle,Inside,2015-08-23,"this reminds me of basil fawlty's struggle with his car come on... start!..... start, you vicious... bastard!!! come on!... i'm warning you... i'll count to three  one...two...three, right, that's it! i've laid it on the line for you time and time again... i'm gonna give you a damn good thrashing!!!"
