genre,game,commented_date,comment,release_period
Puzzle,It Takes Two,2021-03-04,loving it,Before
Puzzle,It Takes Two,2021-03-25,f the oscars!,Before
Puzzle,It Takes Two,2021-03-23,imagine this on vr,Before
Puzzle,It Takes Two,2021-03-25,youre the bomb dude,Before
Puzzle,It Takes Two,2021-02-27,josef fares is the man,Before
Puzzle,It Takes Two,2021-03-23,we miss your old posts,Before
Puzzle,It Takes Two,2021-02-22,the game looks amazing!,Before
Puzzle,It Takes Two,2018-01-27,i love the olsen twins.,Before
Puzzle,It Takes Two,2021-03-25,the oot pot room ... yes,Before
Puzzle,It Takes Two,2019-01-08,thank god its on netflix,Before
Puzzle,It Takes Two,2021-03-08,couples therapy the game,Before
Puzzle,It Takes Two,2021-02-22,man this dude is awesome.,Before
Puzzle,It Takes Two,2021-02-22,local coop. this is good.,Before
Puzzle,It Takes Two,2020-12-13,alabama plays with family,Before
Puzzle,It Takes Two,2021-02-23,this is fresh instant buy,Before
Puzzle,It Takes Two,2021-02-23,"this dev, one of a kind..",Before
Puzzle,It Takes Two,2021-03-15,a song selection for this.,Before
Puzzle,It Takes Two,2021-02-23,this studio is a treasure.,Before
Puzzle,It Takes Two,2021-03-25,game is looking incredible,Before
Puzzle,It Takes Two,2019-11-03,i loved this movie as a kid,Before
Puzzle,It Takes Two,2021-03-25,"omg, that zelda reference! 3",Before
Puzzle,It Takes Two,2021-03-25,actually here early for once,Before
Puzzle,It Takes Two,2021-03-25,this better win some awards .,Before
Puzzle,It Takes Two,2019-04-07,i see me too  this is amazing,Before
Puzzle,It Takes Two,2021-03-23,early gang were are you at???,Before
Puzzle,It Takes Two,2021-03-24,i like the game its look cool,Before
Puzzle,It Takes Two,2016-12-04,this was huge back in the day.,Before
Puzzle,It Takes Two,2021-03-25,josef fares is killing it man!,Before
Puzzle,It Takes Two,2021-03-25,a way out was a great game too,Before
Puzzle,It Takes Two,2021-03-11,you better not mess this up ea,Before
Puzzle,It Takes Two,2021-02-23,this game looks very promising,Before
Puzzle,It Takes Two,2021-02-23,i'm in love with this narrator,Before
Puzzle,It Takes Two,2021-03-25,this game honestly feels genius,Before
Puzzle,It Takes Two,2020-11-17,wow the ambiance is so distinct,Before
Puzzle,It Takes Two,2021-03-25,liked before watching the video,Before
Puzzle,It Takes Two,2021-03-15,the use of the chain is perfect,Before
Puzzle,It Takes Two,2021-02-23,this actually looks pretty nice,Before
Puzzle,It Takes Two,2021-02-23,finally split screen!!!!!!!!!!!,Before
Puzzle,It Takes Two,2021-02-22,we need more games like this one,Before
Puzzle,It Takes Two,2020-12-11,this looks absolutely incredible,Before
Puzzle,It Takes Two,2021-03-25,another joseph faris masterpiece,Before
Puzzle,It Takes Two,2021-03-25,yes i have been waiting for this,Before
Puzzle,It Takes Two,2021-03-08,i love these cartoons animations,Before
Puzzle,It Takes Two,2021-02-25,this game would be so cool in vr,Before
Puzzle,It Takes Two,2021-03-23,who would want to sponsor us ian,Before
Puzzle,It Takes Two,2020-04-25,can we just...go back to the 90's?,Before
Puzzle,It Takes Two,2021-03-25,this gone win some awards for sure,Before
Puzzle,It Takes Two,2021-03-25,"wasn't expecting this at all, epic",Before
Puzzle,It Takes Two,2021-03-10,this was a very movieesque trailer,Before
Puzzle,It Takes Two,2021-02-23,josef fares is a national treasure,Before
Puzzle,It Takes Two,2021-03-23,i was so close to being here early,Before
Puzzle,It Takes Two,2020-12-11,this the game greg and rowley liked,Before
Puzzle,It Takes Two,2021-03-25,my man josef deserves all the love.,Before
Puzzle,It Takes Two,2021-03-25,coop games are taking off right now,Before
Puzzle,It Takes Two,2018-06-28,this was my favorite movie as a kid,Before
Puzzle,It Takes Two,2021-03-01,that clock level looks fantastic!!!,Before
Puzzle,It Takes Two,2021-03-25,does it use the dualsense features?,Before
Puzzle,It Takes Two,2021-03-25,josef is awesome!! i love his games,Before
Puzzle,It Takes Two,2021-01-20,i'm 53 and this song never gets old.,Before
Puzzle,It Takes Two,2018-03-16,forever and ever and ever a classic.,Before
Puzzle,It Takes Two,2021-02-23,bless this mans creativity and drive,Before
Puzzle,It Takes Two,2021-03-23,i really hope this replaces among us,Before
Puzzle,It Takes Two,2021-03-10,a way out was incredible i cant wait!,Before
Puzzle,It Takes Two,2021-02-23,"a coop game in 2021? finally, thanks!",Before
Puzzle,It Takes Two,2021-02-23,looks super fun to play with a friend,Before
Puzzle,It Takes Two,2021-03-25,ea did we forget to monetize this one?,Before
Puzzle,It Takes Two,2021-02-27,finally multiplayer coop split game !!,Before
Puzzle,It Takes Two,2021-03-23,who would sponsor me?! makes baby face,Before
Puzzle,It Takes Two,2021-03-25,"joseph faris, the saviour of coop games",Before
Puzzle,It Takes Two,2021-03-25,fun fact it takes two to play this game,Before
Puzzle,It Takes Two,2021-03-25,best thing ea published in a decade tbh,Before
Puzzle,It Takes Two,2021-03-25,we need part 2!! loving this series wow,Before
Puzzle,It Takes Two,2021-03-23,ayyyy ssundee got 1 trending for gaming,Before
Puzzle,It Takes Two,2021-03-25,josef fares is gonna be a legend one day,Before
Puzzle,It Takes Two,2021-03-25,finally a game that brings something new,Before
Puzzle,It Takes Two,2017-02-24,this is the older version of parent trap,Before
Puzzle,It Takes Two,2021-03-17,im glad they used a fleet wood mac song.,Before
Puzzle,It Takes Two,2021-02-23,this looks like a movie more than a game,Before
Puzzle,It Takes Two,2021-02-24,josef is a hero to the gaming community.,Before
Puzzle,It Takes Two,2021-03-23,i would download this! if i had friends.,Before
Puzzle,It Takes Two,2021-03-23,ian easy also ian dies after saying that,Before
Puzzle,It Takes Two,2021-03-25,can we nominate this game for the oscars?,Before
Puzzle,It Takes Two,2019-12-21,this was buried deeeep in my memories wow,Before
Puzzle,It Takes Two,2020-07-22,yall the olsen twins are such good actors,Before
Puzzle,It Takes Two,2021-03-25,never heard of this very excited to watch,Before
Puzzle,It Takes Two,2021-02-25,using the squirrels weaponry  fkn rpg xdd,Before
Puzzle,It Takes Two,2020-12-12,this legit could be a movie. i'd watch it.,Before
Puzzle,It Takes Two,2020-12-11,it feels like this would be a great movie.,Before
Puzzle,It Takes Two,2020-12-11,this looks brilliant. trailer of the show.,Before
Puzzle,It Takes Two,2021-03-25,"first goty contender for 2021,here we go..",Before
Puzzle,It Takes Two,2019-04-15,"omg, i loved that movie when i was little.",Before
Puzzle,It Takes Two,2021-02-23,we need more split screen coop. can't wait,Before
Puzzle,It Takes Two,2021-02-24,best moment of josef fares is f the oscars,Before
Puzzle,It Takes Two,2021-03-23,congrats to who got the you nailed it pun.,Before
Puzzle,It Takes Two,2020-08-18,bring back the 80's please. miss this shit.,Before
Puzzle,It Takes Two,2020-04-21,one of the greatest hiphop singles ever cut,Before
Puzzle,It Takes Two,2020-12-11,this is the best game they announced so far,Before
Puzzle,It Takes Two,2021-03-25,can't wait to play this game. it looks fun!,Before
Puzzle,It Takes Two,2016-04-15,i love the olsens twins than r my favorites,Before
Puzzle,It Takes Two,2016-09-12,i used to love this movie when i was little,Before
Puzzle,It Takes Two,2021-03-21,i'm in love with everything about this game,Before
Puzzle,It Takes Two,2021-03-23,when hes sponsored he acts like an adult xd,Before
Puzzle,It Takes Two,2020-02-01,people dont know just how huge this song was,Before
Puzzle,It Takes Two,2020-01-10,yessss!!! still listening in 2020!! hit it!!,Before
Puzzle,It Takes Two,2018-02-02,this is one of my favorite childhood movie!!,Before
Puzzle,It Takes Two,2018-01-30,i love this movie so much when i was little!,Before
Puzzle,It Takes Two,2021-03-09,this game is going to have all of the feels.,Before
Puzzle,It Takes Two,2021-03-24,you could tell josef was having. so much fun,Before
Puzzle,It Takes Two,2021-02-22,this game looks so fun. can't wait to play it,Before
Puzzle,It Takes Two,2020-12-03,i used to watch this move all of the time lol,Before
Puzzle,It Takes Two,2021-02-23,this looks beautiful. definitely going to buy,Before
Puzzle,It Takes Two,2021-03-23,"he was so proud of his game, it was wholesome",Before
Puzzle,It Takes Two,2021-03-23,can i say that joseph has a beautiful accent.,Before
Puzzle,It Takes Two,2021-03-23,this game has such optimal speedrun potential,Before
Puzzle,It Takes Two,2021-03-23,claim your here before 1 million views ticket,Before
Puzzle,It Takes Two,2021-03-25,this game lowkey could be good couples therapy,Before
Puzzle,It Takes Two,2021-02-23,"i see a trend of smol people games, i like it.",Before
Puzzle,It Takes Two,2020-12-11,this is what the spirit of videogames should be,Before
Puzzle,It Takes Two,2021-03-25,this moment u have no friends to play this game,Before
Puzzle,It Takes Two,2016-10-23,hol up it takes two?.... or the parent trap...?,Before
Puzzle,It Takes Two,2016-12-29,have u guys saw the parent trap so same or lite,Before
Puzzle,It Takes Two,2021-03-10,im so glad this game came out during quarantine,Before
Puzzle,It Takes Two,2021-02-23,this is coming from single player im interested,Before
Puzzle,It Takes Two,2021-03-23,josef is everything i want to be when i grow up,Before
Puzzle,It Takes Two,2021-02-23,the kind of game we can play while dating. nice.,Before
Puzzle,It Takes Two,2020-12-11,from the a way out dev. definitely getting this!,Before
Puzzle,It Takes Two,2017-10-24,was this before or after carol became a lesbian?,Before
Puzzle,It Takes Two,2016-07-22,the parent trap meets the prince and the pauper.,Before
Puzzle,It Takes Two,2021-02-22,"anything with fares' involvement in, i'm sold on.",Before
Puzzle,It Takes Two,2021-03-08,"after haven, i'm down for more couplebased games!",Before
Puzzle,It Takes Two,2021-02-23,now this guy knows how to make a fg awesome game!,Before
Puzzle,It Takes Two,2021-03-25,special thanks to ea for providing a review copy.,Before
Puzzle,It Takes Two,2021-03-23,when ea makes a game with no loot boxes enjoyable,Before
Puzzle,It Takes Two,2017-03-19,this song will never ever get played out facts !!!,Before
Puzzle,It Takes Two,2021-03-25,an ea game without micro transactions?! impossible,Before
Puzzle,It Takes Two,2021-03-25,"my name is hallow, and welcome back! ceiling punch",Before
Puzzle,It Takes Two,2021-03-01,friends play free should be something all games do,Before
Puzzle,It Takes Two,2020-12-11,definitely hyped for this game! this looks amazing!,Before
Puzzle,It Takes Two,2021-03-25,"man this looks so much fun, i'll definitely get it!",Before
Puzzle,It Takes Two,2021-03-08,"this man, josef fares, is definitely a coop genius.",Before
Puzzle,It Takes Two,2020-04-10,when times were less complicated and a lot more fun!,Before
Puzzle,It Takes Two,2020-12-11,let's see if this can fix my relationship with my gf,Before
Puzzle,It Takes Two,2020-12-11,best ea game of the decade.. and i'm not even joking,Before
Puzzle,It Takes Two,2021-03-09,this is 100 gonna be like a game of the year nominee,Before
Puzzle,It Takes Two,2021-02-23,this looks absolutely incredible. can't wait to play!,Before
Puzzle,It Takes Two,2021-02-22,this dev team is breaking the mold in a very good way,Before
Puzzle,It Takes Two,2018-08-06,"i loved their movies, books and t.v. shows growing up",Before
Puzzle,It Takes Two,2017-10-19,"this is on hulu, i'm so ready to relive my childhood!",Before
Puzzle,It Takes Two,2021-03-08,"i'm here for the music, but the game looks cool, too.",Before
Puzzle,It Takes Two,2021-02-23,"left hand  hey right, ready to play? right hand  yeah",Before
Puzzle,It Takes Two,2021-02-25,this is what i call a adventure game!!! beautyful!!!!,Before
Puzzle,It Takes Two,2021-03-23,"when this comes out, he has to play this with sigils.",Before
Puzzle,It Takes Two,2021-03-23,when he said you're may i thought he said you're maid,Before
Puzzle,It Takes Two,2021-02-22,that hakim book sold the game for me. best voice ever.,Before
Puzzle,It Takes Two,2017-01-30,that beat is probably one of the best beats in hip hop,Before
Puzzle,It Takes Two,2020-12-11,dude this voice acting and dialogue feels too genuine.,Before
Puzzle,It Takes Two,2021-03-25,this looks amazing.. if you have someone to play with.,Before
Puzzle,It Takes Two,2021-03-25,i'm the most impressed when ign posts a decent review.,Before
Puzzle,It Takes Two,2021-03-25,was that the pot room from ocarina of time at the end?,Before
Puzzle,It Takes Two,2021-03-25,"the male doll is basically you hollow, just a cool dad",Before
Puzzle,It Takes Two,2021-03-08,looks like it could be fun. 1 for fleetwood mac music.,Before
Puzzle,It Takes Two,2021-03-23,"yay! ian finally got a sponsor, he can feed his family",Before
Puzzle,It Takes Two,2021-03-23,that jumpground pound combo reminds me a lot of mario.,Before
Puzzle,It Takes Two,2021-03-23,it takes two seconds and taps to hit that like button!,Before
Puzzle,It Takes Two,2021-03-23,there was no it turns blue!!!! joke ain't is changing.,Before
Puzzle,It Takes Two,2020-12-11,"ok, ea once again taking a step in the right direction.",Before
Puzzle,It Takes Two,2021-02-23,i don't buy ea games.. except this man's amazing ones!!,Before
Puzzle,It Takes Two,2021-03-23,"whoever is reading this, god bless you and your family.",Before
Puzzle,It Takes Two,2020-12-11,that was the best thing in the game awards in my opinion,Before
