genre,game,commented_date,comment,release_period
Puzzle,Limbo,2010-05-12,after three years of waiting,Before
Puzzle,Limbo,2010-05-12,the best danish indie game ever..,Before
Puzzle,Limbo,2010-06-30,david lynch would probably approve of this game.,Before
Puzzle,Limbo,2010-05-13,absolutely stunning in every way can't wait to play it!,Before
Puzzle,Limbo,2010-06-27,loving the nightmare fuel in this. i'm hooked by the overwhelming atmosphere.,Before
Puzzle,Limbo,2010-07-05,creepy! love the atmosphere! gonna have nightmares for weeks... can't wait for pc version...,Before
Puzzle,Limbo,2010-07-02,my god! this game is beautiful! a perfect example of creativity the current game industry needs.,Before
Puzzle,Limbo,2010-07-09,this game looks beautiful. i've never seen anything like it. i can see this game being scarier than resident evil.,Before
Puzzle,Limbo,2010-06-16,from the looks of it limbo will be responsible for many nightmares this year. cant wait to get my hands on and play it. impressive!,Before
Puzzle,Limbo,2010-06-17,"the art style alone has sold me. i'll play through the entire game just to see every set piece and image. it's like 1,000 works of art for the price of one.",Before
Puzzle,Limbo,2021-03-31,"limbo song by royal blood wake up every morning almost surprised i survived blood on the pillow tears in my eyes slept in a murder scene last night nobody move nobody gets hurt on loop the loop can't get out of reverse stuck in limbo all this time waiting up all night waiting stuck inside in limbo, limbo i need saving all this time i'm fading hold on tight fading stuck inside in limbo, limbo stuck in limbo all this time waiting up all night i'm waiting stuck inside in limbo, limbo i need saving all this time i'm fading hold on tight fading stuck inside in limbo, limbo now i've become someone i don't recognise i despise numb and defeated part paralysed i think i'm starting again so i roll the dice but i should stop and take my own advice it's no wonder i found myself lost ignoring all the signs fading stuck in limbo all this time waiting up all night waiting stuck inside in limbo, limbo i need saving all this time i'm fading hold on tight fading stuck inside in limbo, limbo stuck in limbo all this time waiting up all night i'm waiting stuck inside in limbo, limbo i need saving all this time i'm fading hold on tight fading stuck inside in limbo, limbo somebody calm me down wake me up slow don't leave me too late don't wait till i'm stuck in limbo limbo somebody calm me down wake me up slow don't leave me too late don't wait until my body is cold and i'm stuck in limbo till my body is cold my body is cold my body is cold till my body is cold yeah my body is cold and i'm stuck in limbo stuck in limbo stuck in limbo yeah i'm stuck in limbo",After
Puzzle,Limbo,2022-01-03,"this is really interesting. i've beaten the game on many separate occasions getting pretty familiar with all the areas and atmosphere, but i had never done the additional dark room until the day i'm writting this. that genuinely creeped me out. almost all of it is pitch black, much of what you hear are loud, harsh noises of metal or bullets firing. every time there is a little bit of comfort in the light, it is abruptly snuffed out and you are suddenly forced to run for your very life. it doesn't add much to the actual story, but i think it, like the rest of the game, also has some very strong symbolism. it feels like a state of emotional panic for the boy, perhaps representing what he felt during his life in the world around him. the saws, the guns, the mechanisms all crashing around, it may be all of the anxiety finally catching up to the boy and crushing him. one section in particular near the end of the dark room has a breif moment of silence in the darkness broken only by the lazy drone of an insect. but just as you start to settle in, it dies to the columns of machine guns firing constantlyon either side of the boy. i really wonder what this signifies, if anything at all. i think it could possibly have something to do with the reminder of how close his freedom from limbo was when he had grabbed onto the insect's leg before, which is actually the same area that you enter the dark room from. again, that little bit of hope, that small chance...destroyed. well in any case, i've written enough. i hope if anyone ends up seeing this that you were entertained by my banter. have a great daynightdawndusk.",After
Puzzle,Limbo,2022-01-19,"a friend of mine had bro night sleepovers around like 2011 or something. we played a lot of halo on xbox 360 and chowed down on snacks and played all night just to sleep in super late. one of us saw limbo in the menu and played the free demo which was great. at a later sleepover i couldn't attend, the guys got the full game and finished it and enjoyed it, though they needed some assistance with walkthroughs or online advice. told me it was a lot of fun. fast forward to 2018 and i got my first smart phone so i got limbo and passed the demo and got the full version for 2.99. passed it in one day on a snowy saturday with a few pointers from walkthroughs. felt guilty for wasting the day but my brotherroommate basically said if you enjoyed it the day wasn't wasted. the nostalgia hit hard while playing and still does seeing videos like this. those bro night guys and i have grown apart but i'll always cherish those days. these days are pretty good too in a different way. always something to be grateful for. it's like that saying, something like one day we'll look back at right now as the good ol days and there's probably several versions of that quote. basically you don't know what you got til it's gone. however that changes if you practice gratitude and enjoy the now while it's here. appreciate the little moments along the way and be thankful for the people in your life right now. i've adopted this attitude and it helps. there are things to enjoy now while they're here and different things to enjoy down the road. these are the good days, and that's always the case in each chapter of life. not sure why i shared all this but it felt good to.",After
Puzzle,Limbo,2021-11-13,"steps to make vismuth's part in limbo step 1 dont step 2 try step 3 to step 4 do step 5 first of all my english sucks, at the start of vismuth's part you're gonna start as the ship, then you need to click on the first trigger orb which will teleport you and change your gravity, then you need to click on the next trigger orb, now you should click the red and trigger orb which syncs with the music, the last one will make you small, then you need to click on the black orb and then click on the yellow, green and trigger orb quickly, the last one will teleport you near to a pink dash orb, you should hold it for less than one second and then click on the green orb, now you need to go through a cube portal changing your speed to x2, then you should click on the blue orb, jump in one platform and then click on the green orb which are spinning like a spinner from 2017, avoiding the red orb during the process, then jumping in some rotating platforms and clicking a black orb, now you will pass through a gravity portal and then jump in two of the rotating platforms avoiding one of the blue orbs and clicking in the bluecorb next to it, then jump on a platform, click on the pink orb and a yellow orb, then click on the next yellow orb avoiding one red orb because red sus, then click on the green orb, jump in other rotating platform and then click quickly on the blue, red and pink dash orb, hold for less than one second , dont hold for too much and then clicking in the green dash orb cuz thats a fake part which will make you die in a very dumb wae, when you stop holding you're going through another gravity portal and finally just jump a spike with some timing which which will take yout to the transition to jenkins and saria's part. i wrote all of this garbage like in 15 minutes lol",After
Puzzle,Limbo,2022-11-26,"i remember giving you the layout for this level to play as a joke, you weren't even a playtester for the level or anything, but as time passed, your love and dedication towards limbo had managed to surprise me and eventually the verification made it's way in your hands. at first, i was reluctant. i feared that someone who's hardest was a top 2030 now wouldn't be qualify to beat a level like this. a lot of people told me to do so, a lot of others told me to give the level to someone else and finish it quicker, but you managed to stamp your name onto it as yours and only yours to finish. your perseverance proved to be against all odds. this level would have come out quicker if i did give it to someone else that's true, but i'm sure i wouldn't have had much fun watching another guy play it. your character and optimism are inspirational, in calls you'd be cheering up my and everyone else's day with your sense of humor while keeping all the pressure and pain to yourself, and that's truly an act of someone who only wants to see everyone happy. fact of the matter is that i will remember this little level made in a videogame when i'm well over my 60s, it was just that memorable. when you got 90 again that day, i felt hopeless, and i'm usually never like that, i would be the one cheering you up, i thought you'd eventually break and leave the level again for months, and as the curse goes with any my level verifications, you did it when i was asleep, the only time i decided to go to bed. you did it an hour later, because you believed that it was not over yet. you managed to prove everyone wrong, and even beat it on a refresh rate no one dares try a top 10 on. i believe this is the best project me and many others have worked on since the beginning of me playing this game, and i believe this is the best choice of verifier. gg cooper",After
Puzzle,Limbo,2022-11-29,"walk around the world, it feel like every place the same i look into your eyes and see that you are in some pain freddie gonna help the business, help a rope around your neck gonna help you make a choice, let it sit, don't let it rest you a pest, what the fuck, you left a mess it's okay, i'll just say that your body's gone today you in hell, i don't think you failed, you just made some bail come that day, it gets worse, and i hope you fucking hurt now what's the word, captain? i think i caught you lackin' there are nine more layers than this hell's packin' no tippy tappin', bitch i come in rippy rappin' i feel lucky i'm not you at the top i do the do stuck in the fuckin' darkness, and it's cold, and hot haven't felt sun in some days, bitch, where do i start? start from the top, and the next stop the bottom rock bottom baby, i swear i already got 'em close your eyes and think of something for me think of all the times that you've been feeling kinda lonely what could you do with your time instead? what? you smoking weed, you fuck your bitch and go to bed notice all the colors that you seeing in your head now strip away that shit and feel the darkness, feel it spread this is what is like to be known as dead now open up your eyes, you see the world it is red now what's the word, captain? i think i caught you lackin' there are nine more layers than this hell's packin' no tippy tappin', bitch i come in rippy rappin' i feel lucky i'm not you at the top i do the do stuck in the fuckin' darkness, and it's cold, and hot haven't felt sun in some days, bitch, where do i start? start from the top, and the next stop the bottom rock bottom baby, i swear i already got 'em now what's the word, captain? i think i caught you lackin' there are nine more layers than this hell's packin' no tippy tappin', bitch i come in rippy rappin' i feel lucky i'm not you at the top i do the do stuck in the fuckin' darkness, and it's cold, and hot haven't felt sun in some days, bitch, where do i start? start from the top, and the next stop the bottom rock bottom baby, i swear i already got 'em",After
