genre,game,commented_date,comment
Puzzle,Little Nightmares,2025-03-21,as notcias de reanimal saem em breve. estou demorando porque s estou pegando as melhores partes. eu explico melhor aos 728 desse vdeo tmj
Puzzle,Little Nightmares,2025-03-21,"rapaz, tima teoria, antes eu pensava que a entidade responsvel por tudo fosse o vento do norte, sla eu era jovem para entender. agora voc conseguiu mudar minha mente, ns todos sabemos que as entidades esto em conflito uma com as outras e em um tipo de competio, em uma parte das hqs o vento do norte diz para uma das crianas que seu oponente sempre trapaceia ou algo assim, imagine caso ele esteja se referindo a entidade dos espelhos por estar em todos os lugares do lugar nenhum? acabei de pensar agora... timo vdeo, continue assim"
Puzzle,Little Nightmares,2025-03-21,"tomara que tenha pelo menos uma referncia sobre a six, no terceiro jogo"
Puzzle,Little Nightmares,2025-03-21,"rapaz t mto ansioso pro jogo e no chega nada de novo kkk, haja pacincia dousg"
Puzzle,Little Nightmares,2025-03-21,essa histria  incrvel e quanto mais descobrimos mais cresce a admirao
Puzzle,Little Nightmares,2025-03-21,algum sabe que ms lana?
Puzzle,Little Nightmares,2025-03-21,isso foi bom kkkkk
Puzzle,Little Nightmares,2025-03-21,oi
Puzzle,Little Nightmares,2025-03-21,"o thin man distorcia pessoas tbm, tipo os espectadores q n tinham espelhos mas ficavam vendo tv"
Puzzle,Little Nightmares,2025-03-21,"oxente , esse bicho da thumb parece o chapeleiro maluco. ele  msm ou oque?"
Puzzle,Little Nightmares,2025-03-21,mas  assim com todos os bosses finais de little nightmares
Puzzle,Little Nightmares,2025-03-21,"n tinha esoelhos na torre, so uma cadeira. n tinha cm o thinman ser fruto do espelho"
Puzzle,Little Nightmares,2025-03-21,na capa eu pensava q era o chapeleiro maluco kkkkkkk
Puzzle,Little Nightmares,2025-03-21,vento do norte aparece no ln3
Puzzle,Little Nightmares,2025-03-21,legal
Puzzle,Little Nightmares,2025-03-21,"tima teoria, uma das primeiras como sempre"
Puzzle,Little Nightmares,2025-03-21,ansioso demais para ln3 slk
Puzzle,Little Nightmares,2025-03-21,
Puzzle,Little Nightmares,2025-03-21,"quando o ln3 lana, ou quando vai ter um trailer"
Puzzle,Little Nightmares,2025-02-18,the fact he doesn't remember this playthrough is insane
Puzzle,Little Nightmares,2018-07-29,i like how markiplier always happens to find the extremely rare bug on his first try
Puzzle,Little Nightmares,2020-09-24,i love how mark said  son of a biscuit like he was trying to be kid friendly after he said fucking god damn it
Puzzle,Little Nightmares,2025-02-18,markplier i have been keeping up with this game for awhile meanwhile mark in his latest video i've never played little nightmares in my life
Puzzle,Little Nightmares,2020-05-31,"developers yea this games really clean, almost no bugs if you find a bug i mark just give me one sec"
Puzzle,Little Nightmares,2017-04-28,you are a child lost in a world that doesn't want you in here sounds like earth
Puzzle,Little Nightmares,2021-02-09,every time he didnt throw a statue or hug a gnome a little piece of me died.
Puzzle,Little Nightmares,2025-02-18,"real ones know this isn't markiplier, but a doppelgnger"
Puzzle,Little Nightmares,2021-02-11,anyone else rewatching the series since the sequel comes out soon and youre hoping marks about to play it?
Puzzle,Little Nightmares,2021-02-21,"mark, whose childhood friends are all over 6ft everything is terrifying when youre tiny"
Puzzle,Little Nightmares,2020-08-16,mark goes behind the light david attenborough and here we see the genius in his natural habitat
Puzzle,Little Nightmares,2025-02-18,knowing that mark doesnt remember doing this makes it great
Puzzle,Little Nightmares,2018-03-18,"you know youre skilled when you can escape, sneak around and not get caught while wearing a bright yellow neon raincoat"
Puzzle,Little Nightmares,2017-07-15,devolpers yep no buggs no glitches at all not even the biggest idiot can break this game mark hold my beer
Puzzle,Little Nightmares,2019-05-04,"game new, highly developed, really hard to crash and mess up mark guys i broke that game and my computer blew up"
Puzzle,Little Nightmares,2025-02-19,mark not remembering one second of this playthrough is the funniest thing
Puzzle,Little Nightmares,2020-11-13,why is it so dark? continuously begs him to use his lighter
Puzzle,Little Nightmares,2019-05-01,poor first little gnome buddy that didn't get a hug
Puzzle,Little Nightmares,2017-05-01,wow. it took mark less than two minutes to break the game... that's our mark...
Puzzle,Little Nightmares,2025-02-18,i love how markiplier completely lost any recollection of himself playing this game
Puzzle,Little Nightmares,2020-04-10,getting suffocated by a weird leech thing mark oh no i got squoozed
Puzzle,Little Nightmares,2019-09-02,six is hungry mark are you starving? jack oh no you got the squirts!
Puzzle,Little Nightmares,2017-05-01,only mark can break the game at the very beginning. lol!
Puzzle,Little Nightmares,2025-02-18,i like how he has absolutely 0 recollection of touching this game
Puzzle,Little Nightmares,2019-09-03,mark i don't want to miss anything obvious if it's staring me right in the face also mark finds a gnome runs right by without hugging it
Puzzle,Little Nightmares,2020-12-28,"i love how the child was calm during the whole thing. no screams or anything, just silence."
Puzzle,Little Nightmares,2019-11-16,i swear mark says oh no you dont in almost every horror game he plays
Puzzle,Little Nightmares,2025-02-21,"i like how everyone's come back to this after watching little bartmares. the thing is, i've never watched his playthrough, so i cannot confirm or deny that is the same markiplier of today."
Puzzle,Little Nightmares,2019-07-03,developers yep! no bugs or glitches at all. nobody can break this game. mark hold my nonalcoholic beverage.
Puzzle,Little Nightmares,2021-02-21,mark sees toilet mark why? mark sees cages mark why? mark sees anything mark why?
Puzzle,Little Nightmares,2018-08-03,mark picks up a paper airplane up off the ground that has nothing to do with the story mark is this part of the big story? does this one little thing affect the whole game? will i need this on my epic adventure?
Puzzle,Little Nightmares,2025-02-19,this is the alternate mark was talking about. we must protect the real him
Puzzle,Little Nightmares,2019-06-08,and what is your hobby? watching an adult man playing a tough little girl and screaming at the top of his lungs from fright
Puzzle,Little Nightmares,2019-05-15,"wow. its been two years already. man, time flies."
Puzzle,Little Nightmares,2020-03-15,developer you have to use the shadows of the objects to get past the eye! mark goes behind the eye developer i
Puzzle,Little Nightmares,2025-02-19,i have been keeping up with this game for a while said fake mark with a wry smile
Puzzle,Little Nightmares,2019-01-12,the scariest part of the whole game... the empty refrigerator
Puzzle,Little Nightmares,2019-07-25,"1751 watch how mark expertly, thoughtlessly evades the eye in a way the game probably did not even intend"
Puzzle,Little Nightmares,2020-04-27,yyyyyyyyep quarantine got me in this phase again
Puzzle,Little Nightmares,2025-02-18,it seems like mark has no reoccurring memory of playing this game. let's jog his memory with a controlled shock. press the blue button to administer a controlled shock
Puzzle,Little Nightmares,2021-03-15,"i always love how mark goes through all the captions himself and edits them. as someone who needs subtitles or captions on, it's not only a nice gesture, but he also adds jokes in them and it's really fun."
Puzzle,Little Nightmares,2019-05-20,"2320 it's so dark down here, i can't see a thing! oh no what a nightmare. xd"
Puzzle,Little Nightmares,2018-09-05,mark  oh thats electrified... picks up toilet paper if i pick this up...  throw it... it should light up on fire !! throws it at the electrical fence doesnt light up aw...
Puzzle,Little Nightmares,2025-02-19,"we're on to you, shapeshifter. the real mark gave you away."
Puzzle,Little Nightmares,2018-12-09,this games reminds me of a tim burtonspirited awaylimbo fever dream.
Puzzle,Little Nightmares,2020-01-11,game its fun with no bug mark not even two minutes in oh no i broke it
Puzzle,Little Nightmares,2017-06-18,"im gonna do a sweet wall jump here . . . boink! i did it, i'm so good at this this was hilarious"
Puzzle,Little Nightmares,2024-03-25,not even 5 minutes in and he already got stuck somewhere he wasnt suppose to be i love him
Puzzle,Little Nightmares,2017-05-08,"put your hands up, this is a robbery!! mark i'm gonna die and see what happens."
Puzzle,Little Nightmares,2020-03-30,mark tries to go to the back of the eye me a little nightmares veteran no mark... you can't  goes through me you can do that?!?!!
Puzzle,Little Nightmares,2017-05-30,the cone head dudes are scared of you but if you hug them they'll follow you around briefly! they're your friends don't be scared of them
Puzzle,Little Nightmares,2025-02-19,i love the influx of people rewatching because mark said he doesn't remember playing this game
Puzzle,Little Nightmares,2021-03-05,marks intuition i warped to the world and fell down ln2 pale city viewers
Puzzle,Little Nightmares,2021-01-31,"i tend to rewatch marks old gameplays whenever im sad or angry, his voice is just so calming even if hes playing a game like this"
Puzzle,Little Nightmares,2019-03-03,500 that looks more like a covered up murder than a suicide. the chair is too small for the person to have been able to hang themselves like that
Puzzle,Little Nightmares,2025-02-19,so sad mark never played this game
Puzzle,Little Nightmares,2020-06-26,what would be the benefit of breaking into jail? me f r e e f o o d
Puzzle,Little Nightmares,2020-10-06,eye wait that's illegal! markplier hurr hurr hurr me so smart.
Puzzle,Little Nightmares,2017-09-17,"developers of little nightmares no bugs, no glitches! yup were good! not even the biggest idiot of them all can break this game! mark hold my pepsi! breaks the game in less than 3 minutes of starting it developers damn it!"
Puzzle,Little Nightmares,2025-02-19,unintentional genius marketing strategy to forget a game you've played.
Puzzle,Little Nightmares,2017-08-06,"before 2606, mark doesn't get killed by slug things 2nd time electric bars eye 2nd time guy with long arms starvation but he dies by walking off the edge. that's markiplier everyone!"
Puzzle,Little Nightmares,2020-06-08,"my heart broke each time he ignored the gnome things  don't be shy, give them a hug"
Puzzle,Little Nightmares,2017-04-30,this seems like little big planet meets insidelimbo.
Puzzle,Little Nightmares,2025-02-18,teehee back here again after finding out mark completely forgot he played this
Puzzle,Little Nightmares,2018-08-20,funny how he tries to make reality to the game when there is a stubby tall dude with long ass arms.
Puzzle,Little Nightmares,2021-03-26,there is a limit to how stealthy one can be whilst wearing a bright yellow raincoat
Puzzle,Little Nightmares,2019-04-20,"i know im mega late but basically the grabby guy is blind and can only hear and smell you. when walking on carpet he cannot hear you, but on floorboards he can. if you throw something he will go find it, thinking it's you."
Puzzle,Little Nightmares,2025-02-20,"mark unable to remember little nightmares makes me want to watch this hole playthrough, and to be honest i will watch the hole playthrough."
Puzzle,Little Nightmares,2021-02-02,mark why would any civilization need this many cages?? me flips through my history book furiously
Puzzle,Little Nightmares,2017-05-02,"welcome to markiplier, who is required to break every game he plays at some point"
