Username,Score %,Review
MetacriticJoke,0,"Metracritic is a joke, will leave this review in all web. The zero transparency on the math behind the value they give, the way a mediocre game is 80 and the score on metacritic is the way to see if the games are good, making all the games the same, is a no sense, an utterly joke that destroys the games"
SamaelsBook,100,"A gorgeous game that pulls you in from start to finish, 300+ hours played is proof of that."
LisaMarie2,100,"whrite a list with every single thing you hate on lifeservice games in general. BG3 dosent have anyone of your points. music, art direction, all that makes a game a game, its just all more or less perfect. this is not a 10/10. we are atleast talking about a 12. if you talk about good games, you talk about BG3."
jeantulard,90,"Jeu extraordinaire. Vrai RPG D&D comme on ne l'attendait plus. Rien à jeter, et une grande rejouabilité."
pale81,50,"I don't know, you probably have to love this kind of game. I played it for a few hours and thought it was really stupid. Cumbersome control, missing localization and the annoying Iso perspective do the rest (Iso perspective is something like that from 1990 and a solution if you can't do graphics). I returned it and I return games very rarely"
alvarogbr,100,Melhor jogo que já joguei nos últimos 10 anos. Realmente este game me prendeu. Parabéns!
JeffOtero,50,"Good game, but it wasn't deserved the Goty, Zelda Totk was way better and epic."
Citgaming,100,"The game has some glitches and short comings. Sometimes the co-op can be struggling or small weird ticks are annoying but overall this is a functional masterpiece. I have rarely played a game that was nearly this good, its truly fantastic for anyone that wants a story and strategy driven experience."
TRAPXI,100,[SPOILER ALERT: This review contains spoilers.]
JSagittarius,90,"Hra je to parádní a neexistuje lepší hra na hrdiny. Úžasný plný svět, neskutečná variabilita, strhující příběh, nezapomenutelné postavy, krásný vizuál a hudba. Milujete žánr RPG? Tohle je vaše jasná srdcovka."
G4bbe,0,"Jogo com lacração forcada e gameplay datada, um RPG padrão sem graça de uma franquia que deveria cair no esquecimento"
Silvandar,100,"800hrs so far, safe to say I am a big fan. Delighted that Larian are continuing to support the game."
socialoney,90,"Not a great fun of turned based rpgs in general, I like turn based strategy games like Civ, Total War etc but rpgs, not so much. Saying that, I played BG3 over 100 hours, the story is so rich, characters are great, I remember all of them and their personalities even though I finished the game 5 months ago. I thought the first two acts were the peak areas of the game and at act 3 it was kind of all over the place and I could not get into the side stories and exploration too much since the main story was an ""urgent"" matter and I was curious about it so I left some stuff unfinished. There are ton of different routes to take an you can be the ""best guy around"" or the actual evil. I will do an evil run for my second playthrough sometime this year and experience that route. Definetelly recommed."
qsamet06,100,Dünyanın en iyi oyunu. Oyun bal laf eden **** oyuna laf eden fortinayti oynasın kardeş. adaM oLuN siNir etmeyiN bu oyuNu aLıN.
brixtert,100,Baldur's Gate 3 has exceeded my expectations. I didn't know Larian could even improve on what Bioware has left off..
honestreviews99,100,"Deserved winner of GOTY. Choices matter, companions matter, skills and customization matter. Terrific writing and voice acting, compelling story. Vast amount of content. Replay ability. This game has it all. Top 15 game of all time for me."
Luis0620,40,Sinceramente me parece muy sobrevalorado. No digo que sea malo pero fuera de lo visual no destaca en nada más.
Ratonz,50,"100 hours for leaving me with nothing Technically bad and at the end there is no free flow, you are forced to start a new game"
Anthoi12153,100,"This game is fantastic, its an all 10, 10 in graphics, 10 in music, 10 in gameplay, 10 in writing,characters and lore, just the perfect game"
