genre,game,commented_date,comment
RPG,Baldur's Gate 3,2025-02-16,here my first hour experience of baldurs gate 3. wake up on the shore with davy jones aliens ship accidentaly walk into an abandoned village a goblin lady on the roof stop me manage to intimidate goblin lady goblin lady let me pass the abandoned village continue to explore the place saw a gnome tied to a windmill by a group of goblins wanting to help and release the gnome manage to intimidate the goblin to leave gotta find a way to stop the windmill saw buttons to stop the windmill accidentally press the wrong button the windmill speeds up gnome bounce off so fast and flies away journal notification pops up gnome's dead 1010
RPG,Baldur's Gate 3,2025-02-12,"bnote this review came out very late because baldur's game 3 is something you just can't rush. i really wanted to know my final thoughts after not replaying it once, but trying different stories, paths, and modes like honour mode. this review is late but i feel i finally have gathered my thoughts.b h1ulegendary masterpieceuh1 just no other way of saying it. larian studios took their time and crafted perhaps one of the most memorable games i had the pleasure playing in. it is incredible on so many levels, i actually have a hard time believing it even exits. now there's definitely some flaws with it, not a true perfect game, but it's as close as you can imagine. h1ugameplayuh1 it really plays out like you're in a dnd 5e tabletop, but beyond what most would had expected. it didn't just make an adaption or inspiration it's a love letter to dnd 5e and i'm here for it. gameplay is very smooth, feels great with mouse and keyboard, plus so much to do both in and outside combat. sure the turn based combat is the main sell, but it's also got a lot more going for it, and those who love roleplaying and exploring while engaging with puzzles, npcs, and finding secrets it's all here. it's probably the most well designed tabletop game in the market. h1ugraphics and storyuh1 game is breathtaking, and looks like a beautiful panting where ever you go. all locations and settings in this world is brimming with life, and i love how the characters are designed too. so much effort went into how the game looks, and it's marvelous to behold seeing for yourself. the writing is straight up fire. every quest, every arc in acts 1, 2, and 3 were just immersive to delve into. never did i get tired or bored of any quests, no matter how small. the main story is also incredibly well crafted and i bet many dm's dungeon masters will take much inspiration from this game. such a fantastic journey where you want to do everything the game offers, going out of your way to learn more about the world, what you can learn from it, and completing quests just to hear more about this place baldur's gate 3 resides in. your choices very much matter here. there is no illusion or just going with the ride everything you do has either a small, significant or major impact on the story. no choice ever feels like it didn't matter, and even story bits can change depending on what you do first like a dm adapting to how you play and npcs can change entirely based on how successful, good, or horrible you are. h1ucharactersuh1 never had i imagined any game topping the mass effect trilogy in terms of developed characters. but wow, this is very much the only time in recent memory if ever, that i loved all the characters. the voice acting is just peak performance, the traits and personalities of each character is so developed, and they really feel like people. you always experience something new with an npc in this game, no matter what playthrough there's dialogue or something you find out about them that makes you love them more. every opportunity i wanted to engage and talk to my companions, completing quests with them and tangle in both friendships and relationships. not a single npc was poorly written, not one. what a huge feat larian studios did here, this is so hard to pull off but they nailed it. some companions legit made me cry irl, just cause of how extremely touching or tragic segments were that left me thinking about it in my sleep. what makes these characters even more amazing is unlike mass effect, they legit can leave you, hate you, or even want to fight  murder you depending on your choices. they don't just tag along, they have thoughts, views, morals, and goals. they do react to almost everything you do and will have actual things to say, which does have impact on how the journey goes. this aspect is what makes them so memorable to begin with. h1ufreedomsuh1 so one of the strongest pros of this game besides the unbelievably well written characters is how much you can do outside the box. the game doesn't force you to play by the usual rules, you can get really creative in and out of combat. the game literally lets you cheese to your heart's content or do things even the game didn't expect you to do, but you're able to. with how the game is designed, any object can be used in numerous ways, you can do so many challenge runs with what you have at your disposal, and i keep seeing people on other sites and youtube show off just how insane you can get when playing this game. seriously you can almost do anything you want if you know what you're doing. the game even allows you to skip important stuff and doesn't outright punish you sure it may come with consequences or unexpected cons, but the game really does let you roam and do whatever, in almost any order you wish. the world is yours to roam, act to act. h1umodsuh1 larian studios didn't just give us the best game i had played in awhile, but they are fully supportive of mods. this is a major deal, because now the lifespan has increased by 10 years. like skyrim, they have an official built in modding system to let you download pretty much whatever you want, and sites letting you apply whatever kind of mod you're seeking. larian studios even made an animation showcasing how wacky and fun you can get with mods that's just awesome. surprisingly most if not every mod i had obtained works perfectly fine with little to no issues, fully functional. again i can't stress enough how mods for this game is really doing it favors and with larian studios supporting all mods, this will make the game 200 better in the long run. h1uflawsuh1 so it seemed like i had nothing but praise for the game. but there are some flaws with it, and i won't be shy as to what these flaws are. if you really love something, you should be allowed to give critics. the biggest issue i have with this game is how the companion's ai acts when they follow you. they tend to get stuck often, and you have to manually move them to catch up. worse, if you come across traps or dangerous areas, your companions do not have any intelligence to avoid their demise. sure the spacebar immediately stops them in their tracks, but that only helps so much until it really becomes a problem. i remember in tactical mode, i had my party stop onto an elevator, waited 5 seconds because i wanted to make sure they'd stop moving, then suddenly when the elevator moved all my party fell to their deaths, clipping from the bottom. many traps or shifting parts due to bugs, which speaking of another major issue is how glitchy, buggy, and unstable act 3 is entirely. the first two acts were solid, hardly any problems but act 3 is riddled with pugs. clipping through the floor, some cutscenes have missing npcs, dialogue has no sound, and sometimes my companions are just dead after a cutscene, for no reason. h1uhonour modeuh1 so this one is my absolute pet peeve. while the other issues were 'worse' for general gameplay, this mode is just horrible. while i did like the challenge and legendary actions that bosses had, what makes it really difficult to enjoy was the fact you only get 1 save file, that's it. i understand why they did this, and you must live with your consequences and dealing with your battles, but the fact this game has some issues and especially act 3 being so buggy, it ruins a lot of runs in honour mode. i ended up having to make backup saves on my computer just to bypass the unfair situations. i don't mind dying and losing legit, but when it's outside my control and the game ends my run cause of a bug, glitch, or unexpected error that's when i decide enough is enough. h1uconclusionuh1 baldur's gate 3 is when you decide to not just make a game. it's a story brought to life that you can replay and never get tired of. a game that will leave you remembering it for years to come. 9.5  10"
RPG,Baldur's Gate 3,2025-02-12,"i rarely say this, but this game is absolutely worth it's full price. i have never replayed single player games so many times, enjoying each and every one of them. i've never bothered with achievements so much, as in this game. hell, i'm not even a dnd fan or a fan of games of this genre, but i fell in love with baldur's gate 3. everything about this game is perfect the graphics, style, music, characters, voice acting, story. and you can have mods! so many mods for every taste. i recommend to do at least 1st play through with vanilla game though. one of the coolest things about this game is that larian studios keeps updating it and making it even better!"
RPG,Baldur's Gate 3,2025-02-14,"a very good game anyone who enjoys good story, turnbased strategy and a exciting adventure should play."
RPG,Baldur's Gate 3,2025-02-16,"bnot a fan of rpgs? this game will change your mindb after a few sessions of idndi the tabletop game, i decided to check out the computer game based on its universe  ibaldur's gate 3i. and wow, it completely blew me away. the world feels alive and immersive, filled with rich characters and endless choices. the freedom to approach situations your way is incredible. from the stunning visuals to the deep combat and roleplaying, its clear this game was crafted with exceptional care and attention to detail. this game is a mustplay especially fun in coop. its a masterpiece that deserves all the love."
RPG,Baldur's Gate 3,2025-03-05,you know it's a genuinely fucking good game when after 105 hours of gameplay you are still like fucking hell i wanna do another run
RPG,Baldur's Gate 3,2025-02-10,"probably one of the best, most in depth games of the century. the amount of content in this game is insane for a single player experience, and its rare that a 100 hour game would actually make me want to play the game through a second time. in fact i've beat the game twice solo and played it through far with friends multiple times. it's a true role playing experience and is almost sandboxlike, despite having such a massive established world already. the creative freedom is insane. you can sit there and read through the well written story with amazing characters, explore all the side content and really engage with the world, or you can play strictly for the fun gameplay, skipping over the story to spend time doing stupid, creative things, like stacking up boxes to set up for a skydiving owlbear or going on a murder rampage and killing everyone. it's amazing how the game has so many avenues of play that you can choose to engage with or not based on your own roleplaying experience. this game also has some of my favourite rpg mechanics of any game, drawing from dnd combat and their past games such as dos2. it translates excellently into the 3d format. you can pace the difficulty how you want, by taking rests when needed. multiclassing is awesome in this game and the gear you can find to augment your abilities opens up so much. i do miss the elemental combat of dos2, but there is many reasons that this game is better  namely the universal actions such as jumping and repositioning options, shoving, etc. add a lot of whismy to the game. you can go and blast things with a fireball, or you can throw your little gnome friend at the enemy, and then have him shove a guy off a cliff. there's a lot of potential for fun coop play."
RPG,Baldur's Gate 3,2025-03-09,prior to purchasing this i had no experience with tabletop in fact i was hesitant to pick this game because it seemed overwhelming at first. ultimately i'm grateful i decided to take the plunge. this game has so much personality and it really shows what a labor of love this game must have been to those who made it and it's made a deep impression on me. i don't think i can ever quite look at other games within the genre the same way now having played this. my only regret is that i can't rewind the clock to experience it for the first time again.
RPG,Baldur's Gate 3,2025-02-12,"best game i've ever played. the general goal of baldur's gate 3 is to get rid of your mindflayer parasite, but it evolves into so much more. the story exploration is perfect. other than being overwhelmed by general dnd stuff that you're unfamiliar with the game does a great job at slowly introducing and familiarizing players with the story, setting, and everything else. you are first placed in a world with a general task after the intro, and almost everything you do will inadvertently get you closer to that task. the player is the one to find the path to achieving their goal. it is not some todo list nor aimless pile of tasks. there is purpose, and you are motivated to pursue and explore due to that purpose."
RPG,Baldur's Gate 3,2025-03-12,"this is almost completely subjective the game has a legit claim on the title of greatest rpg ever made. i just don't like it. there are so many decisions in this game that bother me. i play tabletop rpgs for real, i don't need to watch virtual dice rolls. i don't like the constant narrator endlessly droning on about everything. there's a ton of other things i really dislike in this game, a lot of it baggage with modern dd. shit, why isn't karlach in the damn cover art? you hear endless tales of people doing crazy shit, juggling people off cliffs or throwing cursed fish or whatever, the game let's you do anything you want. i played a necromancer and 90 of dead people have absolutely nothing to say. the remaining 10 have nothing to say i can't already figure out. i'm not expecting full dialogue trees from every body in the game, even from the insane detail of this game, but it would have been nice to find a stash of loot or something now and then. never seen an rpg world with this much depth and verticallity, rather than flat planes with cliffs and plateaus. i dreaded the game being full of exploding barrels and that tactics revolved around throw shit at things, but there's so many things that interact in different ways along with solid movement and ability use. the characters are damn amazing. why isn't karlach on the cover? i want a mod to have everyone in the party at once so nobody gets left behind. it's a real pity asterion doesn't seem to have any real plot until the end of the game, when everyone else gets real moments to shine. it's really damn disappointing that alfira seems like she should have been the bard character but her role in the game is to get butchered by the dark urge. and yeah, looks like not playing the dark urge was the chump option, you've played the game incorrectly if you didn't pick it or an origin companion. dragonborn are so awesome looking it's basically a crime none appear until act 3. act three is messy. buggiest part of the game. the only major crash i had happened there and forced me to replay a long, complex encounter. the narrator crapped out and went silent which actually didn't bother me too much. and after 170 something hours of a campaign, i finished the game and basically got the modern equivalent of you get win!. i made a heroic sacrifice, watched a companion die, saw withers basically laugh at the previous games, and then credits rolled before being dumped to the main menu. so the worst bug i encountered was apparently lol, no ending for you, which is pretty fucking devastating. i'm so glad i'm finally done with the game and can stop playing it. i'll probably start another game in the future. i'm very much torn between love and hate with this game which unfortunately averages out to just knock it off already, dammit most of the time."
