genre,game,commented_date,comment
RPG,Cyberpunk 2077,2025-02-21,great game after a few years of updates! i really like the amount of builds you can do in this game and weapon variety. story and side quest are also great! spoiler i finally avenged rebecca spoiler
RPG,Cyberpunk 2077,2025-03-04,"it was not what they promised. it was complete shit on release. now, it is not even good. it is great. i love it. definitely one of the best games of all time. do not play without phantom liberty"
RPG,Cyberpunk 2077,2025-03-14,"i've played through this game a few times over and each time i get more connected to this world. with games you'd think once you figured out the mechanics you'd start minmaxxing and skipping dialogue you've already heard but not with cyberpunk. i started paying more attention to quests. then i started doing what my character would do not just what i thought would get me the best outcome. five playthroughs later i find my self reading every data shard, checking every terminal, and blasting all the songs. i'm not gonna explain what this game and the cyperpunk genre means to me because i can't. just know you'll love this game no matter what... but if you take your time, if you really take it all in and open your soul to it there's a deep catharsis to be found in this world that doesn't care"
RPG,Cyberpunk 2077,2025-02-23,"story is very good on the base game but in the phantom liberty it becomes great. i played the game when it first released on ps4, i can say it was the worst experience then but now i played it on update 2.22 and its one of the great game i can say at least on pc it is running like its a tech demo. i am playing with rt and its a treat to my eyes on night, in day time you will not notice it much but in nigh its a totally different story. if you are not getting fps try fsr 3.1 frame gen mod its works great if you have locked 60 fps then with this mod you can get around 120 fps with rt. i have around 150 screenshot taken because of how good it looks. get the game with the dlc guys its a must. hoping there would be sequel to this game"
RPG,Cyberpunk 2077,2025-03-14,"1010 game  amazing story  great gameplay for a shooter  gorgeous graphics and great optimisation. path tracing is playable with a 4070 at 1080pdlss. 4560 fps in most areas. with mods that reduce bounces, could go even higher with minimal fidelity loss  city and level design is one big eye candy. only drawback is no optional third person, but the immersion in first person is top tier. played this game since 1.3, so seeing the problematic child finally grow up to be a star was almost tear jerking."
RPG,Cyberpunk 2077,2025-03-15,graphics   you forget what reality is  beautiful  good  decent  bad  dont look too long at it  msdos  gameplay   very good  good  it's just gameplay  mehh  watch paint dry instead  just don't  audio   eargasm  very good  good  not too bad  bad  i'm now deaf  audience   kids  teens  adults  grandma  pc requirements   check if you can run paint  potato  decent  fast  rich boi  ask nasa if they have a spare computer  game size   floppy disk  old fashioned  workable  big  will eat 10 of your 1tb hard drive  you will want an entire hard drive to hold it  you will need to invest in a black hole to hold all the data  difficulty   just press 'w'  easy  easy to learn  hard to master  significant brain usage  difficult  dark souls  grind   nothing to grind  only if u care about leaderboardsranks  isn't necessary to progress  average grind level  too much grind  you'll need a second life for grinding  story   no story  some lore  average  good  lovely  it'll replace your life  game time   long enough for a cup of coffee  short  average  long  to infinity and beyond  price   it's free!  worth the price  if it's on sale  if u have some spare money left  not recommended  you could also just burn your money  bugs   never heard of  minor bugs  can get annoying  ark survival evolved  the game itself is a big terrarium for bugs  ?  10   1  2  3  4  5  6  7  8  9  10
RPG,Cyberpunk 2077,2025-03-10,"i got the base game along with phantom liberty dlc, and the length of the game was extensive. the quests just don't stop coming. this game has 13 alternate endings, mind you. many choices. graphics are great. no more bugs like at the launch of the game. many memorable characters. enough memorable quests. game makes you to invest in it. but the gameplay is chill and relaxing. it is a technical achievement and also a great rpg."
RPG,Cyberpunk 2077,2025-02-25,"bought it first time way back when it launched, it ran crappily even at potato graphics so i refunded. fast forward to the game's patch 2.21, bought on sale. i can now play the game without frustration. i wish the draw distance and lighting in vanilla was better though these can somewhat be adjusted to liking via mods. fun large map lots of things to do. find your own fun delving into different styles of combat. are you the cool stealthy ninja? or are you rambo? or perhaps a sniper? or mayber a glance at people and fry their cybernetics as a netrunner? or go cyberpsycho? plenty of mods abound as well if you want to spice things up. storywise  no spoilers here, writing makes sense, character development shown. nothing forced. pacing could be better but it does not feel rushed nor sluggish. wish there were some followups to see the consequences of some choices ala witcher 3. wish there were some other choices available when it logistically makes sense as well. voice acting is amazing and brings the characters to life. keanu is breathtaking as well. as of feb 2025 this game is 910"
RPG,Cyberpunk 2077,2025-02-27,"excuse me, waiter? yes, please tell the chef that, while we may have disagreed initially, now that its cooked for four more years this dish is perfect."
RPG,Cyberpunk 2077,2025-03-18,"i'm telling yall, this is already better then gta 6. i mean roackstar probably isn't going to change the gameplay formula, its gonna be another cover, auto aim and shoot then drive around and do the same thing 100 times. cyberpunk actually has a fleshed out game play system with tons of routes to choose from and with proper rpg elements so it has a lot of replay value versus gta."
RPG,Cyberpunk 2077,2025-03-14,"it's no secret. cyberpunk 2077 had a rocky launch, being mostly unfinished  bhoweverb cd projekt red has delivered in the years postlaunch. h3cyberpunk 2077 is the best game i've played since skyrim released back in 2011.h3 the dlc phantom liberty is a work of art, and the ending credits gives me goosebumps every time i hear urlhttpswww.youtube.comwatch?vu15teo0wsqidawid podsiado's song phantom liberty.url if you're looking for an open world, singleplayer, scifi shooter with some of the best world building i've ever seen  this is your sign to bite the bullet and purchase both the base game and the dlc. the experience from playing it once is worth the game's full price. if you're lucky to catch it on a sale i wouldn't even hesitate. if i had the chance to go back and relive any game from the beginning, bthisb is the game i would choose. i envy the journey you're about to embark on. ihave fun, choom.i"
