Review,Positive,Helpful Votes,Funny Votes,Date
"Oh boy, where do I even start with Elden Ring? Imagine a game where the devs were like, ""Let's make every blade of grass deadly."" You step into this gorgeous world, thinking, ""This looks like a chill spot for a picnic,"" only to realize the picnic's actually your wake.

The graphics? Chef's kiss. It's like you're inside a Van Gogh painting, but every stroke wants to off you. The landscapes are so stunning, you'll forget to breathe – until you fall off a cliff.

Combat in Elden Ring isn't about skill; it's about how many times you can bash your head against a wall before you get it right. Every boss fight feels like they've got a personal beef with you. They're just there to mock your sad attempts at living. (git gud)

The lore? Man, it's deep. So deep you'd need a submarine to get to the bottom of it. And just when you think you've got it, some NPC comes along with a backstory that could be its own book. Good luck figuring out the story; it's like doing a puzzle blindfolded.

But here's the thing: despite all the pain, the frustration, the ""I'm uninstalling this"" moments, you can't help but love it. There's something about Elden Ring that pulls you back, like a moth to a flame, or a player to their doom.

100/10 for me - would die over and over again. Elden Ring isn't just a game; it's a way of life. A life of pain, beauty, and the occasional scream into the abyss. If you want something that'll test your patience, your skill, and your swear-word collection, this is it.",True,254,53,2025-01-29 12:45:13
"FYI- I finished the main game then I posted this review there is a lot of side content left

This is the most fun I ever had with a souls game its not super hard its not easy either... It took me 91 hours to beat the main story I did a lot of side stuff too.. I Think its a great entry point for someone who has never played a souls game before... This game guides you, humbles you and teaches you... The open world is beautiful and filled with Skyrim like dungeons with a boss waiting in the end.. I am gonna finish the side stuff now find awesome weapons and armour level them up and try different combinations  then i'll maybe get the expansion for the price its an amazing game YES! I would recommend it 9/10",True,82,6,2025-02-05 17:39:50
"[h3][i]ELDEN RING[/i] | Perfect Game Review [/h3] 
(100% Completion at 65.3 Hours)
[hr][/hr]
I went into [i]Elden Ring[/i] thinking it was just [i]Dark Souls[/i] on a horse. Instead, I experienced epic battles in breathtaking open worlds, my friend screaming every time we got invaded, and dying to gravity more than any actual enemy (I hate parkour).

I have a confession to make: I’ve never really played a [i]Dark Souls[/i] game, but having completed [i]Sekiro[/i], [i]Remnant[/i], and [i]Hollow Knight[/i], I still consider myself a souls-like gamer. So when my friend mentioned seamless co-op was possible in [i]Elden Ring[/i] thanks to a popular mod, I jumped in and experienced a masterpiece.

[b]Gameplay:[/b] Whether you’re dodging tough bosses like a pro, getting knocked off your horse by a random minion, or spending hours customising your character’s face just for it to be hidden under a hideous headpiece (totally me), the possibilities are endless in this wonderfully crafted open world adventure ★★★★★

[b]Graphics:[/b] The world of [i]Elden Ring[/i] is absolutely breathtaking… but if you pause to admire the view, don’t be surprised if you get obliterated by a catapult or drop kicked into oblivion by a giant bird ★★★★★

[b]Sound:[/b] From beautiful melodies to thunderous battle themes, the orchestral score perfectly captures the world’s grandeur. Every swing, spell, and footstep adds to the immersion, making the Lands Between feel truly alive ★★★★★

[b]Story:[/b] The side stories and world-building can be captivating, and I enjoyed interacting with the game’s many fascinating characters. However, the main plot can feel vague and underwhelming at times. And unless you have a PhD in [i]Elden Ring[/i] lore, expect to piece things together slowly through item descriptions and cryptic NPC dialogue ★★★★☆

[b]Replayability:[/b] With multiple possible endings, new game plus, dozens of secrets, hundreds of bosses, and insane build variety, there’s plenty to explore in the Lands Between. And then just when you think you’ve seen it all, [i]Elden Ring[/i] whispers, “Have you tried dual-wielding great hammers?” ★★★★★

[b]Final Thoughts:[/b] Like any souls-like game, expect to rage nonstop. The difference? This time, you get to decide whether to die miserably on foot, on horseback, or with your equally doomed friend by your side. Would I recommend [i]Elden Ring[/i]? Only if you're ready for a stunning but punishing adventure—and the chance to put a ring on a lunar princess, even if she immediately ghosts you.

[h3]Overall Rating: 10/10, would set a massive tree on fire and seize the throne again.[/h3]",True,41,0,2025-02-22 05:41:09
"    游戏本体设计90%都非常好，首先是非常耐玩，和之前的线性地图区别很大，风景也比之前的作品更丰富；第二就是boss的招式设计也比之前的作品要丰富很多；第三，主线中的地图也是延续了之前作品的特点，剧情的设计也比较吸引人。
    游戏本体的缺点主要就是最后几张地图，圣树天空城灰烬王城，怪的数值有点偏高，如果是正常游玩主线的话等级一般不够，去打周边的副本也提不起来兴趣，因为洞窟地牢这些玩到后面重复性也有点高，还有“米凯拉的锋刃”玛莲妮亚这个boss，对纯翻滚实在太不友好，摸索他的攻击判定点都要打几十遍。另外就是怪有点读指令，而且比较明显，一眼就能看出来的那种，不过这个可能也不完全能算缺点，可能是增加难度的一种方式。
    DLC就只能说好的地方和不好的地方都很多，先说坏的地方，我是二周目进去DLC，首先就是怪的数值实在是过于离谱，只要不是最垃圾的小怪，是个怪都能三下打死我，boss就更不用说了，只要两下。
    另外就是探索奖励太低，根本就没有探索欲望，也没有那种人物属性成长的快感，第一个boss双月跟最后一个米塔恩都差不多数值，打我都是两下，除了攻击频率米塔恩高一些，但是也高不到哪去，适应了这种难度之后都差不多，我三天就通了DLC，因为他这种过高的数值还有低探索奖励就会让人想赶紧玩完完事，本体我是花了比较长的时间去体验，大约有75h，但即使是这样，后面我还是愿意花时间去做一些收集，但DLC肯定不会了。
    DLC还有个最大的问题，怪的读指令过于严重，比本体还要严重不少，而且属于是那种恶性读指令，比如你离他远远的按一下攻击键，他就会条件反射一样的做出翻滚或者后撤的动作，甚至你背对着他攻击一下都会这样，这一点在游戏设计上就太偷工减料了，就算要读指令也完全可以做成例如，三个技能，每次读指令的时候随机发动。因为这种重复的复读而导致的打不过会让人感觉非常气愤。
    DLC也有好的地方，例如地下墓地的地图设计就比本体还要好，还有就是不谈boss难度的话，演出效果做的非常好，另外就是对于这种高难度的boss，拼尽全力战胜他之后，得到的成就感跟简单一些的boss还是有点区别的，会比简单的boss要多一些。
    总体这个游戏满分10分能给到9分，扣分就在本体后期和DLC数值过高-0.5还有读指令-0.5，已经算接近完美的大作了。",True,43,20,2025-01-30 16:42:11
"this game takes you back to old times when arcade and strategy games were a thing but also give you latest game play and open world RPG mechanics. The graphics are stunning, the combat feels awesome, the progression system is one of best in its class and many more. You will enjoy it, even if you'r not a SOULS fan.",True,2,0,2025-02-04 17:19:51
"Elden Ring is not merely a video game, but a transcendental experience—a masterwork woven with the threads of legend, artistry, and meticulous craftsmanship. From the moment one steps into the Lands Between, it becomes clear that this is a world of staggering depth and beauty, one that beckons players not merely to explore, but to immerse themselves in its very soul.

At the heart of Elden Ring lies a narrative that is both haunting and elusive, painted in the broad strokes of myth yet rich with subtle intricacies. The collaboration between Hidetaka Miyazaki and George R.R. Martin has birthed a world filled with lore that never overpowers, but instead entices curiosity. The story unfolds not through overt exposition, but through atmospheric hints and environmental storytelling, compelling players to unearth secrets on their own. It is a tapestry of broken kingdoms, forgotten deities, and cosmic forces, where each discovery—whether in the form of a cryptic message, an abandoned structure, or a fleeting encounter—feels like a revelation.

The artistry in Elden Ring is breathtaking. From the serene grace of the golden trees in the liminal dusk to the oppressive, yawning voids of desolate catacombs, the game paints its landscapes with a brush that is both grand and intimate. Each area, no matter how bleak, feels alive—teeming with possibility, steeped in history, and imbued with a melancholic beauty that mirrors the world’s fall from grace. It is a visual feast, where even the most innocuous detail—the curvature of a shadow, the scattering of fallen petals—carries the weight of meaning.

The gameplay itself is an evolution of the meticulous design that FromSoftware has become synonymous with, refined and expanded into an open world that feels boundless yet intimately connected. Every encounter, whether against a towering boss or a subtle ambush in a field of flowers, is a testament to the precision of its mechanics. The difficulty, while legendary, is never unfair; it is an invitation to grow, to learn, to rise above adversity through patience, strategy, and resilience. And through it all, there is a profound sense of agency. The world does not hand you your path—it challenges you to carve your own.

Perhaps most remarkable of all is the game’s ability to evoke a feeling of quiet reverence. Elden Ring is not a game that rushes; it exists in its own deliberate pace. The slow, rhythmic exploration of its vast expanses—interrupted by fleeting moments of terror, triumph, and wonder—gives rise to a sense of time itself being altered. In a world that often demands constant motion, this game asks players to stop, to look, to feel.

In conclusion, Elden Ring stands as an unparalleled work of art. It is a testament to the enduring power of the medium, proving that video games are not mere diversions, but can be profound expressions of creativity, vision, and emotion. It is a world to be revered, a journey to be savored, and an experience that will linger long after its final chapter is written. To play it is to witness not just a game, but the unfolding of a masterpiece.",True,2,0,2025-02-23 21:20:38
"Elden Ring

Elden Ring is a masterpiece that combines rich storytelling, expansive world design, and exhilarating challenges. From the moment you step into the world of the ""Lands Between,"" you'll experience a sense of adventure and wonder. The environment design is so detailed and artistic that every corner is filled with intricate details and hidden secrets.

The gameplay mechanics are smooth and challenging, with each new enemy and level requiring unique strategies and skills. The character progression system also allows players to customize their playstyle and have a unique experience.

The game's story, penned by Hidetaka Miyazaki and George R.R. Martin, is complex and captivating, with each new discovery adding more layers to it. The freedom of choice in deciding your path and making decisions adds depth to the game experience.

From stunning graphics to excellent music and sound design, Elden Ring is an unparalleled experience in every way. If you enjoy difficult games with deep stories, Elden Ring should not be missed. This game will engage you for hours, with every moment filled with challenges and surprises.😁😁",True,15,0,2025-02-04 08:27:57
Ok i bought this game for 40 dollers and i had to spend 200 dollers on other things due to rage. However its a good game when you learn to dodge every attack and know every time you can attack without getting hit. Any ways Rip monitor and headset.,True,2,2,2025-02-16 13:15:12
"The only Fromsoftware game that I enjoyed and COMPLETED. Adding open world formula was the best choice on their part, hoping to see a more innovative approach on their future projects besides Nightreign.",True,1,0,2025-02-22 16:13:25
"yes, this is one of the best video game experiences ive had in years. i've played it last summer and i already have nostalgia for it.",True,1,1,2025-02-24 20:41:21
