genre,game,commented_date,comment
RPG,Baldur's Gate 3,2023-08-03,quick tip. first major battle that is 30 to 40 minutes. save right after. the game doesnt auto save after the battle not at the celebration.
RPG,Baldur's Gate 3,2023-08-03,"i bought this game immediately after hearing a multitude of other game developers were saying, don't expect us to make this level of game.!"
RPG,Baldur's Gate 3,2023-10-11,nothing like watching a before you buy right after i bought the game
RPG,Baldur's Gate 3,2023-08-20,hard for me to get a table top dnd session going. hard to do with with a busy life. a game like this that virtualizes that experience without needing to trouble a dmaster? perfect! can do it with friends too? even more impressive. the fact too that you can romance characters and approach situations in so many different ways makes this a very entertaining game!
RPG,Baldur's Gate 3,2023-08-08,didnt even need a before you buy for this game. the fact that other aaa devs were bashing the game because of its grand design told me all i need to know. instant buy
RPG,Baldur's Gate 3,2023-08-07,i've never played a game like this but from the great reviews to seeing the freedom of choice and honestly if nothing else to support a developer that believes in giving a full experience from the jump with no micro transactions is enough to purchase the game. after seeing so many devs complain about this game as an anomaly and not to be expected from other studios makes me want to support it that much more.
RPG,Baldur's Gate 3,2023-08-04,ive never played a crpg. but ill give it a try with this game!
RPG,Baldur's Gate 3,2023-09-04,"voice actor for zanner toobin here, its so stupidly awesome to see how much people are loving the game. bg3 fandom are truly the goats!"
RPG,Baldur's Gate 3,2023-08-10,"i'm playing a single player campaign as a halforc ranger and a mp with my brother as a dwarf warcleric. the racial and class differences have already made some major changes and it's already felt like a completely different game several times now. also in my sp campaign i defeated a miniboss with some positioning and cheesing and knocked them into a cavern. i got the xp, they certainly died, but i didn't get the loot. it was early on and i figured meh, the xp was the real reward here because i was probably slightly too low of a level to be fighting that and winning anyway, so i let it go. 3 levels and hours later i found the body in the underdark, and got the loot. my characters even commented about how it looked like it fell a long way. that's some attention to detail, most games would just say meh it's gone, delete the npc, but not in this game."
RPG,Baldur's Gate 3,2023-08-05,"the fact theres so many different outcomes to situations, makes this so replayable and immersive. i absolutely love this one."
RPG,Baldur's Gate 3,2023-08-03,gameranx still making videos after 11 years is respectable dedication
RPG,Baldur's Gate 3,2023-08-19,"just one more minute i cannot describe how true this statement is for me. now this is coming from someone who had no dungeons and dragons experience and in fact i despise most and every rpgs i've played. this one couldn't be more different. i cant stop playing it, it feels so great to be immersed in a world finally. i could never see the appeal when its just a boardgame and thought it was lame af to have an entire boardgame around thinking about almost everything and total imagination. seeing it in a video game world completely made me fall in love with the genre and i keep saying to myself just one more minute. had this gameshared with me from my brother who's friends bought him the game. we have almost complete opposite schedules so i can play his games and he can play mine basically whenever. he told me about it and i downloaded it took me 6 hours due to insanely slow internet which is also why i rarely like trying new games especially those within a new genre. couldn't be more hooked and i wish everyone to at least try the game, even if you think dd is lame or boring or nerdy or whatever give this game a try and then give a final opinion because if you can't get immersed into an rpg with this game then genuinely there might not be anything to get you into the genre. genuinely people try this game i hate medieval skyrim, chivalry, etc. i have always been a shooter  br guy for a lot of my gaming years i hate fantasy, i hate rpgs, anything this game has i hate but playing this game made me change my opinions on all this stuff and i am hooked on a genre and game i wouldn't have seen myself playing in a thousand years. thank you for listening to my ted talk y'all, it just feels so good to finally be passionate towards a game considering how seemingly difficult it is to get totally enthralled in the game like when you're a kid. i haven't felt this level of passion and joy towards a game since h1z1 kotk best gaming experience ever hands down and that game has been dead for over 5 years now. thank you larian for making this game and i hope this game gets all the recognition it deserves."
RPG,Baldur's Gate 3,2023-08-04,"one thing i'd recommend to newer or casual type players in a game like this don't be shy about the easier difficulty mode. these games tend to be pretty tough and are more than happy to kick the crap out of you for not understanding everything about them. if you're new and just want to have a fun time in this massive world turn the difficulty down and use that to learn at an easier pace. i have learned that multiclassing is for some silly reason turned off for default explorer mode. there's a super easy workaround if you still want to multiclass though, just play on the custom difficulty instead turn down everything that you think you might want toned down to a lower difficulty but turn on multiclassing. takes like a minute to set up. d"
RPG,Baldur's Gate 3,2023-08-10,the simple fact that this game gives you real rewards for and encourages off the path exploration hits me the best
RPG,Baldur's Gate 3,2023-08-05,as a non dd player i am so hyped for this game. since i was never lucky enough to gather people to play dd this seems like the best chance you can get to play it by yourself. definitely going to buy that when i can spare the money
RPG,Baldur's Gate 3,2023-08-13,"i love how much the combat system rewards thinking a bit, without even entering exploit or cheese territory. sneaking around for reconnaissance, splitting the group for flanking, using the high ground, funneling people into choke points, none of those are abusive but standard, common sense ways of approaching fights. last time i played a crpg many years ago you just had to make sure your tanks stood in the way to protect your casters."
RPG,Baldur's Gate 3,2023-08-06,honestly after three hours its just wild to me how many choices there are and how impactful they can be. the amount of stuff you can just walk passed and not even look at which actually was important is so cool
RPG,Baldur's Gate 3,2023-08-07,"the characters are what impress me in bg3. your companions are all very interesting, clever and have very strong personalities and even individual mannerisms. no copypasted animations. even down to their minute facial experessions. i don't think i've ever had a hard time deciding who to romance, theres usually only one option i really like. i have some tough choices ahead lets be real it's gonna be astarion"
RPG,Baldur's Gate 3,2023-08-03,i bought this game 3 years ago just to show my support. it was worth every penny.
RPG,Baldur's Gate 3,2023-08-23,i am not typically into this type of game but i have absolutely fell in love with this game. it is astounding the amount of content they have.
RPG,Baldur's Gate 3,2023-08-03,game developer that respects the player base and delivers. so rare in game developers theyre the one only ones left.
RPG,Baldur's Gate 3,2023-08-08,i never liked turn based combat in games but this game seems so deep in everything else that i'd probably forgive the combat and just play the game for what it is. looks like you could get deeply immersed in to this game.
RPG,Baldur's Gate 3,2023-08-04,"i think larian has finally established themselves as the guys you call when you want a kick ass rpg. they have been crushing it. watch out aaa devs, the new kids on the block ain't messing around"
RPG,Baldur's Gate 3,2023-08-22,"i bought this game as soon as it came out in early access. i played through the early access version by myself and with friends countless times. when this came out as a full release i don't think i've ever been more excited for a game than this one. i am a big dnd fan as well so having a pretty true to life game version of its current 5e rule set with certain tweaks is really enjoyable. i have recommended this game to friends who have never played this type of game or probably normally never would. however every single one of them has continued to praise it and played nothing else except this since its been released. i would easily say this is one of the best releases of the year, and definitely one of the top crpgs ever made. larian did an exceptional job with this one, and the fact they actually are actively listening to fans and their feedback to make improvementschanges shows they truly cared. if only this level of commitment and care was a standard across the industry,"
RPG,Baldur's Gate 3,2023-08-05,"playing this game with friends is a shockingly accurate recreation of playing tabletop dungeons and dragons with friends. especially the tension of watching each players' turn, knowing every player's decision gives an important nuance to the situation makes group play really dynamic. and the satisfaction of finding where you're useful to the group. and when you're playing solo, masterminding a solution using your tools, environment, and party is so satisfying."
RPG,Baldur's Gate 3,2023-08-03,it's amazing. i played the prerelease and it's different enough i'm not bored. the story is much better. i love it.
RPG,Baldur's Gate 3,2023-08-03,"haha, jokes on you, i already bought the game. your well thought out reviews will not thwart my blind impulse purchases today!"
RPG,Baldur's Gate 3,2023-08-17,hadn't much fun playing a turn based game since the lord of the rings the third age back in 2004. well done to larian for this incredible game
