Video ID,Author,Date,Comment,Likes
Djtsw5k_DNc,@BandaiNamcoAmerica,2024-12-16T19:18:21Z,"Join our mailing list to be the first to know when signups begin on January 10th for the Network Test:
https://www.bandainamcoent.com/games/nightreign/closed-network-test",213
Djtsw5k_DNc,@ceciliagroovin9800,2025-02-27T15:50:27Z,"Sieht vielversprechend aus, warten wir mal ab!",0
Djtsw5k_DNc,@chaosreborn46,2025-02-27T03:56:46Z,"Wow, a trailer for the EXACT SAME GAME.",0
Djtsw5k_DNc,@AgentZeeYT,2025-02-27T00:41:21Z,"Elden Ring Nightreign! Ah that has a nice ""ring"" to it lol",2
Djtsw5k_DNc,@doriandrozdecki4060,2025-02-26T18:21:02Z,Isn’t that Harry Potter song in background? 🙈😂,2
Djtsw5k_DNc,@stoovan3867,2025-02-26T09:44:32Z,where we dropping tarnish,0
Djtsw5k_DNc,@Pepe-t7q2f,2025-02-26T07:54:39Z,Cheapness sold expensive,0
Djtsw5k_DNc,@Pepe-t7q2f,2025-02-26T07:54:02Z,No original content for 60 bucks aaaand i have to wait for half the content 6 month longer... Ahhh the negotiator. Come on Lets say If i buy now i get weak netcode and cheap ui and Menüs for No extra charges!!!,0
Djtsw5k_DNc,@y_corruptor_y,2025-02-25T21:37:03Z,I'm so hyped 🔥🔥,1
Djtsw5k_DNc,@shawtylrg,2025-02-25T17:30:57Z,I hope they add different fighting styles from blood born and sekiro to playable characters maybe some kind of battle royal as well I think it would be sick if you could bring your character and equipment in and fight to the death!,1
Djtsw5k_DNc,@tomidelarada8569,2025-02-24T20:29:51Z,cine,0
Djtsw5k_DNc,@merone01781,2025-02-24T08:51:29Z,"ストーリーとかに魅力感じてる人がおおいから、パラレルとかテキストにおわせとかがなさそうなのはかなり残念。
ゲームに感情移入はかかせないから、どういう世界で、何の為に戦ってるかっていうバーチャル感も必要だと思うけどな～",0
Djtsw5k_DNc,@sgtpepper91,2025-02-23T16:08:57Z,">gameplay trailer
>looks inside
>no gameplay
Why did we allow for this to become a standard",2
Djtsw5k_DNc,@macrocosom,2025-02-22T17:10:25Z,"Remember when the whole ""Elden Ring should have a battle Royale mode"" was just a funny meme/joke? 😐",0
Djtsw5k_DNc,@ЗахарМирганов,2025-02-22T11:52:36Z,Elden Ring: The Nameless King Dies Twice,0
Djtsw5k_DNc,@matthewmartinez4596,2025-02-22T03:48:49Z,Is it just me or does 2:53 kinda sound like Harry Potter a little bit?,2
Djtsw5k_DNc,@FNF_vr,2025-02-21T19:48:19Z,So let me solo her is going to solo this game,0
Djtsw5k_DNc,@Axel_Grimm,2025-02-21T13:53:38Z,W want a great PvP!,0
Djtsw5k_DNc,@Axel_Grimm,2025-02-21T13:51:49Z,Goty? Claro q si w!,0
Djtsw5k_DNc,@XXRakan,2025-02-21T12:12:08Z,just turn it into an mmo already.,0
Djtsw5k_DNc,@thirdape1906,2025-02-21T03:33:42Z,No wonder Tekken 8 has fallen to the wayside 😂 game looks awesome,0
Djtsw5k_DNc,@markenius5217,2025-02-20T18:22:15Z,"Now everyone gets to suffer from dark souls 3, veterans prepare, New players...Prepare to cry edition. GoodLuck everyone",0
Djtsw5k_DNc,@gilbo5957,2025-02-20T14:18:08Z,After the network test I truly cannot wait to play more,3
Djtsw5k_DNc,@litebreezy,2025-02-20T13:01:02Z,"You can jump over doggo sword move, noted.",1
Djtsw5k_DNc,@CelyNnei-c1r,2025-02-20T07:54:55Z,2:09 when i saw nameless king i nearly shat myself,0
Djtsw5k_DNc,@WujiKami,2025-02-19T23:51:42Z,"I see, there's 2 of the classes they haven't announced yet that look more like my style X)",1
Djtsw5k_DNc,@JoaoPedro-ct1wi,2025-02-19T02:26:48Z,Nameless King......,0
Djtsw5k_DNc,@FaustoDanielZambranoVásconez,2025-02-19T00:19:15Z,You can almost smell the nuanced racism....,1
Djtsw5k_DNc,@timkowalczyk9027,2025-02-18T21:55:45Z,The only thing that would seal this game into the BEST GAME EVER MADE AND I MEAN TRULY THE BEST is being able to have full multiplayer and playing the entire game with a friend. I’ve played hardcore since PlayStation 1-2  and this is truly a masterpiece and would be flawless if able to play this campaign with friend!,1
Djtsw5k_DNc,@HikoSeijuroXIII,2025-02-18T18:41:36Z,">fortnite gameplay
>kernel level anti-cheat
- But Chuddha, what if...
- It won't.",1
Djtsw5k_DNc,@-TriP-,2025-02-18T13:06:22Z,"Thank you, John Miyazaki",3
Djtsw5k_DNc,@shadow_edger,2025-02-18T06:35:24Z,michael zaki cooks again,2
Djtsw5k_DNc,@mrt8286,2025-02-17T20:01:51Z,I’m so disappointed to see this game…I love Elden Ring…Just give us a chance to explore it the way we want…Don’t make us rush…I don’t like this random loot idea…and Why is it $40? Bro…I’m done lol,0
Djtsw5k_DNc,@AmritZoad,2025-02-17T08:30:38Z,Elden Ring was made for this!,3
Djtsw5k_DNc,@arcadealchemist,2025-02-16T23:03:41Z,"Plz no araknaphobia filter, those people shouldn't play any videogames",1
Djtsw5k_DNc,@arcadealchemist,2025-02-16T23:02:11Z,"If only elden ring was available on Amazon Luna, I'm bored AF right now",0
Djtsw5k_DNc,@emmapeachy03,2025-02-16T16:17:34Z,IM SO EXCITED THIS LOOKS AMAZINGGG,0
Djtsw5k_DNc,@azamatap7707,2025-02-16T13:00:17Z,2:10 👀👀👀👀,2
Djtsw5k_DNc,@manumudgal5776,2025-02-16T11:33:03Z,"Of course, it starts with a Swamp 😅 our biggest enemy.",0
Djtsw5k_DNc,@Terror0619,2025-02-16T10:57:28Z,Definitely sounds like Harry potter hedwig theme at the end,2
