Username,Score %,Review
Klofi,40,"Not a bad idea to make a non-linear CoD, but this one is badly executed, feels scripted and unpolished, not a real sandbox. Very short story with some stupid writing, but also couple very rememberable moments. Excelent art design and environment design. Not worth a full price, should be a 20$ DLC to MWII."
Mizule,0,"This game is a Scam. Don't ever pay money for this! It should be a free DLC for the old MWs. Further, its a overly colorful unrealistic arcadegame which has nothing to do with the original CoD games. The worst thing are the battle passes andthe forceful tries to make you pay more money. Glad I only tried it via Game Pass, deleted it after 3 rounds."
KILLERBUTGAMER,40,"While I may not be a long fan of the series, I made up my expectations for this game by the standards set by other players, so, like many other players, I felt that the game was a large disappointment to the modern warfare reboot, and the franchise as a whole. The gunplay is, as always, one of the best in the genre. Honestly, I believe that it is really hard to mess up such a strong-standing FPS recipe. The movement is also quite responsive and satisfying to nail, and probably the best in the MW rebooted games. The multiplayer is also good, as long as the modes and pacing is concerned, but it starts to really fall when you look at the abysmal Skill-Based Matchmaking system. It is well known at this point that the MW3 SBMM is there to maximize the time a player spends playing, not their enjoyment. While they aren't the first to do that, it most definitely more obvious and obnoxious here. It creates a really bad 'toxic-relationship', where the moment you are ready to give the game up, the game puts you in the most amazing matches, before starting to ruin them again. The balance however is really good, and the time-to-kill is also quite good. Now, when it comes to the campaign...I probably have the strongest feelings for it, and most of them aren't great. Now, I won't spoil anything, but I want to make clear that the campaign was very obviously made to be a DLC to the MW2 campaign. Most story missions take place in areas of Verdansk that we have played in before, in Warzone, and instead of being the linear levels we are used to, now they are some small-scale sandbox missions. What they did, is drop the player into a previously seen POI of Verdansk, spawn some horrible AI NPCs, add a marker at a place, and when the player reaches it-boom, a cutscene. Now, you've already heard how tiny the runtime is. If you take away any cutscenes and unplayable parts out, the game comes in at a pathetic, 3 hour campaign, if you really take your time. While historically the runtimes in the franchise haven't been that large, 3 hours is way too short for any sort of story to pick up and climax properly, and also 70$ is crazy for that time to beat. The writing is also not good, and also proves the fact that this was supposed to be a DLC for MW2. The story takes it time to pick of the pace and momentum, and by the time that happens, the game is already have done. And just when when things start to get hot, after a very shocking choice by the writers, the story ends, leaving you with a serious case of blue-balls. It doesn't finish naturally, it doesn't reach a conclusion, but most importantly, it doesn't move the overall story forward. So, when you understand that the story doesn't feel like it has a begging-middle-end, it feels like it is lacking ****, that's right; the MW 2 campaign. The story doesn't stand at it's own by itself at all, but would do fine if it was simply an extension to the MW2 campaign, for a lower Price. Overall, the game is fine when it comes to the gunplay and feel, but when it comes to the multiplayer experience, it starts to get painful. The story also isn't any good, and it basically changes nothing in the overall story, while also ending at the worst time. I'd personally say to keep your hard-earned cash for Black Ops 6, which seems promising or any other Call Of Duty game, really."
scalebag,0,"Metacritic strikes again. Deleting the review apparently isn't possible, so I'm forced to leave this text here instead."
byeren,60,Oyun diğer oyunlara göre beklentinin çok altında kalıyor. Warzone mi oynuyorsun hikaye modu mu belli değil. Keşke böyle olmasaydı.
Firebluetom,10,The open level design really doesn't work for MW3. You're constantly a one man army against countless baddies. I enjoy the stealth elements in the game but the execution in some levels is abysmal. There isn't too much variety between missions. The level with a timer and a missile launch is a recycle of a different level that didn't pan even close to as well. I love the shooting and sounds but the gameplay is just sooo bad I just uninstalled it.
Outonbail85,0,"Trash ah game. This is the worst and most obvious EOMM based game out. It literally forces you to lose no matter when you are on a winstreak just because of their stupid algorithm. It is pathetic and this is also an obvious pay to win game which favors those who spend money on their skins and guns, lame. The new chat bansmake it even worse. Activision is pushing their new fairy agenda all over social media and they have many gay developers so they implemented a ban if you say the (F)trash(AG). You can literally say any racial slur and not get banned but as soon as you say something that triggers their developers, you will get banned. DONT WASTE YOUR TIME OR MONEU ON THIS FAIRY GAME"
zNeverSleep,60,"Boring campaign, SBMM manipulating the matches, bad UI, and strange progression make this game a lot worse than it should be. Don't get me wrong, the MP is fun, but it could be much better."
Theozp,0,the shadow ban. ALL i can say is shadow ban. and the campaingn like battlefield hardline and better. After all i believe if any one played bf campaign before oh man cod mw3 campaign is so good.
Kmryder,0,"Tudo neste jogo é ruim uma campanha medíocre e um multiplayer podre muito graças ao sbmm que simplesmente diminui o dano da arma fazendo o player perde gunfights ridiculas, este é o pior cod que tive o desprazer de joga."
