genre,game,commented_date,comment
Shooter,Overwatch 2,2025-03-12,".    , , , , ,   .  ,           ."
Shooter,Overwatch 2,2025-03-03,"overwatch 2  simplesmente o overwatch, soq 2. eu tenho que assumir que joguei pouqussimo o overwatch 1 pq eu no tinha como jogar mas assistia muitos muitos vdeos do jogo, e acho que posso falar q o jogo  o mesmo, pra ser justo irei citar uma diferena, o jogo  gratis e agora tem mais 2 personagens?!!! no tem muito oq dizer, cancelaram o modo pve e anunciaram um monte de bosta,  isso, overwatch 2"
Shooter,Overwatch 2,2025-02-26,has a lot to work on to fix it's past. it's doing much better and i really love it.
Shooter,Overwatch 2,2025-02-16,"overwarch es un juegazo, ha tenido cambios inesperados pero es un goty! dmosle 1 oportunidad"
Shooter,Overwatch 2,2025-02-16,"the game crashes after the last update  get a penalty! the server disconnected  reconnect and, yes, get a penalty! fabulous! gameplay  wow. you may tryhard as a pro, but will be killed in a millisecond, and on the enemy's killcam you will see like you stayed still in some corner and did nothing... desyncs, desyncs everywhere! it is perfect to get rid of some time of your life. it is the worst option to improve andor show your skills. stinky..."
Shooter,Overwatch 2,2025-02-12,"this game is awesome, it has good gameplay, fun characters and some interesting lore if you want to dig into it, it is a great game and i enjoy it quite a bit."
Shooter,Overwatch 2,2025-01-27,"auch wenn das spiel nur ein ehrenloser cashgrab von blizzard ist, kann man nicht abstreiten, dass das spiel an sich gut ist. es wird immer wieder geupdatet und die events sind auch zumeist okay. ein fehlen der pve kmpfe und der kampagne ist trotzdem sehr sprbar."
Shooter,Overwatch 2,2025-01-21,"recently, my account was suddenly suspended without any prior warning or clear explanation. the response from customer support was completely unhelpful, which has led me to seriously question the quality of blizzard's service."
Shooter,Overwatch 2,2025-01-17,"al igual que muchos otros juegos online el emparejamiento no tiene ningn filtro, no existe. el control es bueno perono sirve de nada si te ponen jugadores muy veteranos y principiantes."
Shooter,Overwatch 2,2025-01-12,there are some people on here who are hurt because minor things have changed in the game. at core this is still the best hero shooter. yes it's better than marvel rivals. it's a lot of fun. there is a store and micro transactions like all ftp games. but i never felt the need to buy anything as it's only skins.
