Video Title,Video ID,Author,Comment,Likes
CALL OF DUTY MODERN WARFARE 3 Gameplay Walkthrough Part 1 Campaign FULL GAME [4K 60FPS PS5],XMYcvBfooKM,@Chickenwingxdd,2:33:46 “ their cooked” no way💀💀💀💀💀,0
CALL OF DUTY MODERN WARFARE 3 Gameplay Walkthrough Part 1 Campaign FULL GAME [4K 60FPS PS5],XMYcvBfooKM,@Chickenwingxdd,1:36:58 bro got ran over😂😂😂😂😂😂,0
CALL OF DUTY MODERN WARFARE 3 Gameplay Walkthrough Part 1 Campaign FULL GAME [4K 60FPS PS5],XMYcvBfooKM,@Chickenwingxdd,1:31:16 that’s funny,0
CALL OF DUTY MODERN WARFARE 3 Gameplay Walkthrough Part 1 Campaign FULL GAME [4K 60FPS PS5],XMYcvBfooKM,@ebubensirimstemclubspringv5269,i watched the full vid and whats funny is that he inly used the takedown option once and every kill only required 3 bullets,1
CALL OF DUTY MODERN WARFARE 3 Gameplay Walkthrough Part 1 Campaign FULL GAME [4K 60FPS PS5],XMYcvBfooKM,@highnoon-b8j,Sonics real name is Olgilvie Maurice Wentworth Hedgehog,0
CALL OF DUTY MODERN WARFARE 3 Gameplay Walkthrough Part 1 Campaign FULL GAME [4K 60FPS PS5],XMYcvBfooKM,@edwardanderson2847,Somehow Makarov returned.,0
CALL OF DUTY MODERN WARFARE 3 Gameplay Walkthrough Part 1 Campaign FULL GAME [4K 60FPS PS5],XMYcvBfooKM,@DoorGaminTime,Like this if soap should comeback (cod 4 MW - COD MW3) sad his plot armor for 15 or less years,0
CALL OF DUTY MODERN WARFARE 3 Gameplay Walkthrough Part 1 Campaign FULL GAME [4K 60FPS PS5],XMYcvBfooKM,@Milo_The_Trans_kid,30:31 Price’s voice is different,0
CALL OF DUTY MODERN WARFARE 3 Gameplay Walkthrough Part 1 Campaign FULL GAME [4K 60FPS PS5],XMYcvBfooKM,@michaelngomane2619,🎉🎉🎉🎉🎉🎉🎉,0
CALL OF DUTY MODERN WARFARE 3 Gameplay Walkthrough Part 1 Campaign FULL GAME [4K 60FPS PS5],XMYcvBfooKM,@jamespressman1202,i just play codmw3 from f!itgurl and Im sure the cut scenes and gameplay is different especially soap die in here and no mission where we killed makarov in the rooftop by hanging him. did I play other codmw3?,0
CALL OF DUTY MODERN WARFARE 3 Gameplay Walkthrough Part 1 Campaign FULL GAME [4K 60FPS PS5],XMYcvBfooKM,@kaicowan2024,35:38,1
