genre,game,commented_date,comment,release_period
Shooter,Overwatch 2,2019-11-26,615 melhor parte,Before
Shooter,Overwatch 2,2019-11-06,230 il fait un dab,Before
Shooter,Overwatch 2,2019-11-01,jogada da partida genji,Before
Shooter,Overwatch 2,2019-11-01,ah...  winston 2019 251,Before
Shooter,Overwatch 2,2020-12-09,616 melhor fala do genji,Before
Shooter,Overwatch 2,2019-11-03,617 tramontina corte rpido,Before
Shooter,Overwatch 2,2019-11-02,the play of the game genji!,Before
Shooter,Overwatch 2,2019-11-01,overwatch dlc gilet jaune !,Before
Shooter,Overwatch 2,2020-03-27,nadie genji estoy mamadisimo,Before
Shooter,Overwatch 2,2020-11-05,457 el mejor tanque de todos,Before
Shooter,Overwatch 2,2019-11-02,433 ah no vi! corao a mil!!!!,Before
Shooter,Overwatch 2,2019-11-10,417 que buena perspectiva....,Before
Shooter,Overwatch 2,2019-11-03,incroyable retour d'overwatch,Before
Shooter,Overwatch 2,2019-11-03,616 ce moment tellement ouf !!,Before
Shooter,Overwatch 2,2019-11-03,"350 13h, emmen les moins d'ici",Before
Shooter,Overwatch 2,2019-11-01,"vamos reinhardt, di lo tuyo 550",Before
Shooter,Overwatch 2,2019-11-05,614 uff me encanta esa parte wn,Before
Shooter,Overwatch 2,2022-03-11,genji's entry gave me goosebumps,Before
Shooter,Overwatch 2,2019-11-02,robs a genji olha a minha espada,Before
Shooter,Overwatch 2,2019-11-02,robo wou geji vo corta fodasekkj,Before
Shooter,Overwatch 2,2019-11-01,tracer necesita ayuda! mei shift,Before
Shooter,Overwatch 2,2019-11-07,when genji said ..... i felt that,Before
Shooter,Overwatch 2,2019-11-01,je crois...je crois que je pleure,Before
Shooter,Overwatch 2,2020-04-23,everybody has voice acting genji q,Before
Shooter,Overwatch 2,2020-10-01,247 quando tentam nerfar o bastion,Before
Shooter,Overwatch 2,2019-11-02,eu gosto de dinheiro blizzard 2k19,Before
Shooter,Overwatch 2,2019-11-01,todos overwatch 2 yo f por la nave,Before
Shooter,Overwatch 2,2019-11-01,la bande sonore juste incroyable 3,Before
Shooter,Overwatch 2,2019-11-01,mds to emocionado s vem overwatch 2,Before
Shooter,Overwatch 2,2020-02-23,704 olha aonde a brigett ta olhando,Before
Shooter,Overwatch 2,2019-11-01,"dublagem impecvel, como sempre foi 3",Before
Shooter,Overwatch 2,2019-11-01,mercy aparece genji i need healing!!!,Before
Shooter,Overwatch 2,2020-11-11,616 cuando te dan el nano en overtime,Before
Shooter,Overwatch 2,2019-11-02,616 el genji esa frase me dio un oscar,Before
Shooter,Overwatch 2,2019-11-10,"520 se me erizo la piel, main mercys 3",Before
Shooter,Overwatch 2,2021-05-03,meilleur cinmatique de tout les temps.,Before
Shooter,Overwatch 2,2020-05-19,615 genji sempre mais rpido que o flash,Before
Shooter,Overwatch 2,2019-11-02,615 escena exitante para los main genji,Before
Shooter,Overwatch 2,2019-11-05,play of the game  darkmaster69 as genji,Before
Shooter,Overwatch 2,2020-05-27,yo when genji said  . i really felt that,Before
Shooter,Overwatch 2,2019-11-03,big robot shoots gigantic bullet genji e,Before
Shooter,Overwatch 2,2019-11-03,rob eu sou o boss genji eu sou inevitvel,Before
Shooter,Overwatch 2,2019-11-01,personne les gilets jaunes dans le futur,Before
Shooter,Overwatch 2,2020-08-22,247 jeff so we balanced bastion a lil bit,Before
Shooter,Overwatch 2,2020-11-02,rob a genji tramontina corte rpido kkkkkk,Before
Shooter,Overwatch 2,2021-03-22,613 momento mais emocionante da minha vida,Before
Shooter,Overwatch 2,2019-11-02,todos la ropa del juego genji suter y pans,Before
Shooter,Overwatch 2,2019-11-04,yo grande genji. genji lo s. i need heling,Before
Shooter,Overwatch 2,2019-11-01,elle est insane cette cinmatique je pleure,Before
Shooter,Overwatch 2,2019-11-02,je sens un truc mont en moi la ptn de hype,Before
Shooter,Overwatch 2,2019-11-01,genji upgrade has hoodie on now perfection.,Before
