genre,game,commented_date,comment
Strategy,Age of Empires IV,2024-10-22,this game has to be one of the most compelling multiplayer games i have ever played. i would strongly recommend giving it a try.
Strategy,Age of Empires IV,2024-09-25,it was fun for the first 2 weeks now its boring i played it for 12 days and now that i have finessed i cant play it again
Strategy,Age of Empires IV,2024-09-05,not on the same league as aoe21 but definitely better than aoe3. it is a solid game all in all
Strategy,Age of Empires IV,2024-08-09,game has no real soul. on top of not being able to pause and issue commands in single player.
Strategy,Age of Empires IV,2024-08-05,boring ontherails campaigns without any freedom of choices game is without a soul and there is too much talking all the time during your gameplay. if i wanted to watch a documentary i would use my tv and not my pc. graphics are cartoony with overproportioned units only the videos are great. big meh
Strategy,Age of Empires IV,2024-03-27,"way too many trolls in online multiplayer. tons of disconnects when queueing  all players in a match are punished when a random disconnects makes no sense. developers leave bugs unaddressed for years, don't waste your money and time."
Strategy,Age of Empires IV,2024-03-09,"started off strong with captivating gameplay, but certain design choices later soured the experience. despite this, it remains enjoyable overall."
Strategy,Age of Empires IV,2024-03-02,ehhh. too much to do. i appreciate the simplicity of civilization revolution.
Strategy,Age of Empires IV,2024-02-01,"unfortunately, it is one of the best strategy games. i say unfortunately because even though they did their best, there is still a lot of room for improvement. i guess they don't want to waste time."
Strategy,Age of Empires IV,2024-01-19,"he is back ! finally ! taking the universe of age of empire 2, crossing it with starcraft for the isometric side, improving some mechanics that were a little too rigid on aoe2, here is ao4. the visual seems a little dated, but you get used to it relatively quickly. we find our bearings on civilizations like the english and the french. then if we are looking for something new, other civilizations are there. the single playerstory mode is nice, well documented and less fantasy than the previous opuses concerning historical reality."
Strategy,Age of Empires IV,2023-11-27,"i would have scored this game an 8 or 9 but the single player experience leaves a lot to be desired. however, the multiplayer is absolutely fantastic."
Strategy,Age of Empires IV,2023-11-11,"looked promising on trailers, but what i actually got was... no freedom, full of talking, guided experience. i didn't like 3rd, but 4th... it felt like everything was wrong with it. no fun at all."
Strategy,Age of Empires IV,2023-10-07,gameplay  8 graphics  8 story  8 sound  8 overall  8
Strategy,Age of Empires IV,2023-10-06,"age of empires iv is a great rts game. imagine designing a game to satisfy all of these audiences and more campaign fans, competitive multiplayer fans, citybuilder fans, historical storytelling fans, etc.  all of that kind of content for all these fans is in the game! the developers have improved the title in significant ways through several balance and patch updates, and content updates. some gameplay mechanics are new to the series e.g., influence mechanic from landmark or other buildings to improve something in the vicinity, and more recently, the development team has completely reworked some civilizations from their launch state e.g., improving an english landmark by offering a novel unit for the game  a mounted king with a healing aura bonus. there is a healthy and stable competitive scene that seems to grow slightly after every major tournament, and even more after major content updates e.g., after the ottomans and malians were added as new civilizations. the modding community is showing promise too, creating more than a handful of addicting custom game modes e.g., castle blood automatic remake from age of empires 2, a team arena mode, and even more creative concepts. the original campaigns the normans, the hundred years war, the mongol empire, and the rise of moscow were well made, but the documentarystyle storytelling welcomed mixed reviews from fans. but make no mistake, the documentaries were wellshot, informative, interesting, and nicely intertwined into related campaign missions. to speculate, the game has a healthy future both for content updates and for competitive and relaxed multiplayer scenes."
Strategy,Age of Empires IV,2023-09-15,improves on some things but overall is still the same experience as the previous installments.
