genre,game,commented_date,comment
Strategy,Age of Empires IV,2025-03-18,ah finally we can be crusaders and recreate the battles of the war of the roses!
Strategy,Age of Empires IV,2025-03-19,"also, don't forget that templar are a variant civ in name only. the devs confirmed that the templar share no traits, bonuses, unique units, or unique upgrades with the french. the only thing that makes them a variant at all is that they'll probably speak french and have french buildings. that's literally it. totally new civ in every other respect."
Strategy,Age of Empires IV,2025-03-19,agincourt with blue english and red french looks cursed.
Strategy,Age of Empires IV,2025-03-18,denmark and poland too!
Strategy,Age of Empires IV,2025-03-18,"i was kind of hoping for spanish, vikings, or ... aztecs 3. but i'll take this lol."
Strategy,Age of Empires IV,2025-03-20,looks nice. i'll definitely buy this dlc... ...right after they release polandlithuania and denmark for aoe3.
Strategy,Age of Empires IV,2025-03-18,"i want aoe3 to continue growing, too. i want australian maps and maps of oceania in general."
Strategy,Age of Empires IV,2025-03-19,"for everyone saying i was hoping for this or that, remember this is only the first dlc of the year. they have confirmed a second one, which i imagine will have brand new civs instead of just variants. there is still hope! just hold out a little longer, fellows! but i'm maining the knights templar from now until the heat death of the universe."
Strategy,Age of Empires IV,2025-03-18,"well, alright im buying this"
Strategy,Age of Empires IV,2025-03-18,i still want more of aoe3 de pls.
Strategy,Age of Empires IV,2025-03-18,"hmm, maybe after we see the polandlithuania  denmark dlc for age of empires iii de."
Strategy,Age of Empires IV,2025-03-18,i want my age 3 dlc...we need the poles and danish!
Strategy,Age of Empires IV,2025-03-18,"the war of the roses and the crusades, thank you guys that is a fine addition"
Strategy,Age of Empires IV,2025-03-18,very excited for this. knight's templar and french will be my new mains
Strategy,Age of Empires IV,2025-03-18,how long do we have to wait for spanish to come to the game? i like these new variants but spanish is a must.
Strategy,Age of Empires IV,2025-03-18,"i ll buy it, if the dlc for aoe3 de will be restored"
Strategy,Age of Empires IV,2025-03-18,aoe3?
Strategy,Age of Empires IV,2025-03-19,"yes, baldwin mention!"
Strategy,Age of Empires IV,2025-03-18,"please, please, please, keep working on age of empires iii"
Strategy,Age of Empires IV,2025-03-18,"yoooo, king baldwin of jerusalem!!!"
Strategy,Age of Empires IV,2025-03-18,"i will templar out my enemies, time to rise brothers and sisters! let's buy and pre order and show support! i did already, and bought 2 extra copy!"
Strategy,Age of Empires IV,2025-03-19,polanddenmark next please!
Strategy,Age of Empires IV,2025-03-19,i have been waiting for the templars for years man. since 2021 when this game came put i wanted the templars. i am so happy final il get to play with them.
Strategy,Age of Empires IV,2025-03-20,i will definitely buy aoe4 and its dlcs... that is after aoe3 promises have been fulfilled
Strategy,Age of Empires IV,2025-03-18,i'm here to ask you gently. can we have brazil in age of empires 3 someday ?
Strategy,Age of Empires IV,2025-03-19,057  arena map with start stone walls is back?
Strategy,Age of Empires IV,2025-03-18,first !!!
Strategy,Age of Empires IV,2025-03-18,not adding castille is crazy
Strategy,Age of Empires IV,2025-03-18,"this trailer hits hard af, looking forward to play these new civs."
Strategy,Age of Empires IV,2025-03-18,"awesome! the knights templar were always portrayed as the antagonists in games, so it's refreshing to be able to play them. but please, don't forget to keep working on new civs. we're still waiting on more catholic civs, mesoamerica, persians, and vikings."
Strategy,Age of Empires IV,2025-03-18,it's almost time boys!
Strategy,Age of Empires IV,2025-03-19,looking forward to this  i also wish my battles could be as organized  rather than just mass charging a blob of mixed units
Strategy,Age of Empires IV,2025-03-20,"just put a coat of paint on the units so they don't look so cartoony, age ii still the king because of blood and how realistic it looks, if you could put the sound design of ageiv in ageii, it would be the dead of ageiv"
