Username,Date,Score %,Review
MzK,2025-01-20,20,Sevdiğim bir tür değil. Optimizasyon kötü ki ben yakın zamanda oynadım. Türü sevenlere bile bulaşmayın derim.
sex0fernandez,2024-11-27,80,"cagarme a piñas con dinosaurios es mi mathafakin pasion, asi que jueguen este juegazo mal optimizado"
zockerina,2024-11-11,80,"I’ve been playing this game for years, and I still love it. It’s just so much fun breeding the creepy creatures!"
Jt0429,2024-10-31,70,"Good- Comprehensive survival experience in a unique world, with interesting things to do like fighting and taming dinosaurs and exploring mysterious regions. Tons of stuff to craft, with steady progression that feels rewarding. Gorgeous visuals and details, coupled with solid quality-of-life features. Bad- Combat is still relatively average. Harvesting materials can get a bit grindy in the early going. Slightly choppy frame rate and annoying crashes. Fairly punishing when trying to get your bearings."
SemZemn,2024-10-09,90,"As buggy as this game can be and how scummy this company is now. The Original game is still really great imo. The lore, music, gameplay is still so insanely cool and fun. I totally get this is not for everyone."
Fran23200,2024-10-05,80,"Sin miedo pongo esta nota, muchas horas conociendo gente en serviidores aleatorios y haciendo tribus por discord. Si este juego llego a pillarlo con un pc mejor me lo hubiera pasado aún mejor, muchas horas de contenido y más si lo juegas en PVP y con mods. Juegazo"
JymmyQuidd,2024-08-24,40,"Beautiful idea ruined by clunky game mechanics, awful AI and a lack of gameplay common sense, hopefully ARK 2 does a better job."
Bam63,2024-07-26,60,"I put in over 1,000 hours in the last few years. Devs needed to fix many bugs, which, thankfully, modders put the work in for them. Modders were instrumental in fixing bugs such as building and snapping, which made the dino a lot more threatening and made the game fun. The whole moving from island to island thing kind of ****, as a lot of dinos got bugged or would have to leave stuff behind. Also, a few cave bugs and graphic bugs were big issues. The game took up ALL THE ROOM on your computer, but it's still a good game. Give it a try."
Tinblabm,2024-07-18,100,This game was very fun and actually better than expected so you might like it too.
RDCritic,2024-07-03,70,"Grande variedade de dinossauros. Os mapas poderiam ser melhor explorados, já que os melhores são expansões e não conteúdo do jogo base. Poucos jogadores exploram a história devido de falta de motivos para tal. O sistema online é mal trabalhado, muito difícil encontrar a sessão de um amigo. Distância entre jogadores e host da sessão muito baixa por padrão. A customização de personagem é muito limitada também."
tasctime,2024-05-24,90,I loved to hate this game. I would curse the PVP trolling every time but I was fascinated by the immersive game-play and mystery. Not everyone I met was a total dusche and I decided to commit time to it.
Markelore,2024-04-21,70,"This game is trash, let's be honest. The amount of bugs is insane. The basic movement mechanics are scuffed, dino AI and many other things. The other problem is its grinding concept. I literally finished the first map in 50+ hours which is an insane amount of time for a single map to me (By finished I mean beating all three bosses). You can change the settings or config of the game, but it's still feels like a job for the most part. If you play with standard rates, you are going to have a hard time completing this game. I wouldn't give this game anything higher than 2, if I didn't like the concept. I'm really into dinosaurs, but I still liked this game a lot. The amount of dinos you can tame, the whole process (even though it's a lot of grind), survival mechanics are almost perfect in this game. The map design is also on another level. Every map has at least 10 different biomes and the DLC maps add a lot more to the game, especially the ones you have to pay for. Definitely one of my favorite games, even though it has a lot of problems."
_Raven,2024-03-22,80,"This game holds a very special place in my heart. When you have fun in Ark, you really do. The problem with it is the amount of grind you need to do. Even if you boost the harvest rate in the game settings, it still feels like a lot. Personally, this was never a problem for me. I enjoy games like this."
NycoFox,2024-03-16,30,"375GB to install a game, are they insane? What kind of unoptimized crap is that?"
Penguin4057,2024-02-29,80,"Trash game, literally has no mechanic, no physics️. I Used to play this game but like I said this game has no mechanic phyisic etc. a dinosaurcan run same while at 1HP ️. Only good point is topic a Dino survival game"
CnPx98,2024-02-28,10,"This game is terrible in basically every way. Even as a survival game it makes literally no sense. So if you craft a campfire you need flint but then to light the camp fire you need to make spark powder from flint? So why did I use flint to make the camp fire? Or why do I need spark powder when I have a flaming torch in my hand? Just use that to light the fire. Or what about crafting and inventory management? As far as I could tell, there is no quick insert button. Every item needs to be dragged back and forth but even when you insert it, it doesn't go to the tile you want and instead the closest to the top left? So why do I need to drag it over when it just goes to top left? Or how when crafting, it has the option to bring up the crafting menu when in a storage box. But you still have to take stuff out the box to craft the item to but it all back in? Why? So many things are over complicated and not well explained. Overall its just not fun at all for me. I found it just doesn't get anything right. It runs badly, the graphics aren't great, the mechanics felt poorly designed and even smaller companies have shown that you don't need allot of devs and money to make a nice feeling game. You can see that the amount of people unlocking achievements isn't many. Survive 1 day has 30% of players unlocked and most of them only 5% so its clearly not performed well. The sad part is that a game like this could be good. If it was done properly and didn't feel so complicated to do something that should be simple. Like add some quality of life improvements. I should be able to craft an item within the storage box interface without taking the items out the box. If you have multiple crates you gotta go to each one to get each item out. This is annoying. Don't make things tedious for the sake of being tedious."
Fxy34,2024-01-28,90,"Muy buen juego de supervivencia, es muy difícil pero se compensa con la gran cantidad de cosas que tiene lo malo del juego es que esta muy mal optimizado"
