Review,Positive,Helpful Votes,Funny Votes,Date
"This game made me shed a tear, not because of the beauty of it, not because of the countless years of memories I have from playing this game with friends, no, it was not a single tear of joy, but a tear of sadness. Not because of the pain I feel when hackers destroy my base or when random players give me swamp fever, but I shed tears of sorrow when I looked at what was taking up my storage on my computer and I saw Ark, and it took up half of my storage space, half a terabyte, ""why?"" I asked as I looked up to the skies, almost as if I was asking God how such a thing could be, but nothing could be good enough of a reason. Painful, trapped inside my own misery, my own personal hell, a game to play that I find enjoyable, will stop me from playing any other game, because I will never have enough storage to play anything else, until I delete that. And that is the reason, ""it's genius"" I thought, their strategy is to take up your storage to the point where you have nothing left to be able to play, well played.",True,31,19,2025-02-15 23:18:15
"buggy, unoptimized, huge file size for whatever reason, and required me to get a new drive to just play.
its fun wit friends tho!!!!!!!!!!!!",True,8,0,2025-02-19 04:56:20
This is a very fun game. 10/10 Very glitchy. Lots of mods. Lots of servers.,True,8,0,2025-02-05 02:17:38
"Love this game!!

Great survival game:
- building epic buildings
- tame dinos and other ""animals""
- solo and multiplayer game
- upgrading gear, weapon and other things

and so much more!",True,7,2,2025-02-04 19:30:06
"Game has always been a good one for me, even went as far to fully 100% the fucking thing, its well worth it. Nice story and maps are nice, also has its PVP side on top or PVE.",True,2,0,2025-02-16 20:45:04
"it is a very fun game it dose have some buggs nothin to bad. 

IT IS A LOOOOOOOOOOOOOOOOOOOT MORE FUN WITH FREINDS",True,3,0,2025-02-14 22:58:20
I play single player and really enjoy the game. It has a great building system and the dino pet system is a lot of fun. It is a great all around survival game.,True,0,0,2025-02-27 00:49:20
a great game but the issues trying to get into a friends game to join them or them join you is very frustrating and wish this would get fixed.,True,0,0,2025-02-26 13:49:27
"I love this game 10/10.
if you are a dinosaurs lover you will love this game very much.",True,0,0,2025-02-25 21:46:49
it is a really fun game to play with friends i highly recommend it,True,0,0,2025-02-25 18:31:45
"havent played for long but has been very good so far, definitely recommend.",True,0,0,2025-02-25 10:28:17
"Who ever says ark is bad just hasn't played long enough, the bugs don't exist and the only trouble iv'e had is maxing my character but a simple kill from my friend will set the character fine. Ark is a great franchise and don't listen to people saying it's bad just play it for yourself",True,0,0,2025-02-25 06:23:55
is very fun but my brother played and lost 3 hours of work otherwise get this game,True,0,0,2025-02-24 00:28:57
"Im high leveled but cant do any of the stuff im suppose to be able to do because of these damn raptors.

10/10 would die again",True,0,0,2025-02-23 23:39:23
i find the game to be very fun to play because you can do so much and there is a big diverse array of dinosaurs to tame and hunt very well made game.,True,0,0,2025-02-23 13:53:15
greatest game of all time no debate at all played through the first three story maps with my dudes and we've never had this much fun with something since 2023. On extinction rn so wish us luck,True,0,0,2025-02-23 09:09:54
"Spawn.
Get killed by raptor.
Respawn.
Finally get to play game.",True,0,0,2025-02-23 06:19:39
I have an addiction to this game. These hours have been accumulated in a little over a month and a half... don't judge. I do play on unofficial servers and love it!,True,0,0,2025-02-23 00:33:38
fun to play but needs an official servers again the privet server is great for friend but not much room to meet people on privet servers,True,0,0,2025-02-22 22:15:46
"Honestly such a fun game, one of my all time favourites. Such a blast to play, so many memories made with friends and would wholeheartedly recommend it if you’re into dinosaurs and survival type games",True,0,0,2025-02-22 20:55:34
"One of the best survival games I've ever played. As a big archosaur fan, the best game. The combination of technology and the Jurassic period is very well done. The DLC's are to be recommended and always bring new atmosphere into the game.",True,0,0,2025-02-22 20:15:02
"---{ Graphics }---
☐ You forget what reality is
☑ Beautiful
☐ Good
☐ Decent
☐ Bad
☐ Don‘t look too long at it
☐ MS-DOS

---{ Gameplay }---
☐ Very good
☐ Good
☑  It's just gameplay
☐ Mehh
☐ Watch paint dry instead
☐ Just don't

---{ Audio }---
☐ Eargasm
☐ Very good
☑ Good
☐ Not too bad
☐ Bad
☐ I'm now deaf

---{ PC Requirements }---
☐ Check if you can run paint
☐ Potato
☑ Decent
☐ Fast
☐ Rich boi
☐ Ask NASA if they have a spare computer

---{ Difficulty }---
☐ Just press 'W'
☐ Easy
☑ Easy to learn
☐ Significant brain usage
☐ Difficult
☐ Dark Souls

---{ Story }---
☐ No Story
☑ Some lore
☐ Average
☐ Good
☐ Lovely
☐ It'll replace your life

---{ Game Time }---
☐ Long enough for a cup of coffee
☐ Short
☐ Average
☑ Long
☐ To infinity and beyond

---{ Price }---
☐ It's free!
☐ Worth the price
☐ If it's on sale
☑ If u have some spare money left
☐ Not recommended
☐ You could also just burn your money

---{ Bugs }---
☐ Never heard of
☐ Minor bugs
☐ Can get annoying
☐ ARK: Survival Evolved
☑ The game itself is a big terrarium for bugs

---{ ? / 10 }---
☐ 1
☐ 2
☐ 3
☐ 4
☐ 5
☐ 6
☑ 7.3
☐ 8
☐9
☐ 10",True,0,0,2025-02-22 12:02:41
yapacağınız oyunun optimizasyonunu sikeyim amk 4090 ile 50-60 fps alıyorsun oyunda sikerim ben 50-60 fpsde arkamdan dinozor  yarrağından kaçarken ne yapmamı bekliyor oyun hala çözemedim sikerim arkını ya olm bak GİGA bayıltıyorum 40 saatte kalkıyor kalkıncada beni buga sokup sikiyor,True,0,0,2025-02-22 11:12:16
"Always my fallback game.  new mods make this a never ending story of fun for me.  always difficult and always interesting
",True,0,0,2025-02-21 12:32:47
