genre,game,commented_date,comment
Survival,Palworld,2025-02-21,"this is the adult version of pokemon we all wanted for years. screw ninento and their lawsuit trying to stop a game that is objectively better than anything they have put out in over a decade. i can't wait for the full release of palworld either, the early access is so much fun already and every big patch i am loving"
Survival,Palworld,2025-02-15,so first i was on the fence about spending the 28 for the game in case it gets taken down by nint3ndo soon. but after playing a demo version of the game i could not putting my steam deck down anymore and went ahead to purchase it on steam. well steam says i played 96 hours and it certainly feels like around 5. i am kind of addicted to the game and can only recommend others to play this absolute banger of a game. it combines so many aspects of different games and makes all the ticks for a game i love. it does everything better than pok3mon and adds even more depth with building a base and random events. i really hope it gets released completely at some point and will survive any lawsuits tbh some pals are a blant copy... 55  can recommend and if you like pok3mon but with more things to explore and do  this will be giving you many hours of joy
Survival,Palworld,2025-03-01,"palworld is an incredibly fun and addictive game with a huge world to explore and tons of unique pals to discover. the designs of the pals are well thought out, and the gameplay offers a great mix of exploration, combat, and basebuilding. with every update, the basebuilding mechanics keep improving, making it even more enjoyable. boss fights are no jokethey require solid preparation and strategy, which adds to the challenge. however, some achievements felt overly grindy, and overall, the game is very timeconsuming. it took me 180 hours to reach 100, and while i had a great time, im also glad to be done with it. pros  welldesigned and interesting pals  huge map with plenty to explore  boss fights require strategy and preparation  basebuilding improves with every update  more fun when played with friends cons  some achievements require excessive grinding  very timeintensive if you enjoy openworld survival games with deep mechanics and a touch of challenge, palworld is definitely worth playingespecially with friends. just be prepared to sink a lot of hours into it!"
Survival,Palworld,2025-02-21,"pocketpair's historically crazy stances aside, the game itself is pretty solid. i enjoy it more than i have the last 3 generations of pokemon games at least. despite what nintendo is trying to say in court, palworld innovates on some of the core concepts of pokemon in fun new ways that we'd never get to see from nintendo. that being said this game has about as much in common with scarlet and violet as unreal tournament has to do with overwatch. is there some common dna and some common gameplay between the two? absolutely, but no sane person would ever put ut and ow in the same category. i have a lot of fun with it, but nowhere near as much fun as my wife does."
Survival,Palworld,2025-03-13,super fun game kinda reminds me of something else but better
Survival,Palworld,2025-03-06,"the game was on my wishlist for a while now, im happy that i came around an bought it. ive been having a blast on it, really like the base building aspect about it though i would like to move around builds without destroying them. looking forward to the future of the game."
Survival,Palworld,2025-03-11,"so far not a bad game at all, you've got survival, you've got adventure, you've got the collect them all goodness of other games, graphics ain't shabby. overall its been addicting and surprisingly more difficult then i thought it would be."
Survival,Palworld,2025-03-05,this game was sooo much like pokemon. that is until they remove the throwing of the pal sphere. now it is nothing like pokemon. if you are looking for a pokemon like game this is not it. would recommend to anyone who likes capturing little or big critters and making them work in your factory.
Survival,Palworld,2025-02-27,"i love this game. my only issue is if you have to start all over on a new server to play with someone, why cant all multiplayers build up on the same base with everyone else? like a village type of deal. camping areas should be a bigger area of space depending the number of people in the server."
Survival,Palworld,2025-03-10,"beating cute animals humans included, sticking them in balls, and making them your labor force. freedom to be kind or evil to those that survive. mating isn't optional, for the pals. oh! there's also guns, rockets, grenades, and lasers. remember to killmaimburn andor enslave responsibly. the game is fun for collectors, builders, adventurers, and explorers. this is a solid purchase, especially for early access. many high end games don't look this good on their full release thanks civ vii. if you visit my ingame bar, remember that neo's fight club and lounge is now serving disappointment just like i do on tinder! valentine's and christmas day discounts 20 off if you bring your girlfriend, 25 off if you bring your wife, or 50 off if you bring both!"
