genre,game,commented_date,comment
Survival,Palworld,2025-03-19,"palworld update v0.5.0 included some amazing new changes to the game, in this palworld guide i go over everything you need to know about these new qol additions. palworld palworldgame palworldgameplay 0000 intro  video overview 0103 drafting table guide 0230 dimensional pal storage guide 0348 global palbox guide 0519 transmog  cosmetic armour system guide 0620 photomode guide business only  dpjsc08outlook.com become a member of the channel  httpswww.youtube.comuserdpjsc08join subcribe for more  httpgoo.glqpp7k follow on x  httpsx.comdpjsc08 follow my instagram httpinstagram.comytdpjsc08 join my discord  httpsdiscord.ggzac5ggx"
Survival,Palworld,2025-03-19,what i like the most about this update is buildings can now be placed even if they overlap with a pal. it was rather annoying that a pal walking through somehow meant i couldn't place a building for construction.
Survival,Palworld,2025-03-20,"love the cosmetic armour system addition, cloth outfit is my favourite outfit in the game, so being able to wear it while having the defence of the best armour is just brilliant."
Survival,Palworld,2025-03-20,i'm glad that now you can collect blueprints and upgrade them to a higher tier. too bad i've pretty much sold most of my extra blueprints in my main save.
Survival,Palworld,2025-03-20,the drafting table giving us inevitability is the best kind of balance between rarity and determination. i love it.
Survival,Palworld,2025-03-19,"welp, i just made all my legendary gear with the draft table. it doesn't feel earned, but i'm just so glad that i no longer have to harass the oils rigs and yoink supply drops for hours on end. now i can focus on optimizing my bases and supercharging my pals."
Survival,Palworld,2025-03-19,the drafting table is the best thing that's happened in this update. since the time i was struggling to get the blue print of the lightweight legendary hexolite armore ... i had 6 epic blue prints in a chest ... now i have my legendary armor !!! unfortunately on ps5 the new trophies are bugged
Survival,Palworld,2025-03-19,"ugh, guess who sold all my 'useless' schematics yesterday...? thanks for this, and for being so quick. my download's only just finished!"
Survival,Palworld,2025-03-20,awesome i wanted a pal storge and transmog system for a very long time.
Survival,Palworld,2025-03-19,"finally, i can stop searching for my indentured merchant to sell my piles of blue and green schematics"
Survival,Palworld,2025-03-20,"great add of the box so if a world gets deleted, you don't have to lose that pal."
Survival,Palworld,2025-03-19,"i really didn't know about these things, thanks for the vid....now i know lol. you have a great channel here and i used to watch your destiny 2 vids a lot"
Survival,Palworld,2025-03-19,"that blueprint combined table makes legendaries easier for me because my luck is ridiculous. i got all legendary blueprints from all legendary pals first fight. but never got multi rocket, hexolite, or advanced bow legendary blueprints and i have been grinding for months."
Survival,Palworld,2025-03-19,"noticed a great thing youve done,advanced storage with sign boards ,never thought of that ,brilliant tip"
Survival,Palworld,2025-03-20,"751 the way you set up your bases, does that mean if you start a raid with xenolord ultra in one base with 20 base pals, then the left base and the right base will have another 20  20, meaning a total of 60 pals to fight that xenolord ultra? i think all it takes is, one shot from the boss to the other base to trigger the attack mode of the other bases"
Survival,Palworld,2025-03-19,dpjj i love youre content ! ive been watching your content since black ops two emblem days !!!!
Survival,Palworld,2025-03-20,"the drafting table is probably their best idea by far imo,like in pokmon you can't make a pokball table to make a master ball by using like 50 or 100 ultra balls or any apri balls as well,so this makes palworld even better by a massive mile over pokmon,don't get me wrong i love pokmon but that idea is something that pokmon should be doing,game freak seriously needs to step it tf up in future pokmon games cause palworld is getting better and better after each update,hopefully they announce a new expansion update for more pals a new location weapons and more soon,these devs are killing imo"
Survival,Palworld,2025-03-20,this update is amazing! i was just about to close my eyes too
Survival,Palworld,2025-03-19,o i did start playing palword abot 2 weeks ago after almost a year pause ....and i was going wild trying to get legendaries on end game and i got nothing ...but my hoarding made me keep all the recipes i dropped ...... even on some i have 15 best ...update ....ever
Survival,Palworld,2025-03-21,i wish i knew about the draft table ive been getting rid of all my extra schematics. great addition though.
Survival,Palworld,2025-03-19,"apparently, crafting pals using the global pal box doesnt count as catching the pals thus dont unlock the saddle."
Survival,Palworld,2025-03-19,thanks for showing all this very helpful
Survival,Palworld,2025-03-20,"i was curious to know if they gave dumud the water type, it's worded a little funny in the patch notes"
Survival,Palworld,2025-03-21,"the game keeps getting better and better with each update, it's a shame that it has lost the original hype as before"
Survival,Palworld,2025-03-19,"love this guide dpj ,explains some items perfectly"
Survival,Palworld,2025-03-20,palworld black marketeer now will spawn pidf guard guys... be careful if want to farm early
Survival,Palworld,2025-03-20,hi love the your videos they are very helpfull .question what happens to the pals in the global box if i creat hc world and they die?
Survival,Palworld,2025-03-19,"good lord, the souls of the xenolords will haunt your grandchildren's grandchildren with the amount you turned into sippyjuice!"
Survival,Palworld,2025-03-19,"frick,, i sold all my low tier bp's , keeping only one. damn."
